"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
39.269550,24.821896,12.064631,14.963099,20.081942,1344.259644
36.457352,24.232111,15.394264,13.880198,17.383762,1375.175293
15.515846,10.921251,4.718462,4.585392,0.645638,1.304417
46.943077,29.294069,22.824827,21.805346,39.321686,3389.743652
4.785331,3.152454,6.023331,8.975396,20.398108,1685.713135
45.912670,27.464090,27.925169,27.691629,79.454338,4589.061523
24.151188,16.681606,11.135130,7.222345,19.314939,1574.285034
12.827376,9.154860,3.230520,10.081630,2.493764,8.843480
16.289892,11.645917,4.879862,5.412887,0.671181,2.113221
23.081198,15.194527,7.213524,4.859053,12.253684,1321.738403
15.532591,10.896912,4.908847,4.850079,11.926358,940.097534
9.320061,6.291502,3.956441,13.359625,3.239199,12.342505
16.979834,11.783944,6.352319,6.822227,14.404358,1315.971191
72.853439,36.349411,89.780441,77.394279,122.097015,5444.685059
15.607253,11.093817,6.356432,4.543774,6.719564,467.790527
11.101359,7.764693,3.035313,2.292847,7.538582,724.506958
11.122827,7.591038,6.897208,4.551557,8.692490,566.861633
55.793373,30.632284,39.838440,34.225170,68.943031,4379.621094
14.939347,10.017408,5.997389,4.143944,7.268144,615.071594
43.841721,27.845591,15.574890,9.257400,22.872211,2399.860352
21.537968,14.427074,7.301422,6.421953,11.444482,1093.898438
30.174706,20.136229,10.901587,12.201235,12.278821,1143.914062
31.318478,19.444532,56.823299,52.138569,86.308929,4455.089355
14.167917,9.962662,4.580253,3.373829,10.856171,1071.456177
36.489063,20.848507,65.999619,65.870674,93.181137,4480.456543
12.768232,8.488198,15.913138,22.508167,36.968323,3075.912598
32.494610,21.702547,9.089324,10.182004,17.966610,1437.143066
18.057833,12.232958,13.109762,9.752576,15.510573,1296.286133
38.489910,22.773920,41.474079,49.472111,78.370514,4113.224609
6.035090,4.319601,3.263858,3.079468,1.813116,5.175489
59.620510,33.137100,27.358088,39.538242,53.232063,3614.918701
77.869179,39.040028,117.335533,156.018021,183.363983,5504.663574
35.020538,23.539173,15.114738,14.912795,24.588579,1860.655518
30.248180,20.730997,7.849116,6.797443,10.191169,847.442322
31.798645,22.098795,10.981195,9.598128,16.280153,1366.485229
16.634727,11.597243,5.690443,4.371880,10.070143,854.768738
128.622360,56.404598,133.603943,133.251373,203.814346,6370.927734
28.190376,18.934332,11.006657,8.731541,18.367926,1492.610352
32.456120,21.545509,5.930109,11.521026,18.749472,1636.814819
7.318869,5.087147,1.184254,3.088107,4.825907,476.249176
48.999249,31.510305,16.086233,13.567101,23.364021,1777.984375
12.538401,8.828302,7.729291,5.807166,13.714113,1010.924316
11.775415,8.394605,4.276309,5.046833,0.507245,0.759798
37.647243,20.286390,34.859749,36.806980,63.328354,4116.480957
29.323685,19.155579,18.804039,16.362190,21.024946,1619.434204
62.188107,33.788132,49.163498,70.335220,66.869469,3775.347412
6.843854,5.035638,2.508343,1.749042,4.721759,424.494720
48.227898,30.704718,14.233728,22.141163,17.370312,1175.933350
31.109417,21.351196,21.136469,18.409575,31.032701,2742.118164
85.740067,46.455246,64.122940,58.600101,96.879097,4992.068848
25.299177,17.893223,6.443760,7.761187,16.785130,1430.003052
22.149191,15.657347,5.776059,8.317017,10.336408,781.134949
58.480885,34.379635,29.157345,18.839182,27.798277,2384.986328
11.749387,8.058210,4.975975,6.401704,0.642751,1.727481
57.652554,32.721195,122.001579,102.495850,191.808990,5586.428711
28.994223,19.411514,16.144958,19.551702,27.682636,2390.304932
84.606331,49.648842,25.132847,40.334129,65.700508,4232.154785
53.353821,28.926342,25.081091,22.838224,43.272503,3670.894775
25.320419,16.313667,10.947163,14.787275,23.620491,2229.946777
10.313486,7.491343,5.863868,2.939278,6.552911,615.651917
36.664963,22.884439,13.953627,10.074595,26.924709,2590.802002
19.866299,12.734787,10.973885,15.649922,16.675735,1208.652710
48.204796,32.245197,11.923857,15.032535,29.790159,2662.880615
81.600830,43.366192,46.627491,31.134232,39.444622,3164.143799
29.652689,18.531507,22.124853,22.625549,27.074934,1898.659912
34.723518,22.845968,11.616488,8.322431,23.640167,2063.970947
59.334255,36.496315,27.468904,18.234667,41.150818,3480.598877
55.292747,31.709097,61.065628,49.618565,109.418472,5000.821289
23.684080,16.135071,5.491113,8.835084,7.934585,589.518860
19.664227,13.398097,8.689976,5.867552,10.648313,902.463806
45.736160,27.024786,61.275799,51.934586,87.297859,4661.161133
67.247856,41.491859,24.797686,19.093906,32.508923,3081.024902
17.264267,11.609664,28.710123,27.810802,53.210941,3251.399414
41.537319,26.649935,49.688263,56.693066,61.197586,3677.798584
70.853249,39.914650,24.681276,18.214617,43.677074,3750.062256
25.139187,15.816864,20.548336,19.431631,53.162094,3693.361572
