"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
12.271372,8.479733,4.229333,2.359422,0.529439,1.739110
5.827486,4.075252,1.375085,4.389908,0.483537,1.817626
4.710141,3.307115,1.880311,0.127994,0.395423,0.585943
8.792463,5.963382,2.843387,2.510209,0.037959,0.594552
6.769177,4.724109,2.613261,1.833550,0.173602,0.498450
10.929065,7.307230,4.362082,2.398486,1.508850,1.462519
8.451996,6.122524,3.335577,2.496860,0.412996,3.572253
20.387440,13.503614,11.165905,12.519437,1.292733,3.513904
16.507935,11.203412,5.087183,4.122493,1.060801,0.737040
22.355577,14.660469,6.505774,6.850049,0.225500,4.010550
35.503307,23.485413,21.408728,17.496651,3.297522,6.077748
12.462044,8.687132,4.514062,4.530617,0.665561,6.569692
6.374301,4.230844,3.800128,2.225424,0.456669,-0.040845
5.735103,4.321214,3.406285,3.466524,0.685632,1.772848
11.407218,7.508001,4.261777,2.899505,0.278320,0.739533
12.581203,8.832808,8.439954,6.925395,1.526277,2.726595
9.389195,6.660252,3.129688,3.754444,0.371060,0.357409
12.717107,8.430745,3.500099,1.968905,0.677277,0.135977
11.843833,7.911695,3.702561,4.865993,-0.063151,1.069475
7.574867,5.506724,2.942616,2.540919,0.145556,2.234102
20.608599,14.396557,5.750090,4.066360,0.742437,1.532050
11.086889,7.654538,5.389712,3.332906,0.676003,4.378591
4.295279,3.209181,1.554417,1.148363,0.821244,-0.496314
11.769429,8.055313,3.872503,6.294194,2.012863,4.375731
22.001623,15.187497,6.963220,6.140821,2.653409,5.107131
13.729773,9.480020,4.245978,3.745630,0.515598,0.707881
9.928807,6.886262,3.277191,1.699722,0.433700,0.152185
8.185071,6.007372,2.479207,4.991345,0.529854,0.291291
17.621994,11.879144,5.621868,5.309195,0.593020,3.321155
14.828354,10.514669,3.692797,4.802376,0.576340,1.758270
12.762423,8.860367,4.223939,2.849600,0.565419,2.449475
10.164619,7.164418,4.317073,6.153633,0.628530,1.992811
11.464599,8.066760,5.370659,4.800542,0.646595,0.533588
15.449761,10.690712,5.003816,4.849342,0.432791,3.028104
24.556715,16.575113,10.173359,7.553515,1.052795,2.074556
5.310719,3.632155,1.672708,3.546171,0.283168,1.003616
10.024101,6.645686,3.477936,5.724030,0.303912,4.529971
11.915689,8.024297,4.129324,0.989179,0.352459,6.062693
11.030581,7.293799,3.828305,4.743779,0.340809,0.509958
5.738942,3.957997,2.628351,2.895084,0.229104,1.112684
7.270568,4.960011,3.818559,5.524481,0.823240,3.407279
4.095437,3.029963,1.910010,0.895806,0.052384,0.614047
6.753246,4.412061,2.678509,2.026382,0.603756,1.292398
10.044972,7.285902,3.675836,5.698129,0.553029,1.029457
10.543276,7.223206,4.048514,2.836292,0.807589,0.576571
5.017595,3.575733,1.958686,0.789794,0.062107,0.953354
33.023472,19.897699,43.479229,41.769112,6.137260,10.793109
6.992495,5.130988,2.373546,1.051628,-0.037491,1.592954
6.881473,4.658082,3.335471,1.309179,0.399258,1.282846
10.428982,7.438520,3.234950,3.066708,0.085276,0.411691
4.881647,3.733066,2.197257,3.936474,0.024312,0.032451
6.385657,4.518431,2.516117,3.126846,0.309943,0.468298
31.318277,19.563351,33.368103,24.057947,4.732044,27.040525
14.626857,10.026594,5.004571,1.962178,0.882242,0.983985
7.123458,4.767094,2.856430,4.987137,0.623421,1.640841
16.168926,11.415907,12.799230,10.583289,3.676311,4.009961
16.033178,6.008703,4.994127,0.900274,0.666102,0.682439
32.678925,21.357983,13.385335,6.752985,1.972760,3.206721
9.764207,6.792182,4.477322,5.536476,0.343364,2.420147
11.035535,7.582896,3.068611,0.765984,-0.070633,-0.094604
28.264894,19.130777,7.283614,9.205993,1.810290,1.704002
9.757619,6.539718,4.032211,3.825485,0.611943,1.691537
9.207026,6.366292,2.787442,6.228548,0.100383,0.137334
14.482491,10.330912,4.612847,5.494361,1.254693,1.006734
