"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
22.015451,14.430661,12.890340,17.747633,3.174567,0.620293
12.844225,9.095393,4.563537,38.126015,10.249064,5.785318
12.684844,9.059679,3.774795,7.827461,1.353388,2.133700
27.512108,18.948610,8.784202,9.180222,9.882125,706.954529
9.174813,6.753528,2.970710,5.157833,1.081524,0.730792
6.464518,4.514871,2.567685,4.078499,0.472246,1.301667
14.289150,9.952480,4.686737,6.210763,1.824923,1.720663
34.256489,23.147169,12.381233,90.461349,20.569998,43.476788
13.537528,9.265546,3.825385,8.129504,0.449562,-0.431821
20.371729,13.943306,5.340487,9.423686,1.283551,5.601201
12.794525,9.279480,2.828490,11.641623,4.527148,15.718167
10.792753,7.756346,2.658898,3.844313,0.572624,0.246406
17.144260,11.692391,13.930254,49.641132,12.853026,70.087219
17.970606,12.576220,5.458046,6.193865,0.721377,1.290290
7.789826,5.402288,2.910617,3.650150,0.324789,9.933141
13.460528,9.565230,3.017441,29.684221,7.259771,16.420494
17.785690,12.717991,5.796263,48.785961,11.866644,15.209446
9.850359,6.843831,3.171245,3.809772,0.602213,0.522023
8.555295,5.928052,3.352260,39.913940,10.696087,7.153270
20.221439,13.532846,20.068033,55.161095,12.763533,84.972992
15.003786,10.215649,6.718779,10.496881,17.742746,1400.511719
22.796944,15.680661,7.048279,47.996254,12.829293,13.071769
6.332743,4.338331,6.365691,7.796928,1.253758,6.784937
23.021948,14.860733,14.960594,79.850204,18.680744,14.252068
30.280159,20.100826,8.464509,8.703736,2.374598,22.425571
13.061342,8.732339,5.972460,7.094934,0.558492,0.639966
17.220781,12.074251,5.536273,9.352721,1.302303,14.750433
19.766443,13.697802,5.245868,11.150205,1.680843,23.425440
26.193640,17.311274,7.090987,10.388556,2.080011,24.700224
14.878397,10.301046,12.736276,16.283661,3.478832,38.668533
15.028654,10.477798,6.962004,13.483730,3.650210,12.701134
138.195969,67.619743,148.190582,534.525085,139.883804,605.228577
64.281372,38.950550,27.318073,45.403255,6.926986,83.872993
45.568478,27.536417,56.680325,99.762970,21.114834,218.981369
15.992219,11.112468,12.861382,54.533134,14.607289,21.619909
4.906801,3.098098,14.269237,2.491694,0.715682,0.592549
11.468198,7.927424,7.960356,38.620129,8.114189,13.684258
8.927409,6.345830,3.593150,7.369657,1.406936,6.359376
