"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
23.330868,16.231197,15.764236,163.115295,45.292870,51.399605
36.711143,23.148737,12.002066,55.465904,13.326706,42.227322
4.502820,3.581773,3.789093,9.714796,2.779613,3.041622
55.503998,35.290775,22.252909,320.358093,83.970734,132.375549
31.733469,22.180164,12.335894,90.591896,25.077126,41.873257
82.894424,45.713604,23.060280,254.489929,67.118752,75.172234
6.074955,4.367764,2.538464,6.364466,1.160066,1.960154
63.985588,37.505692,16.323904,193.710709,49.923771,84.515594
88.323158,46.313885,51.080242,405.824524,101.504173,139.045074
37.615105,24.685493,21.693813,137.698105,34.848083,96.229012
12.344139,8.363953,3.739987,27.301498,10.761072,59.323463
7.232554,4.887693,2.666047,2.847028,0.279515,2.180209
32.099960,21.702158,22.519772,125.613495,33.349194,124.144348
82.933525,43.551559,66.678467,492.861694,135.358398,264.076630
155.244995,65.857613,225.533890,1837.674683,495.024506,819.492432
13.131675,9.199019,4.690306,10.900237,3.249184,4.864145
6.265085,4.493504,2.160999,5.305776,1.307579,2.730875
22.993786,16.289022,6.835105,107.362961,27.292986,29.128727
51.538628,31.364452,16.717308,95.039841,23.521383,28.382210
27.953077,19.102304,8.954921,74.720749,19.912527,21.010937
18.024237,12.885937,6.393500,114.143005,33.799389,43.014095
19.747896,13.712277,7.598752,55.263206,13.033040,22.304697
13.842762,9.511061,4.299631,33.325989,7.273211,10.673990
30.889416,20.521746,11.064391,100.682373,25.300713,31.180887
31.935152,21.367306,13.039865,137.289139,38.573532,45.488228
40.066669,25.440714,16.320631,157.398987,41.540104,38.200783
8.284539,5.879182,4.742734,5.595925,2.145885,5.924999
21.024664,14.369188,5.474636,61.250359,17.758932,32.879986
8.256812,5.714592,3.348488,3.718543,0.911151,3.070940
44.418045,28.459005,11.892695,138.270538,37.590263,67.436081
23.786173,16.428726,7.569668,64.277336,15.996525,25.883879
13.839203,9.636342,4.738863,8.823783,1.690155,1.735447
78.307701,44.779408,25.909721,193.408905,47.118633,124.590096
53.446671,32.114052,15.548584,222.025085,53.746422,51.483994
45.317398,29.209391,12.468187,107.928978,28.501360,43.724602
15.641017,10.834304,4.185580,37.593262,10.913723,28.452183
35.002689,22.179134,16.396170,141.136719,37.764645,71.762695
14.675201,10.038457,7.989781,93.014610,25.030790,47.980824
20.992706,14.724830,6.930968,75.093460,19.714586,26.621662
35.203526,23.229847,8.054438,169.427353,45.925480,88.241066
30.690676,20.798634,6.363601,73.768784,19.246201,33.593910
6.862098,4.708429,2.524823,7.022494,1.532226,2.415594
31.874813,20.189648,19.435753,215.960052,57.931545,121.023766
7.056693,4.844496,4.469375,7.606911,1.382312,0.800690
39.192875,24.236755,13.781871,97.210175,25.135620,33.862293
20.777554,14.668873,7.259665,95.796364,25.255163,40.623123
21.224058,14.663935,8.885245,92.966637,22.787270,32.011326
16.947470,12.104254,4.990077,63.465931,15.583062,25.123873
52.088142,30.399658,21.365236,149.422043,37.509689,56.312233
48.043419,32.050949,13.200649,124.764046,34.114491,37.497105
55.764618,33.380894,50.016884,424.340271,109.539764,206.717041
36.107605,23.973387,10.680269,144.591156,42.045776,61.763779
96.249023,55.040035,30.233269,235.242828,61.916855,99.063080
32.116871,22.065777,10.112528,12.531967,2.633745,9.394778
21.589449,13.937626,7.782087,63.605324,17.809605,21.572237
21.534245,14.543959,12.005692,128.402298,36.969181,42.643131
20.015169,14.309484,8.268367,81.040512,23.457098,20.102684
18.052082,13.087721,8.974405,98.949997,27.294500,29.833153
10.429063,7.127875,4.384386,8.907227,1.079710,4.904422
24.397007,16.341440,7.104218,104.387093,29.318886,35.561008
5.763434,4.161904,3.412433,3.797778,1.184753,1.171402
13.242755,9.454147,5.840907,66.711617,18.695324,12.225581
34.432255,23.898642,9.364517,111.036392,31.652473,53.593945
4.870668,3.876443,2.900663,65.749664,19.384544,21.742393
52.540195,33.134167,19.933685,162.366959,45.562237,67.973892
15.978854,11.218771,9.965069,106.320854,27.307602,42.524815
19.757421,13.577616,5.850344,11.321589,1.513219,3.956897
25.438547,17.030142,11.087006,8.851420,7.334402,346.089172
27.315769,19.308899,20.218042,14.997517,16.767168,1044.205688
4.969468,3.495142,2.713416,8.287487,2.527055,2.391063
126.190948,64.103638,143.782349,1085.407593,305.184937,373.823090
13.573202,9.692543,11.765068,120.802658,33.352505,41.486805
42.829075,27.875534,18.801617,141.079468,37.483147,53.604176
99.737289,50.240025,65.866440,438.195618,117.974907,194.522263
52.315903,30.515234,89.465469,846.300537,222.291138,362.282318
