"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
14.912925,10.417600,6.027305,47.919968,11.892767,15.879823
31.460207,20.936213,11.315763,61.603313,17.408783,26.174252
20.870443,14.247667,8.754070,48.605328,12.294925,25.571680
11.834362,8.297976,8.866415,70.604385,18.185682,17.208817
26.110783,17.556751,8.407521,61.913704,14.260696,30.302610
15.114802,10.252176,5.852648,56.566422,13.830142,20.285822
16.426699,11.447842,6.012876,22.867920,5.928446,14.767579
17.138220,11.565748,4.520914,44.679192,11.033238,12.929131
17.240707,12.164716,5.862849,28.303968,7.255405,21.283251
21.251057,14.340034,17.883400,114.252968,29.625742,12.532151
8.319255,5.678405,3.261004,17.450182,5.824691,12.154394
5.709818,4.429930,2.301449,16.594545,4.365166,7.885107
38.005028,24.631845,31.170055,188.174347,49.416561,80.542625
29.716406,20.083544,10.723281,122.665291,31.708694,37.825230
11.364324,8.057318,3.457515,34.780445,9.682823,21.385830
19.211893,12.388106,8.665147,53.690544,14.297956,20.120100
68.086021,40.672092,14.693187,193.856934,44.741295,79.668358
28.391277,18.486288,12.682982,87.831909,24.594240,57.506660
8.272909,5.455030,10.926621,99.415024,25.426590,39.166470
15.756892,11.015146,7.142651,45.838806,11.587523,33.418018
72.563919,40.321239,134.471313,886.177246,237.649399,515.401794
5.671526,4.160275,2.762457,19.285889,5.798257,15.023445
46.149067,28.431959,14.054435,95.604454,23.415642,26.319565
11.680067,8.406265,5.792008,32.119938,8.464831,13.204740
18.373508,10.289426,5.215290,70.213692,19.149715,42.239010
12.768232,5.985757,5.271859,59.254002,12.300715,17.322145
19.361906,13.554354,5.432613,38.399090,9.259134,13.413570
13.368092,9.852587,4.870546,34.405884,9.483971,14.238979
30.032650,19.325434,14.139895,94.096138,24.574324,92.268951
6.163773,4.502707,3.474753,23.157419,6.399197,6.540947
7.607997,5.594986,4.963860,27.224098,7.860968,9.083742
12.387957,8.781850,3.241149,38.492115,9.168004,13.256053
16.762003,11.606799,11.407986,58.464470,15.355651,27.260105
11.038832,7.455850,3.663380,33.456047,8.529028,12.053710
16.285328,10.715739,14.795184,112.161179,27.425436,93.520927
21.399532,14.969436,6.898623,41.575249,9.805629,28.373543
7.375399,5.287654,2.998954,28.754517,6.487792,10.653085
32.965904,22.016607,13.265739,152.479965,38.885540,41.754047
10.762494,7.675269,4.085669,29.232660,6.939332,5.031697
7.222358,4.949818,2.778480,16.288725,3.617727,6.899796
39.037128,25.361012,14.720777,96.641998,23.807259,40.313965
20.413019,14.123102,6.785624,46.710140,11.648053,20.677700
7.679041,5.159741,6.774883,51.022018,11.963509,20.083530
14.945608,10.139295,9.037582,61.117138,13.885904,19.234373
34.217171,21.398621,30.170942,180.174255,45.721149,104.505081
5.081936,3.575733,2.709330,1.533289,0.273002,2.493963
11.240486,8.087397,3.659331,14.474253,4.460821,7.801254
9.987924,7.145148,4.561138,24.643311,4.777357,19.862211
17.519178,12.165406,9.969738,83.107979,23.393999,34.414860
13.345772,9.239058,8.410823,86.352501,23.466064,30.941473
63.088760,37.241367,23.422623,131.260071,32.391388,53.110165
43.903584,27.162474,18.022287,97.793839,24.834570,58.207153
13.138385,8.882198,4.657740,24.808594,5.479115,7.398663
5.847891,4.075665,2.788382,34.082611,7.484339,22.913527
27.333668,17.859135,21.758371,105.580643,28.543821,49.935875
9.177209,6.655166,3.155236,21.442612,5.166876,8.538850
34.377499,23.129065,21.365326,63.890068,15.836268,36.359497
5.677173,4.298657,1.954092,17.876822,5.297042,14.255492
8.305811,5.601996,7.901691,31.444433,7.470912,10.430595
16.182810,11.275523,4.069470,29.776606,7.478705,11.075701
9.977766,7.015298,4.002225,34.899479,7.929830,7.512560
17.349852,11.666672,6.012482,63.033463,15.853601,24.028572
37.145298,23.242514,24.363108,137.913040,38.583424,60.328297
31.818804,20.615335,14.785867,169.320740,41.103191,52.425880
9.306649,6.660169,5.660717,27.061501,7.829841,11.260915
34.673473,21.075949,23.641096,159.248444,39.296467,64.018272
16.747694,11.593973,3.055087,54.047554,12.147349,24.267191
28.519762,18.769644,7.984343,56.360065,14.429780,38.761044
9.336048,6.369445,3.689566,19.780195,4.910560,6.060753
9.019373,6.348536,4.507813,28.379736,7.738673,13.450559
18.069551,12.467900,7.079268,57.103310,13.513080,31.357635
10.649263,7.464760,4.044154,30.224892,7.037054,21.533958
17.571674,11.701217,6.012064,44.139107,9.766497,15.135431
20.011698,13.863070,7.866646,79.820068,18.425152,22.445951
7.441661,5.033058,3.019822,22.446823,5.891060,5.790522
17.389675,11.666473,6.303963,44.474556,9.571097,14.127826
22.845066,15.781991,8.101810,47.694305,12.176035,19.217827
29.306887,19.999245,8.831057,55.632332,12.891789,18.216393
9.103346,6.605659,4.660129,31.236441,9.806987,15.013430
13.260198,9.353808,5.311060,25.090666,5.880807,9.269685
24.202621,15.751002,7.986538,76.816093,19.166674,37.146690
29.045374,19.648750,25.409187,148.500839,37.305218,70.699013
19.901463,13.465015,6.755660,62.216965,16.033476,23.931623
26.453854,17.705051,7.529696,61.367188,14.695274,22.344219
28.388206,18.423531,26.153963,126.905830,34.701736,58.731754
33.725906,22.061249,12.161579,74.494949,16.312815,20.420784
13.639059,9.799957,5.709234,22.454536,5.674848,8.177589
7.663088,5.529515,3.535886,22.627783,4.515027,4.609596
4.307080,3.196669,3.032710,18.588285,5.338467,3.331153
17.374367,10.778049,21.435867,157.348236,39.328293,113.500587
19.818335,13.721601,7.192741,46.843868,11.900747,19.910122
11.927942,8.645952,21.343840,138.793381,34.097111,48.977245
17.815739,12.366508,6.311881,35.881153,8.900066,10.528858
20.454557,14.035983,10.038130,69.461533,16.445616,14.897471
26.127863,17.068974,13.645468,104.190918,28.571724,49.377163
17.810270,12.076518,20.338652,162.740341,42.579807,46.466393
13.756258,9.132645,12.353725,98.889862,27.706722,34.757614
20.327011,14.094190,19.191111,123.537987,30.420452,65.302689
18.452147,12.902554,6.604595,31.543367,7.694519,11.998898
59.479069,36.660889,34.392998,184.705856,46.451241,83.879593
25.134205,17.203072,18.447975,101.478577,25.825975,71.387054
12.606164,8.915510,4.659119,29.161613,6.652024,13.261220
27.911051,18.685131,8.590885,88.195312,22.312443,30.637905
11.868586,8.289248,4.976688,31.660694,8.755873,17.532022
23.616568,16.238117,16.204584,98.355377,22.282612,24.901310
9.658048,6.584376,4.727730,22.818583,6.078915,4.651667
11.117351,7.961848,8.001865,48.313568,12.827945,22.183834
30.640089,20.544580,8.905955,61.214584,15.142097,34.008656
4.523798,3.326260,12.473926,69.201881,17.482635,32.043346
28.679470,19.545080,9.108762,63.276924,14.677621,32.430580
40.764656,26.194715,20.597349,160.318222,37.335014,45.352032
17.378119,11.670142,10.950963,91.465691,25.122974,51.500832
4.077792,3.023504,2.480458,2.599671,1.605717,10.351523
29.165119,17.719753,35.706894,260.913849,62.574535,86.744286
79.230774,31.327843,34.125957,227.147827,57.278973,110.961319
76.974701,31.289391,34.434425,234.718369,57.706188,107.283348
10.849072,7.306326,4.138003,48.512615,12.867902,15.259229
19.892563,13.494555,6.365906,42.919907,11.630541,23.226637
7.823907,5.924493,2.702890,24.938656,5.676170,10.190344
49.721077,30.928448,17.402557,127.567993,30.425032,94.820198
51.283997,30.711069,21.093376,202.780243,51.315071,65.881493
8.843953,6.598656,3.894261,33.522221,7.981340,9.273730
6.172601,4.205313,3.632225,22.994551,5.550294,8.366368
14.292321,10.143092,4.693134,29.991949,6.555276,9.173710
12.904765,7.870890,28.502863,151.161514,38.108665,53.856655
57.862080,29.389668,71.261208,317.232697,78.532364,207.286377
30.769775,21.234499,14.285827,137.235229,34.402767,45.781944
14.156453,9.715875,5.350687,46.960972,12.691494,20.388800
31.083675,18.866817,21.759470,163.931656,42.202049,75.655479
6.819291,4.782866,3.543809,36.157280,7.979019,8.632554
42.436928,26.975578,24.283436,131.246567,34.085014,73.999245
19.744181,13.720100,6.348730,39.518894,9.098490,36.926613
13.053154,8.908475,4.846062,21.688366,5.479057,14.804193
28.275078,18.749250,19.583254,163.547668,41.788376,47.975498
10.075509,6.690302,3.793702,39.029636,9.889646,33.488438
13.359796,9.197068,4.332709,23.559834,7.686288,9.206550
17.120941,11.788267,4.962510,57.970329,13.780431,14.268276
18.620678,12.700603,9.208168,90.488724,21.947708,39.405075
23.029713,15.772922,8.423479,40.543087,8.736130,12.857874
8.043428,5.474486,4.260840,32.306053,8.591663,6.916117
13.669342,9.167638,4.630165,27.651876,6.141648,10.041889
