"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
35.880928,20.885128,22.923954,55.572964,14.805982,100.999336
20.379265,13.764583,8.388249,28.664320,7.103507,40.111217
10.311378,6.923448,4.761356,21.642893,5.764318,1.711910
17.603600,11.776980,5.760177,24.636349,6.682950,21.623322
26.160826,17.404163,11.528057,59.829773,14.918404,202.432526
5.492255,3.629862,3.082412,19.166452,4.965389,1.494690
12.709222,9.067471,5.537467,25.770412,5.982063,26.245291
24.179979,15.868727,10.354494,41.226227,11.101153,24.993061
12.229262,8.472089,4.640370,19.696579,5.235815,7.610798
10.970802,7.290473,3.699793,20.736971,5.029625,10.612647
27.335581,17.824402,6.327922,32.191410,7.308107,29.830284
17.705832,12.425535,5.990330,23.171621,6.170287,27.662800
5.677273,3.879892,3.324720,20.959364,5.203602,4.774003
20.551395,13.613817,6.390990,39.157883,11.802320,111.420555
6.531603,4.334173,1.763203,14.205640,3.402431,0.682341
45.645306,30.225632,14.849028,28.211529,7.438496,101.218300
19.497873,12.946873,19.615271,40.900623,10.865786,216.332123
10.922709,7.362630,9.398020,43.468822,11.293534,56.966911
25.755775,17.250074,6.397733,43.788692,12.297462,27.685183
59.383633,31.355112,44.278103,134.872391,32.916550,189.916672
23.675516,15.922435,6.314861,28.515923,6.490228,40.143772
15.297647,10.340085,6.018824,43.124210,9.490713,10.255065
7.869776,5.375929,2.455190,33.669140,7.863004,14.055466
19.983625,13.640030,13.866798,52.262230,12.750653,27.506304
37.915287,25.319332,11.552874,68.526527,16.443821,72.947517
11.456391,7.526895,4.531938,23.666304,6.041771,8.432370
8.949395,6.275911,5.414740,2.932924,1.348771,1.303174
67.350151,38.508595,20.644802,73.078369,20.468401,149.044006
66.985802,35.011467,36.441185,131.789215,33.792953,24.950439
15.035675,10.240011,4.786594,30.467268,7.160564,20.506508
16.851646,11.362808,4.302578,24.561098,6.256019,26.831121
15.004489,10.460317,3.416299,14.871833,4.017153,23.550606
40.889862,26.621449,11.661775,55.883686,12.950014,64.577858
12.550844,8.478188,4.145936,28.437450,8.554049,9.858969
14.001225,9.815471,4.847358,37.961765,8.916689,18.749588
36.912849,23.636429,25.872055,105.701729,27.728159,308.907227
9.605885,6.783015,8.625213,51.799301,13.350827,12.547568
4.913249,3.492436,2.971187,1.246543,0.695611,0.239836
36.062790,23.605446,13.029061,59.054691,14.045433,101.035553
34.081131,22.100697,19.828833,124.385101,30.791058,69.946777
26.612173,18.036793,7.714761,42.756447,11.932778,19.002811
15.723277,10.827204,7.500524,26.574995,7.201379,25.288803
31.771152,20.632153,12.951614,50.182011,12.757047,50.752720
25.994381,17.417738,8.508556,62.411106,14.851018,99.331711
19.922758,14.120178,6.164617,27.621857,7.091556,46.340862
9.993295,6.932666,4.725347,3.023854,0.905688,2.987243
13.535314,9.186029,6.383098,29.819571,8.610812,8.637687
14.384556,9.647589,13.104187,58.633209,16.433794,51.796772
11.056485,8.015016,4.522204,24.039408,5.432151,6.340760
49.519684,31.150679,14.716236,93.190514,24.427605,54.511711
33.763588,20.395664,10.218430,70.890388,18.904806,99.514290
36.343517,22.661131,26.365164,213.360916,49.916821,88.415237
29.262941,19.334469,9.011477,17.498745,5.539881,61.412891
45.342514,28.260845,30.540781,101.762146,28.362978,142.190933
10.862382,7.422123,5.458663,29.225803,7.171900,5.133124
20.944454,14.101454,11.726880,74.291557,19.032352,30.954523
10.778666,7.412511,3.557179,15.180390,3.718723,26.433119
5.934536,4.420728,3.862874,27.452900,6.362243,12.436073
