"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
9.955097,7.106441,15.317424,126.444519,32.596256,31.178673
92.623436,60.136044,41.638226,352.696106,90.164101,107.079422
8.670684,6.328355,4.747058,9.371644,2.500802,4.074652
41.756481,26.318605,26.971245,216.794174,54.927940,80.484566
17.199560,12.048328,6.588102,54.707516,14.385803,12.365781
4.637949,3.217874,2.002914,29.400238,7.413919,7.567761
38.649349,21.991665,67.190399,386.959076,98.032516,264.739349
135.143097,62.453812,146.460632,739.640137,186.487457,366.028717
52.903469,32.870892,17.340559,108.036705,27.626467,39.709785
52.016758,32.940498,16.693090,200.727203,51.891285,84.440315
30.398926,20.738831,10.742427,88.697067,23.958117,26.198593
50.891468,33.085934,20.828068,126.059952,30.998747,43.240463
73.828644,42.332039,38.865948,327.029297,86.666397,97.961151
120.222679,65.737846,120.549713,768.934448,200.049652,291.832611
5.037463,3.571234,5.655831,62.068161,16.635220,18.143763
89.397156,42.035934,144.614014,1004.049316,267.790588,541.742920
28.584248,19.630222,8.798841,97.038109,23.126312,21.829414
77.243935,41.969563,55.580528,397.404816,102.993690,157.238708
23.489546,15.998854,8.013405,68.524216,17.916571,27.996164
137.693726,69.135872,207.389572,1441.093750,386.784637,744.053101
66.247780,35.819897,50.131050,377.454773,97.597015,295.148438
152.601242,75.525635,101.793907,733.459778,183.393585,225.761520
33.806332,22.893019,9.790059,91.804764,20.598938,29.157717
176.625244,75.468643,135.027954,1090.989746,294.653381,542.802246
10.641870,7.741208,6.469939,41.828602,10.628113,8.124007
76.776756,44.636269,50.850277,404.525421,103.593376,225.000443
53.030094,29.713411,45.742222,396.781769,101.831467,160.868729
14.168779,10.096727,7.147501,67.001732,17.380035,6.114147
39.061829,24.025141,11.605577,140.789795,43.251072,54.633064
210.217529,83.482201,285.713501,1834.351685,486.021698,1316.941040
150.173248,64.921158,157.677109,1188.160034,309.401978,582.872803
27.500931,18.059195,18.775913,148.547302,36.988319,34.166862
63.359158,26.438343,85.950554,506.038025,128.492065,112.919357
155.577209,53.049110,109.246887,809.861877,215.939240,518.031006
40.563316,25.547281,31.030552,281.996277,79.849022,81.446274
77.651398,45.166576,55.729832,274.950623,70.050209,103.495178
20.976360,14.641292,7.828100,44.342903,13.515254,14.985375
13.381233,9.122930,6.778027,45.262901,12.512900,11.442311
26.329430,18.280128,8.628855,83.425621,21.165831,30.603651
36.007786,23.580799,9.316236,76.315262,18.866533,27.374517
34.293770,22.446583,12.908506,95.058495,25.959106,27.195560
118.540123,52.910942,84.734695,956.487671,243.725876,315.416443
16.114855,11.263257,11.196536,111.527542,31.544607,36.426136
84.047791,46.485729,46.180183,393.130737,104.134811,182.746185
11.168813,7.818298,9.206513,22.924967,5.575969,4.290474
47.786457,29.500416,25.175047,192.225571,47.946072,83.842377
86.723152,44.510124,68.404205,402.378723,104.586075,122.628410
65.088799,41.492683,18.383718,179.762207,46.473869,71.613785
156.506363,55.424072,97.998886,660.625244,169.773254,231.283890
147.121338,55.396896,95.660728,666.107422,162.653412,215.671494
20.605860,14.398959,13.281774,94.546410,23.608847,25.986877
45.029552,29.344481,15.924057,137.481476,35.804703,50.307514
19.997845,14.146481,7.184909,51.910431,14.862170,21.903973
31.895254,22.248882,13.293831,121.950912,34.010685,31.363640
45.431347,27.487431,15.406490,161.357101,45.662090,53.803482
69.768517,42.192883,51.893505,432.960205,109.767395,194.512802
61.482914,35.351357,27.130989,273.066071,68.502914,104.889763
25.726528,17.589062,6.139828,63.312256,16.513815,21.526020
11.040302,7.631415,2.436284,60.372841,14.534119,15.963918
