"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
31.777405,20.946163,13.916221,76.104881,20.396496,21.688381
61.171432,35.584652,31.257883,216.114532,55.248413,93.521355
17.224457,11.562120,10.434084,92.460831,24.609068,36.992199
17.532110,11.502322,7.511681,34.959499,9.560420,14.038237
93.815338,46.533188,102.291695,733.901306,196.023895,283.166138
144.157730,66.480812,115.425293,807.557556,212.815277,438.884491
4.380643,3.238613,2.198887,19.204062,5.009800,6.850067
11.154512,7.964674,4.967726,26.052485,6.776012,13.061387
13.859233,9.357099,4.136367,21.930639,5.761266,10.009286
57.839615,36.038033,28.746298,260.478516,71.704720,117.851143
21.537745,14.894714,8.755007,47.336555,12.394617,14.127516
113.223557,45.415035,99.324036,750.170776,197.059174,457.396027
98.020844,47.184334,42.719257,275.302734,71.181679,112.645187
18.528229,12.515184,5.122043,53.523785,13.203522,17.568550
24.525623,15.930852,10.249060,61.170963,16.435049,31.162081
46.839184,30.073044,38.640884,297.825165,77.641632,232.198608
40.061958,26.084690,20.809151,154.937820,44.333805,69.613297
66.613373,33.882404,73.588852,328.663666,92.148666,238.515625
91.605171,52.589428,31.429939,254.762680,64.663849,111.789536
9.862546,6.788462,2.613762,21.982611,7.051486,23.398701
12.487340,8.842358,8.330877,109.760674,30.968388,27.257710
8.363122,5.884519,4.238724,18.209965,9.619395,79.739723
29.742125,20.283766,11.362839,38.937950,16.413200,76.923729
11.000913,7.155045,19.171352,469.491882,111.188736,120.239487
84.734055,40.028809,131.563049,891.615356,236.661469,424.252686
19.191605,13.203164,3.931422,30.665171,11.542923,49.567688
35.350632,22.114534,36.941807,363.603302,98.911110,224.448318
24.506226,16.658007,24.848413,225.891708,70.089569,221.963745
100.586082,43.464836,79.957123,552.814941,152.673584,242.365677
51.567039,21.104269,90.059799,610.175659,165.146194,344.302368
47.363556,25.065201,57.426758,484.216461,138.333694,246.544754
12.959876,8.781850,6.704837,71.295273,19.898645,16.047735
20.279308,14.322864,5.642321,23.273544,5.239824,12.758368
34.523277,23.752237,12.724730,99.115990,24.067368,34.351425
34.958500,23.227945,12.854233,81.799400,20.641041,25.669813
31.801321,20.706741,34.815449,304.826263,82.518059,109.082115
49.279232,32.127865,45.135128,250.198212,63.801281,86.150040
11.286578,8.054814,2.345650,30.117760,7.522901,10.166216
105.311531,57.342625,79.915054,562.872925,143.992706,235.747635
80.438782,40.975819,43.606388,242.368530,57.621235,85.410057
15.420423,10.239552,4.805120,36.447456,12.050736,14.842096
79.570946,44.060844,67.223228,378.555756,98.880089,228.137955
24.128878,16.634350,10.563850,64.794556,16.009840,59.624619
51.712891,27.015516,96.927322,816.029541,218.754654,343.941711
13.320661,9.130554,7.687352,46.734695,13.232542,27.964371
34.907543,22.191456,30.111427,245.378357,67.720200,115.315826
50.645748,29.632807,27.508377,414.367584,116.546341,189.110489
20.811502,13.828497,36.417061,451.416840,119.250641,125.445724
22.795135,15.217164,19.942585,154.311966,41.198574,75.700302
60.200287,35.972458,83.539612,533.146790,150.092636,337.540405
20.505775,14.032748,7.759175,68.949432,19.376640,21.561649
