"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
6.048172,4.222530,2.352722,1.805375,0.640249,1.174340
9.305471,6.684505,3.330335,1.676865,-0.049063,0.916853
12.105776,8.357775,3.320834,3.598831,1.049556,2.787833
9.096296,6.253299,3.754884,4.658482,0.756433,1.102130
15.987806,11.239613,4.961705,5.854859,2.071660,4.408950
8.880877,6.010232,3.404117,4.961401,0.947654,0.869153
5.038351,3.574307,2.291824,2.890054,1.231556,0.376652
6.693540,4.424635,2.215363,0.087335,0.145319,0.690051
6.581556,4.535321,2.649376,4.136791,0.985737,1.287512
8.890445,6.435981,3.324471,3.940407,-0.006842,-0.271698
8.247765,5.525817,3.378962,1.876097,1.999979,-0.363496
9.641766,6.657713,3.527501,5.695903,1.498419,0.636026
9.587774,6.534921,7.324583,11.054433,2.504856,0.788438
32.654644,12.393114,9.096884,12.960389,2.812458,3.931844
29.708645,12.268744,8.708452,14.016192,3.062854,2.190779
26.200037,17.225143,7.024453,8.455280,1.086614,3.627368
6.207893,4.585056,2.522023,1.359530,0.260251,0.965074
7.920130,5.653646,2.806646,4.263732,0.709448,-0.528879
7.511542,5.043043,2.544424,2.013544,0.590982,0.011424
11.077874,7.490366,6.610050,14.544081,2.315276,4.314459
8.927140,6.217846,3.676881,8.648866,0.560137,0.695618
8.227291,5.365720,3.237865,4.183637,-0.249792,1.704867
5.281840,3.941602,1.911867,0.426314,-0.311872,0.711866
35.947330,21.483049,12.501339,13.028546,2.238057,2.238182
22.530649,15.462155,6.791643,5.418773,1.212886,1.182333
14.101521,9.510537,5.268284,5.532878,0.576365,1.222609
6.904783,4.841585,3.005529,2.178705,1.795584,0.759850
10.844497,4.969774,4.252158,2.932435,1.255477,-0.030414
10.658875,4.982171,4.120579,3.235986,1.740434,0.204193
15.121463,10.301046,6.259287,7.018564,1.702307,2.408828
4.877080,3.641861,2.022048,1.355460,0.690526,0.647928
10.507771,7.408559,3.802345,2.243133,0.267505,0.734588
6.181491,4.557240,2.546806,1.040171,0.185484,1.327126
16.507812,11.392616,3.952914,5.871648,0.522153,1.619752
8.685946,5.924479,2.245124,2.148875,0.727516,1.688510
40.569561,21.576492,14.033320,20.339159,3.775452,3.184060
43.231182,21.660336,15.738463,26.163006,3.538832,2.571146
11.157896,5.003057,4.100729,5.085553,0.992294,6.498782
11.452373,4.974463,4.371628,6.380898,1.352392,5.971790
13.509898,9.603749,4.387003,11.066384,1.297878,1.770392
13.790452,8.896778,25.001030,36.272308,7.017844,7.210545
41.406044,26.467463,54.455124,65.329697,12.266441,25.749912
10.134721,6.853467,2.964469,4.964619,0.943333,0.348730
24.435900,16.380140,21.498280,20.039013,2.937218,6.720057
6.096601,4.140931,4.334474,4.140983,2.455432,15.096180
43.071693,25.731495,89.798386,123.913353,22.499228,23.479836
46.964012,21.026850,36.909306,44.689480,9.214902,14.460544
49.900764,21.061163,46.211182,63.387291,11.075622,17.613852
20.135710,13.660768,8.246831,11.049685,0.981902,0.832459
11.615715,8.048872,18.733971,22.372568,4.435439,4.586705
17.306601,10.263827,9.725149,15.035289,3.302126,16.182032
33.909286,21.119993,30.561625,41.413288,8.878013,18.798319
4.559590,3.175411,1.869632,2.493005,-0.161442,0.539202
17.397093,12.117048,5.647980,11.180807,1.407693,2.320848
4.224541,3.195439,1.991401,2.309839,0.548357,-0.403772
22.084719,15.032240,7.037139,10.508224,1.692465,0.356825
8.194305,5.688268,6.023582,10.712269,2.313946,2.240920
25.955297,17.741650,14.371896,21.948174,3.391835,6.130660
13.428067,9.187812,4.720388,6.876912,1.319201,0.740133
12.240140,8.605235,3.118654,6.202795,0.311838,0.262846
20.511810,10.631631,8.384560,11.776056,2.021186,5.793227
17.825260,9.667770,7.778284,11.464186,1.859442,5.680676
6.887177,4.642049,4.102857,11.136333,1.140562,2.303480
4.441728,3.082986,1.653163,1.637478,0.393239,-0.658982
91.873962,51.444714,130.139023,184.192841,29.730787,28.329140
22.101969,13.370260,14.661959,16.908373,3.312000,2.611977
104.526634,39.471779,160.454514,214.603256,38.616505,37.396320
90.833977,38.316154,124.319931,198.457062,32.270096,28.069719
7.001901,5.072448,9.601785,17.131493,3.119737,5.463812
23.706984,15.000270,23.674269,33.895187,4.896947,4.181887
28.946749,19.593756,8.687792,8.057631,1.806601,1.771520
6.184716,4.275673,2.557163,2.354535,0.227636,-0.066729
9.032200,6.131758,3.359787,0.683942,0.962510,-0.317120
4.630634,3.227694,1.961576,1.820956,1.199648,0.502111
18.018599,12.097877,16.495676,26.646856,4.457686,4.464384
19.266287,12.932953,8.434363,12.336252,1.456988,2.914627
14.369933,9.693734,6.986567,18.987518,3.854605,6.124443
10.451412,7.502298,4.026933,2.954963,0.016450,4.365214
21.910770,14.524970,21.517460,25.749586,4.123536,5.601777
14.035864,9.765796,4.374542,6.599792,2.098989,4.848032
70.974915,44.361233,79.269165,103.564064,15.656518,27.334698
61.905727,31.321726,44.454109,72.281845,14.778734,26.421711
85.582855,34.445847,56.162365,93.254318,18.192472,35.956234
74.520119,38.197601,117.130936,128.792923,21.801374,28.635334
9.318262,6.720039,2.848240,2.881491,0.715413,1.053663
5.776912,3.979584,2.045752,5.296257,0.749453,0.289215
17.946329,12.317657,12.393544,19.534170,4.209304,2.072348
6.722995,4.934422,3.092649,3.050260,0.933380,-0.566276
11.266626,7.453871,4.412466,3.607567,0.755961,3.345451
42.056271,26.296238,77.991570,102.822838,20.790949,62.764168
7.318317,4.886763,2.724620,4.957906,1.334533,0.007319
55.819199,34.448563,41.139404,79.756981,17.182587,79.017319
7.596250,5.240653,4.353056,18.237434,4.846587,5.724734
22.088102,14.966769,8.358116,11.933572,0.803615,1.221444
10.632417,7.440678,3.958580,6.163896,1.584267,0.792593
5.203018,3.516338,2.101565,1.766417,-0.063947,1.306191
5.795853,3.959915,2.187855,1.849406,0.633477,-0.358248
5.060332,3.977612,1.861946,2.534101,0.795017,1.354936
5.122846,3.396327,2.479625,1.245924,0.102287,0.367482
7.473706,5.151489,3.066102,8.211468,1.369681,0.422222
13.127466,9.436349,4.435945,2.500744,0.468491,0.283146
17.199394,11.555281,12.880463,18.659739,2.988164,3.817398
12.258326,8.324412,4.394425,7.340179,1.455249,0.633573
73.396408,36.380680,146.283722,189.624893,30.942780,43.990452
58.693111,35.815144,47.317009,72.990738,10.039958,14.270755
48.609344,28.602808,82.394417,92.213875,15.261799,19.321404
11.056583,7.519342,3.984130,13.154814,1.936451,2.037965
52.112095,31.424097,43.735859,51.863701,7.453352,10.609994
9.138474,6.515347,7.462481,13.790020,2.744982,5.978112
33.401382,21.147253,22.799086,22.963743,5.873633,6.701350
9.977510,6.312513,4.404876,8.323439,2.430049,2.708278
42.181557,18.612892,24.584095,30.320337,4.515996,6.404970
42.063976,18.572210,25.407284,39.302608,5.684218,5.197098
13.848397,9.464748,4.716001,4.214897,0.817941,0.505960
27.082426,17.884850,13.608343,17.946795,2.506948,4.248269
10.724959,7.485682,5.073504,3.748646,1.196957,2.050145
11.771292,8.374441,8.677615,19.666422,2.290964,4.503566
6.316621,4.430836,2.662726,-1.847100,0.932070,0.625090
6.472747,4.520684,5.383763,6.594335,1.111537,7.327171
32.620678,21.803692,14.421427,16.022226,3.212381,2.244289
12.858150,8.738415,4.085917,2.890771,0.939681,0.042823
11.224567,8.307639,7.890550,8.618697,1.608011,2.678782
6.930395,4.876700,2.231022,3.324091,0.835532,-0.380426
11.046677,7.243922,7.731456,9.377822,0.746718,0.698576
34.509029,22.793985,32.220341,39.669373,6.013252,4.710891
20.437094,14.161397,5.626282,6.226387,1.205261,1.806383
13.040267,9.271607,12.820284,10.265499,2.157228,2.169500
32.693794,20.183405,43.948109,63.957706,10.078536,14.880497
34.772556,12.061399,29.616215,40.379154,9.963655,26.445377
55.024963,26.694489,95.279709,221.148239,50.461922,135.981171
35.731171,22.062248,34.813908,65.600914,10.168052,10.662718
20.216015,13.689583,22.891504,37.399216,8.444357,10.543247
26.243050,17.941677,15.526660,23.711531,3.902704,3.862657
22.091196,15.239730,6.958128,10.037303,3.044401,1.474860
5.693175,4.004755,2.371053,1.139964,0.470845,1.185705
14.274866,9.776902,5.133397,9.790869,2.056455,6.675806
33.034603,20.546810,25.094078,37.745827,6.177475,4.674325
4.494264,2.996014,1.708872,-1.390156,0.468553,0.893440
16.838684,11.561496,8.523564,7.900777,1.812328,2.288085
7.711000,5.184569,5.833619,4.796720,0.659853,-0.529561
9.683778,6.924595,3.264707,3.123675,0.233003,0.951942
14.953666,10.125179,6.045658,12.844462,2.596396,3.915132
20.967554,12.549903,29.926659,44.672516,6.868438,11.216717
79.358543,30.299530,65.054504,91.863113,15.221193,17.518278
73.439590,30.314018,63.671692,97.281097,14.999019,14.901224
12.449164,8.729301,3.880151,11.682982,1.270067,0.942196
18.088087,12.117188,6.280793,8.154132,1.626677,1.728624
33.852394,22.514416,9.377417,15.699287,2.554712,2.501258
9.190644,6.117480,11.808395,14.369380,3.123196,2.115906
8.641780,6.025395,3.958344,7.880502,0.652852,3.473255
61.792049,29.621601,63.360935,66.540512,12.422935,12.689263
59.547070,25.222639,33.205887,43.645283,8.903960,9.190937
62.355278,33.301487,53.964405,91.060860,15.173841,14.586583
72.989525,26.023712,183.811157,246.337769,47.048885,172.401016
64.677094,18.131357,98.480423,223.018524,51.124554,268.059998
88.797676,41.966980,79.115265,142.855972,24.564402,39.385082
20.999180,13.757949,11.872244,13.097241,1.582389,1.377618
5.363410,3.902340,4.696164,4.360180,0.841956,0.867882
14.878103,10.300354,4.889375,4.742842,0.554736,-0.261834
