"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
20.489141,14.262815,12.036035,95.918320,55.033375,1385.359131
7.889970,5.646907,2.812033,2.516871,0.140385,0.580850
44.533619,28.835070,30.744377,24.906410,29.599068,2480.865479
4.581706,3.186282,2.385852,1.234114,-0.269448,0.444423
29.631662,19.647205,8.411096,8.428498,7.640727,678.419739
6.303665,4.530130,3.461309,3.960541,0.397181,1.051452
33.534245,22.342617,12.386205,12.376770,17.155941,1213.657593
6.214557,4.363600,2.154596,2.253480,0.077404,-0.039146
7.525223,5.328778,2.742313,2.363840,0.238667,0.508272
51.169601,33.108345,14.512648,12.011623,18.258841,1646.631470
34.212914,21.608582,11.728988,7.959891,9.070335,722.996826
14.646062,9.953611,5.143174,5.710201,0.519006,3.020216
18.674147,12.943612,6.495299,3.490796,9.214188,740.180359
15.221819,10.668871,4.685955,6.654975,0.578397,1.712081
14.724352,10.559759,4.576333,6.920815,0.621472,1.432986
29.395638,20.246384,8.890340,14.785715,12.625092,707.495911
12.520454,8.888035,5.031320,3.182524,0.438976,1.665675
24.863249,17.067221,4.901302,8.277893,1.159834,3.092086
25.434072,16.731276,34.164429,41.769108,42.820095,3032.818848
20.149950,13.563364,10.670680,12.899813,2.104381,13.500917
39.982376,24.497873,24.308880,61.165382,68.132439,3870.242920
51.207047,32.556885,12.545856,14.549679,21.343748,1855.314087
17.570963,12.272902,5.128914,5.237588,1.142949,2.474093
21.770872,14.067276,25.998642,21.682405,23.466997,1940.505859
51.355396,28.493160,36.974697,38.872494,49.200512,3628.117676
18.351597,12.241860,7.241407,5.304111,6.070367,490.943054
25.320593,16.957064,7.580886,7.022149,9.391391,741.613770
8.764139,5.946337,3.144064,2.675071,0.397598,0.773848
6.112113,4.219231,2.526354,2.120743,0.164081,-0.021001
19.310774,12.254171,12.872108,16.433790,13.415936,983.032898
33.137058,21.525162,17.978605,8.018323,13.133351,1205.321411
63.796379,41.405140,34.164127,84.095551,49.341778,2536.547363
26.506084,17.893421,10.146188,11.302553,1.768987,2.606796
19.789200,13.772987,8.149374,6.654463,1.347862,1.244430
17.629339,12.302653,5.648046,4.840472,10.110571,639.325256
72.025139,41.351879,33.156883,70.028244,58.765518,3445.478760
15.578871,10.735042,5.379569,6.117225,9.204410,685.296570
21.874239,15.043340,10.577718,14.572269,1.567788,3.149477
8.707158,6.225684,3.678176,3.678578,0.576726,0.477787
18.685772,12.563954,7.496817,8.453427,1.530221,4.347604
11.867373,8.286427,3.046468,6.232232,0.901879,0.526235
34.750328,20.089289,21.805662,45.344681,76.557350,4040.357666
23.010059,14.635449,8.168937,5.522241,9.068166,722.282837
11.610603,7.804701,4.326395,6.255751,0.681710,1.479844
20.945063,14.303284,5.020777,9.084514,1.114996,0.480060
15.748237,11.174610,4.811135,5.761919,1.270287,2.336684
30.499878,20.294428,8.742267,6.649678,15.030609,1309.418823
12.132623,8.487921,3.810493,3.997014,0.680983,0.853033
5.151416,3.467896,2.105844,2.867660,0.174065,0.850332
13.931989,9.239058,5.086540,5.597452,1.089710,1.251698
5.317735,3.763584,1.989936,2.860551,0.156569,1.029736
24.479763,15.993040,17.007130,10.783420,2.057872,5.812171
