"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
7.613801,5.290646,2.542170,6.019707,0.693866,1.242255
4.158195,2.961360,2.261560,1.215755,0.018852,2.872103
6.693987,4.970323,2.137675,6.147448,0.409721,2.248084
15.265879,10.800418,3.972929,1.001771,4.227270,353.958649
10.097034,6.692493,2.970710,2.155255,0.824160,0.208915
8.837984,6.071268,2.867943,4.686164,0.808248,1.837841
17.906542,8.029873,5.137124,4.108958,0.498784,0.916401
14.164239,6.042067,4.803299,4.609075,0.256129,0.636434
12.129176,8.319501,4.079175,3.010824,0.538925,0.032864
10.777779,7.229438,3.338769,5.352334,0.926102,0.904312
14.403049,8.180847,3.743561,6.140472,0.223454,2.163673
19.006948,12.730711,4.892959,7.829877,0.594071,-0.118193
18.588358,12.485848,4.765243,6.504097,0.764076,1.449720
17.241411,11.843798,4.478634,3.341416,0.900102,3.964014
11.357175,7.843695,4.354713,4.025472,0.306916,1.879798
6.997837,4.926558,2.856589,5.985302,0.160819,1.043007
19.304852,12.733250,8.755946,7.561284,0.699914,1.990954
8.341922,5.867269,3.614483,4.810631,0.519999,1.590798
16.219019,10.963453,7.041142,12.604779,1.087838,2.181144
5.151358,3.767222,1.269751,1.815295,0.131258,0.371788
8.090709,5.576977,3.169303,3.190608,0.878267,2.364908
29.302528,18.091551,16.156097,17.648769,16.103535,1242.430786
8.191482,6.016798,3.377411,3.024974,0.671115,0.036286
7.587267,5.522355,2.893091,3.295190,0.318551,0.804808
6.667029,4.384274,2.051860,4.728895,0.630243,0.689052
10.848727,7.221719,4.038657,2.762643,0.308277,1.415632
6.440098,4.292268,1.904584,5.635244,0.533786,1.953732
22.461613,15.010057,6.697114,6.581996,0.372577,1.656749
6.505308,4.890618,1.882944,3.175220,0.507232,1.383777
12.626464,8.378439,7.410275,6.779073,1.884606,0.907540
16.830200,11.515396,4.145300,5.405366,0.951465,2.156366
4.481168,3.014027,1.586156,0.795462,-0.143562,0.420032
10.856935,7.334339,5.084699,3.560192,0.560807,3.772083
5.927300,4.159951,2.244304,3.848482,0.618665,0.361529
4.653913,3.483073,2.616872,3.092543,0.044787,1.488339
11.694771,7.752028,2.787951,0.636530,0.640618,-0.762185
37.011555,24.010189,8.846831,10.635390,13.822660,1162.130981
10.378655,7.139287,3.443021,15.029805,5.678461,47.326691
44.194771,27.984718,25.890102,29.114702,5.016252,25.188288
14.718079,9.573232,4.365556,3.452705,-0.121197,1.041194
6.555669,4.898975,1.916927,2.950843,0.315661,0.540532
6.654777,4.738947,1.681242,3.791149,1.460736,0.192256
41.797619,26.110058,10.356529,13.972352,19.291227,1720.847290
19.095600,12.870618,4.569461,2.952915,10.568770,5.461834
15.733445,10.488586,7.494329,8.898639,0.836185,4.286900
6.640417,4.369190,2.552052,1.182988,0.469600,1.861276
