"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
21.883196,14.659543,10.127254,11.006131,23.649288,1916.100464
6.524513,4.822933,2.769139,2.366743,0.219024,0.555828
5.374998,3.917466,2.219889,1.436260,0.577722,0.782540
5.382393,3.979739,2.246446,1.873949,0.577708,0.340762
11.451769,8.325184,3.210202,4.886171,0.899225,-0.105640
14.335562,9.977518,4.472892,3.063342,0.365011,0.858429
7.919395,5.588467,3.138980,4.709474,0.484486,1.695641
14.385858,9.795729,7.734387,9.141538,1.071114,7.220658
5.144608,3.619794,2.127499,2.710566,0.417392,0.819253
16.060886,10.708443,4.268138,7.275414,0.997592,2.191131
7.046733,5.190124,1.770438,4.739269,0.302093,0.901876
11.436164,7.908934,2.941283,5.048919,1.151692,1.075689
9.108791,6.504404,2.749226,1.885847,0.313690,2.479175
18.428143,12.362597,6.265882,4.092061,1.214658,2.798728
10.342018,6.897650,3.682708,3.035336,1.036114,1.815457
19.294107,13.166305,6.616960,7.890510,1.386871,6.168836
14.793836,10.322361,3.951823,4.762452,1.089534,0.575453
8.084557,5.409505,2.763752,3.305767,0.966811,0.257510
50.927391,31.806957,22.239904,27.449667,43.906742,3406.657715
11.063577,7.520884,3.114192,5.093110,0.606667,1.176050
5.467027,3.990062,1.503587,2.915371,0.159793,-0.047878
5.160373,3.778806,1.565000,1.767277,0.511576,0.589624
8.584676,6.291456,2.498085,5.823805,0.635370,1.376722
33.967060,21.055803,13.673775,14.301068,19.678030,1695.141724
5.029909,3.285642,2.030413,1.701296,-0.434957,0.438837
34.576241,22.236368,15.491346,16.292116,4.333161,11.863888
8.484710,5.787630,3.348681,2.786370,-0.013112,2.951017
7.577406,5.427538,1.957331,4.333638,0.125936,2.346627
25.042652,16.792475,8.159761,11.160646,1.082726,2.173741
7.929574,5.387716,2.284446,3.690707,0.436935,0.589409
3.969158,3.000992,1.814728,2.288404,0.829932,0.229712
8.234391,5.974233,2.751443,2.153771,0.249633,1.395870
5.202079,3.672230,1.660331,2.516438,-0.132646,1.141252
7.757442,5.319619,2.501668,2.093404,0.161129,0.690383
14.376546,9.678142,5.269149,7.181768,1.009901,5.727693
12.445415,8.423415,4.968395,5.311973,0.404701,2.833759
