"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
92.929909,50.090450,24.425243,19.270370,21.300844,1782.042603
20.565140,13.520442,12.820625,19.313437,25.372763,1948.263794
33.760082,21.724474,10.480552,12.056092,7.690972,788.008362
24.359400,16.018923,6.782483,6.738840,5.153065,469.522156
31.872871,20.974720,19.777996,34.272114,28.158342,2038.065674
64.285591,37.016094,28.632919,32.127583,23.588520,1690.988037
21.009205,14.072353,8.447109,5.363607,21.477509,1658.625366
13.413595,9.307447,6.090118,7.136244,0.424130,2.087680
62.350864,36.121014,19.142107,17.877159,18.579414,1921.203735
41.639992,26.486031,17.229267,17.487753,15.749542,1244.657837
8.755343,5.708923,11.142771,11.033958,8.501989,599.190552
22.903152,15.355223,8.517499,14.918107,20.632704,1492.398804
26.552338,14.622079,31.409546,34.002705,69.015533,3896.172119
13.559678,9.341356,6.022817,11.230331,9.128594,543.255554
9.684310,6.592474,3.646963,3.128273,1.593735,1.329325
68.150345,34.040329,119.056351,119.615005,89.201546,4562.316406
5.328566,3.700046,1.707038,1.616894,1.829455,82.560127
38.188976,20.546225,42.848167,50.832287,56.518078,3593.153076
39.331718,22.865309,39.526176,30.323563,60.646114,3604.402344
7.567718,5.445689,2.292058,2.194192,2.197318,153.424622
27.800488,18.028147,15.615703,13.227797,14.554295,1163.583252
17.520985,11.133542,5.575586,5.059389,4.936804,325.071777
40.390556,25.029249,43.061481,79.726540,71.510506,3953.223145
11.047381,7.505997,3.307732,4.646350,0.983408,3.285509
24.732540,16.225094,10.902315,11.977976,12.318850,1079.375854
24.917950,16.315958,8.206521,5.150408,9.330309,887.229736
14.975998,9.663363,5.779339,6.400187,3.958154,292.942841
37.789059,25.141893,8.591598,8.755291,7.900468,672.436218
13.525621,9.193597,5.986467,2.932154,5.525827,481.678284
18.388554,11.796408,28.914452,24.644413,15.975276,1047.180786
19.003496,12.766617,7.276560,11.389075,13.133351,1128.698608
28.794899,18.394888,8.170382,7.222408,4.360305,424.459106
15.918423,10.294543,17.245140,28.824739,17.739841,1387.245483
28.332251,18.594767,16.728168,21.031092,32.038498,2302.580811
32.806652,20.847574,13.183086,14.605999,19.089708,1544.162720
41.302334,25.253860,31.162312,31.577379,31.084612,2627.136963
8.640771,5.836970,2.298352,4.401466,10.223142,218.420746
15.529506,10.877690,6.238277,4.670911,6.589957,538.870178
14.508567,9.628394,8.675323,11.599665,8.944625,657.795654
17.395378,11.205922,16.125652,19.509348,15.431441,1007.290833
43.612484,27.771900,28.618423,40.490215,45.121986,3264.185547
73.215492,44.701714,45.547474,58.716877,83.213066,4402.436035
13.448280,8.577710,14.681671,17.747023,18.186708,1359.000977
6.230984,4.340956,2.760765,5.955492,0.342133,1.086649
29.162834,18.743591,17.774584,17.927820,13.257564,915.533569
58.163223,37.389206,20.538923,17.718613,30.513250,2452.994385
5.321118,4.120111,4.174058,7.789942,8.428514,676.414551
15.764311,10.349493,6.262599,13.061939,14.135391,1215.342163
22.416237,14.637330,7.102991,9.351797,6.322201,364.973663
28.923431,18.180708,15.559817,13.436325,11.634478,822.192261
19.079552,13.010409,10.890435,12.769057,20.166605,1589.178955
7.622433,5.494993,2.980802,4.081237,3.115923,206.227097
25.277378,16.206417,29.336071,47.467331,41.874649,2873.395020
10.723506,7.615705,3.510431,4.417858,4.288738,226.323868
7.888401,5.468998,2.599066,0.572633,0.970147,0.643556
16.075989,10.714003,5.307083,6.626320,4.073080,311.513245
19.907932,12.631018,6.459671,11.527254,16.468956,1392.037720
56.663803,35.060375,99.981110,121.262016,90.530930,4497.775879
10.064464,6.944770,4.155618,7.791984,4.021522,411.017395
33.290356,21.590464,23.614822,15.467892,36.871799,3037.438232
20.429596,13.820718,6.332798,3.990801,6.986163,616.070740
11.165972,7.577315,4.532640,5.594861,6.817271,553.168579
71.496216,42.315998,36.780914,39.439205,44.152493,3017.595703
50.370449,31.479593,10.861069,9.715842,27.720272,2678.201660
9.463926,6.599133,2.393626,3.980970,3.690573,351.774689
87.054161,47.900902,94.230270,106.463837,93.528740,4623.403809
13.094559,8.908426,3.855774,1.741935,2.646335,225.868851
11.976989,8.271596,6.147051,6.692423,3.456072,302.995026
17.249985,8.353088,5.147961,6.522384,10.765587,958.378357
17.140631,8.362697,6.545277,14.628645,14.351493,885.234741
14.638034,10.545293,6.850500,6.184594,4.884243,467.203247
49.110855,32.336586,15.010712,14.650806,13.156593,914.414795
25.299738,17.377487,18.887403,7.904426,7.771927,710.403809
66.394371,38.887486,43.390003,68.292313,80.070938,4310.120117
15.448535,10.587256,4.392429,4.942508,4.089513,311.452942
20.470894,13.924774,7.483548,4.236441,3.712496,285.943329
54.650944,34.062019,12.133842,14.397863,20.265123,1738.011353
6.973426,5.015115,2.647177,3.376754,0.320282,1.777278
33.917507,21.406685,14.754511,25.785330,14.457408,1122.353394
18.271645,12.771777,6.168939,7.421926,4.032793,344.053528
8.610662,6.321071,2.824964,3.224345,1.869681,169.928558
39.647335,26.759346,13.727730,14.957627,19.800903,1763.813354
22.039011,14.472095,7.320431,7.291234,4.820277,435.563599
55.092728,33.085907,20.447929,17.214994,20.947071,1745.945435
31.183462,20.987007,8.653224,8.389791,7.574873,744.935181
33.439949,21.572968,19.088955,20.441404,13.807093,1353.029175
17.149216,11.997223,4.915696,5.522141,6.557749,494.159088
55.539906,32.659641,32.160461,22.266758,21.561806,1885.603027
15.309382,7.102919,7.236319,8.068540,12.276567,343.594696
9.195916,6.383518,3.398953,4.431225,2.664672,193.462082
19.432289,12.684004,9.816423,12.771757,17.123089,1389.071289
37.128151,22.256792,26.877161,22.893877,21.575645,1849.866211
21.511768,14.258597,5.840047,6.520231,5.086078,476.271576
51.345364,31.644623,45.761658,34.031116,44.995125,3431.480713
28.208220,18.900028,11.658048,12.233393,20.010801,1489.413452
6.886606,4.965923,2.265992,0.615429,0.325673,0.641334
29.333918,18.379471,22.598234,27.707321,29.175840,2707.109131
8.545466,6.037549,9.868821,7.574142,11.564979,801.670593
27.710094,18.090540,8.484781,9.645994,6.804469,494.241516
16.599398,11.483888,5.568250,8.862026,7.421305,623.753784
9.027518,6.186226,5.186589,8.470155,6.134069,349.801086
11.862668,8.183088,4.015709,1.123255,3.313443,218.566055
18.331398,12.032298,6.989511,17.195068,10.316428,792.949524
13.991838,9.845645,3.310972,6.163803,19.150513,1854.344727
31.820040,19.976521,24.039881,29.971663,42.871716,3283.791992
33.038837,20.576685,31.136116,25.874777,22.078365,1816.957642
19.342268,12.737849,5.056479,10.570452,5.979208,543.567200
15.452049,10.641626,5.488736,7.386228,9.587328,907.522888
