"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
44.860065,27.751583,11.192454,20.510719,38.951714,2878.712646
18.788614,11.429988,4.341918,7.385337,14.542036,864.644104
18.872301,11.485826,26.201193,49.602612,86.129745,3977.964844
20.212984,12.509402,25.148252,20.636486,37.284222,2620.411621
46.635548,29.000843,14.359058,12.975259,13.420689,707.423218
43.989590,25.816141,20.218554,27.008900,35.723938,2486.049072
23.704376,15.079433,9.355031,12.573368,5.167078,86.375481
43.031879,26.824537,12.338340,17.806118,24.548412,1540.815918
23.742718,15.079144,4.629647,12.193707,29.127756,1981.355347
40.288830,25.051704,15.098866,19.371513,31.177074,1899.863281
22.835289,14.085999,6.317199,11.091151,8.258924,346.652313
34.566738,22.236937,8.631884,11.647442,30.248102,2129.374268
45.407814,27.790415,10.184181,28.851856,44.773289,2889.143311
15.854506,10.409472,3.449178,4.513851,3.781147,217.743973
37.054237,20.432194,34.108829,63.358551,37.503139,1341.351318
43.411243,27.036545,16.532618,33.959316,29.854170,1471.805664
18.232502,11.482029,4.809702,6.957193,5.139440,324.292664
56.204441,34.218098,13.751758,14.182963,15.372036,906.414062
28.987123,17.982496,10.208147,25.816122,16.161493,451.852905
41.511143,24.427622,11.235451,16.399246,20.741812,1150.484253
55.327690,32.569775,12.913383,30.817898,22.661255,981.080200
15.540713,9.851804,3.416590,4.394532,1.062048,11.266648
34.371101,21.336622,10.090317,15.414182,33.141853,2082.681396
41.544994,25.419817,9.520209,11.058998,41.082123,2981.034912
35.491776,22.237057,5.805082,11.077203,15.986284,1071.855103
42.876225,26.356241,11.394973,15.198320,21.980455,1331.775635
8.370327,5.696077,2.705271,5.091920,4.508627,333.037964
56.808960,34.129322,11.422600,14.710404,17.008287,943.107910
15.702490,10.063348,3.355637,4.862382,7.348821,422.241547
29.776903,18.571310,13.590581,24.676582,78.042847,3764.467285
47.853264,28.040665,19.000912,35.470463,22.244745,858.838318
51.939770,32.082020,7.955911,24.955490,21.514318,1116.867798
32.350388,20.258533,7.651188,9.125685,34.547127,2389.642090
16.450621,10.995888,4.088745,16.981186,6.177008,18.284060
53.653126,31.742350,7.664062,24.653912,12.087269,206.725250
64.397163,39.093578,12.982418,23.827869,34.641235,1839.539185
37.576328,23.338802,8.096188,9.770361,12.657375,796.263306
22.585564,14.661870,6.102447,9.467887,8.938402,482.711182
108.499977,50.170994,110.755821,177.420609,221.015991,5605.561035
38.316910,23.092518,12.486814,27.008644,46.561741,3004.155273
9.136456,5.692432,1.738202,38.685093,16.722605,21.969645
21.070726,13.329645,12.876569,17.828199,27.929890,1824.519287
7.368060,4.656201,1.949311,38.450508,14.015270,23.043215
43.094776,24.955580,9.330690,10.688127,25.560213,1806.046997
52.021744,30.996399,14.078554,11.100530,30.683239,2177.927979
49.341362,25.700977,33.013916,77.151779,46.888023,1315.928711
69.955177,39.978264,28.187532,48.664322,83.117638,4199.414062
25.265326,15.781622,16.961069,28.861217,30.109821,1442.916138
165.689240,71.338989,95.271545,208.050964,555.422180,7348.884277
16.391243,10.551313,4.200065,4.996937,2.669637,176.276962
8.956573,5.594639,5.167665,7.832676,12.921099,1052.314453
39.571293,24.934690,9.497110,13.192632,24.716612,1577.393555
22.825274,14.436398,5.201063,5.302559,22.397211,1517.995605
29.082125,17.411846,27.373775,57.935234,36.026703,933.513184
37.399452,22.925053,8.479115,9.919943,15.532650,940.096558
12.101148,7.570693,7.441058,13.778890,19.765123,1249.307617
19.825720,12.432653,5.812687,7.841948,5.445205,209.801254
42.680370,26.149242,8.541890,9.298027,15.537977,953.883667
34.220921,21.104927,7.061684,7.073510,19.910162,1255.942871
6.188516,4.103892,2.046305,1.273562,2.402919,104.119865
9.277164,6.099771,8.992223,11.890440,11.239815,708.921936
34.643269,22.195234,8.285862,7.628749,5.315981,253.186020
28.030329,17.474691,7.176925,4.827345,3.210196,71.141151
37.916897,25.101419,12.748404,9.876695,5.780006,153.494797
53.855610,32.279675,17.077662,31.862051,17.752645,573.293457
36.882515,22.540792,7.176961,19.020903,25.913548,1428.518311
29.908995,18.643534,10.254125,8.901654,6.628325,338.197449
81.215004,38.087273,18.386129,27.771235,63.811459,4304.494629
95.088242,51.474426,25.765663,25.059729,28.262751,1720.668579
16.954758,10.956691,3.349676,7.933611,8.067526,550.701111
20.686085,12.528935,13.191658,16.264677,8.380102,326.561096
24.403931,15.979163,8.104782,7.476790,4.824440,243.167099
54.589172,32.788860,18.808765,34.316387,27.803411,1290.487549
4.991658,3.395541,1.797150,3.089902,1.067391,1.242032
27.394505,17.423193,6.833811,9.049606,18.051500,1190.450439
22.715677,14.352020,10.228762,10.288065,11.268984,659.260254
10.570242,6.901376,1.635544,14.569439,6.674883,10.571117
20.460005,13.117532,2.690071,19.583525,9.084949,31.234711
25.199306,15.959296,7.198022,9.213962,13.613827,858.387512
62.538223,37.979298,14.068579,16.243786,11.932432,609.806702
28.191759,18.436550,7.521854,10.798705,6.352100,337.157837
19.308443,12.324533,4.734294,3.962473,3.973029,199.262955
17.320675,10.962574,4.003297,2.937496,1.081353,25.754620
48.040245,28.035252,10.632360,17.937044,35.781235,2123.644775
50.839626,29.608223,11.441332,19.792439,52.313282,3248.302246
15.324394,9.610077,2.267370,16.230644,10.239744,125.886337
30.396303,19.229889,17.898272,25.635838,33.656013,2439.568604
18.872711,12.060276,4.543894,5.362960,6.241509,344.501404
