"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
11.620813,8.327146,7.203315,8.625516,8.003714,685.930054
33.529839,22.080622,13.707102,23.903091,18.988710,1593.058838
42.900070,27.232897,30.197481,37.753155,24.362429,1600.631104
38.021130,25.174196,11.808227,15.271166,15.308211,1066.438232
20.920612,14.077747,6.609549,7.810110,5.306580,307.862335
16.051321,10.923563,5.012641,6.759373,3.853720,358.233093
65.218590,37.174160,26.641300,29.495039,25.305796,1939.627319
49.026314,27.267042,33.527958,52.157040,29.445475,1941.999512
5.584271,4.153852,1.984519,3.239592,3.977591,254.940979
55.991596,34.313789,16.171215,19.764708,38.980202,3462.429688
23.164143,15.215149,6.445881,6.605157,5.706733,542.466797
12.336937,8.702391,4.185209,5.756669,4.122100,278.467407
25.773098,16.727793,7.195900,7.647937,9.146273,749.874390
51.134796,30.612108,20.928471,29.374481,16.020226,1119.507446
6.738925,4.883490,4.526289,6.609833,8.599751,615.971313
54.703079,31.476852,14.795410,14.760694,24.231483,2256.493896
17.117258,11.726170,4.874043,6.914299,5.382506,417.240326
58.720886,31.929281,39.459541,36.791660,32.769115,2067.721924
10.124500,7.072462,3.581028,5.051867,3.439857,278.539825
21.154383,14.250010,5.537701,7.016190,5.857603,531.495605
41.208427,27.351267,22.157034,29.145035,43.936661,3314.247559
13.785635,9.104123,5.368265,10.703520,5.308551,427.448944
18.389523,13.112135,12.277909,10.956784,11.680567,838.423889
23.554546,15.761003,15.382385,26.969086,20.914806,1611.784302
29.633175,18.773312,10.766485,19.151993,20.811855,1115.775024
10.587790,7.053872,2.172769,1.869019,3.689752,245.110565
11.615971,8.168001,6.086746,12.780664,26.377401,1911.636108
20.002359,13.240038,8.827515,7.364812,4.247332,274.390900
30.833338,20.546137,16.960175,17.862831,23.862999,1635.079224
45.290222,28.062277,34.991096,39.946835,49.110867,3170.450195
25.548401,16.596573,9.671473,9.419526,9.244299,630.781799
33.716984,22.133291,10.157802,14.882556,11.366320,928.452515
76.924370,44.184315,20.369251,44.967171,28.198822,1657.213135
83.969299,42.627357,77.894974,125.928299,138.815887,5081.477539
31.580601,19.062296,9.358375,9.744682,12.069396,997.339722
16.859921,9.354201,7.756502,8.675574,9.719841,426.050690
34.041149,22.743710,7.674397,12.161700,13.458062,1234.475220
30.878399,19.086920,25.161667,22.289610,21.584974,1705.539551
25.392912,17.242531,14.894948,14.612967,11.171536,833.014038
37.444733,24.465809,10.034709,13.900962,15.971191,1303.641724
13.575982,9.232471,8.308127,13.985316,12.511847,790.729614
23.176104,15.572687,14.356410,12.173346,10.404129,765.431396
7.782701,5.510694,2.792893,4.532105,2.047853,160.403992
50.222321,31.547375,16.558325,15.209867,15.880473,1217.970703
30.674845,19.735413,9.731965,9.445537,9.189785,714.335815
7.069356,5.101612,5.497438,4.553740,8.723115,550.918396
10.003709,6.775140,10.758283,11.360865,12.932380,718.843872
11.625043,8.182745,3.939176,3.671734,3.018704,186.201447
29.772554,19.611694,8.818750,8.626175,6.593863,526.451599
4.459571,3.227094,1.776555,5.175661,3.831349,8.600865
48.776474,31.137852,15.994817,11.299939,19.169321,1610.976196
34.724274,20.112913,41.656864,40.058552,26.239347,2108.481689
13.742474,8.989010,16.153322,29.884378,34.868633,2215.272949
9.869201,6.837506,3.817837,4.818201,4.192226,208.126114
15.369824,10.489140,6.795526,22.763113,7.350625,36.592274
9.713384,6.777236,3.048001,2.998205,3.772822,289.758850
49.125877,28.439123,20.814854,20.045282,31.932232,2753.620850
59.137356,37.379711,34.882362,20.714972,38.539867,3421.816895
27.400776,18.297310,10.096433,26.154177,35.595055,2286.456055
21.044128,13.350718,27.618259,21.355089,15.178173,1182.159668
33.240593,21.358561,21.931904,21.084047,19.922270,1319.167236
37.960407,24.453535,14.398253,23.996374,34.315880,2782.604004
13.525019,9.082356,15.255289,14.925301,12.771976,810.693909
15.097305,10.239359,10.825324,12.932890,18.465897,1735.724731
19.300943,13.313001,4.824285,3.476966,5.220459,424.254761
42.151325,25.989279,24.205868,30.273418,17.263264,1156.795776
57.997395,32.773170,26.782600,41.769157,83.265549,4138.828125
54.041676,32.929802,26.199982,43.427536,48.530487,3535.534668
58.885731,37.619446,12.547171,24.083891,15.155069,1130.290283
15.103168,10.559962,6.051996,6.460918,6.773558,439.616455
67.976685,38.011112,34.853111,39.960018,49.165119,3881.706299
133.769257,62.793129,106.896744,152.987442,165.694702,5753.691406
166.771210,76.062790,241.707275,314.574860,270.994324,6367.002930
34.130962,22.407991,10.025642,9.213017,7.841063,635.672424
14.604954,10.007422,9.339534,4.442079,7.102815,501.987946
26.211536,16.640839,10.671999,5.666240,7.576528,741.019714
8.747248,6.352059,2.754361,2.702107,5.927813,450.541718
22.787003,15.787820,6.471889,5.042470,6.275395,429.144196
67.803741,40.541206,38.789433,71.117111,38.599567,2017.714966
16.395033,11.596850,5.632765,6.206597,3.235679,265.482513
56.780586,32.840847,16.379459,23.488171,14.323230,900.666626
22.761406,15.284739,8.330239,10.103459,18.807194,1695.515381
24.755630,17.066090,5.411650,6.890891,7.529746,604.033203
16.899223,11.525241,8.287489,12.868406,8.657948,702.453125
40.101833,25.183174,21.835972,20.907681,27.713593,2215.658691
37.854450,24.884125,9.637984,11.204902,19.583481,1797.049683
25.803074,16.834259,32.282047,27.065636,24.219339,2118.921875
5.214557,3.957860,4.293680,9.416441,5.705335,416.763458
26.093641,17.280533,29.469692,31.846094,23.714958,1935.904663
41.159073,28.173069,10.798162,14.296838,18.799953,1371.780884
12.769425,8.808271,8.207899,8.825513,12.075897,837.097412
22.751522,15.298784,6.809933,8.953338,6.948800,732.335388
46.297333,29.975149,11.637882,12.250151,19.058788,1767.208496
8.594375,6.162448,5.763031,6.814891,3.606021,287.145508
40.182789,24.728886,22.717543,26.838789,49.421764,3563.594238
35.961567,22.391460,30.418734,32.957481,54.450714,3406.715576
18.124294,12.581131,4.672130,5.885014,7.628769,547.026001
40.365643,27.125195,26.561724,25.897017,28.343670,2017.478760
30.516077,19.784266,7.684093,22.607122,38.628220,2522.178955
52.004795,29.199341,41.341820,49.318188,57.160439,3852.011230
47.324684,30.478218,19.563219,24.466030,21.182703,1503.427246
27.654797,18.467512,6.617943,9.283834,11.920833,870.164734
27.267641,18.105297,7.518537,6.242808,8.965268,537.387268
85.639069,51.288517,47.034225,54.827011,55.310127,3771.054443
14.022616,9.463215,7.890303,11.945472,5.003491,232.486679
5.547376,4.204005,2.983375,2.243774,1.864582,164.746262
17.937490,12.325862,6.854452,8.400732,4.334939,311.907562
14.222423,10.153345,4.891795,1.338178,3.045997,227.714233
44.247189,28.243862,9.421305,22.944307,18.669367,1270.281494
21.030045,14.235023,4.955195,5.555941,3.725361,260.733734
43.988853,27.079725,18.123796,13.817441,25.156704,1918.760376
7.998636,5.566627,3.526732,2.235510,2.535725,119.166069
20.799290,13.552068,10.355076,26.312887,34.576881,2275.239014
46.065342,18.208035,29.565908,31.416822,51.443546,4110.359863
38.231285,18.052696,38.308121,51.039490,69.417969,4356.695801
17.448589,11.834437,4.387200,6.708331,5.640058,481.057831
16.325201,11.182058,4.202344,6.287077,0.564482,1.154262
8.783024,6.048267,2.634130,4.826487,3.587922,272.104584
51.911758,32.108574,21.175894,19.702017,12.746526,1055.484131
19.194870,12.648419,5.374373,3.625868,6.211385,448.363007
8.289942,5.900279,2.052027,3.916652,2.923527,217.772614
51.430515,32.416527,14.038685,13.655165,24.216707,2261.199951
18.747684,13.085929,7.027997,7.602764,25.860588,1956.864258
26.538549,18.260767,7.570604,10.968473,8.356823,497.199829
8.072044,5.765178,6.004977,8.564096,17.333687,1400.784546
20.058195,14.222432,5.690623,6.887668,13.383573,951.124939
8.257589,5.792604,9.689024,12.621094,11.679689,666.822266
23.821894,14.903863,10.633795,21.903746,17.152466,1171.108887
63.665218,38.199703,20.401161,24.150938,27.975548,2387.651123
41.634895,25.626373,44.157249,67.051659,54.983662,3104.018799
18.780905,12.754386,6.782697,6.736092,6.060954,449.600281
39.804260,19.396370,22.512608,26.618532,27.500002,2458.427002
29.567331,15.744412,23.226128,31.975769,31.015266,2094.911621
40.943096,24.059309,32.315613,36.274113,19.333385,1378.832397
28.098125,18.378534,25.119154,30.029053,20.720373,1544.264038
48.282635,28.697802,15.906932,14.530652,32.664875,2672.146240
32.655704,19.844906,36.525326,47.482754,52.585178,3632.857178
29.079657,19.353436,12.639686,15.581557,25.114714,1996.281616
63.375065,40.446384,35.096382,57.321781,56.720181,3173.221191
17.973383,12.218871,6.448432,4.181906,4.545331,283.174713
22.830778,14.981236,12.715677,21.882639,19.274353,1554.989746
62.394394,36.919613,15.882674,22.981737,24.754707,2065.292236
45.717373,27.778175,22.506002,34.835499,37.391071,2682.302734
5.559465,4.084931,1.950327,4.009112,0.483540,1.254314
9.885024,6.693414,3.212642,3.790115,4.961830,328.820740
55.021427,33.326469,13.545591,14.024278,29.422808,2792.631836
19.321289,13.444702,7.203013,25.794277,22.730509,1418.416382
4.845346,3.791881,2.778894,1.104616,1.139211,108.721024
54.729740,34.010548,35.585953,35.737728,42.399776,3354.172363
40.040165,24.580082,22.131088,26.703804,31.908258,2553.169434
75.796928,44.849873,47.883362,61.164463,64.467613,3948.268066
12.799791,8.499005,4.817227,8.643805,6.623431,360.850006
29.963182,18.836155,13.000667,25.272240,30.944523,2480.843262
43.221104,25.840607,21.772038,31.228088,54.508862,3439.974365
