"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
34.522617,23.143429,8.354302,9.233180,7.564050,569.047546
27.149363,18.006525,13.385396,18.970284,17.026310,1261.391846
33.352589,22.517931,8.507430,17.060389,7.136925,51.758450
52.447800,32.132206,23.704155,52.142105,17.738869,262.019012
39.114803,23.751820,62.843540,55.347351,54.155663,3536.198486
59.828190,29.279886,22.184526,12.353461,10.244922,748.725525
49.094032,27.179653,29.540218,61.819218,22.660669,611.401245
19.164961,13.412062,7.080254,5.885170,5.503491,381.609955
15.650056,10.745648,10.702718,8.547721,2.676474,34.494595
40.220917,25.860420,18.362383,12.919545,10.934694,839.420593
28.926233,19.273987,6.814054,4.464033,2.218023,69.996910
19.096312,12.654417,20.431299,20.694494,21.919523,1726.038818
11.700302,7.526742,4.625837,1.596312,0.942801,55.721317
37.190678,14.392015,13.690114,45.995895,13.739697,129.961472
36.889809,14.267645,13.794961,45.314491,13.511110,119.462891
45.605984,27.677414,12.082366,13.681195,6.737894,473.066132
33.313309,22.880344,12.133847,7.393282,2.730229,36.059486
56.150826,31.730917,45.518318,43.733334,21.852600,1105.677979
15.972378,10.643019,4.492525,3.364704,1.659757,57.110447
27.631372,18.827646,19.739180,24.645609,18.818731,1243.185303
29.412584,20.057566,7.805426,4.766961,4.195401,235.204102
48.837154,29.428831,48.659004,71.391335,28.092398,899.718689
25.338346,17.903395,9.822229,5.316227,2.780068,109.898460
40.301067,27.281389,9.666763,9.125196,5.930512,321.004730
47.623619,28.432125,44.641998,74.814064,22.448977,245.106049
28.842747,18.909952,13.686226,18.079365,8.858475,337.775818
31.054087,20.863314,8.971365,6.718317,3.350490,228.155075
19.123034,12.385546,11.372557,12.376257,6.706586,261.672852
28.245401,19.294916,8.774575,6.252862,6.591027,530.988464
18.267021,12.681417,5.065404,5.996258,2.506569,83.028038
38.298634,25.706070,7.905672,13.701775,3.818212,156.610397
51.921902,33.623158,18.464933,18.685822,5.582783,142.499146
22.974480,15.757190,7.036375,6.344726,1.661752,62.490353
24.078598,16.489054,4.210278,20.112446,6.595224,16.428896
34.794075,18.619791,11.974907,19.692509,14.378522,971.031433
41.949318,25.024979,11.924366,17.386625,15.682103,810.216248
25.608910,17.082699,4.972076,16.611948,7.088308,14.277625
38.213268,25.281988,9.026386,8.681498,2.168304,33.682835
30.107674,20.248512,7.924679,5.937661,1.949333,17.749758
63.921036,37.206898,51.262962,86.495430,43.173115,1597.350952
73.330856,40.863941,24.300430,18.557100,8.837263,492.852478
20.298634,13.787409,4.497946,4.513197,0.788730,6.293923
22.084267,14.833814,6.195814,5.693816,3.856549,381.193542
19.592455,13.496228,10.231464,15.713871,14.615102,1211.772583
29.455940,19.445496,7.916120,6.482279,13.961740,637.948792
23.000893,15.492847,7.263240,3.792372,1.499055,50.399380
16.655849,11.337519,9.943297,9.584340,2.083780,56.464462
36.764484,24.250250,8.643214,20.732811,12.451803,453.570282
27.717218,19.199707,8.718664,8.551110,11.044112,707.707214
20.355360,13.862471,5.837184,17.486231,5.053828,12.436300
38.657074,24.744419,13.342541,22.702585,10.376057,329.236511
25.727262,16.557615,16.599636,20.913546,5.657391,165.502853
20.977257,14.207516,18.641174,16.522907,4.231615,39.665649
21.900959,15.351912,5.733768,4.385687,4.456739,310.456818
21.710983,15.188847,6.888463,3.607381,1.552790,98.223763
12.640896,8.593031,4.899590,3.570125,0.902501,6.955347
14.556911,9.564001,5.537451,15.834523,4.955499,11.177163
25.083118,16.978710,8.945808,2.470737,1.536671,33.661442
20.963106,14.131660,6.057250,5.729498,6.663075,484.934418
9.230413,6.438487,4.627092,23.943026,6.535038,16.984344
77.453552,36.907269,27.897739,48.125122,40.243286,2690.533936
40.051487,24.407759,20.163918,28.689688,16.725777,898.926147
33.717354,22.006552,16.109592,25.630919,10.831024,299.551544
34.903599,23.834940,9.985316,5.186954,5.086554,316.209503
19.361710,13.206189,6.522171,2.819258,1.202723,73.278442
50.068836,31.802877,87.849792,93.270363,32.447731,1170.482544
32.228844,21.008646,13.088701,22.727810,14.170514,806.302917
8.356024,5.448720,3.355369,5.616500,2.383723,5.268000
39.994511,26.587341,7.753769,7.240858,3.452165,141.255386
47.305817,30.930445,14.791642,11.465215,5.372355,345.113861
31.105743,20.539801,8.598429,6.695747,5.320332,393.425629
22.677448,15.414589,6.095915,13.825097,6.536624,285.546326
32.874096,21.909348,10.444442,8.158216,1.866858,15.821736
47.567497,28.679354,19.054823,18.824841,22.264162,1978.475342
10.283386,7.031959,2.941183,15.033315,4.575644,20.724773
6.097838,4.296478,2.886744,4.483081,2.046780,12.211895
38.211830,24.586313,17.567080,70.892799,20.179335,72.063202
16.821167,11.378030,11.969466,10.157576,17.756680,1531.690796
14.618795,9.886298,8.356159,9.167493,8.802553,762.751831
22.135675,14.892749,12.653078,12.547755,15.535525,1336.734375
26.064932,17.383694,9.494976,18.090681,8.546843,230.394745
45.695385,27.857979,38.820702,44.622379,18.943026,793.859192
26.264069,17.890064,7.420517,3.848993,2.568344,118.469933
40.229969,24.449436,26.202871,39.916626,19.095480,730.630859
36.173462,23.001167,12.320658,31.084274,9.998383,238.536118
17.490540,12.326141,5.627398,4.281100,0.967498,42.832886
26.528698,18.222809,7.803889,5.736610,2.811675,140.698502
31.705156,21.490210,8.304265,7.446892,1.558918,38.331406
17.775785,12.046766,14.978680,29.751440,7.300866,82.284653
23.143606,15.721897,6.916259,4.831569,2.114200,55.472195
25.802042,17.383711,7.142699,8.103464,2.846545,138.061554
23.566507,16.244829,6.273758,4.835516,1.286797,47.268635
19.445709,13.922904,5.890090,7.778454,6.129831,497.997375
25.530344,17.606539,9.737871,10.603859,1.808049,27.293829
22.338898,15.634646,7.247118,3.654599,0.522642,40.297939
22.971844,15.647076,8.528511,19.596010,4.858136,219.414871
13.820600,8.766434,46.740391,91.047417,31.284794,398.262573
44.183205,28.162792,12.603311,11.985072,8.884105,586.564453
26.394680,18.029505,7.516092,12.012311,6.632894,229.156769
25.735813,17.343262,3.470020,18.348742,4.962050,14.469997
44.793941,28.982857,14.398069,9.370928,21.919050,1937.928833
16.359385,11.265364,8.029870,9.473281,2.355478,107.459946
42.194744,27.687817,11.125204,11.651023,10.252088,901.696472
17.001564,11.768252,9.391192,7.811646,2.607738,122.640121
10.769824,7.510090,3.039710,21.968363,7.119594,19.214285
46.639801,30.540674,12.348557,11.294402,7.944803,443.403351
6.077309,4.238703,2.518587,6.084457,2.819352,3.943172
20.724432,13.372950,28.923141,50.598328,23.913914,1049.426880
35.800652,23.101650,10.593740,7.019921,9.275588,620.537903
28.829599,19.392492,9.001526,8.172473,5.341033,96.074509
44.839584,27.934217,35.317131,54.012665,15.745053,340.430389
28.666380,18.994362,15.819428,31.442728,9.673996,96.028343
29.170765,18.343328,30.354389,82.568329,35.785061,1136.325317
20.321812,14.240749,6.882146,5.494567,1.893864,64.889809
21.752850,13.749718,11.041854,9.010551,3.897428,59.988983
38.663231,25.674158,11.278831,9.203330,3.438167,95.694832
33.775898,22.229422,9.156597,4.539148,1.894195,40.813313
33.139648,20.727222,47.036537,59.076633,25.549633,1075.455078
26.182528,17.246515,8.622258,22.465105,14.605264,701.272949
72.647903,36.696270,28.655075,27.353382,22.511093,1812.312622
39.094963,26.377573,14.888048,11.062073,2.315862,47.933941
38.755344,25.672142,15.575718,12.436261,6.387115,441.333954
44.262447,28.222647,19.074055,21.125088,3.634363,69.758362
14.406704,9.959987,4.886157,2.014358,3.359675,168.342499
6.005985,4.300334,2.187414,8.850057,3.164378,10.044041
23.046476,16.328144,8.886224,8.077976,2.002373,95.515411
42.837276,28.680788,8.487993,25.185453,11.733308,471.972839
18.996323,13.439019,6.108480,20.470371,9.953429,330.086823
17.371902,11.756223,16.562151,35.610775,9.974379,44.253525
10.686896,7.437896,4.044239,4.412167,4.011326,311.581940
13.869544,9.550040,14.260546,8.301722,9.492472,673.824890
24.176558,15.856331,8.243215,19.119236,8.862573,397.739960
35.558189,23.373806,7.712809,18.099571,5.986636,175.238358
