"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
36.109692,24.669308,11.628542,10.044592,8.950955,634.578857
107.336067,55.039608,54.538586,56.420292,76.112755,4645.186523
14.847416,9.135973,28.756958,66.592201,47.800407,2732.327637
7.087429,5.093631,3.311646,-0.571008,2.654491,13.044527
67.474861,39.773544,38.833645,183.124908,93.714622,3091.448486
15.701018,10.954081,7.479044,34.983604,16.807699,141.343323
34.563698,23.197109,10.849171,13.216778,22.832245,2320.579346
73.150597,44.982498,24.048393,34.470428,36.183403,2693.019287
46.855419,30.643108,12.911757,10.081181,11.576973,1073.268555
44.964272,27.737251,39.216000,37.958900,52.652653,3808.730713
47.903240,29.024353,58.780098,106.305038,78.780182,3691.195312
54.830563,35.130611,19.012224,26.049091,19.095669,957.289490
56.263561,34.336433,15.603119,16.348263,20.945688,1799.893677
34.177380,22.952196,19.566587,39.854908,31.980358,2518.333496
144.013931,64.575874,56.756847,72.677269,87.388824,4929.903320
26.539614,18.186447,14.681026,25.766571,12.589347,557.045349
7.834289,5.363255,3.758799,1.749151,-0.004262,1.794357
23.140341,15.877034,9.330104,6.601454,22.152859,1646.889038
43.735500,23.445143,47.901222,115.539581,90.657593,4008.324219
97.981056,46.430798,50.687180,136.591721,107.895210,4807.695312
23.178661,15.693553,7.415806,124.012192,75.753265,729.814453
60.815296,39.331787,20.556305,16.980337,25.372206,2387.692627
9.077956,6.505079,4.835806,10.334822,4.767488,30.448111
77.683167,43.028458,26.974480,34.722172,43.544949,3421.062744
100.029327,55.852173,39.866470,116.088783,79.884003,3430.973389
20.210337,13.645669,9.143040,39.236813,18.516768,95.843132
143.200363,65.785194,89.186661,147.192490,109.677490,5209.535645
80.940392,50.715626,36.755062,57.650841,44.245956,2960.675781
76.286644,44.014153,70.395332,66.282974,56.969994,3676.031494
29.019110,20.097189,14.977486,21.023445,18.170015,1335.968018
34.581154,21.647232,38.939457,63.104904,39.992126,1599.613525
66.377167,39.116322,53.112537,69.257812,71.725288,3969.817139
10.621017,7.242786,5.924706,5.790679,1.547368,26.545206
25.129501,17.404581,9.883005,26.206964,26.119129,1524.051758
37.060307,23.807779,24.239008,32.607166,42.588455,3336.247803
45.974201,27.771561,17.654287,24.903793,28.514549,2119.804932
30.892015,19.035824,40.481136,174.333084,139.248215,4493.087402
41.920021,26.945196,20.207415,94.355057,50.810066,1637.595581
32.062927,21.423439,9.708352,15.066927,17.369715,1259.730347
62.316086,39.144764,19.993259,20.914125,24.978924,1981.062500
58.450222,36.301563,19.367622,18.614290,23.778662,1962.249756
86.530502,43.801445,60.317295,156.911896,84.381927,3685.892334
22.809889,15.673047,10.864108,36.316536,32.774231,1453.099609
59.137119,37.040539,19.453667,44.134697,27.393930,1532.361938
27.057453,16.042786,30.499796,68.406876,79.396484,4185.172852
27.869356,18.788746,7.756521,8.510708,11.657776,970.289185
59.131603,31.524897,40.176395,131.821426,100.289520,3518.987061
5.605589,4.093390,3.910580,4.089951,0.266341,5.546349
8.175441,5.909302,7.496186,5.877386,2.776299,12.185063
53.365845,32.981735,40.230995,182.263412,123.126625,3992.392578
15.637310,10.675815,2.318790,11.718155,2.698036,30.429977
33.916435,21.547239,28.524160,193.311554,120.505997,3579.469727
