"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
6.498558,4.863400,2.484978,2.741893,0.961953,2.150177
6.574556,4.487239,4.248981,3.449816,1.119798,0.777447
11.877007,7.961046,4.403906,6.054511,1.571433,13.021619
6.265294,4.178103,2.664662,2.074121,0.352514,4.222667
9.103324,6.417835,3.270968,3.677991,1.174461,1.938972
10.396464,7.414041,2.724963,3.227769,0.282797,1.355284
13.241822,9.601528,5.344444,6.950684,1.077853,1.563385
10.503954,7.506910,3.831036,3.440214,0.692218,0.604263
4.933713,3.512983,1.941625,1.173533,0.042070,1.176703
12.318388,8.587471,13.561831,11.132297,2.616839,3.606632
14.817692,10.072937,7.303761,7.509504,1.420910,2.113631
26.084455,17.552488,12.192082,37.137180,8.293538,33.110336
46.612419,29.331553,28.993185,77.268425,21.231649,59.953518
9.120152,6.533739,5.500940,4.059890,0.950145,1.944423
11.071216,7.874212,4.869441,4.043344,0.585727,1.139877
8.463381,5.811568,3.399912,2.357188,0.489673,1.168114
6.461682,4.325657,3.015304,1.917152,0.606977,1.837251
6.461735,4.585530,5.029984,6.597879,0.927492,13.697620
7.826098,5.348218,2.937619,1.052004,0.344342,1.155263
14.666670,10.053843,6.245451,4.957279,1.132118,7.874658
9.441869,6.889233,3.698328,3.355035,0.674521,5.363912
6.758173,4.770627,2.637349,1.996044,0.586640,-0.493449
5.421246,3.804274,4.607038,27.224321,7.219594,10.645394
15.962314,11.152847,6.195926,5.711550,1.269368,3.056741
10.323740,7.115598,5.940913,6.087204,0.980544,-0.336828
3.849861,3.010293,1.972598,2.029871,0.236787,-0.082083
6.722483,4.826326,2.748165,2.264493,0.447998,0.438145
6.919699,5.091845,2.886700,2.424856,0.744324,1.331470
6.305136,4.554924,2.133159,2.538959,0.893278,6.920673
8.108299,5.540304,2.949302,3.218874,0.733618,1.429416
7.750977,5.472916,4.309727,11.582097,3.475060,3.564718
15.111724,10.094106,5.596743,7.504793,0.657126,1.413742
7.454013,5.198109,3.011491,2.852441,0.517913,0.412055
27.717436,19.235636,15.509265,8.245114,36.603130,2856.206299
19.716846,13.950603,8.300323,9.726810,2.046505,0.626885
5.839745,4.028884,2.695014,0.972533,0.418999,0.585400
69.904083,41.008480,72.294159,273.200104,86.356361,414.052979
18.978895,13.090215,6.102447,6.375947,1.246083,1.280015
16.174282,10.971168,5.901513,8.100232,1.463202,1.239155
6.586097,4.553090,3.207420,3.978157,0.600851,-0.106219
6.823756,4.914234,2.781955,2.468286,0.630217,1.141048
18.990368,13.146540,7.407587,3.844766,0.806603,0.721282
6.646011,4.564649,2.442592,1.690379,0.786055,2.861602
16.143064,10.825940,5.334403,7.521123,1.017713,1.172437
12.373419,8.718567,6.014488,8.805702,1.404530,1.509515
8.988861,6.184986,3.517166,3.820967,0.680495,2.672687
15.465542,10.833979,5.525218,5.906182,1.147262,1.538735
16.157507,11.356573,5.411869,3.435817,0.598770,1.710913
14.988433,9.907105,12.965167,14.506224,2.812044,5.336326
19.837059,13.908247,7.674476,17.439762,4.335354,15.085003
4.945987,3.366855,2.147214,1.781052,0.381762,0.300539
8.215800,5.739134,3.774340,2.558501,0.452922,7.767421
16.984543,11.964474,6.652309,5.513455,0.975248,4.224509
15.298863,10.392805,10.888194,14.687389,2.665916,4.065202
19.555559,13.067875,7.324552,8.425804,1.542067,9.847887
5.209516,4.000136,2.140078,2.354795,0.527179,-0.054242
6.982551,4.940588,2.920919,2.147773,0.362270,2.408921
4.733505,3.169507,2.018433,1.720093,0.954028,0.783212
13.324406,8.958930,4.348640,5.146855,0.872389,1.362095
10.199102,7.369273,6.214169,7.629019,18.234369,1582.117310
14.267163,10.067056,17.599613,23.075043,4.208778,5.103349
8.313522,6.112472,2.745392,3.782591,0.822838,2.388564
11.240914,7.602254,4.453157,4.634322,1.258520,5.009374
11.008080,7.889505,4.469867,12.725570,3.392242,2.661726
14.811376,10.688489,4.860030,4.424208,0.866720,-0.134583
12.997724,8.929953,9.100040,15.485723,3.129701,23.118868
9.473592,6.543314,3.941562,4.615831,0.687510,0.525380
23.704916,16.374014,11.194242,10.692286,2.144232,2.572829
10.419121,7.452819,6.298949,6.218552,0.964315,0.816966
6.199095,4.380152,2.127198,2.078585,0.639720,1.429523
18.748707,12.742558,5.935429,4.393770,1.148893,1.539178
26.133986,17.688148,11.900899,14.682977,3.298129,3.547088
10.515616,7.520308,4.217667,3.847372,0.758763,0.401354
11.779629,8.385164,3.820315,3.919186,0.352492,0.977520
25.417809,17.774145,13.571738,36.784130,9.544196,25.021318
9.704506,6.844696,3.930497,3.803927,0.559789,2.896754
6.280845,4.765145,2.707893,2.083719,0.326576,0.001329
4.428384,3.489236,2.618581,1.153416,0.220196,0.315309
13.635809,9.748969,4.474255,5.596570,1.653558,3.003118
8.681267,6.195239,3.337937,2.835846,1.037364,-0.066903
9.111092,6.199001,2.681984,4.432525,0.697246,0.114899
96.295967,46.961987,41.633835,200.563400,57.869301,154.628220
19.129372,12.854664,6.598383,7.530725,0.452242,8.736436
9.410650,6.444064,3.790771,3.270880,0.922736,0.514763
8.792811,6.155464,2.826793,21.526068,4.608041,4.174199
4.836819,3.415009,2.131540,2.368744,0.266896,0.861134
19.108040,13.248444,9.848502,70.417145,22.978989,131.651459
22.661678,15.905492,6.052332,5.202107,0.865465,1.810764
25.625381,17.997696,9.652678,11.993338,2.096398,8.717920
18.918550,12.548069,25.332069,58.638481,15.758057,61.666798
11.403968,8.045332,8.093515,10.770039,1.452491,1.093966
10.419505,7.455767,4.579447,4.721133,1.179562,0.503485
12.389651,8.460258,4.774847,55.179863,29.928835,276.975494
10.027748,6.849093,3.153647,2.779284,0.978765,-0.880360
9.795984,6.982914,5.402677,8.848344,2.045378,0.206375
13.746066,9.650371,4.410690,5.494618,0.997679,1.645768
6.367773,4.692337,2.152110,1.202422,0.329645,-0.111608
11.140553,7.990674,4.049539,3.055977,0.909401,0.389822
17.740822,12.399014,7.348090,39.764709,12.216259,23.226393
4.596235,3.122071,1.900816,2.106226,0.636909,2.470409
17.949463,12.320260,4.135687,32.072563,11.263473,34.287342
9.914567,6.947126,3.107786,4.415367,0.972147,0.553882
16.136656,11.360911,12.580025,11.940557,2.613386,21.344212
18.846004,13.080508,6.277805,17.126785,4.934736,10.912053
13.901084,9.310627,8.169114,10.808782,3.005347,3.318495
9.929710,7.042140,2.625925,8.013014,2.583056,3.872427
17.351273,12.020686,8.545189,29.615374,8.123906,20.950630
33.328114,22.284082,16.712658,80.170151,21.669128,51.563011
21.581299,14.861904,10.801061,11.312893,2.748556,7.211313
5.956389,4.240516,2.638921,1.992167,0.826443,3.795284
9.995383,6.755018,3.239589,2.893777,0.496246,2.475935
24.834518,16.766579,10.557769,55.491947,17.083929,32.302204
38.260708,24.584173,16.885683,88.155273,24.039263,63.011021
12.550855,9.052761,4.773193,16.865044,5.575597,18.185425
27.018085,18.525719,9.497670,45.759960,13.805934,26.599602
44.078594,26.757532,19.657454,106.619102,28.284500,95.802063
4.922555,3.644217,2.236370,1.865424,-0.061055,1.390178
4.575840,3.133838,2.448256,3.993629,0.699728,0.821687
11.634322,8.243828,5.512445,45.888786,14.569520,6.973296
21.711315,15.120343,8.873806,33.780331,8.113017,17.525265
9.619655,6.876842,4.107364,4.059632,0.557210,4.082005
11.296058,8.216086,3.958602,3.689466,1.007496,1.674348
16.788858,10.675040,9.387166,35.877037,9.189133,15.694089
11.847364,8.251002,6.158678,5.542387,0.950464,1.016707
23.642555,16.110636,8.678700,9.446999,1.616621,1.783378
84.778046,36.958027,107.792572,578.099487,157.385788,382.987213
9.522962,6.830202,3.176289,2.705438,0.352107,0.979192
17.755972,12.172540,9.704425,43.565197,11.805018,34.011208
38.636589,25.901119,12.372839,52.303680,14.721312,42.351891
8.463560,6.003570,3.211381,2.721430,0.629852,2.084074
21.440329,14.707511,8.537775,54.030270,15.004347,41.492756
81.268433,33.922741,119.345749,684.108032,181.796753,365.565887
6.765613,4.834379,2.701363,3.383364,0.392547,1.696512
23.478102,16.551985,10.975863,76.058266,18.800785,31.153913
13.303280,9.116449,4.644433,5.726045,0.381483,1.178556
22.449743,15.529466,6.756218,46.701130,12.447519,29.098629
20.752628,13.985533,9.773784,39.615288,10.141592,19.411978
7.225180,5.315350,2.816966,2.602557,0.550766,0.711141
23.630230,15.803439,9.224166,36.200073,8.829066,15.270659
31.148979,19.085325,27.130476,96.414665,25.520483,174.896042
10.891957,7.534947,4.051096,3.827851,0.608326,2.449656
5.213160,3.273983,4.065386,48.664497,12.454860,18.617039
8.306684,5.805519,2.874863,3.004599,0.684557,1.740724
5.831128,3.993378,2.050413,1.853691,0.744478,1.493806
7.618793,5.167535,10.654746,53.486355,14.173309,28.148312
36.905876,24.537407,12.816395,64.138733,16.622534,29.191450
31.313728,21.150391,11.692583,55.233837,13.930098,25.549074
28.923161,18.989635,8.712560,66.203362,15.991248,29.896206
20.546822,14.067309,9.463525,59.075619,15.744745,42.564922
15.812222,10.786137,4.637498,6.897515,0.738640,0.592210
7.180877,4.932879,2.730310,2.674962,0.362581,-0.350503
35.547894,23.452620,13.353127,45.300274,11.538365,35.556431
12.533933,8.429661,5.451327,5.823398,1.415600,29.699558
80.806946,44.837799,85.541069,371.756165,98.896965,226.261536
74.928757,39.432625,54.678535,358.316833,95.358963,204.169418
64.483940,25.304380,64.788673,378.726318,106.459717,380.077576
63.600040,37.805798,45.122223,258.597321,73.744339,150.384109
92.498940,45.085812,147.311462,954.829773,256.350616,516.524902
105.759705,51.392273,174.413483,667.218750,181.506516,505.007690
35.681679,22.209494,11.708419,76.818947,21.458942,42.626919
13.706641,9.630654,4.485021,5.220289,0.796239,1.285697
53.013138,32.555176,16.891666,109.526688,29.407373,76.970093
34.011326,21.674725,13.325152,65.750534,17.555670,57.267521
31.321705,21.551727,11.593279,56.354099,13.640723,30.844839
153.687393,68.801559,191.099442,939.926514,249.144104,668.363647
90.585014,49.621120,57.264603,269.157227,80.914604,188.502960
36.132732,24.803432,13.864211,65.297562,14.453617,56.188152
13.309616,9.390158,5.401464,29.113150,8.331826,24.353355
43.739178,28.858648,21.852997,89.541313,22.986267,97.194992
123.840370,55.081245,114.840446,596.395935,163.306702,465.756989
148.315384,46.678143,105.583649,560.696228,155.919601,478.210510
6.823266,4.813999,1.573173,51.108356,14.826099,37.433128
208.335510,81.707161,215.626297,1167.793213,318.137787,724.726746
4.396655,3.052279,2.086928,1.950016,0.341231,3.003166
28.738586,20.151327,11.452165,53.061485,14.124107,22.759016
29.714300,19.922644,11.870312,50.013824,14.575736,21.900488
7.458319,5.284060,2.972736,2.536503,0.377471,2.206488
21.762531,15.072227,7.690392,45.006783,13.035442,32.328854
15.425970,10.798216,4.508280,5.160702,0.478017,0.553555
39.074852,23.186394,43.212627,263.196808,71.513206,193.627380
20.457912,14.179350,7.225733,35.176579,7.575702,18.234140
10.447086,7.223994,9.989527,51.180923,16.325802,56.271664
16.884420,11.752001,10.370761,54.120461,16.969894,18.166105
13.185297,9.524656,5.376873,52.763348,16.065754,29.587709
23.941740,15.437665,10.818893,88.740555,23.811104,44.504223
27.658310,19.427853,10.189799,61.438469,15.809485,22.003305
20.743162,13.775563,8.912029,44.501320,13.200694,47.571247
19.765099,13.796124,7.066388,29.491528,7.901837,18.786316
20.302399,13.474327,14.968070,96.441078,27.629528,70.199501
153.832443,74.250900,106.382034,584.774414,154.130035,530.267395
104.879280,57.558266,75.210030,544.362854,146.578293,411.798279
61.198864,34.311298,50.131142,246.279190,69.128479,176.628067
16.406561,11.299623,5.412852,29.244381,7.559347,20.296398
5.664105,4.351824,3.380470,3.171821,0.699169,0.795883
22.764000,15.647470,8.683177,47.598381,12.360630,20.584145
16.289667,11.388123,6.145569,8.860109,1.334347,9.063751
37.430023,24.718025,14.810452,107.261856,26.695797,62.210278
70.552582,38.203709,78.565575,449.054077,119.992813,274.312134
70.521187,42.426079,42.489586,272.173035,75.133827,184.087250
9.864533,7.027630,4.930068,43.899002,11.671151,23.621618
18.825207,13.330458,7.105160,43.767502,11.623776,26.256536
50.180977,29.246506,41.412201,199.950226,57.158894,141.064575
70.687218,41.684231,41.497253,213.081894,56.240421,132.316986
27.218952,18.447351,9.919388,38.608601,10.583400,10.825697
142.035110,67.714790,161.524078,847.996704,224.610275,667.214600
76.480911,39.304497,96.304680,405.682922,114.527000,325.960449
38.726330,26.032658,26.258772,155.360641,42.685612,110.965637
8.115360,5.710743,4.697448,5.073041,0.949881,1.398529
34.000492,23.283770,11.491375,50.648724,14.260139,43.656662
19.394756,13.450411,15.493285,64.977211,18.691357,53.182121
16.900150,11.743956,9.587873,49.759552,13.995166,29.961077
107.713760,55.159992,62.388309,380.234406,103.612961,275.835449
15.616458,10.914924,7.112255,20.210939,6.905830,18.640310
23.238333,16.171700,9.765368,51.240189,13.879954,24.940096
47.949032,31.136791,24.628189,98.633286,28.026094,80.224953
166.639725,65.862656,90.571892,447.813477,114.678017,252.743668
35.045750,21.943153,30.795160,168.716934,47.443310,103.814445
82.159164,40.555092,64.834236,321.533264,85.409546,188.156601
51.878578,30.604843,60.011147,249.457596,63.459911,168.605164
152.914993,80.550713,144.625000,889.228943,245.909637,702.240417
10.650622,7.361316,2.851047,3.134761,0.436710,1.262744
34.720779,22.512575,14.200939,88.289429,24.484648,35.965839
6.854911,4.906846,2.560539,7.245180,1.728473,9.032661
27.305229,18.977325,9.032171,38.107761,11.795416,33.638622
99.176453,50.780384,36.740116,194.457245,45.761261,68.823311
16.694094,11.559354,6.382818,23.991322,8.091718,19.464233
62.401375,31.315472,70.825600,272.103973,67.884613,189.915665
117.007599,63.060040,58.586430,315.036133,83.501732,257.740601
42.610027,26.831625,13.810474,71.123734,19.108339,47.480030
13.714317,9.495654,5.286358,3.725386,1.103316,2.996732
134.512009,72.278564,199.281525,1089.811646,301.819519,885.629761
12.832252,9.034060,14.514038,61.571838,13.253320,28.532822
153.609756,61.499546,106.180923,513.731689,147.248306,287.820770
51.279366,34.363098,23.117350,170.664963,47.933620,200.696671
23.781145,16.034145,8.040937,51.913921,13.559855,20.675537
20.004192,13.804272,5.442958,30.823135,6.634951,23.227613
8.945524,6.849818,4.733403,10.101071,5.636624,19.603533
51.183769,30.913006,29.172066,151.807220,45.123856,151.780762
67.185410,40.350136,22.105223,85.959511,23.387053,47.947815
54.096874,33.666042,56.380363,217.126694,59.772102,166.287430
118.036545,56.383270,167.566452,939.417969,251.531540,734.216309
9.725755,7.110969,4.102650,9.195392,4.469024,18.165440
31.429873,20.999001,13.189147,43.668209,13.531605,53.296001
64.294777,31.909704,125.465736,464.617828,124.648376,303.265900
31.642441,21.130127,12.813383,85.745766,21.001778,33.978989
33.422020,22.213713,19.783003,103.774719,30.039265,57.266430
52.615616,29.910574,50.573784,184.818604,49.457489,118.782593
91.917664,48.228191,91.620102,480.917358,133.366196,384.144928
86.356506,38.536888,80.946098,396.952759,105.384697,250.666763
127.500252,60.587929,61.866329,358.783569,99.390358,257.383789
14.598920,10.040215,7.609480,27.420858,8.172658,30.594982
57.686859,36.880058,55.614010,323.551178,91.576302,200.263184
95.295059,53.485691,55.734467,223.816116,59.351387,213.263519
104.135605,53.900982,57.269493,305.602264,87.628059,232.926056
52.510151,32.663776,17.250656,90.402618,23.224136,49.704845
15.043144,10.680545,6.800588,27.343390,7.588414,19.945845
93.759857,46.361607,103.465248,498.448059,145.544495,440.828156
63.198166,38.543327,26.284639,178.812668,48.309658,108.393089
104.206482,46.903275,54.804543,384.340057,109.104370,284.233490
36.035458,24.229601,10.547116,57.521175,15.286182,12.787992
19.201059,13.518936,11.323010,82.045265,23.442635,40.532803
133.949600,75.027786,150.886551,746.877930,205.947617,519.639160
93.512650,46.797337,97.317047,442.827545,112.344070,246.654984
32.251629,21.356386,9.046222,53.565952,14.891275,39.351593
94.869339,46.528664,79.002266,517.759033,137.057098,362.112396
167.280045,63.145035,156.164749,858.718018,234.552505,688.764221
127.013580,51.889809,275.986115,1407.502930,393.774963,1228.624268
34.690697,22.297104,13.945606,89.288223,25.086226,67.669563
