"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
9.275942,6.770748,3.854011,3.399600,0.550886,7.108005
8.694232,6.242000,5.407118,4.175438,0.555027,7.583290
24.591496,16.002428,7.524443,61.101772,15.622783,34.940437
9.396554,6.802615,6.467928,8.955028,13.606751,1104.302856
9.310645,6.417835,2.992157,3.502841,0.709776,1.038199
4.752334,3.492532,1.867083,1.201029,0.257776,-0.013748
18.521355,12.943203,8.296980,43.832348,11.104319,34.784763
5.127910,3.814283,2.708644,0.409040,0.381236,1.926827
18.734848,13.171796,4.415177,33.290394,8.359925,25.905077
29.193590,18.948189,19.520519,86.278954,22.494619,72.648048
21.065912,14.864197,6.599585,28.977936,7.293810,8.865856
9.130613,6.245726,3.638310,14.782275,4.211462,19.977631
16.711748,11.188851,5.215629,21.835117,5.403774,7.290449
8.737680,6.243822,10.762600,11.609229,25.571283,2211.645020
26.802580,18.143375,9.823695,30.719818,9.042988,16.202808
7.784226,5.231734,4.343579,5.395510,1.633512,5.239467
19.926815,13.587742,9.892637,70.629715,16.992474,82.510086
13.567836,9.254720,5.373136,3.405853,0.537872,2.573784
13.559592,9.468092,4.599760,11.914903,2.935853,13.694600
6.624051,5.018443,2.724572,2.376492,-0.022445,-0.203706
15.404129,10.734447,3.601817,28.226389,7.827090,18.060526
6.053997,4.358640,2.748158,2.199791,0.690301,11.985123
14.511192,10.533400,4.918019,21.201294,4.781787,21.472548
16.015932,11.229141,5.649028,5.715125,1.069196,1.455367
35.112881,23.244137,10.716442,57.863796,13.777245,33.027531
16.539328,10.883828,11.934722,38.607700,11.871777,49.632027
12.545340,9.083529,4.270901,5.760352,0.887661,0.892106
16.921143,12.019335,6.511240,31.685692,8.139959,2.754120
5.550917,3.624139,2.290437,1.845507,0.114038,1.101392
41.569168,28.077536,17.218697,12.791377,29.608408,2948.799072
22.917568,15.986221,10.743822,46.004509,12.768753,23.935778
27.651060,18.364370,8.434894,61.872898,16.499298,32.250935
15.425142,10.569201,5.070401,19.956411,5.078971,11.389337
20.346823,13.742470,5.761610,37.427311,9.873039,26.090761
21.382561,15.323894,7.978618,8.218372,13.874516,1229.428345
13.431977,9.399978,4.432220,21.440105,4.379542,11.870089
5.863386,3.960139,3.041848,10.070620,2.634484,16.861986
10.621721,8.115849,3.214253,1.600418,0.888634,0.811756
17.146547,12.008765,5.215209,21.479574,6.310220,16.191278
13.399090,9.374867,4.522834,35.158497,9.136751,23.056524
19.427433,13.153980,5.934662,26.992914,6.932056,32.078323
27.022263,18.197199,9.259176,27.868963,7.623169,21.328259
27.556822,19.213085,10.556702,6.280034,13.207434,1211.677979
16.275322,11.024304,4.766058,13.165255,4.663701,23.659599
4.974208,3.469544,2.254116,1.488706,0.271414,1.359386
16.027046,11.388233,24.996321,95.978661,24.611755,59.264130
10.947376,7.599115,3.859503,17.119381,3.828135,8.208747
17.601604,12.607794,5.125909,5.612687,1.370861,1.818148
11.649853,8.411744,4.665184,13.887835,3.991629,11.559525
23.475897,16.044477,6.988173,8.528540,1.633033,2.302601
12.702646,9.134677,3.777185,5.630786,1.103811,1.322845
12.948435,9.370726,4.453495,4.356473,0.710286,2.280568
8.184131,5.952511,3.063514,3.036328,0.435499,0.171029
10.698484,7.600446,3.592644,3.320487,0.489047,0.104659
17.164221,12.381229,4.825978,6.466979,1.102404,1.076070
16.851654,11.370131,5.006825,51.275368,13.184474,52.104824
28.229362,18.093664,24.553778,143.769363,35.853458,103.488556
11.739520,8.204908,4.034450,4.318752,0.921857,1.823390
9.864293,6.853217,3.648039,2.823432,1.287031,0.954603
13.080147,9.322398,3.762064,3.729242,1.033887,1.252982
6.825060,4.970620,2.929876,3.107900,1.006028,0.778207
9.964941,6.997481,4.103701,5.162347,0.765646,0.594167
5.182141,3.650227,2.265565,2.268004,0.868900,-0.166498
15.776459,11.246439,4.805870,21.997814,6.594992,17.460146
11.858840,8.613294,4.145130,17.363890,4.026577,7.918760
8.139981,5.801901,2.951905,3.954395,0.863469,-0.011704
13.341199,9.289896,5.071104,23.703648,5.956320,18.387142
26.786131,18.510244,7.855660,9.959515,2.340829,2.476317
10.519207,8.002136,3.850418,3.512657,0.699802,1.024287
21.844669,15.473292,7.042132,31.482403,7.752970,28.996048
7.374655,5.326787,2.900680,1.677152,0.387525,1.313984
5.466242,4.168861,2.117500,3.130201,0.831726,2.478313
15.426975,10.999312,4.886098,20.883427,7.107070,15.739523
14.070882,10.323030,5.096411,4.405317,6.607862,593.496948
4.138825,3.202003,2.079729,1.836270,0.679443,0.503841
19.030371,13.482269,5.253061,3.650223,0.952984,0.423202
18.416264,12.714974,8.409216,25.185698,7.018035,27.789473
28.423985,19.526222,10.854223,48.422573,12.666596,35.899429
16.534725,11.320624,4.238338,5.153332,1.882326,0.633226
10.468515,7.293872,3.087723,2.478396,0.715659,0.916084
4.975398,3.711818,1.795509,1.715907,0.740139,0.268602
6.415229,4.679880,2.510957,3.522810,0.598703,1.393080
8.144940,6.095020,3.052481,2.090340,0.709605,4.493508
9.607248,7.130710,3.969496,27.563166,6.792060,14.712667
43.408245,25.656197,18.568880,89.334290,22.998831,62.116802
13.079610,9.091278,3.439806,3.473264,0.649368,1.622502
10.429161,7.266998,3.450152,23.509012,5.417484,16.016462
9.171526,6.780735,3.078351,3.457753,0.475845,2.164640
15.166403,10.429335,3.340117,54.787224,15.236250,20.463720
16.387806,11.663059,5.250543,4.752930,0.620060,1.093365
29.891268,20.313398,16.007454,27.312813,7.371859,24.739267
36.577675,24.789751,9.297784,7.255451,11.216750,822.695068
11.438834,7.910941,4.156459,3.321056,0.653701,1.438911
5.663287,4.300876,2.277896,5.152750,0.556975,0.267053
20.515902,13.803593,4.205220,32.089725,7.478614,29.610191
5.771362,4.325054,2.702080,1.659182,0.222013,0.955890
9.091539,6.401321,3.539015,19.250059,5.734285,39.665401
14.933093,10.783032,5.440019,3.499215,0.705655,1.587278
8.254107,5.471522,6.211400,32.619289,9.753429,24.205805
25.289001,17.205933,6.951581,8.676152,2.041686,1.826999
7.576272,5.118111,4.385901,19.122158,4.339671,8.683215
11.548112,8.366194,2.828976,16.668745,3.485019,21.693459
12.647946,9.163646,5.073580,19.211086,4.350592,12.840482
10.045592,7.373722,3.689869,7.314791,8.309061,601.944519
9.468707,6.716633,4.001250,2.898419,0.867798,0.580430
24.560127,16.670435,4.670537,40.129875,9.935797,22.953093
4.200697,3.063776,1.771517,1.262461,0.585291,1.094298
27.104910,18.148951,8.552081,49.958492,12.650672,37.754726
8.645193,6.027066,3.344660,12.799883,3.502775,7.926213
15.046336,10.572913,5.459199,6.760547,1.484151,1.214497
19.532143,13.316297,7.718435,35.436001,9.529001,16.473667
4.545671,3.674537,2.475830,2.550066,0.362430,1.246970
7.248371,5.113957,2.601991,3.954406,0.508346,1.283024
20.997393,14.683254,11.986528,11.510447,1.976078,4.184118
