"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
56.934719,35.686153,19.664011,55.043938,13.243927,129.187820
19.678663,13.032161,7.115728,20.085527,4.919488,27.986521
15.351419,10.494005,8.314406,7.852483,1.900287,3.256092
37.338402,25.494631,11.675971,22.720417,4.849232,6.313748
41.831421,27.749622,55.186970,152.813171,48.518681,474.609070
29.927519,20.780741,7.586279,7.495719,14.405636,1498.197510
6.028486,4.291470,2.631401,2.571924,0.841936,1.048657
33.695293,23.192945,16.198797,31.353462,10.114593,173.502701
9.269578,6.518964,2.148946,14.960369,4.149168,40.031490
6.817236,4.513374,3.138597,2.221074,0.625844,5.415328
34.634705,21.852722,12.686954,62.796257,16.483843,143.556488
40.732746,27.135008,12.013358,8.169456,31.055939,2996.554688
23.521164,15.659677,7.324583,35.378887,8.635119,55.703442
7.958440,5.480882,2.559129,5.314539,1.232530,1.837188
6.617392,4.486761,2.853425,29.422276,6.894715,75.214188
17.460390,12.327071,6.624109,32.525944,8.646675,26.950964
18.793699,13.419895,5.145704,10.899864,2.637292,1.486950
5.560962,3.578450,4.922749,14.955054,3.647685,10.090953
61.186195,37.055981,26.926071,95.472351,22.227415,45.067963
14.645224,9.809702,11.178258,88.832863,23.108128,47.069023
73.975845,43.418774,65.358406,134.142319,36.523155,404.134827
23.140095,15.375485,7.638071,26.366968,6.352304,24.581650
5.031625,3.666945,5.336235,4.644222,1.478951,7.113791
7.615863,5.461319,1.563378,13.296634,3.364023,9.726753
12.021626,8.107419,4.475369,22.358316,6.521015,33.828217
9.122245,6.535073,3.102139,3.295243,0.379767,2.505854
13.481858,9.358187,5.057291,30.846174,5.695360,43.921906
14.168779,9.852587,8.602322,7.046681,1.251903,3.283145
4.939678,3.212151,5.167907,10.853240,3.709982,7.942980
42.101772,27.482443,21.643923,24.587219,41.904682,3224.035400
23.825493,16.413467,32.805622,117.698196,31.113075,81.177780
41.470070,26.787222,13.374849,64.721771,17.457264,55.402954
12.179499,7.517445,22.742716,12.514308,3.520491,13.837868
12.425736,8.584999,4.389002,2.679622,1.762504,4.161220
59.501003,37.082924,58.779373,201.166168,52.647091,365.540192
6.436686,4.196731,6.155128,8.375317,2.792465,7.355499
77.124565,43.449886,101.798065,298.736298,82.238541,222.181122
12.630589,9.031377,6.888836,38.878849,10.768545,7.932156
