"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
8.285807,5.962032,4.665421,6.605925,1.780513,27.071573
7.761289,5.433284,2.904970,7.392486,1.176990,27.757755
11.612495,7.961046,4.103649,6.855198,1.760881,30.458017
12.606452,8.572635,4.544848,8.794175,1.596439,33.647930
10.021970,6.982410,4.414807,7.281084,1.825019,20.369081
25.827570,17.744242,7.042955,16.717922,3.860869,41.035778
7.508328,5.664761,3.700176,6.196465,1.478196,8.458591
10.221569,7.033888,3.609417,11.879602,3.151472,41.178383
46.934055,29.483440,14.173555,21.262209,5.207219,71.630043
34.616100,23.388496,14.362518,19.443003,5.737375,108.210724
13.806108,9.203186,3.843647,7.137757,1.989255,30.016157
35.982235,23.182981,13.972183,23.153748,5.662708,90.259399
18.963682,13.141976,11.034910,17.331249,5.339433,46.309662
9.066534,6.701585,3.756585,9.257210,2.065388,17.504211
44.675068,29.343327,16.822559,25.147177,5.725854,73.555618
14.329131,10.038253,3.407061,11.093259,1.576320,11.623520
11.437383,7.743626,3.830289,4.540833,0.478295,2.419894
64.872597,29.228476,47.952549,77.733955,22.167156,387.429199
61.947563,35.484325,22.990549,44.828873,8.429855,83.615349
15.806935,10.526865,9.655522,28.413132,6.107818,45.632076
15.028808,10.475048,3.977139,13.231372,2.536834,15.383227
10.904590,7.791867,5.983079,10.203091,2.491847,20.317276
11.819596,8.320875,3.677669,7.897014,3.166114,24.199888
16.469894,11.885269,4.094122,10.862401,1.841287,19.749645
11.710645,8.153195,3.674682,7.327555,1.781231,31.025812
17.558058,11.600991,8.749845,21.575224,5.319723,68.555412
52.533241,30.705233,37.613811,77.450470,19.464325,198.719101
7.538087,5.656420,3.669515,18.910439,13.226469,24.172508
14.265542,9.758172,5.096417,8.297474,2.058564,26.344494
14.263583,9.477072,5.848219,6.904181,1.941798,24.438456
18.245701,12.278336,5.342756,16.840181,3.732424,24.629232
8.563245,5.821645,3.069573,7.676369,1.565048,14.249763
11.893538,8.494006,3.933711,3.617384,0.496466,1.559469
5.398274,3.915811,1.457915,6.822464,1.061903,15.842678
10.544684,7.328288,4.261141,1.970151,0.280703,0.047816
24.148321,16.419022,7.820844,13.361741,5.165931,60.072186
10.402998,7.286555,3.349255,8.597926,1.991075,20.933340
12.909399,9.153447,4.758436,4.377803,0.774250,1.569549
17.214462,11.261085,13.293573,18.970280,5.202126,68.264557
17.191631,12.319814,5.459353,9.336329,2.195077,24.050234
6.462732,4.532764,2.224333,3.765828,0.673111,13.912727
14.039689,9.530207,7.014392,12.913266,4.506207,69.312309
13.887942,9.569531,4.651631,8.456903,1.540274,23.579390
24.049854,15.952894,24.515156,59.547935,18.346876,288.479797
39.282238,26.083069,11.083125,16.129848,3.788720,36.818401
16.734798,11.693409,6.097954,6.369584,0.498196,4.699427
18.525312,12.726068,6.919272,13.505564,2.219611,27.289415
15.971633,10.898809,4.847098,9.927105,2.121505,46.613750
32.088829,21.412231,9.083262,19.928736,5.078276,44.938183
5.074385,3.776411,2.187623,2.176658,0.439151,3.482185
9.371216,6.510166,3.938037,5.877426,1.850881,20.746664
17.723963,12.575071,4.206854,14.054085,4.681553,36.459911
6.118071,4.335079,2.016186,5.695755,1.046738,14.654893
4.360900,3.221174,2.062759,3.484914,1.765143,10.174018
47.072041,28.357182,20.614532,38.172771,9.245109,123.956566
17.884686,12.239882,5.092613,11.905852,2.882772,41.345585
