"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
6.008852,4.359859,2.277657,1.876864,0.229182,0.234247
11.489490,8.225642,10.011071,13.226066,1.355714,2.378822
7.641229,5.656968,2.395039,4.824883,0.173804,1.983571
5.797035,4.040774,1.978359,3.182215,0.080853,0.226379
56.125839,33.380112,33.975899,32.581379,4.684617,6.407094
17.985123,12.006937,7.643471,6.687882,0.836844,2.802956
7.208070,5.115444,1.862884,2.114389,-0.037391,-0.220289
11.394004,8.071486,4.167038,5.881596,0.563536,1.115417
14.356088,10.348920,4.500966,5.377142,0.374498,0.154397
18.916910,12.676826,6.148324,4.923394,0.439970,0.997249
6.592772,4.350891,2.442444,3.366662,0.395029,-0.195495
4.133465,3.132933,1.375654,1.052631,0.043598,0.310747
11.214170,7.496225,4.214770,6.068008,0.649692,0.112858
6.164043,4.565355,2.591299,5.007132,0.206649,1.268843
20.976147,13.748846,7.485973,4.375772,0.600025,1.036217
4.778074,3.415939,1.991560,2.946980,0.039286,-0.215216
12.016451,8.689671,11.393926,10.706841,1.736518,1.604909
8.173920,5.302693,4.536703,4.614033,0.469956,0.740067
12.362135,8.445753,5.589896,5.473658,1.137881,3.417920
5.419445,3.965586,1.612903,0.174601,0.553049,2.373507
19.232416,13.862499,5.492726,4.766961,1.314356,2.250524
16.441486,11.652341,10.351115,17.602301,2.634827,2.280361
10.679332,7.908888,3.584732,4.336815,0.235026,1.115784
12.470030,8.543594,4.823319,5.893850,0.425786,0.862000
10.934978,7.863278,3.074166,3.588630,0.372879,2.036638
5.422641,3.986856,2.280004,1.129098,0.465555,0.475539
11.415798,5.665559,3.520257,4.695151,1.205792,1.213811
7.334341,4.298388,3.001084,5.077134,0.551301,0.008906
14.812440,10.139642,6.415407,5.523664,1.093450,10.316446
7.114589,5.143576,2.170061,6.468091,0.401190,0.989753
5.956579,3.977554,2.315157,0.912223,0.054266,1.201975
47.746887,28.496206,49.248505,52.414780,5.850870,9.467085
11.521791,8.005725,5.184785,4.121388,0.893235,1.974110
18.252169,12.430214,4.853687,4.241677,0.901050,1.244430
17.665085,12.089030,4.861656,7.381940,0.834750,0.641183
13.439126,8.820144,18.322718,28.267395,3.303618,4.095557
41.787083,26.939877,110.426903,120.572632,16.028126,12.168672
25.513077,17.637335,9.977201,10.990623,2.128984,7.803473
5.561600,3.723242,2.312718,2.348865,0.365831,0.406297
6.139285,4.110585,2.478222,2.766402,0.397105,0.973279
7.928277,5.356739,3.639834,3.461996,0.258469,0.043677
6.197242,4.250666,2.968061,6.103848,0.538515,1.139498
4.537058,3.160840,2.149483,1.021948,-0.318464,0.066345
8.357810,5.790541,3.489963,4.893867,1.132097,1.454823
8.441470,5.727845,2.332755,2.589651,0.964867,0.808914
17.664165,11.205128,40.842068,56.934425,8.462175,17.471107
6.657980,4.730463,2.365363,5.019707,0.925643,0.487832
6.106019,4.398566,2.952614,3.914800,0.327108,0.895927
41.418266,23.395874,88.537193,100.762421,12.774169,15.205514
8.620286,6.034711,2.898947,3.792331,0.564259,0.200796
6.382936,4.770664,2.283045,1.881138,0.088653,-0.786108
18.596140,11.537474,46.961418,50.599747,7.337404,8.307170
70.444725,36.317501,104.765114,110.392784,16.127542,18.014921
7.213349,4.930158,3.996562,7.184518,0.360365,0.587216
11.305620,7.666264,4.007418,5.348161,0.258822,2.752509
13.144901,9.188124,3.426897,3.859659,0.981140,0.131631
51.699516,30.666906,158.726105,162.213776,20.847715,28.281134
18.202211,12.782545,4.463389,9.330198,2.294465,0.836829
48.590401,25.499458,86.061646,91.628242,16.864691,26.237024
14.388413,9.627574,5.034585,7.353783,0.722905,0.080547
7.947452,5.672524,2.794045,3.647649,0.766537,0.527992
7.548581,5.410567,2.974159,3.128458,0.990840,0.215270
48.254837,25.653402,82.934830,91.097839,12.017757,13.909873
8.906275,6.638284,3.140154,4.482778,0.303876,1.535759
139.947388,66.627213,264.633057,329.803558,42.159317,46.902229
11.839586,8.472189,4.238724,1.080499,0.248656,0.896218
6.381652,4.452860,3.076534,1.127122,0.444444,-0.028667
62.184383,34.730339,63.703613,66.565254,8.195856,10.154338
38.904289,26.511047,39.198624,48.115234,4.538812,5.127810
13.165791,8.942531,3.742871,4.730862,0.868488,1.064925
10.420127,7.463017,4.998910,5.315990,0.880806,1.271090
7.875453,5.481117,2.464226,2.300918,0.231210,0.069102
42.364388,27.600876,12.653481,18.059574,1.530855,2.213624
7.643935,5.379183,2.898095,3.318670,0.459727,0.938200
6.576632,4.666847,3.119908,3.809393,0.693740,0.460947
13.536366,9.133514,2.357718,6.563439,0.774259,0.469670
8.468437,6.352059,3.197599,3.917437,0.440960,0.533929
91.581787,40.507061,203.970016,254.084854,35.257420,41.804501
49.580956,26.167427,94.737465,88.024483,10.496865,15.310112
7.140659,5.203418,2.487207,0.530295,0.408252,-0.120520
48.873802,31.864285,11.525291,12.943404,1.848234,2.463344
9.421381,6.678782,6.171243,2.979486,1.327901,2.701346
8.112769,5.652515,2.380476,3.477246,0.101941,0.776031
28.512764,19.108860,9.109624,10.491365,1.680529,3.034784
6.483685,4.202339,2.826793,2.874342,0.268601,0.799874
4.972650,3.689667,1.766941,2.186445,0.138214,1.665396
12.530965,8.701324,3.750409,1.761769,0.259484,1.225192
6.840954,5.041234,2.570772,3.343369,0.372184,0.674074
7.273912,5.485487,1.831679,2.224236,0.695195,0.232064
4.484729,3.179172,2.376647,3.734198,0.026693,1.079067
12.662191,8.869307,4.583359,6.720134,0.694698,1.297712
83.353546,43.680130,90.739128,104.152924,13.018297,17.625328
9.515755,6.964896,3.681051,3.521228,0.639403,0.473797
6.156568,4.148288,26.502264,22.210251,2.236988,2.740606
4.902498,3.183475,1.692348,2.886082,0.544089,0.688933
8.266361,6.095074,4.718097,3.871796,0.382865,0.737846
16.737389,11.268875,3.860719,3.583038,0.336794,0.774868
19.297556,13.148145,7.137905,6.805625,1.127446,1.959026
4.118412,2.953822,2.379539,0.777665,-0.287334,1.193191
12.738940,8.676270,6.862218,15.414080,4.282896,7.024318
9.334925,6.674508,2.848868,2.561510,0.722280,0.594127
6.036237,4.307356,2.521569,1.169724,0.754103,-0.754384
7.479222,5.135326,3.057564,0.444973,0.243494,0.665743
4.876869,3.589542,1.623810,2.210409,0.212824,0.356563
9.597389,6.594563,3.465075,3.062845,0.506774,2.414147
13.396973,9.544580,5.571311,5.721760,1.153257,1.116489
4.411593,3.262140,1.632111,0.318793,0.481631,1.362385
88.932991,48.101955,174.583908,163.241455,22.541307,33.883545
25.027115,17.303310,20.294928,22.093576,2.441149,3.358005
8.676581,5.995276,3.747015,1.137862,0.422525,1.865055
12.969364,9.135388,4.419174,4.863325,0.410458,2.840534
5.096144,3.705055,2.894046,2.482150,0.165833,2.254978
54.127907,26.796698,89.340744,88.409058,11.628608,15.566716
23.917757,17.200954,7.504109,48.817478,10.515552,3.433474
6.782855,4.899620,4.550566,4.192129,0.666082,0.813176
4.726952,3.152186,1.885052,2.254507,0.964615,4.813231
16.546822,11.090506,6.447128,5.847414,0.893336,4.771653
11.428152,8.092944,3.577798,2.249275,0.470960,0.750197
5.857934,3.910332,2.481271,1.640082,0.521745,0.975289
5.661821,4.072980,1.989324,3.976169,0.063249,0.246144
5.616218,3.733531,2.534585,-0.076062,0.943255,0.782744
13.769610,9.619895,3.937155,4.071937,0.403406,0.165910
15.437699,10.186759,4.554445,5.819090,0.681828,0.988606
10.789313,7.671168,3.048865,6.675502,0.764590,0.466234
11.103218,7.748820,3.617213,4.875215,0.433462,-0.490003
29.666447,18.433857,72.219170,97.604843,17.072454,25.029894
6.970770,5.090700,2.883181,2.222881,1.152795,0.242845
13.899090,9.807427,5.708137,4.256452,0.759821,0.450251
17.843737,11.939328,5.581294,4.448308,1.145370,4.115491
7.362614,5.210113,3.172061,3.775906,0.679895,0.725766
5.126323,3.446525,1.978572,2.003458,1.035211,2.216180
8.155659,5.541390,3.567771,4.213583,-0.023628,2.196796
20.917049,12.753690,45.166393,41.648357,6.973197,9.342362
69.410393,30.040754,415.544617,410.116486,52.118679,70.466232
17.646294,12.305536,4.283409,7.659847,1.132127,0.989107
4.044655,2.971483,1.805539,-0.425045,0.394314,-0.133612
29.452955,18.257992,57.332470,62.745861,10.742108,8.967297
99.525856,47.856853,192.361847,201.298141,26.337191,35.004868
87.342072,45.527561,194.129349,201.516998,28.152800,42.987312
26.355579,18.307127,19.784883,22.847931,4.037753,5.082400
14.359220,10.037389,5.312893,4.288961,0.601177,3.468388
10.514139,7.256526,4.304878,2.378333,0.705487,-0.034688
9.050179,6.660011,2.363710,4.445122,0.552301,4.078445
58.554966,29.750214,131.229172,195.516388,38.616276,77.723541
12.144107,8.677057,3.859626,4.544334,1.137118,0.885620
13.471470,9.217583,5.134799,5.827955,0.748190,0.388149
4.705170,3.572265,4.168265,2.392042,0.289815,0.538316
74.830437,40.458752,134.495560,150.350601,19.333403,23.172577
20.807760,14.662402,5.599493,7.148895,1.064285,2.748593
5.346093,3.736576,2.239010,3.076377,0.045187,-0.233499
49.460030,31.116962,14.801389,13.080323,26.706627,1782.369385
20.713728,14.297345,8.552576,8.622356,1.125854,1.380660
88.613533,38.306370,74.221085,80.601883,11.041721,13.496361
62.430454,33.256378,58.171146,70.765610,8.966187,10.258238
116.414368,47.367195,419.502472,444.823242,60.954422,70.601173
76.687271,47.002380,75.715912,108.104706,15.599563,21.873621
92.603516,42.108776,178.447403,209.901917,25.867525,48.443027
4.577020,3.108883,1.925928,0.764236,0.799062,3.023304
16.279306,11.643127,4.685629,6.944733,0.397459,1.042857
12.472467,8.522359,3.962483,5.371894,1.030690,0.751679
8.434258,6.411049,4.245530,1.517110,3.906051,269.133514
10.029808,7.301877,3.433682,3.671516,0.768499,-0.535732
8.535882,6.003948,3.863458,1.910008,0.194335,0.382968
31.000000,20.422577,8.100994,6.983138,1.323005,1.709111
6.146434,4.439984,1.951332,3.011380,0.344780,0.272172
21.640104,14.800564,8.100965,8.991009,1.642972,1.563906
4.519879,3.410609,2.096966,2.568705,0.491630,0.025646
20.215546,13.510031,5.716020,6.718923,1.311513,1.133419
4.898687,3.742681,2.400582,2.001874,0.481230,0.040152
18.171078,12.509225,4.216898,3.915797,0.824345,1.050866
12.277154,8.409099,3.724763,3.382034,0.736359,4.246436
10.161846,7.072300,4.876009,8.082130,1.100029,1.523727
28.845688,18.840956,36.050694,33.823215,4.243293,5.530731
8.500178,6.287142,3.766942,2.035804,0.973917,3.696619
8.335355,6.021688,4.553385,1.020378,0.798381,-0.582452
5.118183,3.641516,2.047592,2.691052,0.288469,3.942213
4.355655,3.178347,2.014771,1.403388,0.427514,1.891932
