"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
10.376887,7.472652,3.864734,31.874046,7.335282,15.118455
49.128944,31.815729,15.211965,7.188740,37.057796,3271.785645
36.330143,23.845446,11.070345,4.821309,28.433781,2746.697266
85.333176,39.975224,59.113125,34.659241,77.054085,5026.595215
15.122778,10.293568,10.956138,9.339994,35.925724,3104.567139
6.675413,4.926858,3.825908,4.064201,1.987832,9.837567
24.808895,17.047817,4.229201,15.743947,5.377973,42.166103
33.573761,21.789137,10.207939,4.891460,16.949032,1611.801880
52.656830,27.362469,47.981152,72.945862,125.989479,5551.009277
18.530865,13.226143,2.423698,11.303872,5.322733,31.880907
34.820580,22.768250,10.342083,6.594433,23.550625,2066.714844
49.811966,31.834715,13.657627,14.524912,22.798849,1854.531250
4.183134,3.025399,2.055773,2.783046,1.307400,7.966029
18.113586,8.090136,5.365109,18.715330,8.056246,42.550713
21.444407,14.923773,7.614655,7.231796,19.158815,1828.844727
73.218979,48.292038,34.133442,51.949764,61.416981,3563.558838
21.596104,14.060764,7.133125,4.994794,13.936278,1324.608643
5.771857,4.081990,3.099755,1.926011,0.462807,0.657854
16.129656,11.222853,13.375151,7.664824,25.387270,2546.458496
32.860863,22.230356,19.799946,12.442277,45.541676,3383.823242
30.642212,19.752390,8.831306,12.698771,15.537282,1167.815430
43.793541,26.453367,10.347541,17.705959,24.828880,1885.000366
32.119167,21.245070,10.916026,6.052573,20.430937,1946.042725
72.339287,35.048111,71.995270,112.985786,174.618195,5456.992676
45.225132,29.881710,41.664440,74.456619,110.460251,2508.785156
44.860073,26.585123,35.544277,46.825474,112.454567,5343.974121
8.645562,6.382722,3.034125,0.734608,6.660475,684.511169
11.941868,8.403002,3.794622,2.474899,4.783506,456.114777
58.728718,35.865959,14.097001,20.715279,38.911633,3237.944580
62.540749,38.651875,16.850521,12.180139,51.255566,4012.033447
53.847698,31.901140,23.612013,24.682631,73.731812,4184.021484
38.503235,25.444448,12.216711,8.637909,6.483556,444.125977
32.404007,21.677601,9.252563,11.023742,32.817074,2928.003906
21.022404,13.666176,29.653551,24.301756,54.986771,3551.621094
33.199852,22.281900,10.698811,10.320176,14.160477,1187.381470
35.429432,23.407547,10.473121,9.537028,23.099186,2146.088135
32.043007,20.592220,7.577885,6.760634,28.499548,2751.256104
51.628353,33.903202,15.203117,13.939584,37.369957,3249.672363
45.335033,29.068092,32.031090,40.374367,77.013786,3978.328613
65.776199,40.487537,27.850004,31.941452,65.392189,4257.495605
27.552267,18.418262,9.294689,4.909667,18.595642,1996.214600
46.807106,30.083796,14.292068,8.391527,33.509678,3178.549561
49.861683,31.359083,20.744019,15.873985,24.381313,2121.669922
18.201975,12.809583,6.835692,4.489949,9.546464,951.928040
59.849892,36.459049,22.021088,41.297882,45.681831,2934.713623
21.924967,15.355518,3.888914,16.324560,5.795601,40.054783
17.195599,12.237787,6.197224,5.180559,8.196171,680.185669
10.413288,7.251959,3.767600,3.403647,1.074178,20.384089
