"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
10.930935,7.793087,3.335709,3.939350,1.773364,26.188673
65.439384,40.803158,18.604162,14.269819,10.524300,814.347412
19.740902,12.202990,8.968539,71.582199,26.353424,101.047195
7.073131,5.063113,2.160658,4.247415,0.016512,0.162038
19.798222,13.436878,5.937543,11.795674,4.191337,119.429123
29.641560,19.773661,39.052578,31.469873,10.502285,173.242142
34.331356,23.212368,12.586376,15.722500,14.103321,1323.473389
12.294777,8.590284,5.718370,2.260630,0.967454,14.827189
21.969767,14.712934,13.176270,10.670972,1.475443,9.033448
15.549733,10.906807,5.694363,13.112568,7.231515,461.771423
33.061924,21.700134,34.748753,28.338100,5.878309,104.926903
17.241146,12.272947,5.336196,3.915803,1.258927,11.838501
8.093634,5.680429,3.006590,1.746441,0.199306,1.521210
8.612574,5.862352,2.991643,1.622083,0.939421,2.055233
9.434095,6.317816,4.161691,5.937828,1.093306,1.057664
13.707169,9.641524,4.865457,5.903089,0.228734,12.252630
9.060342,6.751804,3.036751,2.056557,0.428252,1.654951
43.965363,29.060629,12.815239,10.233144,2.285801,32.338623
22.395748,15.357985,9.907889,6.624646,1.506054,5.380319
18.709427,13.029306,5.358976,5.110982,1.500291,27.663076
14.481910,9.788403,13.606835,15.633434,3.887994,62.791786
25.856712,17.359129,8.220715,19.736275,6.137835,97.683701
10.793715,7.603712,3.641924,2.771185,0.856989,15.192155
68.596786,41.258438,29.072710,30.443499,20.375055,1371.113403
27.492052,18.666500,14.112214,11.724187,5.169855,174.248764
11.499286,8.259316,3.817038,3.899333,1.845311,48.438148
26.117706,17.918367,9.632647,8.037307,1.255835,16.047976
11.062541,7.731615,5.696255,6.900127,1.545012,21.463039
8.242514,5.897698,3.155465,4.833787,1.450900,28.381956
17.355524,11.598043,4.421995,6.485964,1.026727,12.824914
24.090006,16.413467,7.848480,8.100536,1.419724,0.612183
39.743587,18.745840,22.925905,55.481697,15.562780,102.947342
29.973347,20.426380,9.788737,5.715614,1.329324,28.961565
4.994356,3.381753,1.765321,2.811878,0.204023,0.601020
27.880997,16.575113,43.444782,96.815872,28.869534,210.138901
22.829332,15.396682,7.956674,36.449421,16.475641,199.692062
14.681672,10.017879,4.922033,3.229031,1.290473,0.923303
8.702216,5.903325,2.499353,3.466306,0.613398,2.970752
30.086227,19.607643,36.713680,58.218258,18.106062,76.435860
11.515329,7.589589,4.115342,4.853909,0.801023,34.405552
5.844345,4.334400,4.948101,4.659453,1.123498,14.030685
10.097018,6.783625,3.111041,7.340625,1.643035,92.346375
9.090967,6.243115,3.086002,4.410572,0.853971,6.014309
14.745437,10.291883,3.629368,5.676682,1.053458,4.250079
19.908459,13.876038,6.672195,6.585939,2.283856,74.221939
8.459836,6.123950,2.173155,3.656541,-0.037979,10.468666
27.247084,19.073725,7.240977,8.025860,3.156129,100.355713
17.590879,11.738043,6.326940,9.129992,0.949070,2.211342
7.596372,5.726197,2.384655,2.796170,0.413556,9.421976
16.562820,11.283735,6.916683,9.236290,1.046816,39.470226
5.274841,3.946689,2.533260,0.773044,-0.354584,1.533740
27.468042,18.373411,13.618506,31.962317,10.322110,245.174820
6.232455,4.335079,15.595701,107.350883,17.228487,46.660942
22.683775,16.069073,6.956246,6.591152,1.604290,23.174465
12.024095,8.597050,7.567617,28.646736,7.636585,63.576153
11.740123,8.501478,4.184691,15.716268,3.640566,12.610202
5.234622,3.368932,2.120231,0.678655,0.430185,1.086357
15.431976,11.119337,3.884320,7.360650,0.542961,2.234457
17.449377,12.285346,4.906262,3.388203,2.244996,170.560928
14.288327,10.054820,8.637678,35.138351,9.830726,110.889961
14.217120,8.998940,44.501282,55.924671,19.689926,614.558777
10.772777,6.326095,17.794025,5.526946,1.812974,10.359694
16.774237,11.386434,5.468315,4.519938,1.133413,2.950464
4.280876,3.220315,2.117848,3.821496,-0.053573,1.239076
5.281765,3.699964,2.157710,4.531443,-0.434397,2.406885
57.121319,35.968529,22.540150,21.937691,4.738225,41.577576
32.840080,21.695292,8.910114,11.943551,4.551542,224.263885
6.279240,4.182241,3.151622,41.257812,9.797231,31.583450
8.292295,6.033752,2.181128,1.804047,-0.136630,3.022431
34.995247,23.117945,32.446087,80.738976,26.740700,427.191498
4.257693,3.068486,7.057821,6.785109,2.439287,6.743646
