"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
25.486288,12.981076,9.866315,16.664560,7.113664,22.796474
21.959192,11.445247,10.129029,19.295563,7.825554,25.312798
7.609058,5.611192,2.620232,3.874067,0.595595,0.160578
27.083168,18.307741,13.155812,12.418716,1.567844,4.751692
11.212277,8.096302,17.293722,19.234203,3.211924,10.717937
46.713360,27.280985,27.070866,35.912971,3.989551,6.756350
12.008620,8.762295,3.596515,4.981135,1.092151,1.702790
14.829096,10.375563,4.106272,8.340850,0.349066,0.193196
16.104017,10.974530,4.511689,6.613918,1.218079,1.727175
7.517838,5.337348,3.785581,2.821590,0.926102,0.811375
13.523723,9.523621,4.840932,5.833065,0.616648,2.106482
12.000935,8.702391,3.409543,7.122128,0.915775,1.354500
4.476243,3.330575,1.644706,0.327366,0.370881,0.634735
58.962944,34.304733,20.245743,29.385206,20.631329,1137.108276
28.857914,14.435492,17.655418,20.561098,2.723277,6.297877
34.542915,21.528122,25.236517,27.732546,2.998970,6.025856
13.785827,9.895115,4.620253,3.943892,0.699914,0.961499
26.979351,15.663411,10.266623,12.874698,2.400185,4.278820
6.038849,4.371656,2.119059,4.755184,0.365789,5.012146
6.552561,4.652232,2.838955,2.358619,0.831860,1.243966
12.708959,9.086498,8.992159,7.737369,1.342952,2.579378
12.938479,8.844724,4.156510,4.158615,0.525874,4.103355
23.175774,14.744825,24.692139,21.984108,2.887303,4.811814
5.778572,4.515275,2.439129,3.566852,0.676001,2.127372
6.066513,4.384274,2.420033,2.898752,0.251346,0.664031
6.645118,4.597207,2.884094,1.733188,0.472704,-0.632555
11.472990,7.954378,3.931324,6.149972,0.433700,1.242407
7.277148,5.152880,2.346951,3.207671,0.086617,4.841626
8.642857,6.355462,2.937421,5.956179,1.150642,-0.185427
39.678261,25.803976,17.529678,17.245201,2.149119,3.677775
4.619717,3.245132,1.946984,1.030181,0.579717,0.844525
7.612428,5.485951,3.219702,1.824917,0.263931,1.438764
8.919557,6.601917,2.907830,2.702312,0.017483,-0.041906
10.077291,7.196450,4.035127,5.717944,0.625814,1.501794
9.332930,6.763712,3.292452,5.977162,1.059944,-0.438316
11.991454,8.347121,4.564476,5.615805,0.240274,0.642592
12.358248,8.644588,4.557435,3.497118,1.025960,2.110036
18.839491,13.105474,5.744997,9.457164,0.967273,0.890395
14.215458,10.055640,5.622702,5.397912,0.569577,2.079162
5.613833,4.278431,2.842821,2.541209,0.493616,-0.006133
6.401966,4.548023,3.704175,1.367341,0.551578,0.994494
31.415321,20.836969,13.033846,11.172486,40.072456,3454.654541
4.097394,3.023511,1.684798,0.500072,0.210561,1.052906
38.465801,24.238417,22.634970,22.273073,2.497555,6.316139
