"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
12.553757,8.617063,7.074633,15.002419,11.849873,858.950073
14.366961,10.132991,6.493765,5.676727,6.091923,516.884888
24.759497,16.139757,9.143690,6.554940,11.304790,1108.969727
48.798241,31.628664,13.774200,13.769876,14.243011,1051.178711
29.084764,20.089710,11.220651,10.365875,16.351776,1481.641479
10.517998,7.383523,1.123588,8.157001,2.609795,123.374329
27.965178,18.955166,9.669586,27.854343,15.311502,682.112000
9.492372,6.911818,3.280563,10.700018,2.751128,10.090980
11.803897,8.395795,2.384863,7.793502,3.673759,12.743776
58.733234,36.862007,13.554683,17.083836,13.526205,1078.079102
23.124823,15.444031,3.765008,15.813062,4.680852,19.886032
13.570138,9.846800,3.884951,3.622694,1.169565,57.670708
50.244106,31.101572,21.869213,39.107086,40.794872,3125.749756
14.124449,9.890673,2.394702,8.771078,3.051950,12.356935
19.928820,13.428411,18.162998,23.088266,22.533140,2227.168701
26.586082,17.743942,7.499861,9.649162,7.670838,764.412720
40.458729,24.726658,11.376053,22.141657,19.319471,1433.741577
71.060051,33.760334,54.454563,72.772545,75.795334,4731.608887
36.329140,24.543776,10.701427,15.811105,18.316916,1717.232056
38.279800,24.549692,9.955780,14.762125,22.625570,2243.404541
52.428776,34.110912,13.728368,8.745377,4.434893,396.367462
5.968209,4.145017,3.459484,14.767724,4.797398,15.974261
41.470051,27.653761,11.713139,5.759465,3.502117,251.355621
45.348255,29.448137,14.259993,24.338257,13.651427,585.588989
13.179763,8.900876,15.134521,19.280674,7.307404,235.154648
14.766376,10.212441,3.002053,11.723908,4.090096,11.599375
53.766445,33.955353,16.388449,16.083500,25.054838,2643.896973
41.242023,23.921190,71.095261,104.054962,110.860298,4524.078613
59.007526,34.095940,27.383410,38.616364,45.495857,3921.960693
18.002508,12.254171,5.816049,6.675413,6.131109,534.283325
44.175106,29.551285,11.994897,18.227087,12.354112,696.977905
27.608168,18.455923,7.348247,11.701253,10.401205,780.421875
29.326363,19.983875,9.270435,6.866602,11.691792,1151.160767
41.103928,26.941324,15.251900,18.153622,21.772541,1669.226562
13.171940,9.144084,9.840931,10.155749,6.643309,480.274414
19.029640,13.367263,5.168567,8.278806,11.253301,1080.526855
37.783649,24.925716,18.497976,26.102240,21.704428,1702.162476
16.394535,11.060796,3.178508,22.496929,8.391504,22.491083
21.217899,14.679053,17.196926,15.535186,22.742186,1815.346558
21.009193,14.578115,6.453063,6.401666,7.195799,622.403198
23.198530,15.549610,13.262382,19.622299,16.375879,1495.606323
81.547646,46.059746,58.683754,59.360283,25.384848,900.475891
19.367649,13.368970,6.124324,4.310486,6.544571,712.195557
18.866833,13.358899,6.932204,7.324525,8.245347,741.207764
38.267075,25.045471,12.459306,9.524176,12.045809,1200.528320
40.276440,26.769093,14.330021,7.542019,4.287163,331.337006
40.365490,26.184320,12.191656,14.856724,15.230782,1562.982910
14.859963,10.608892,5.469060,4.043482,0.848984,2.983434
