"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
6.409262,4.272210,3.352548,39.277065,13.477617,5.776138
6.184547,3.942498,2.368248,15.140763,4.376438,6.928415
10.963589,7.131624,3.945143,34.451729,8.362949,6.114657
7.072031,4.599906,2.621946,7.905204,1.651887,0.950869
10.148345,7.077538,4.007178,1.061963,0.714697,19.764446
5.749730,3.982779,3.831670,22.986210,4.989800,7.857406
11.178433,7.688666,3.343730,22.463053,6.553251,9.860772
12.752892,8.319365,4.963746,31.189947,9.298946,47.385956
11.912374,8.247304,3.422791,15.700834,3.705983,7.301179
19.224823,12.604170,6.772288,42.003010,11.472382,23.538813
9.628470,6.229212,3.970047,23.319807,6.327343,12.876445
4.621338,3.332644,1.850380,14.268230,3.812478,4.106606
9.462990,6.330301,3.494290,17.237770,4.713831,7.645368
7.955303,5.464314,2.920515,18.933447,6.584555,23.344933
25.719698,16.846998,11.529329,34.669968,10.076120,32.771828
12.420153,7.962302,4.632143,52.533039,12.202573,12.083499
10.552575,6.979660,3.423775,20.755384,5.618176,7.400076
8.109203,5.588389,3.261668,13.047746,4.160018,8.304429
7.221887,4.706596,2.150512,18.117945,4.003369,5.108766
6.684095,4.337740,3.047160,11.183666,2.960717,3.163458
10.021084,6.519598,4.512722,20.796736,7.001312,14.789106
11.413895,7.817576,4.000731,22.107018,4.373795,2.842164
4.960982,3.263744,1.857894,22.923653,4.602921,7.027087
8.053233,5.292307,3.696625,22.854486,5.614929,14.914548
8.298694,5.377781,5.933468,63.575542,16.602173,22.132469
8.490690,5.814639,3.283950,17.561174,4.972228,8.899557
12.269951,8.194069,9.670595,74.954887,19.815147,32.903183
40.262344,25.079763,9.145590,67.124535,18.918171,51.908226
31.347309,19.871077,8.674919,49.992260,13.640226,12.645380
14.030327,9.126788,5.355298,34.140972,8.657030,10.412514
25.408381,16.888569,8.448529,40.908306,10.112504,49.005020
9.742040,6.621659,3.255441,29.120314,6.693238,10.110250
31.373453,20.313957,15.058641,72.212029,22.460047,33.255203
30.017632,19.403917,12.360881,74.826622,20.812988,63.384644
12.899015,8.695292,6.664369,39.211510,9.783971,3.018481
5.485491,4.061544,3.910218,7.660618,1.625619,1.730135
6.685249,4.765809,2.218539,2.596654,1.135551,9.861616
10.384407,7.222610,2.926783,22.893070,6.228020,7.351931
16.190773,11.116169,6.678349,28.941986,8.441573,19.534681
18.398821,12.431687,3.921800,30.817818,7.593773,3.347380
15.274064,10.581022,5.661716,28.953569,7.420000,4.902543
45.351112,29.466978,18.415527,97.742348,25.809792,73.269104
5.620664,3.759302,2.869197,17.336100,4.999206,5.958690
25.392273,17.017704,25.159903,108.970680,26.579258,130.143143
15.696870,10.577582,4.877187,37.987633,12.936380,29.583189
17.123665,11.224994,4.639963,54.698444,13.448002,25.150879
11.659427,8.008343,4.595132,39.956856,9.581549,28.341722
15.978262,10.770673,5.707219,4.413210,0.840187,8.256340
6.975771,4.745183,3.495171,25.981779,6.379182,9.261334
31.534613,20.233374,23.795961,78.264664,20.378065,25.848829
8.980612,5.928076,4.657398,20.782825,5.985979,8.022538
9.040612,5.977135,3.642705,14.911084,4.497258,10.847116
10.854232,7.490794,5.103101,33.728779,9.242180,24.467371
12.184774,7.879041,4.252746,28.724112,7.781292,4.557672
8.316060,6.105188,7.021845,21.862591,6.458694,8.468883
8.554184,6.070041,3.974978,19.107206,4.557445,9.038888
8.682245,6.042984,2.935295,14.167437,3.428007,14.431554
14.813884,10.002202,6.203652,25.436764,6.114345,24.225737
12.255783,8.498216,5.397201,4.969190,1.018884,6.217904
17.293114,11.391537,12.138546,86.074104,22.890810,52.607246
24.375731,16.121058,6.053249,38.542030,11.966886,13.153591
11.502337,8.122887,3.664880,32.913696,7.871361,9.738970
17.451109,11.478549,14.245472,43.185699,12.225285,28.896223
7.392912,5.282207,3.724255,18.264242,5.200312,6.360311
8.070457,5.759705,2.717496,17.324652,5.378315,30.293198
7.442367,5.251671,3.672554,19.764395,5.498745,13.105629
5.002581,3.570928,2.164864,1.470649,0.152318,3.883250
17.528194,12.335411,6.835303,33.053661,9.194520,27.760408
13.016046,9.054255,3.731898,36.446499,9.971367,12.279350
30.272074,19.508352,8.140073,53.406269,13.733790,43.547413
14.993928,10.386652,5.403106,25.031761,5.992058,4.221885
7.415522,5.348705,3.476402,18.514626,5.306075,15.852557
22.306866,14.373848,22.287928,83.814903,22.622667,32.261841
45.899986,27.260279,21.432981,158.796188,42.275604,95.354736
13.372423,9.067369,4.420616,11.837010,2.520851,1.005157
18.858250,13.147659,4.372543,33.968452,9.688427,27.756927
13.986879,9.515280,4.877439,27.555328,7.734159,16.137594
9.132678,6.233492,4.368867,25.107908,6.209758,14.678668
17.436396,11.731848,5.594209,29.542336,9.295260,18.674774
21.486874,14.199208,8.087511,53.067295,15.175560,30.601625
7.381973,5.117384,3.062311,23.634459,5.627831,8.267334
16.970394,11.765119,5.436416,62.253559,16.030369,50.134102
30.363132,18.846357,12.842752,75.174278,20.718298,24.578348
5.337348,3.399704,2.402337,20.586292,4.313260,8.621862
13.359105,8.809707,20.694790,66.485687,18.541851,57.263641
14.288093,9.777048,2.835652,36.953568,11.318645,26.875340
12.501583,8.260395,5.212459,18.801899,4.963737,2.973516
16.627375,11.238049,5.507993,56.318459,17.958807,14.951299
11.197768,7.831536,4.956446,43.208050,10.151780,10.255732
14.540827,9.622608,5.881037,38.396492,10.326014,22.491966
8.810489,6.111534,3.147278,29.982965,9.454783,25.265852
21.555489,14.377809,7.041325,48.105446,13.317910,21.874960
15.933572,10.892525,4.185249,2.468653,1.064459,6.814436
5.943832,4.164378,2.236419,12.596868,7.596953,16.902979
16.820974,12.020136,5.534374,27.702509,7.616440,3.689727
15.565909,10.697581,5.402175,48.887840,13.047683,12.813896
7.306734,4.967686,3.087401,15.806809,5.217752,6.264465
15.490648,10.623554,4.674026,3.224614,1.170791,19.175304
30.162306,19.505808,8.392692,98.409256,25.867023,20.087008
