"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
10.984618,7.232415,2.659095,13.780176,3.647749,0.636011
15.074322,10.305413,4.534393,10.104297,2.657104,5.688064
17.344067,12.060213,3.380373,9.884211,2.418560,0.827976
10.621508,7.209159,3.565614,7.515584,2.320318,1.297596
12.017807,8.008324,3.456706,5.183358,1.569002,0.944717
8.066004,5.295035,2.809364,7.165483,1.404580,0.679814
6.009709,4.392768,1.742356,7.339355,1.330910,0.710058
7.584168,5.542265,2.254277,3.848616,1.016836,1.396472
4.942105,3.669667,2.464825,4.487636,0.778470,0.724103
9.294868,6.714276,2.797446,5.432326,1.106339,1.762975
5.403414,3.940394,1.989775,16.953627,4.246986,9.509268
13.850691,9.436160,3.966482,32.301571,8.455750,20.027418
4.551630,3.156473,2.815135,13.180715,3.630758,2.594603
6.339630,4.182575,2.370042,5.110865,1.540938,2.366207
12.315333,8.485182,3.954969,8.501074,1.879798,7.678854
5.907418,4.269676,2.240804,4.845668,0.914310,0.158976
13.476514,9.482101,6.161839,13.524177,4.023950,2.824719
11.061738,7.327891,3.386776,5.140957,1.114547,0.004446
11.382601,7.910942,5.814373,15.798098,3.188383,1.487800
8.557132,5.649996,5.381307,10.522384,1.970581,6.241100
14.146053,9.632391,10.789539,72.523285,20.666616,32.322014
7.867993,5.345652,3.078510,15.937436,3.254977,0.393633
8.928675,6.346019,2.758667,6.309387,1.271490,0.324904
5.787002,4.193675,3.217643,25.921404,7.312815,35.206970
4.717046,3.302587,1.429601,3.888584,1.314049,0.853487
8.211879,5.387393,2.190154,3.906595,0.446914,-0.018814
30.414101,19.790749,8.844887,46.691338,14.585657,27.830969
17.885990,12.170828,7.336894,15.462326,4.505797,0.253161
9.978962,6.565412,3.895817,22.261309,5.594033,10.200424
9.680164,6.883746,3.078343,5.466352,1.225650,0.146557
9.087225,6.482075,3.208315,7.719100,2.816954,0.141639
12.808958,8.513748,3.684381,12.252259,2.800611,1.931801
21.064604,14.485101,16.481291,89.780678,27.875410,71.899094
11.766247,8.051379,4.586349,42.774101,12.119810,28.876446
17.567308,12.052225,14.295921,36.441273,8.293406,3.733381
12.906147,9.402121,2.737782,3.528499,0.882123,3.667513
14.892296,9.862244,4.663496,30.395521,7.533902,10.018893
14.159076,9.694533,3.655980,9.999857,2.321095,2.848064
5.138427,3.547810,1.852778,2.887474,1.163896,0.718526
9.255257,6.541795,3.457115,5.721271,1.191848,0.502080
13.644093,9.634977,4.053192,9.533325,2.219106,0.891956
9.691929,6.578794,2.830718,3.457833,1.210099,-0.025961
17.366463,11.999048,3.576947,13.514962,3.462172,0.993713
15.448022,10.151248,9.017471,11.722902,2.444250,2.412046
6.807096,4.977607,3.261514,23.389387,6.134111,6.824364
5.238462,3.488787,2.016282,4.644757,0.697770,1.680729
14.640557,10.053020,4.802453,9.784522,1.785570,1.490096
10.073193,6.925458,2.954856,7.648130,1.801727,0.456787
12.501944,8.681951,4.903523,8.770574,1.507142,0.736158
7.771353,5.188208,2.824384,22.087854,5.029172,8.473197
7.003914,4.661597,1.783502,8.844004,1.035300,2.675091
7.078213,4.863244,1.955542,4.816703,1.612638,1.574869
7.329778,5.110423,2.029033,5.683271,1.825098,0.343087
12.063242,8.245252,3.680827,18.865646,5.604424,9.679927
6.253575,4.686121,2.339254,4.812239,0.861031,-0.181401
10.616669,7.031344,3.138546,9.602617,2.130361,0.999843
11.077159,7.874038,3.196233,9.649272,1.905271,1.338170
8.029489,5.729741,2.414685,4.279314,1.210135,-0.749278
6.865441,4.744554,2.437517,5.298044,1.233354,1.002712
11.702600,8.370296,4.303248,30.147518,9.529338,23.035429
17.101631,11.985925,4.780728,13.699274,3.445284,1.018173
64.011711,39.464439,44.850239,191.985977,53.557011,218.032089
7.113663,5.008822,2.964358,24.373119,6.574004,4.947090
11.832438,8.089824,4.238983,13.413649,2.691015,2.217468
10.107922,6.919373,2.974859,6.747714,2.625952,0.220952
5.033156,3.512169,1.738751,3.536177,0.741089,1.023827
8.183884,5.493536,2.693889,12.115502,3.344345,7.647196
8.656293,6.140343,2.699610,40.831772,10.820917,18.262970
4.587381,3.225398,1.912479,4.529811,1.285339,3.232297
10.262038,7.026663,3.514673,17.929382,5.526744,8.145592
12.255863,8.555597,5.345914,10.136829,2.739265,17.862167
16.627003,11.467479,4.963393,25.345490,6.335530,19.655823
7.976705,5.447457,2.513807,8.532417,2.448205,1.346012
5.733359,4.234766,2.091375,3.048193,0.718495,0.941539
16.485809,11.524034,5.117643,8.938093,2.056167,2.388488
4.989200,3.412552,2.485208,11.499161,3.154245,5.033846
10.762682,7.562155,3.719302,6.959074,2.529691,2.586675
17.604235,11.787691,4.611933,7.303337,2.195597,2.414568
9.929953,6.910071,2.913336,6.754915,2.056903,0.816585
8.625832,5.928945,3.397770,17.093554,5.288499,6.738280
6.895841,4.934279,4.677983,33.317772,7.886914,14.265341
3.980670,3.159162,1.400808,3.592483,1.246248,-0.237720
17.659370,12.346113,8.664165,65.873436,17.930191,46.733086
14.816915,10.022019,4.954528,29.661942,8.059333,15.699367
8.419150,5.880020,2.929538,15.742123,5.105313,18.087151
9.669842,6.664255,3.364677,19.488575,5.903281,8.152122
9.406070,6.734517,2.910482,5.955156,1.546518,2.144232
15.540728,10.841320,5.472249,8.091341,1.855696,1.439699
24.180344,15.552484,12.026802,49.399082,13.990790,27.785067
10.651773,7.547413,2.585350,8.856847,2.169011,1.030684
14.379557,9.956749,4.398353,12.675248,2.470215,2.678602
9.945521,7.084107,3.431083,6.391060,0.828616,1.797009
12.852354,8.939400,4.828659,12.176988,3.173413,3.093384
4.807142,3.523509,1.757436,5.097572,0.537321,-0.629930
17.135530,11.562372,10.424287,60.616482,19.347940,58.190090
9.739479,7.065989,3.536287,19.212364,6.506353,11.466311
15.320757,10.430332,4.477880,30.140545,7.391047,10.067730
6.175508,4.214863,3.308568,17.315283,5.395847,7.987128
12.489990,8.641551,4.668065,25.317932,6.057158,12.923716
27.022560,18.434500,7.141881,64.834740,18.374773,52.187904
4.569438,3.282244,1.837739,6.504022,1.136853,1.022209
9.872604,6.888220,3.170387,8.466715,1.625279,2.943604
41.572731,24.971937,27.229031,166.969437,47.648285,90.479691
16.673134,10.875773,7.617610,22.017803,6.213161,25.233337
15.177481,10.193579,5.191141,30.188478,8.062061,15.083457
7.861912,5.322099,3.285033,42.418507,12.295488,7.417287
21.911554,14.255949,6.602160,16.696690,4.581029,2.344151
9.850286,6.941983,4.048635,21.995369,5.579884,5.316140
5.269176,3.819092,2.310063,17.333757,4.293636,10.973659
40.715633,26.441786,23.285778,133.090240,33.891087,118.759239
20.006306,13.209555,8.122256,31.600542,9.296103,24.977816
15.089664,10.274761,5.281710,34.176941,8.476169,18.333942
10.207959,6.601748,4.076661,12.152430,3.331720,8.010494
8.104759,5.284784,3.087778,16.386106,4.169453,9.212325
4.641291,3.443269,1.403085,11.776808,3.151701,4.843012
10.983535,7.891903,3.699413,9.672725,1.912743,0.429477
23.962595,16.216230,6.608155,60.684921,16.942801,28.475168
9.769130,6.736425,3.051859,8.285354,2.455649,1.306122
15.053179,10.219604,5.119731,8.550403,1.868104,0.342353
8.065215,5.621896,3.056456,9.582981,1.874777,1.697065
11.057384,7.775177,3.463920,18.770901,5.007956,8.947234
8.359941,5.618052,2.597058,4.165380,0.799737,2.265388
5.001203,3.647233,2.155102,3.951062,1.242280,-0.236433
7.306624,4.885850,3.130132,12.003940,2.170048,2.896115
7.937284,5.323562,2.574434,6.643639,0.891499,1.354393
10.245982,7.229060,2.913698,7.227272,1.167159,0.478215
12.200438,8.346685,4.279702,5.419216,1.505584,0.442096
10.942240,7.295096,3.605587,18.145729,5.426393,14.556445
7.514771,5.312529,2.372321,5.338552,1.179083,2.630406
31.643585,21.018074,7.291965,65.729561,18.714249,32.644245
8.504054,6.263640,2.683505,4.082288,0.842632,1.067678
9.784331,6.693593,5.598570,17.227652,4.686583,0.698044
17.591654,11.973597,5.260432,26.387199,8.956762,37.558208
8.664294,6.273115,6.170489,47.507565,14.310094,43.693417
14.875680,10.250257,3.991832,12.526623,2.127447,0.409035
6.438577,4.162846,2.928287,14.893034,4.257226,9.030682
15.903217,11.060055,5.650985,9.427063,1.720018,0.835168
9.021061,6.111599,2.189283,34.717682,9.285355,28.513475
19.861755,12.909180,6.258571,46.297211,13.128395,25.879372
12.294580,8.754677,5.003953,13.101403,3.013619,1.414371
7.699488,5.400769,3.155417,18.951365,5.305123,3.571051
11.319141,8.295731,4.024532,15.726226,3.504283,15.822537
6.840648,4.869672,1.891985,7.794450,1.571528,0.883097
15.587700,10.855662,4.031942,11.358145,2.327817,1.425878
24.342537,16.344294,9.751525,51.803238,11.999104,32.929962
32.069683,19.663479,27.629089,99.525002,25.921215,64.574905
4.004340,3.091213,1.572990,6.419857,0.814965,1.852160
10.929874,7.761735,4.509754,12.158485,4.037364,4.420426
16.113815,10.507290,5.285177,30.690893,8.686909,18.461052
12.663671,8.806928,2.995663,8.941580,2.281720,0.789927
39.691177,25.614944,15.238365,122.585426,32.364445,36.970276
15.946412,10.761416,7.119996,74.183052,22.288651,25.804249
7.167397,5.137476,2.300880,2.621392,0.835498,0.278777
9.031508,6.203619,4.019568,18.439688,5.301489,14.221480
8.175758,5.465086,3.331874,23.439842,5.729596,9.945334
