"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
21.715260,14.159904,9.850985,103.364227,27.736288,17.950878
14.563169,9.710320,5.520955,47.600777,10.960662,12.082840
20.310900,13.708162,7.769855,54.833515,15.050834,26.532187
13.438211,9.162285,3.465528,20.380201,5.072681,1.043806
33.725731,20.993553,32.274307,273.149139,71.664902,78.346886
12.691403,8.468863,4.446484,29.509666,6.930753,7.092463
36.021187,22.642279,14.699909,104.705086,28.254025,20.820181
10.951344,7.434355,3.373095,6.275700,1.141943,1.982689
56.901001,35.194324,15.604677,84.720802,26.096634,19.197105
9.495040,6.439618,3.176343,18.690138,5.166968,5.480452
29.481228,20.084192,10.339801,23.015974,5.383677,4.344119
16.181263,11.297732,4.652786,5.231902,1.038668,0.632194
6.460412,4.651834,2.186024,6.046018,1.746998,9.132359
14.907701,10.301350,4.729210,8.603149,2.259412,5.211506
12.376100,8.591993,4.058630,35.552872,8.492619,7.282084
6.840361,4.895286,2.437401,6.418446,1.275334,3.533301
7.303357,5.346970,3.187858,3.755075,0.692518,6.663730
7.848266,5.206919,2.482428,5.784366,0.835736,1.520033
16.490559,11.588310,5.045856,9.074468,2.645060,4.408165
10.262167,6.763887,5.370584,11.809203,2.781992,12.528641
10.385683,7.129950,3.218755,14.151745,3.777115,6.006567
9.354984,6.352732,3.064212,5.142454,1.424834,7.614118
15.405663,10.343822,4.678173,5.951937,2.147242,10.941162
9.311457,6.299387,2.874491,5.818431,1.625790,4.416249
15.090239,10.382665,5.375846,7.380868,1.675073,3.448572
17.720041,12.467471,4.649408,10.894738,2.373568,5.603871
6.257646,4.531960,2.214194,2.049441,0.380604,0.832791
4.570987,3.213918,1.832168,2.955159,0.591723,0.324651
15.791094,10.563214,4.585695,10.862236,2.512816,2.962067
6.262944,4.137164,2.542169,7.317942,1.511610,-0.028593
8.075643,5.581806,2.629247,3.790727,1.687413,2.096889
6.424905,4.485428,2.497648,3.255249,0.655912,2.457252
7.738877,5.512933,2.841009,6.956004,1.016636,7.651078
5.725347,3.717884,2.316543,5.202557,1.242614,0.916726
4.391711,3.202127,1.981778,3.752494,1.144411,-0.241461
18.039125,12.331808,8.485575,16.732693,3.931170,4.353816
35.234760,23.946106,16.470062,39.081551,9.213916,10.076086
10.309342,6.749587,6.283236,15.082792,4.333537,23.941174
24.730246,16.807697,8.794452,9.900638,25.095158,1781.165039
12.940563,9.303636,3.292689,3.487210,1.131081,2.871972
16.371435,11.389738,3.745785,10.555632,3.041241,1.581835
5.613427,4.213681,1.937094,3.171873,0.559541,1.314476
5.395471,3.499903,2.204340,3.863819,1.381814,1.033033
15.655342,10.273318,4.770968,7.254780,1.697180,0.824969
7.539867,5.420112,2.589509,7.382788,1.419350,0.965763
15.264928,10.401019,4.475536,8.440873,1.916673,20.328880
24.230934,16.202314,7.840776,14.903204,2.940133,7.205718
5.286941,3.949994,1.760974,4.366742,0.761548,-0.168750
16.022823,10.711370,5.082248,11.623023,1.943231,1.908593
9.404899,6.332617,2.863703,6.338620,1.719187,1.624460
10.385389,7.591284,2.977384,5.294528,1.142535,1.488357
13.762524,9.532433,5.808850,15.129128,3.414185,0.691968
7.644333,5.629221,2.751081,4.017555,0.409597,0.843517
4.706925,2.996229,2.050856,4.774979,1.307878,0.808024
13.549125,9.126429,4.819955,6.656679,1.801124,1.405676
26.162159,17.392061,7.595944,63.452423,15.917199,19.108248
10.437324,7.278945,4.011219,8.619816,1.226116,2.989588
16.983604,11.604375,4.441425,44.067043,10.603914,14.864126
7.912769,5.461717,2.819988,4.518803,1.226205,2.925792
15.337864,10.643856,5.053893,7.156352,2.087234,2.750156
8.258323,6.096033,5.059539,12.594755,4.245971,14.479731
10.555096,7.558311,2.671170,5.722493,1.555225,2.421973
4.822410,3.406650,2.413885,21.377691,5.394420,8.124818
6.431372,4.809184,2.537522,5.102942,0.882319,2.464109
5.764907,4.218567,2.452983,1.203668,0.374019,5.021502
10.977545,7.799889,3.450935,7.897063,2.499742,1.781621
6.435955,4.257574,3.358746,4.344545,1.106709,0.962886
5.131838,3.698937,1.902497,3.185163,0.554960,0.708612
6.153011,4.079890,1.737328,5.191093,0.920740,6.145512
12.195842,8.262625,4.243871,12.592657,2.963830,4.556797
4.803036,3.382868,1.599841,2.283659,1.048528,1.297946
18.986172,12.932323,4.834711,11.186905,2.450051,12.531849
14.811144,10.177681,4.794336,11.824530,2.287352,2.150274
15.913527,10.948634,4.060923,9.675311,2.520042,2.364188
7.070584,4.810167,2.283067,6.242921,1.691568,3.353602
13.739569,9.546585,4.536970,45.074413,11.010990,14.835118
5.794130,4.083151,3.197426,3.566876,1.207126,-0.330115
33.210495,22.499361,18.902773,70.017899,14.699189,46.859867
4.689739,3.553137,1.705156,2.887308,1.145406,0.866628
14.888350,10.201406,4.570206,7.220792,1.009826,4.572135
14.774034,10.274856,9.460661,9.886941,2.142696,4.485516
5.839409,4.318830,2.240815,3.395885,0.999608,1.785446
14.921304,10.392988,5.007454,9.585827,2.863684,3.910604
5.844926,4.223679,2.230761,2.413549,0.288375,0.514902
19.028257,12.838027,6.403949,10.737827,2.520952,18.823498
8.329406,5.947092,2.599735,4.943945,0.548684,1.517855
8.830575,6.353047,3.596786,2.848918,2.011203,22.690443
6.808231,4.692028,2.391032,7.011842,1.344543,3.226947
21.581684,14.499627,6.808035,12.753335,3.671216,13.208266
20.310064,13.742481,6.746065,4.796218,0.967980,16.544003
15.073009,10.109337,4.341160,10.541273,1.955487,0.855608
15.443099,10.624146,4.667859,7.223917,1.150321,15.694655
16.648470,11.594429,3.792055,11.683707,2.851708,2.496443
13.464575,9.688060,8.448895,31.992088,6.413795,1.668472
4.860707,3.780390,2.245837,5.004450,0.824895,3.032019
9.968246,7.096506,3.607777,3.634703,1.380524,4.542509
21.125742,14.519688,5.214226,13.376151,3.030160,3.458485
9.800049,6.991963,2.954693,21.368763,6.246577,16.462261
22.484285,15.477489,7.302470,9.983337,2.346830,5.313610
9.085731,6.349538,3.513767,5.934168,1.674721,11.599486
18.520702,12.544330,6.119987,8.612975,2.963421,1.783577
9.175577,6.415197,3.034557,24.598421,5.210500,6.292908
5.523923,3.685927,2.171802,5.262741,1.108329,1.249512
16.397900,11.379313,6.684666,9.017355,1.241035,1.537995
17.847631,11.917822,8.097208,21.817007,4.169434,6.436749
4.852186,3.460527,2.023235,3.399294,1.250291,8.857810
8.607274,6.107756,2.823916,4.171650,0.942191,4.410210
11.773366,8.193203,3.787698,7.568697,2.037557,11.149720
5.018960,3.483398,2.199254,4.940974,0.858544,2.952487
6.407607,4.347059,2.918291,2.324409,0.369450,4.811404
7.710036,5.213948,2.967830,6.550466,1.289229,2.244012
4.737919,3.469342,1.507040,3.514903,0.898234,-0.042549
15.419577,10.477480,6.400084,39.382950,10.795270,6.684356
6.846537,4.552362,3.052033,17.933863,3.990727,3.879175
17.652462,12.232331,5.599545,10.615096,3.337575,2.612526
9.357139,6.533871,3.163239,3.378034,0.861841,2.252470
6.250960,4.512737,1.997053,5.923621,1.450929,4.518887
16.546375,11.222509,6.108054,19.805958,3.899746,10.285259
12.322263,8.541137,3.711380,9.315345,2.254150,3.327058
10.231360,7.239328,2.920625,11.027078,1.799712,0.320884
7.050371,5.104888,3.009959,4.351378,1.186818,2.652545
24.716841,16.512829,8.570044,9.841681,1.782723,9.457277
26.133633,17.227554,8.006554,19.103357,6.235853,16.806770
11.796193,8.364855,8.681326,16.032398,3.253121,8.100583
12.405406,8.222732,3.764741,9.034978,2.046062,19.988249
14.034950,9.639949,4.472178,7.856384,2.042911,4.907018
8.154106,5.813726,2.671177,5.612239,1.816566,0.967547
6.870887,4.899466,2.804900,3.987145,2.030620,7.210854
6.746254,4.656401,2.393768,4.570036,1.000358,0.925371
9.495996,6.491707,2.916780,9.105944,2.057091,12.326803
18.855799,12.702848,5.275016,12.339377,3.938146,20.012514
6.238430,4.587880,2.503055,4.005585,1.008424,5.205485
28.847744,19.374109,8.792035,14.920213,2.951606,3.632654
17.682751,12.452925,4.276006,11.641058,3.751028,9.853650
11.890976,7.824109,3.634382,11.668743,3.778865,9.198725
