"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
7.964168,5.294549,3.824381,6.788459,1.181346,12.413980
9.172826,6.292352,4.420010,3.870373,1.134368,2.056375
11.163761,7.925081,4.817320,8.375772,1.410552,3.483827
12.187138,8.612968,4.209023,14.643132,2.899387,4.654048
4.539958,3.369652,2.198483,1.744692,0.825506,1.091271
7.944471,5.569693,3.695840,11.283304,3.685109,1.215989
11.056900,7.383491,5.988859,14.420435,3.196798,16.516487
4.645932,3.039824,3.455308,5.160457,1.034708,4.420496
8.237792,5.500722,3.601516,1.974764,1.332517,4.534518
16.694078,11.200361,6.321901,16.734886,4.444920,5.709220
7.948456,5.344203,3.197955,4.185522,1.709093,1.866993
14.286779,10.077029,4.695680,9.045891,1.853654,2.462337
7.153864,4.743387,5.939246,6.853854,1.711253,3.288055
16.391117,10.926960,5.722920,10.401121,2.288008,4.932696
5.087700,3.602369,2.964833,2.574558,1.361496,2.939070
6.518657,4.773216,2.873490,2.908290,0.928608,2.489548
5.480363,3.882126,3.337987,4.873892,1.457460,2.563781
4.016404,3.009654,2.210766,3.564603,0.778544,1.309138
10.628383,7.346366,4.781343,8.656250,1.815776,1.655801
6.376688,4.398775,3.729889,4.674506,1.709643,2.984733
7.583276,5.054755,4.430509,5.129713,1.346457,0.987972
7.767907,5.437204,3.282256,3.087118,0.813595,2.402500
8.699906,6.010325,4.435107,15.370738,4.495687,7.359515
6.144452,4.193675,2.563509,3.612966,0.871571,2.078527
16.705912,10.962499,5.586741,7.559593,2.036097,4.099131
9.963383,6.638614,6.197165,17.443218,4.779205,7.037244
4.970827,3.372292,6.099673,11.600498,3.415352,3.445749
8.363529,5.945242,3.805290,5.064113,1.610454,7.537987
5.089049,3.147443,1.890524,3.312897,1.279615,2.440190
8.500580,5.998736,3.510857,4.347534,1.025478,3.989141
9.026459,6.131123,5.717613,11.239980,2.974232,1.832376
5.588473,3.844559,2.719267,3.519762,0.891829,3.994286
5.315368,3.620843,3.384332,1.823025,0.995189,0.888129
14.668738,10.065539,5.876742,4.966640,1.378445,4.083731
4.248731,3.263162,2.546548,3.695302,0.779812,1.066805
10.361105,6.899679,3.767237,5.229960,1.400425,3.024103
14.742167,10.045349,4.477622,5.949533,1.493001,0.889628
12.507658,8.534865,4.571052,8.959678,2.667820,1.096560
5.581665,3.822468,2.267419,3.370031,0.863638,0.725675
10.942419,7.335252,3.335582,7.193964,2.164111,13.977936
10.487812,7.330900,4.417790,6.866750,1.161055,2.915122
12.669485,9.004941,4.131835,3.357747,1.403122,2.862233
5.720750,3.728785,2.568939,2.812917,0.731256,0.743499
13.103151,8.564334,5.707487,9.084923,2.487144,2.991114
12.226033,8.395576,4.884336,9.641870,2.227186,1.437597
6.174980,4.373797,2.695436,2.771720,1.001602,0.712040
5.207458,3.903729,2.521923,2.649826,1.117139,0.835963
11.535162,8.039350,5.449856,10.236067,2.663181,7.373440
8.430592,5.645452,3.931259,4.602710,1.642973,1.465356
8.025143,5.661230,2.928044,3.135870,1.161565,0.173214
12.290596,8.583105,8.432067,18.216335,4.845714,13.906161
12.858174,8.967857,4.886630,5.903351,1.980811,4.280764
5.342357,3.431956,2.633123,2.416180,0.423895,0.661218
9.003471,5.956434,2.654946,6.140437,1.500901,0.161040
4.898840,3.480677,2.503681,2.710434,0.907500,2.074107
5.147687,3.338717,1.851727,2.446474,0.671966,1.203589
20.027700,13.824965,9.683947,13.756370,2.873960,3.000311
8.379789,5.699224,4.302019,4.915575,1.220858,1.788615
11.955525,8.223557,4.768089,5.687664,1.229779,7.801406
10.372888,7.332698,2.580341,8.661215,1.561783,0.558989
9.691696,6.874231,4.030084,5.996233,1.082541,1.007449
10.615863,7.207359,4.329736,7.302420,1.758971,8.173340
18.516310,12.607699,5.995532,10.682796,2.577716,2.866733
10.960260,7.876201,4.167492,8.130541,2.061903,2.960964
6.454785,4.355896,3.124988,3.509219,1.317686,1.257556
29.203907,18.740440,13.130674,26.216364,7.475442,14.278064
12.480430,8.148565,7.011882,14.067178,3.558815,4.712533
6.911938,4.370323,11.153296,11.363613,2.710382,0.501291
8.526477,6.155085,4.582629,8.465333,2.786628,1.934754
6.998522,4.875174,4.672811,4.928936,1.305263,2.762399
6.919138,4.847713,2.371933,3.770649,1.691938,6.116368
12.938121,9.026073,7.815842,21.352776,5.792206,8.921606
7.290401,5.020211,3.664795,3.002670,0.911171,2.264658
13.969002,9.270167,5.111825,8.302704,2.963280,5.520470
10.294781,7.556749,4.338403,14.371329,3.471668,9.362332
8.388547,5.838700,3.972199,2.902495,1.352699,1.241305
5.533192,3.579611,2.139374,2.766189,1.085593,0.545637
8.235478,6.035128,5.419769,4.104161,1.016013,1.495922
9.554630,6.192908,4.171560,5.078475,1.778092,4.737809
6.631262,4.830312,2.539891,4.972433,1.213573,2.137902
11.220984,8.016555,4.199001,9.368639,2.489423,4.310365
7.587338,4.944440,2.962863,18.269369,5.421262,25.044701
13.902572,9.736860,5.393499,10.304300,2.252445,1.848119
5.112154,3.445481,2.745489,3.425132,0.524292,1.369207
8.504938,6.063125,4.294996,6.509196,1.534390,0.961733
10.291804,7.213571,6.209978,8.146695,2.096441,2.683141
8.898490,5.818989,4.661986,6.137456,1.056812,3.195134
10.493537,7.423351,5.264927,8.663260,1.848547,1.904383
9.589244,6.580316,4.041375,5.911747,1.494347,2.163069
12.867962,8.920704,3.632678,4.674685,1.518453,1.359537
4.971478,3.334435,2.550337,2.802486,0.611477,0.877055
11.668428,8.365846,3.863597,9.793982,1.829476,2.526207
10.593272,7.230415,4.889425,6.600772,1.750763,1.105964
4.850036,3.279368,2.418718,4.053819,1.137837,0.935700
13.882737,9.609247,7.446731,9.765681,1.975883,1.991841
17.338861,11.826732,4.240463,7.745375,1.838059,2.422832
10.988465,7.653233,3.927407,7.928617,1.821980,3.397718
5.045967,3.421406,2.897501,3.181720,0.670361,1.202731
10.917212,7.481883,6.180078,6.215817,2.182403,4.859649
10.965917,7.570241,4.578967,5.834082,2.139405,2.280772
13.720152,9.233172,3.210346,9.570940,2.634567,2.251836
9.865455,6.796667,3.349112,4.684896,0.863911,1.842658
5.913544,4.158949,3.029681,3.364682,0.686539,1.724920
15.507849,10.967326,4.311199,9.785872,2.256192,4.822958
12.900526,9.110205,7.661119,10.128399,2.589505,39.661701
13.913536,9.365679,5.862245,6.573448,1.625614,4.121601
14.605281,10.075041,7.849660,14.587736,3.140507,4.381614
4.645818,3.493496,2.715348,0.862940,0.629205,0.819422
6.570292,4.520996,3.457477,4.201053,0.797777,1.150940
12.970385,8.558486,6.371255,18.881481,3.629392,2.945517
6.523303,4.695149,3.225194,4.169851,1.489401,1.579156
7.304408,5.300396,5.238816,13.280430,3.464724,0.486476
4.131314,3.000673,2.739799,2.372604,0.729486,1.251120
13.159099,8.916376,4.417490,13.086844,2.803995,4.862162
17.219948,11.698274,5.456565,10.457818,2.665570,17.217922
8.849561,6.350765,3.234729,5.065197,0.933331,0.744033
8.660172,5.702923,3.012211,6.177411,1.150671,6.838735
29.689804,19.782690,17.331976,33.535603,7.563605,10.231642
8.987256,6.389648,2.824904,8.618318,1.885977,2.126027
11.700480,8.170114,4.093060,7.413261,1.113409,2.265410
12.547949,8.583892,3.353111,10.924879,3.302921,2.917058
4.799742,3.512339,2.486248,4.301211,0.796162,0.420947
13.301187,9.598160,10.072614,20.100641,5.342229,11.927582
9.272597,6.259141,4.720783,5.770016,0.879654,1.391251
8.141030,5.735549,3.593166,4.935030,1.159587,2.051419
9.774149,6.984920,3.442723,6.126327,1.749802,2.558573
5.330254,3.738531,2.370919,2.262935,0.905069,0.906780
11.449819,7.844413,4.542106,14.060079,2.952840,4.983942
6.199356,4.580107,2.972836,4.491397,0.914570,0.889626
9.049185,6.049202,3.402911,7.011289,2.092836,3.540689
7.163618,4.844573,3.902409,5.086722,1.150038,2.375944
4.715694,3.092519,1.895391,1.399777,0.843998,1.384347
12.758932,8.677698,5.146048,10.659411,3.133906,3.568313
6.226487,4.472578,2.817611,2.815624,0.866408,1.424985
29.259459,19.527599,18.575783,24.247400,4.397253,14.624812
6.631600,4.864750,2.885392,4.451926,0.750645,0.934445
14.848741,10.220821,5.114810,6.728317,1.709294,3.376636
7.648453,5.226590,3.404612,5.821444,1.074734,1.808405
6.929225,4.394775,3.270291,4.389803,1.471959,0.646995
13.395525,9.670204,4.796633,5.809429,2.430976,13.546215
22.891102,15.471570,7.144557,12.481523,3.299830,3.896331
4.588363,3.489212,2.080005,11.304572,3.940372,12.666256
5.553829,4.106733,2.499650,1.589123,0.831607,1.533656
6.837330,4.874218,3.031082,3.701571,0.730016,3.348958
5.083146,3.679499,2.559636,3.304458,0.796629,0.909613
14.240089,9.623196,6.768321,9.376179,2.115061,4.165895
7.761137,5.517360,2.527380,3.717537,0.893604,0.729767
7.941594,5.717057,4.327454,3.679778,0.891806,0.724396
6.026584,4.235928,2.990350,3.220880,0.722928,1.117590
11.412598,7.555707,4.178822,8.930857,2.413976,4.400169
9.565313,6.724565,4.471979,6.192636,1.541553,1.761478
6.774251,4.688419,3.223793,2.228419,1.302776,1.343963
13.336979,8.860620,5.421416,13.966847,3.609308,4.121362
7.966308,5.288092,3.022284,3.955824,0.819069,0.663411
21.201227,14.772947,5.086952,16.083525,3.348981,2.821361
20.359865,14.063620,7.088990,16.474112,3.968992,5.763893
5.866994,4.248372,2.975986,4.092196,0.758138,1.033930
5.677330,3.721020,5.644749,12.116706,2.579914,2.158370
5.244887,3.469322,2.887543,3.892145,1.112028,2.069204
10.648571,7.185492,5.255465,8.890649,2.911025,4.964689
7.293476,5.036463,2.999601,4.725780,1.357931,1.926698
12.779364,8.339198,5.639256,6.468894,1.875867,5.957216
14.196122,9.942423,7.314836,18.915089,6.369391,1.858631
6.150407,4.336344,2.365110,3.212787,1.096381,1.569019
14.962029,10.410883,4.836459,13.430531,2.884740,1.859558
11.544731,8.319736,3.586897,3.697110,2.070351,1.614027
15.817370,10.498103,6.990330,5.135022,1.612473,5.401372
4.741935,3.529457,3.815835,4.842869,1.765264,2.135118
6.150186,3.903330,3.066946,4.417544,1.392138,2.215092
6.272722,4.279823,2.474762,3.527990,1.018504,1.581904
12.792979,9.012075,4.001191,7.913423,2.354612,2.952043
9.698154,6.542207,3.340628,7.600777,1.880213,1.850763
5.598435,3.753415,2.393393,2.733872,0.533106,1.227640
5.994020,4.004681,2.257761,2.993270,0.987949,3.008949
12.928691,8.724097,4.246514,6.080478,1.139058,3.468919
9.871271,6.851300,4.583693,5.722764,1.449083,1.639225
9.529282,6.866801,2.573664,3.792440,0.822077,3.037962
6.327923,4.485398,3.466447,7.426372,1.995893,4.769658
6.602821,4.433746,2.913808,4.615918,0.535230,2.098835
8.632972,6.088366,3.977299,6.226948,1.454411,0.527746
13.113627,9.138169,6.242273,9.430338,2.687857,2.064303
5.266323,3.657054,2.902205,2.694041,1.201286,1.518643
11.495577,7.805490,3.603805,7.304626,2.874157,1.448693
13.183617,9.213069,5.162208,6.674911,1.863955,2.620402
14.718619,10.227800,7.989289,11.763462,2.367880,5.235105
4.998758,3.162382,2.287875,5.051833,1.555422,1.263843
7.718484,5.133787,3.979676,2.319222,0.987612,1.653862
13.193023,9.091268,5.499528,9.377628,1.579272,4.342811
11.361582,7.492675,4.836734,5.489169,1.559835,3.208475
13.420827,9.954735,4.601077,15.250713,5.757182,8.513957
19.963871,13.791888,6.252405,13.633905,2.920933,1.726284
9.810133,7.085469,3.223783,6.959005,1.550508,1.130720
6.576378,4.523975,3.193672,3.356027,0.864605,1.206528
9.917120,7.024527,4.492611,4.025851,1.302561,4.441002
9.639354,6.338785,4.597042,6.598097,1.535953,2.070203
8.293307,5.596233,3.194400,5.493672,0.655115,1.561574
5.731939,4.112259,2.044447,3.953168,1.235269,2.298458
7.180493,4.898196,2.519415,4.197237,0.970612,1.103863
7.834176,5.221982,3.337981,2.866531,1.036691,1.537715
7.750082,5.486063,3.084517,4.486184,1.330604,1.830356
11.249898,7.544050,4.649222,4.027615,0.788823,0.968292
9.950142,6.869594,4.883032,6.799074,1.845450,0.079470
11.863426,8.034037,3.795087,8.816220,2.053240,4.059351
4.950660,3.755074,2.304603,4.170860,0.519558,1.704381
19.390026,13.529550,7.206429,15.537402,3.893590,5.728450
8.226974,5.536135,3.588039,7.131297,1.723428,2.414972
5.118772,3.824295,2.830096,3.457088,0.706425,1.374488
10.727099,5.855546,6.431486,7.030900,1.840201,5.233775
5.592246,4.046116,1.876224,2.885615,0.869644,0.982355
6.220368,4.471450,3.028631,3.820035,0.819939,0.917673
10.987267,7.428171,4.071123,6.067639,1.336329,1.050486
12.851769,8.912736,5.586482,10.414774,2.950886,3.394700
9.419425,6.309275,3.893644,3.815302,1.217114,3.333457
9.492242,6.338927,4.115206,4.967003,1.285994,1.845693
10.323501,7.443786,3.192821,6.868828,1.486405,1.649295
4.934336,3.442274,2.659763,3.131863,0.629229,1.618694
10.914174,7.511331,3.978417,4.853511,0.664790,2.656132
4.103677,3.005403,2.537149,3.373103,0.887783,0.464513
7.151771,5.243787,3.169716,5.799835,0.923263,2.388460
5.203420,3.545468,2.879396,1.881381,0.435910,1.142909
5.555186,3.768493,2.672673,4.884471,1.190832,3.080814
5.639414,3.876075,3.491180,2.275915,0.959015,1.184799
14.618639,10.038033,5.001950,6.244342,1.115794,0.700087
8.541792,5.822371,3.882963,3.341040,1.054605,1.563100
10.236051,7.272832,3.645521,5.199669,1.244965,3.232273
5.172876,3.602112,2.660301,2.065040,0.792628,-0.048492
10.315104,7.135584,3.612894,3.618654,0.951012,0.962228
8.718624,6.175566,4.430621,5.510279,1.144587,2.551503
10.830940,7.384809,4.327506,6.204693,1.867993,3.420963
9.590536,6.694914,4.316171,6.216173,1.858160,2.918387
6.889036,4.720141,3.365974,2.655051,0.774770,2.428335
10.804054,7.783078,3.163534,16.112364,4.666977,1.547073
12.027546,8.396597,4.900569,7.739334,1.572421,1.364791
7.096851,5.162314,3.350074,3.597602,0.904751,2.600195
17.065817,11.666332,5.330125,9.895739,1.999126,1.803629
8.087366,5.912101,3.760937,4.372285,1.183066,4.257056
12.661747,8.649617,14.114801,25.264917,6.788255,7.567476
4.488838,3.319472,2.445109,1.976850,0.525412,1.601186
16.727823,11.346774,5.214345,11.638262,2.210740,2.539194
7.289149,5.314143,3.136012,3.900561,0.860081,2.711997
7.971088,5.799773,2.930803,5.395831,1.542209,1.967702
7.113164,4.483808,3.286613,5.431198,0.966044,1.435883
7.675783,5.241576,3.570693,3.332982,0.847776,10.923072
12.045605,8.043862,7.474900,10.404766,2.150748,5.397605
4.281637,3.069618,2.196789,2.572779,0.594921,1.728208
4.271001,3.185045,2.241477,1.986870,0.456843,1.965467
10.106990,7.250182,3.933537,6.454803,0.932281,4.744861
16.192490,11.103230,4.419366,10.105044,2.319668,2.431682
10.746464,7.608450,10.091857,15.563755,3.328689,6.007282
5.573885,3.848880,3.033128,1.801376,1.073178,0.597314
5.894887,4.360270,6.347924,13.641294,2.462015,17.658293
9.502697,6.931552,5.091011,4.666605,1.348152,1.468618
5.247233,3.332461,2.484264,4.629519,1.279553,0.191526
12.577080,8.778508,6.183283,9.448639,2.496078,23.088015
11.001017,7.902775,3.301945,4.597651,1.372784,2.412170
10.135136,6.920512,6.624090,13.304571,4.054082,1.555754
5.491908,3.783724,2.356066,2.133892,0.504952,0.896493
11.021907,7.327635,4.087689,7.214763,2.743979,1.133713
13.289120,8.958911,5.469029,7.793378,2.175111,4.530666
