"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
4.893675,3.478753,2.280199,6.291603,0.330615,1.504614
12.772345,8.321771,9.288475,13.653773,3.186130,0.426404
11.381805,7.574129,3.623439,4.454548,1.753703,1.528577
18.106504,12.519218,7.426071,9.127682,1.748399,2.176922
18.980928,13.013206,6.938266,13.365383,2.255305,1.452295
11.304499,7.675406,3.803074,4.756272,1.118620,0.111469
17.877041,8.237983,7.104102,10.674361,3.189649,0.291842
11.130070,7.800566,4.527658,8.684911,1.964078,0.020290
10.125127,7.240224,4.523736,18.031406,5.972215,8.584423
11.661186,8.148603,4.584695,5.489518,0.913316,1.244672
22.260744,14.835170,6.572281,12.835805,3.003061,0.598046
9.096609,6.079226,4.988789,5.013857,1.095860,1.429307
14.231370,9.565165,8.570077,13.166416,2.326067,1.325656
4.881235,3.694294,1.447822,3.366510,0.322035,0.310871
9.984761,7.142408,4.966552,17.651789,4.728673,5.966669
13.027816,9.030417,8.278130,9.106468,2.408450,1.649541
5.498236,3.958420,2.158403,3.815841,1.228693,-0.210029
10.997397,7.297373,3.454691,5.480534,0.714203,-0.227896
6.256772,4.523490,2.643793,2.722585,1.293900,0.336812
15.141356,10.258150,2.704008,7.176654,0.780273,0.357477
10.121169,7.099432,2.732623,4.675752,1.110540,0.176561
5.744742,4.033396,2.385057,2.690348,0.327463,-0.289096
6.712486,4.698070,3.773825,3.199574,0.406462,0.478608
7.574250,4.804026,3.746668,3.137558,1.547151,0.909667
19.300995,12.579930,16.792791,26.915497,6.279026,2.472734
5.309388,3.525820,2.154409,1.425894,0.286061,-0.444179
11.433518,8.194069,6.396356,13.784516,2.746921,1.526244
10.901423,7.684744,4.377210,7.283875,0.870533,-0.093565
5.489393,3.666242,2.090696,5.268147,0.747014,1.106902
17.887211,10.301715,11.274666,10.527840,3.027196,1.662144
23.317299,13.546894,21.874342,27.889990,4.861567,2.207699
11.071752,7.323563,4.742432,20.477177,5.417143,6.299837
12.714578,8.564691,3.677441,6.720087,1.788728,1.270600
4.917510,3.260120,2.409480,4.666382,0.985250,0.319785
7.372842,5.216287,2.618038,3.695302,0.701173,0.941698
14.078583,9.676779,9.472136,10.906261,2.758734,1.251152
7.721854,5.284607,4.027236,5.949533,1.192743,1.068352
12.235996,8.351760,7.866738,12.005150,1.709855,0.410257
15.261403,10.719440,5.191358,5.064342,1.592836,0.210948
5.294713,3.673143,2.727918,3.941171,0.605630,0.065991
8.961500,5.026823,4.074639,6.216191,1.361227,-0.294777
8.741113,4.991879,3.795832,7.690038,1.117162,-0.197537
5.942369,4.094995,3.040773,3.563561,1.413985,-0.164424
11.437436,8.137088,4.334880,6.146686,1.475561,1.368292
12.633526,8.700751,4.648419,6.317587,1.222752,0.669080
5.796083,4.221209,2.144964,3.558110,0.440406,0.880041
8.378038,5.475384,4.287725,4.901759,0.784711,0.331959
13.104366,5.033368,5.650027,10.207471,1.708790,2.000970
12.573434,4.897771,5.940127,8.413124,1.775230,1.426036
9.029576,6.286840,3.106769,6.345769,1.751358,-0.302194
5.559818,3.990210,2.255335,2.996126,0.552743,0.369540
4.139976,3.093224,2.455972,3.372606,0.658247,0.616904
12.909568,8.574168,12.373629,26.865744,5.989388,9.307926
10.036501,6.887220,6.240167,3.523905,1.018343,0.436276
8.383975,5.815271,4.240886,5.662969,0.889628,-0.095613
4.783089,3.338717,2.159134,1.985363,0.300219,-0.941109
25.103487,17.395523,5.780595,11.994143,2.516510,2.163879
5.949131,4.356450,2.257406,5.920008,1.513967,0.555413
5.349854,3.890062,2.480411,4.397270,0.772244,-0.259085
5.718892,4.158870,4.603506,10.001652,2.748516,0.977205
19.943356,13.435510,10.843076,18.367569,3.370220,1.296983
8.199502,5.773033,3.521900,6.333732,1.172753,0.441702
15.942673,11.325961,5.101908,7.512216,1.952179,0.997270
10.266808,7.265849,3.645616,5.746352,1.393472,-0.459830
7.126791,5.179871,3.275117,3.802328,0.956662,-0.068582
11.045461,7.540489,5.038013,6.020452,1.563223,1.309787
5.631693,3.815069,2.872614,3.726157,1.135305,-1.056705
4.545621,3.119103,2.288543,1.730343,0.605003,0.050904
17.441275,12.014461,5.933789,10.198965,2.379135,4.672819
7.713422,5.393973,3.450332,3.216751,1.223050,0.360337
8.248852,5.702205,5.081402,12.052759,1.881386,0.046872
13.695914,9.087108,5.413780,7.215639,1.996090,2.033550
6.339585,4.409860,2.506658,4.936473,1.147088,0.102087
13.261250,8.842921,6.877627,14.990588,2.369913,1.298988
6.327089,4.443956,2.926476,4.902485,0.912327,0.122256
11.859384,8.020706,4.408288,5.386771,1.845979,1.445051
7.123843,4.998678,2.782784,5.214720,0.699548,-0.058453
5.722607,3.731050,3.082048,2.971046,1.359165,-1.138483
5.762089,3.736243,1.304813,15.669711,4.809266,12.347915
8.747363,6.112050,4.670292,7.142153,2.507540,1.061978
