"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
10.655765,7.415521,5.211286,5.823344,0.652320,0.432265
29.729761,19.948969,16.423172,18.200533,2.717870,4.479884
55.884296,35.345127,19.193949,17.776699,19.007801,1331.695557
97.810646,42.365410,60.457314,138.878357,180.090805,5544.935547
21.418736,14.752708,9.790715,15.706678,12.853690,833.984924
29.684565,19.333120,15.859854,20.022951,4.535840,32.585777
15.961111,10.679389,9.792124,12.883401,21.108604,1677.456787
9.878996,7.281767,3.598288,2.204347,0.534279,3.555468
36.386959,24.131702,30.188627,23.321663,51.561356,3276.472168
64.163399,40.497234,62.999130,130.296677,117.706451,3732.569580
80.296288,42.911343,52.332996,150.453949,101.280296,3135.654053
52.412369,30.554325,28.830687,28.805712,48.765358,3460.105957
70.415321,43.256569,21.388224,45.905239,44.884033,2591.095459
17.313337,11.842487,5.308279,5.482613,1.201361,5.690489
51.595486,30.778273,30.138163,33.762051,55.372154,3747.704102
25.506386,16.980247,9.707929,9.589025,1.586316,16.723196
18.523705,12.625412,9.371738,10.214191,20.545277,1805.372192
12.795370,9.235240,4.298273,3.450220,7.287704,507.987030
33.144142,20.270559,34.253075,25.681581,11.499090,128.378876
20.488804,13.706636,14.060186,60.540325,15.214094,38.382980
46.977814,30.826849,15.543622,11.281424,2.511743,11.475547
21.043591,14.378855,19.499750,15.519219,25.098730,1887.084839
37.796314,26.304516,13.260541,14.280517,16.162846,1113.505615
30.258011,20.520578,20.357357,26.736389,45.034489,2888.478027
41.098282,26.953711,12.088753,17.425205,20.183821,1401.405884
27.728636,18.845644,11.190739,20.124090,42.200619,2899.606445
11.998289,8.255104,6.768104,14.803248,7.415215,49.717621
109.357376,51.599541,57.794498,94.319313,93.979042,4877.597656
52.115139,33.085186,12.664060,25.867977,19.277210,1320.346680
118.101822,59.892776,55.408985,122.216591,63.278927,2390.387939
49.832920,31.186054,18.056778,14.113876,20.253353,1706.095581
17.069759,11.687576,7.641349,12.699071,3.858662,3.043469
30.293957,21.076897,9.264380,18.498056,14.996496,846.414001
24.913248,16.504747,10.559334,20.680132,42.234951,3079.985107
109.839386,54.380104,76.317024,96.296234,133.032654,5132.508301
35.196712,22.494162,22.833607,89.741806,61.423386,2298.416016
110.381416,56.889832,77.633286,111.829720,146.002777,5058.592773
28.314085,18.849808,11.584216,23.983290,28.347010,2122.725342
10.528769,7.240437,27.499796,59.990070,19.136469,56.259068
16.061100,10.661668,13.622986,15.447477,24.855021,2261.714844
26.540878,18.363005,13.089520,14.308854,19.777037,1467.869263
59.706295,37.615173,28.996038,39.306469,62.505581,3702.249023
68.460327,43.065945,41.323639,65.652580,88.199203,4060.018066
54.288509,31.483036,51.625484,87.759613,83.678276,3740.657227
44.282127,28.018377,13.366618,15.489748,17.425949,1313.553467
10.142673,7.181414,4.375450,4.873525,0.594109,3.689596
44.244545,27.905806,17.584854,26.906366,19.818909,1004.687073
23.935093,16.416426,10.868793,12.148423,18.165777,1450.544556
62.737934,35.384830,29.438873,31.572294,27.701059,2224.734863
49.478592,28.381567,53.299862,90.778976,62.410580,3056.547119
91.076088,52.879372,48.191200,42.136875,112.323700,4825.015137
57.442883,34.221153,45.660923,174.090607,54.129154,143.796982
77.843887,33.018749,49.634190,81.770027,73.250702,4131.375488
34.071423,21.077894,40.633980,79.188866,104.582260,3951.163818
64.335587,39.338829,52.493027,46.615986,65.187683,3818.028809
67.329643,41.058445,25.050215,49.926521,51.151020,3126.847656
21.886438,13.886001,9.154921,29.870205,8.796902,35.814198
52.882282,33.317635,16.369522,20.686258,24.022577,1721.504272
47.178623,29.799486,17.961559,36.142384,28.678345,1405.973145
79.031830,43.038265,56.583847,132.842819,139.051254,5099.311523
100.687675,42.198326,87.955704,125.280785,142.607620,5251.822266
34.579292,21.916830,11.621711,10.383636,12.257270,835.744568
36.102840,23.105745,33.111668,128.108612,89.906258,3028.610840
46.290596,30.031961,36.688271,65.143776,87.617500,4053.181152
17.035297,11.649596,4.340318,6.315200,9.460391,843.813049
21.844017,14.879967,10.403334,11.453688,16.125725,1171.357178
66.012108,41.290657,18.986448,26.277660,26.364109,1769.667114
57.894993,35.482994,21.454998,23.688480,22.927740,1371.256714
45.769165,27.624201,11.910348,37.372295,26.499844,1194.912598
46.861317,30.845633,17.083466,20.406509,17.987444,975.794189
72.779251,43.132015,87.523613,123.040909,164.871323,4872.666016
33.362797,22.240185,13.974701,17.649597,18.456652,1200.869873
58.498650,32.333447,32.825546,61.442131,44.663021,2293.492676
47.644344,28.084253,27.409540,27.540648,51.815937,3229.931641
13.290210,8.930039,3.548439,5.056189,0.640665,5.727068
