"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
10.620019,7.018792,4.517834,2.588424,0.480744,3.524205
8.382862,5.544672,2.639910,3.470029,0.651811,4.043796
12.732965,8.764315,4.931705,6.381203,2.043238,3.687574
8.312382,5.988456,4.083916,20.330156,4.858212,5.754994
4.615023,3.171287,1.705202,1.590988,0.224991,1.019781
16.147943,11.169669,7.484807,8.212811,1.951478,0.250875
9.355439,6.437446,4.180163,8.858517,1.688360,4.835028
11.576881,7.907378,3.237264,6.490170,1.735310,0.495698
5.185171,3.761220,3.537174,2.914857,0.621192,1.864368
26.380968,17.486982,11.626455,23.719454,5.442204,8.243539
12.280747,8.395961,3.862812,5.214977,1.037088,4.254757
18.397451,12.396365,12.273614,21.427950,22.024542,1411.321899
9.877631,6.727030,5.806990,12.941223,3.505651,4.553427
12.266147,8.332966,5.315428,4.553244,1.590981,24.006214
13.695090,9.309156,7.625978,11.224842,3.642025,9.694870
69.590668,38.601952,55.854691,81.665199,62.088257,3447.654541
9.973506,6.979660,3.573904,5.810410,1.242990,3.032040
7.880436,5.496836,3.998015,5.005126,1.157441,0.858751
5.767066,4.142021,2.829667,4.760048,1.365390,1.784483
4.489353,2.903414,2.082046,1.897121,0.437122,1.147441
12.852086,9.113592,3.819270,6.044785,1.096242,3.951230
7.153094,5.101511,2.763954,3.544653,0.699211,2.055774
7.262958,5.338939,3.487865,13.161698,3.065888,15.909713
6.501901,4.285227,3.911095,4.971275,1.068168,4.115991
10.493434,7.147801,3.295488,5.897452,0.774300,2.823035
13.487837,9.141055,5.146263,19.312679,5.168825,3.448449
18.603960,12.619118,6.253376,10.320828,1.889042,4.049839
14.340089,10.156668,3.948270,20.405855,5.417295,11.244740
14.304103,9.464581,4.235394,4.971464,1.218848,1.628779
9.572928,6.609088,3.668135,3.053566,0.871775,1.694314
4.737062,3.384541,2.057328,1.535219,0.450637,13.628219
14.360289,9.764969,4.949753,5.403522,0.691657,2.743212
4.700554,3.163079,2.219046,2.648734,0.580548,2.146352
9.753804,6.662830,2.874164,5.131067,0.588481,3.018531
7.158372,4.880594,2.349951,3.055467,0.672577,2.400093
10.461191,7.174337,2.948678,3.074538,1.364680,6.444897
9.069439,6.276429,2.940588,3.951388,1.189169,4.571360
9.483634,6.551223,3.041167,5.799822,1.052148,0.789154
12.816448,9.132526,3.711516,4.353017,1.081683,10.426861
18.298735,12.279099,7.764385,10.496799,1.527851,16.816088
5.801645,3.989225,1.683300,3.381615,0.489049,3.043804
