"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
20.163927,13.580070,5.726014,23.717279,8.963026,49.956924
24.975679,16.988764,6.957903,7.852364,9.916908,759.960632
13.705229,9.527254,4.781576,5.680601,5.417563,382.123199
15.575761,10.077812,24.404934,41.137306,43.984657,2895.425049
30.783918,19.940697,7.152736,10.073271,24.302805,1948.187988
9.989083,6.729361,3.467072,15.522658,4.707415,25.468954
11.850438,7.902290,3.701180,3.968604,2.256705,176.729034
12.545570,8.594023,2.032659,10.057518,3.072172,11.741067
8.895499,6.019521,4.523736,3.601161,3.369980,230.049561
6.353057,4.501752,19.125750,222.711731,33.298260,75.608513
7.430154,5.084803,3.805620,3.227557,1.008492,3.182408
9.840105,6.536990,6.304204,5.049602,6.597012,490.259705
13.602258,8.771708,5.907076,5.388310,4.263444,223.330536
20.641195,13.505695,13.000597,10.065119,12.525370,854.061707
20.315058,13.764723,7.447253,4.368956,9.275434,692.195129
27.697554,18.216209,8.228086,23.257904,16.649248,1051.929810
35.188011,21.811203,14.340290,15.851173,7.569851,547.960571
5.442629,3.726817,2.568216,3.178558,2.458558,112.965721
102.189133,45.844292,72.246407,110.393600,95.410416,4127.715820
11.366687,7.725191,2.518134,10.379404,4.969584,37.074715
13.606304,9.098333,2.639686,13.880083,4.527760,13.416500
15.188563,10.411570,6.645858,6.068248,11.694366,884.141663
17.493170,12.388499,8.713780,12.053604,16.849150,1140.936279
22.229691,14.233958,7.192483,7.627127,7.016132,512.234375
18.882780,12.381566,3.674385,20.113228,6.657923,23.226267
11.411055,7.966128,3.262503,11.656105,4.621927,28.008820
38.131439,24.536232,12.380064,9.899038,8.398201,614.559692
29.703278,19.830740,9.488742,12.020084,12.466204,895.907837
31.204329,20.786604,7.273717,11.848797,11.634933,784.618835
12.561209,8.562213,3.854009,3.911445,4.907382,434.912689
27.213501,18.216084,6.282383,11.586706,15.910338,1252.849365
37.959122,25.023758,12.491942,15.011771,28.905167,2288.591309
17.457935,12.089471,4.749790,7.317028,9.709815,734.578735
18.461281,12.461169,6.641685,6.593037,6.597211,397.489349
19.851412,13.562845,5.877980,4.499564,5.476702,409.528198
23.175678,15.398825,16.478151,18.116024,26.736462,2258.628662
34.448372,22.725403,8.824210,11.229065,16.477295,1386.879517
