"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
6.201941,4.485833,4.346258,3.968180,0.584405,0.632437
5.430328,3.713616,1.631902,1.200224,0.140658,0.748109
27.116741,18.102692,9.671488,8.386496,1.732256,3.687574
14.639242,10.108330,5.903335,8.884616,0.890519,0.511206
8.214541,5.719505,2.698912,4.636460,1.190105,1.845490
6.886420,4.928824,2.702129,3.473027,0.196399,2.177529
10.878175,7.475043,2.979132,3.936434,1.202228,1.128274
26.793518,18.237577,5.549964,4.935263,1.828247,30.174751
5.814283,4.218984,2.107376,2.636046,0.303062,1.749984
8.043795,5.524091,2.411401,4.120485,1.327958,-0.127935
10.407710,6.870081,8.052123,11.759882,1.544666,1.069880
9.954489,6.872684,5.839519,10.150411,2.447020,2.215697
15.990023,10.785868,4.009018,7.207729,2.504791,1.668808
8.863226,6.440876,3.249368,6.243981,1.036934,1.440412
20.508083,14.008863,5.595664,6.224120,0.782427,1.934636
9.682087,7.016258,2.687616,5.571290,0.735585,1.528008
5.541130,3.775314,2.437214,3.083069,0.463750,1.698753
54.749249,31.314709,26.324326,26.881050,5.060792,8.522473
5.120082,3.974174,1.943192,-1.177192,-0.214538,1.502098
51.250927,27.622654,27.804129,37.899460,6.034784,13.783290
9.534952,6.641669,3.075774,2.766970,1.117689,0.258774
5.101332,3.606150,2.184886,1.410678,0.692062,0.958403
18.143728,12.357982,14.197059,19.563623,3.287507,21.607462
8.131872,5.750071,3.031769,4.074076,0.503398,1.034774
7.169152,5.225194,2.609185,-0.107704,1.246133,1.110851
12.751491,8.713809,3.369738,5.357841,1.022408,-0.040261
6.379179,4.348855,2.214194,2.689276,-0.370041,0.350234
8.871107,6.341970,2.790133,4.695940,0.019803,1.096742
24.169718,15.964827,20.520805,33.149227,4.571726,3.162238
16.822010,8.196002,5.105083,5.158945,0.503601,-0.386043
24.647013,9.427021,8.241208,9.517072,1.515837,1.253308
17.012566,9.307205,5.814781,7.423113,1.399408,2.350017
30.179571,19.276360,15.623411,17.901115,2.532223,4.705692
20.845470,14.338000,6.134106,6.496525,1.342700,1.617328
6.629346,4.850076,2.217695,4.081347,0.987133,1.317020
19.583309,13.338888,6.333727,7.921556,1.436170,2.609461
11.353543,7.664979,2.733267,3.615386,0.656569,2.305128
14.609463,9.999709,8.145550,7.869456,1.638365,3.641603
10.392938,7.637166,3.146746,5.268089,0.434699,1.512065
9.369640,6.846971,2.863749,3.787467,0.784355,0.251865
