"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
11.569492,8.213871,2.716703,57.010143,15.107771,3.324674
25.436100,17.742201,5.537908,33.713329,7.676649,3.626704
8.993334,6.425558,3.948523,14.353307,5.577213,13.213016
29.431688,19.743795,9.013502,38.229488,9.569279,7.671974
27.774012,19.593863,7.377343,42.210285,12.497575,8.825185
12.728143,8.979697,6.278386,61.304482,15.259810,14.021891
5.359587,3.725383,1.973274,3.531118,1.234556,5.344548
15.137057,10.815090,3.924985,16.255020,4.439162,6.975244
12.161191,8.571891,7.417529,11.371446,1.749510,11.660026
13.219348,9.307566,4.754859,20.670223,4.106869,2.275749
8.167733,5.781017,2.883923,3.902107,0.673128,5.703776
5.176419,3.978508,2.335435,0.118718,0.219802,3.281001
4.518812,3.403259,1.763992,19.641064,4.991455,3.282378
43.789665,29.667507,14.130496,66.107628,16.300684,11.842746
6.901816,4.939183,2.064922,7.693907,2.920964,9.777683
38.120987,25.737177,16.273134,81.663208,21.550402,30.955442
26.290476,17.601067,6.565228,30.768696,8.568598,8.962797
19.617466,13.645313,9.864435,17.103949,4.304962,2.260010
16.841543,11.576269,11.466468,42.264236,12.305170,27.965925
14.405281,10.015280,4.220238,8.985235,1.932942,7.545203
10.489375,7.326641,3.542414,26.396774,6.935627,1.233248
18.881668,13.354373,5.971451,125.109520,35.823303,13.077655
7.500020,5.574221,2.837839,7.397705,1.039648,6.422651
29.311720,19.892775,7.033107,22.969128,6.120548,17.500528
45.078644,29.418581,13.318098,20.281885,3.954727,12.302216
7.353098,5.508157,3.964234,5.778260,1.900673,16.896837
14.928413,10.260480,6.944258,38.541485,11.359236,9.393117
17.221518,11.844058,4.774687,39.095547,10.841080,35.206772
24.642372,16.142572,15.800611,61.472713,19.189659,31.470974
21.448059,15.042583,6.180973,52.988605,15.619962,11.067807
9.928600,7.220532,3.797691,30.162561,10.051589,6.420345
16.806656,11.768454,8.105221,65.731071,18.310402,7.675486
18.606520,12.365355,4.225990,40.694397,10.380006,10.231520
31.860941,17.497280,10.555849,25.542377,6.858513,15.425644
19.825060,13.726970,7.990788,40.183426,10.635443,5.655246
16.581066,11.683124,6.825489,22.125946,5.459610,4.801213
7.915021,5.989840,3.372307,39.126221,12.376847,6.506000
5.087270,3.492499,1.614346,8.045589,2.809509,6.978632
6.567979,4.763098,2.303118,24.958654,6.490377,1.781671
25.655764,17.847284,7.452594,74.899513,21.238638,11.291249
14.911427,10.383494,4.261373,66.785583,18.493927,6.488728
24.461998,17.039919,6.296633,11.238032,2.807243,13.353356
24.011278,16.715422,7.310389,7.242848,1.844430,1.824810
4.563417,3.515782,1.810679,7.406936,2.523441,5.946043
36.582836,23.700062,13.588832,58.040775,17.492340,20.999836
