"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
20.033901,14.012211,6.326945,72.276825,21.717018,22.580492
12.896762,9.044691,3.007163,35.296833,9.821347,31.021652
8.006773,5.906759,3.726904,4.326842,1.802543,0.637933
12.831720,8.757465,5.167343,49.192474,11.899851,15.135525
15.477740,10.713246,4.989579,16.184370,4.651554,5.336474
20.699272,14.533896,7.093371,9.863887,1.029736,3.448527
7.361305,5.556437,2.523746,3.005667,0.523231,0.268762
16.080725,11.364407,4.486182,31.968512,8.996646,11.947370
10.624157,7.442740,3.603540,3.228741,0.451968,1.319004
35.674339,23.956003,8.164930,61.183578,16.185095,19.340399
38.393684,23.877941,23.380091,104.670761,27.964417,49.534264
13.219039,9.868402,4.412219,3.285722,1.270705,18.676361
20.518263,14.359069,6.485903,8.324204,1.792279,2.042027
14.639638,10.090481,6.491795,41.000359,10.027441,21.568954
4.346051,3.367527,2.190029,1.467132,0.586817,1.395486
9.410625,6.266962,3.908946,3.278054,0.557378,1.648138
29.564716,20.225578,9.628572,14.347454,2.674252,3.583178
7.424856,5.512379,3.419617,13.186298,4.326409,8.468912
20.269487,13.575171,5.765144,44.001446,10.432134,23.215418
8.718256,6.154806,3.637595,24.752342,5.997146,16.031061
22.789221,15.764750,6.033839,41.441833,10.563743,7.996197
24.761717,17.062260,8.477174,28.415792,8.028011,14.343027
76.616501,39.265629,54.542942,610.140198,167.668411,264.043823
11.861025,8.296095,10.725563,68.125755,20.186195,19.798931
50.883625,33.263794,23.730610,143.784348,39.424465,53.541191
13.251019,9.628030,5.654971,28.715809,8.327620,6.856074
5.827743,3.882305,2.683457,4.380014,1.679497,0.160190
13.132293,9.311099,4.724645,3.164700,0.324909,-0.320159
7.570573,5.278316,7.615012,13.338531,2.196499,2.006391
17.058577,12.021343,8.239883,51.387230,14.647698,11.543215
18.729012,13.781811,8.401644,8.029273,2.366420,13.916066
21.074606,15.308493,6.282228,34.296944,9.445647,9.094562
16.976549,12.365355,11.503667,55.096050,14.826680,16.386805
27.928993,19.694546,8.143064,7.173035,1.271574,43.842899
