"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
14.729348,10.838383,3.263601,35.137794,8.948912,18.212456
8.006850,5.504653,3.021461,1.628640,0.398972,0.799276
94.002029,38.682636,110.082497,492.767639,113.283966,248.500732
8.306407,5.858295,2.086126,16.171265,5.104731,14.349135
10.973873,7.508902,7.942114,28.230425,7.961539,16.774866
14.944331,10.322471,6.457111,23.997450,7.142127,3.909637
9.634686,6.868693,4.411081,4.249592,0.583997,4.232879
23.050995,16.643950,6.105429,57.687019,16.385132,13.913342
48.935623,30.819206,18.705791,96.937767,22.763981,29.378809
42.394398,27.312937,35.874435,261.337555,75.521751,103.201691
24.067099,17.164074,6.208205,48.343834,11.807688,4.524192
7.714313,5.840081,2.785822,3.639598,0.888233,0.768129
31.606354,21.622252,6.904119,10.933587,20.025789,1568.343872
55.385334,34.794460,39.094788,142.069275,37.325878,86.174423
46.811081,31.046972,14.561365,60.671535,16.747120,51.195381
14.679434,9.959589,4.652442,27.087782,7.566968,5.494298
22.462189,15.693719,5.578667,37.685349,10.391591,4.487525
16.900848,11.997364,5.031715,4.221458,1.230894,17.401581
5.581876,4.129980,6.265574,14.172262,4.183912,10.493781
11.810196,8.458883,3.773426,21.835554,5.267948,3.137848
26.431633,17.336407,21.425625,115.816399,29.619389,76.129692
8.601413,6.060672,3.744539,23.014727,6.834130,6.536325
19.917824,14.241213,4.728747,28.233452,7.273571,21.406944
71.369263,39.332470,83.956291,503.896301,132.875793,387.371674
38.565907,17.119997,22.704727,20.635761,4.926990,76.979172
36.420910,17.104836,22.344301,21.588263,5.089125,70.607239
44.414440,29.135601,12.599113,17.787954,4.417562,26.697260
8.968003,5.969424,7.026621,11.146552,1.454450,5.577762
20.674679,14.433589,6.292448,2.904572,0.906106,9.755902
9.523536,6.894390,6.245314,7.231462,1.221886,2.517609
44.136539,30.108715,19.468287,14.559880,2.902595,3.782366
24.831404,17.307394,6.046311,9.007375,2.060736,1.634585
36.879349,24.724976,14.606331,73.769226,18.722883,24.222103
13.066233,9.227016,8.854389,12.667038,1.943579,2.006981
13.676924,9.485026,5.510087,39.940357,11.321747,7.785646
66.159348,38.965836,26.864120,181.891678,45.272362,84.326630
52.771389,29.930880,30.073803,120.335228,31.085768,127.138138
31.831659,20.826483,9.942925,8.324401,2.151801,18.341959
32.311512,20.204992,9.323431,47.563778,9.514402,26.309872
13.094979,9.454950,7.824342,49.420490,11.977115,9.604087
14.957894,10.551341,3.646559,44.784550,13.221541,7.278691
8.970125,3.947879,19.243462,26.876459,9.230615,24.763151
8.791069,3.898039,16.761360,28.157232,7.917502,22.835705
29.520557,20.086826,20.290831,182.442932,49.056248,82.107857
55.163071,33.404652,24.501772,154.909653,40.983936,102.344673
31.640053,15.532244,14.802855,67.254616,18.886948,32.824844
32.444202,15.374906,15.917008,81.999489,20.972101,33.358784
21.375687,14.666999,7.000266,8.812825,1.138698,17.544882
58.629089,36.096622,73.848740,59.972210,74.877419,3831.385254
7.935604,4.954458,30.654461,76.191231,16.718830,48.427071
8.810708,6.544217,5.315938,41.215534,12.047542,23.614491
9.894302,7.129113,3.776717,10.624364,5.018889,3.598348
21.290426,14.808661,5.386567,41.842697,10.292822,53.405468
9.837866,6.663381,5.249418,5.831596,0.544108,8.610707
9.703358,7.019736,3.775193,1.286758,-0.002202,1.416281
5.288608,3.846015,2.261207,2.444836,0.229020,1.566700
6.880841,5.123461,2.604610,14.603810,3.126296,8.670044
6.777805,5.061027,2.074509,0.484107,0.491911,4.873621
25.083595,18.000387,7.506652,34.873421,8.846437,7.525290
8.911912,6.432487,3.559020,3.478698,1.019804,4.481370
45.635197,29.387016,14.900642,12.904430,2.639067,42.762634
29.358784,19.724512,16.887060,89.021477,21.540466,32.799992
22.005741,15.677188,7.274356,6.342912,1.703174,18.227472
30.938019,19.003685,33.949379,156.868530,40.214127,139.656403
10.121576,7.199622,3.506188,12.883109,3.429980,4.697670
27.054161,19.388422,8.335725,14.736787,17.691080,1237.290527
5.376755,3.734318,1.320309,7.425173,1.319517,3.515059
