"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
49.216099,30.613773,29.260920,10.959895,11.283059,918.167236
54.325188,35.778091,16.618849,34.010014,29.481083,1608.454468
48.777493,30.442892,12.377188,11.722477,15.124696,1125.553711
10.236636,7.231586,5.195939,4.729299,9.687238,690.172180
30.855228,21.058706,12.267256,17.571274,16.797695,990.868347
39.093636,26.771444,9.695605,8.734345,16.042625,1161.985962
18.456545,12.941691,6.241223,3.749162,18.831806,1117.971191
6.887117,4.986233,8.157191,14.364110,22.029264,1546.732910
30.712831,19.741325,19.635160,21.462252,40.951023,3176.341309
10.209620,7.415476,2.817482,7.694798,2.001489,9.067294
9.897790,7.123791,4.149295,4.459729,0.669554,1.664594
22.548477,15.880365,7.354030,34.019249,15.786739,101.347336
11.367548,8.560729,1.578118,12.642198,5.320308,40.603706
16.594889,11.662136,5.380126,5.662877,9.916632,829.584106
18.061398,12.782200,11.158443,15.679336,12.071677,644.240234
40.691051,25.966059,21.406111,15.742328,18.469185,1614.261230
33.936325,23.475700,9.574955,6.597944,11.177981,702.032776
24.932743,16.803883,10.922487,33.067650,16.458252,693.589294
15.200849,10.706518,3.595424,5.661384,1.066950,1.621879
10.662782,7.833273,1.882517,7.512542,2.547755,6.515748
14.768049,10.302104,3.685394,12.098783,4.569310,17.633043
44.886135,28.048588,15.829915,10.453942,27.387491,2434.213379
23.259979,16.667360,6.455230,3.976911,16.295603,455.408112
31.531483,22.135817,7.076001,4.699873,7.335877,534.683838
59.251526,35.964600,12.760477,27.505945,38.827522,2320.104980
8.243148,5.798074,5.251053,12.737807,5.589554,21.622322
20.522503,14.151471,17.703495,21.115812,37.817665,2503.062744
18.547655,13.415713,5.260819,2.532013,8.360379,802.858704
6.551841,4.927363,3.268423,2.060991,6.650323,625.809814
14.631493,10.297100,17.769493,25.089651,22.883341,1449.717285
13.385139,9.188915,15.908089,13.380296,1.301220,8.522150
34.525440,24.295919,12.294533,24.649376,14.421348,664.732483
50.272995,33.346191,16.994095,14.296735,36.731201,3097.296143
30.995913,20.823696,11.885563,42.481922,14.457894,57.311607
9.551954,6.952067,4.173225,5.274881,6.145875,455.798859
7.987975,5.976336,3.515504,3.502815,15.160796,1178.165771
22.320244,16.030123,13.538177,7.509792,21.241602,1580.092651
7.289161,5.323554,1.678687,11.008847,5.833534,22.992380
37.487381,24.752111,9.852457,21.702288,27.915915,2056.613770
17.748974,12.750849,12.985916,8.395984,27.772818,2195.448730
12.623748,9.284862,3.146129,14.665834,6.161909,20.897526
52.693378,34.953739,15.804795,9.121929,8.941080,791.446411
10.249464,7.529631,3.342697,2.846216,1.286809,79.738136
12.477354,8.856358,2.010850,7.807279,3.745919,12.119199
12.898213,9.082143,4.116414,3.915734,1.164037,4.414168
32.440742,22.368181,19.278126,39.416428,51.547131,2996.261719
10.553977,7.013089,13.429157,15.445917,18.166121,1013.793335
10.823769,7.647956,2.374866,7.872732,4.455832,11.854281
48.105770,30.664494,33.785767,30.164476,40.737392,3144.037842
42.729763,27.567982,15.455698,13.709015,8.579700,430.876862
18.669170,13.563259,3.185538,13.867055,6.864520,69.882790
26.823122,18.084923,8.630885,3.904309,6.402220,474.023682
34.419556,23.246773,12.106622,27.155088,47.728535,3293.730225
35.913826,24.317799,6.185936,21.341341,8.586727,267.804657
29.209391,20.096518,14.176981,16.674969,12.008109,900.245117
14.593024,10.666694,2.411336,13.218371,5.383445,15.732433
37.081772,24.181688,9.860840,14.639556,9.617584,435.211243
9.247783,6.846305,2.932389,9.459671,7.258435,146.423706
50.794956,29.337667,33.321671,40.975090,77.998657,4193.211426
13.019011,9.499504,7.619649,3.614528,9.448469,932.664001
22.540371,15.882988,30.964434,17.197403,50.630272,3209.978271
88.856293,41.041039,33.815880,42.138367,48.474304,3649.319092
16.847740,11.908267,6.402179,5.191924,3.229485,197.495667
6.098836,4.309471,3.809217,15.128986,5.541502,20.454077
