"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
13.328145,9.587162,3.174239,5.487339,1.288764,10.037580
11.495560,8.403822,2.949971,5.135222,1.063829,1.696475
4.611000,3.373800,3.026303,1.610224,0.683726,7.318669
16.349028,11.870258,4.184356,4.014399,1.480191,8.290362
10.223229,7.112173,3.170160,3.083835,1.148546,6.676911
14.919310,10.490317,4.612670,3.990988,1.094077,6.443955
13.981275,9.493205,4.278824,3.112902,0.966469,4.254326
11.841371,8.770412,3.295874,6.807622,1.261434,1.216728
11.131736,7.625846,4.350610,4.955223,0.623543,3.492298
10.370473,7.003489,5.912997,3.005058,0.403689,5.710841
8.843313,6.559216,3.119840,6.625875,1.949224,4.849471
4.525861,3.520745,1.641983,2.263416,0.666615,9.389817
11.696402,8.591247,3.036513,3.584421,0.923676,7.804117
5.342371,3.880154,2.395421,0.915944,0.244041,6.484574
4.192347,3.169163,1.750366,3.433106,0.904947,3.068351
9.424923,6.541620,7.100972,4.718577,1.225809,4.765100
7.953304,5.363518,8.931545,6.626540,0.658235,5.434768
6.334634,4.551075,2.822676,2.216165,0.008416,6.442172
15.325956,11.179541,3.552530,4.235159,1.024056,2.258139
10.666356,7.482321,3.666191,3.316082,0.871316,4.828585
10.550142,7.402935,4.464635,5.350132,0.912599,6.487759
16.479607,11.370730,4.984890,4.023421,0.585908,11.004446
13.469431,9.602541,4.010273,2.779455,1.046797,7.069636
10.974548,7.960402,5.753438,7.209170,1.502297,10.294342
15.496100,11.108033,6.497957,5.108144,1.080831,5.914588
8.203829,5.935403,2.659543,3.579944,1.200071,2.345058
21.419701,14.929669,4.620835,8.930349,1.293451,6.201091
9.107409,6.717104,2.043771,3.279083,0.517932,2.081903
7.813638,5.919185,2.424841,1.935883,0.766700,6.803367
16.929895,12.112896,4.515257,3.403175,0.921628,2.456842
4.935028,3.756787,1.817419,1.273472,0.750747,3.446363
4.767748,3.284567,1.592487,1.772592,0.638086,1.166326
10.756923,7.757201,3.718411,3.598264,0.882566,4.691049
8.683900,6.571987,2.291612,3.283982,0.821187,5.545733
6.084692,4.388590,4.180375,2.951458,1.052216,10.441498
14.793818,10.492938,3.780017,5.021976,1.020084,3.700268
11.875565,8.705904,3.100645,4.378532,1.531822,5.612376
15.167353,10.419989,8.491679,8.349422,1.822947,13.777326
4.387536,3.359289,1.945668,1.960338,0.742586,2.610954
20.608572,14.215693,7.352508,15.741575,4.066751,5.021582
12.030382,8.430369,4.411501,4.503538,0.707226,3.650576
4.680728,3.490115,2.185961,2.190979,0.312244,4.145452
7.632932,5.637541,2.849416,3.360943,0.972253,1.438764
14.643499,10.016026,5.227898,4.815425,1.451092,8.062144
10.067211,7.525747,5.617702,4.991658,1.693062,5.793924
9.320889,6.743182,5.019455,5.741090,1.060930,5.655088
9.585288,6.723172,1.819190,3.478500,1.037130,10.153146
30.462059,21.380865,14.885607,27.257233,8.630845,17.201731
10.237543,7.379581,4.996767,11.430536,3.330278,3.909846
9.007953,6.693960,7.069927,6.216869,1.584408,8.968194
22.715504,16.065702,7.768044,5.874479,1.091707,3.300622
8.718292,6.289879,5.113579,3.443199,1.598096,20.766659
4.840590,3.822333,1.583301,1.025512,0.609508,3.820039
4.926506,3.642140,2.032370,1.860330,0.587002,0.800431
5.528345,4.120566,2.202414,2.316214,0.280183,2.417140
7.018664,5.524482,4.155690,4.371490,0.590045,3.986635
10.855682,7.839526,7.944910,11.901490,2.540079,29.080425
6.177289,4.725334,2.868048,6.449944,1.646474,5.352604
14.810492,10.676168,7.206394,9.991345,1.818974,5.616508
10.098645,7.225945,2.729737,4.315130,0.787462,3.244594
4.342604,3.019828,1.896621,3.231840,0.844670,6.006076
7.347029,5.167627,2.639112,3.019069,0.618933,7.213739
21.305138,14.609073,7.631806,17.302320,4.838009,26.248646
18.169914,12.717064,5.010248,8.305270,1.266403,9.262324
5.985883,4.193640,2.891374,1.802167,0.892087,10.910146
7.087018,5.228265,2.680869,2.183151,0.901664,4.024487
11.760808,8.769718,2.503467,7.457343,2.370420,3.972594
4.999127,3.778655,1.900368,1.487372,0.460846,2.397346
12.937799,9.033573,4.213116,4.078158,0.670340,4.615058
12.332471,9.055502,3.400515,5.291386,1.687421,22.934023
12.340717,8.694693,3.293848,6.623945,1.369399,3.097746
5.489079,4.116864,1.887364,2.133580,0.431601,1.908644
