"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
26.199619,16.909500,7.600637,6.578156,1.202092,5.385642
17.906170,11.948159,6.727568,31.653744,7.886479,9.309803
11.560151,7.883071,3.493144,28.159399,6.881122,8.237799
7.366282,5.423203,2.620071,22.447119,6.299367,1.910557
4.697577,3.565660,3.207071,20.327112,6.145805,2.285335
16.736261,11.493588,5.038664,40.820026,10.032598,7.111337
11.688938,8.314425,4.583640,23.973461,6.072575,9.935715
6.246526,4.654114,2.879794,2.919920,0.339274,5.185451
13.614528,9.750770,7.117466,25.306273,5.674992,5.690920
10.420182,7.021752,3.489491,28.094744,6.487291,6.320063
6.805316,5.027315,2.324154,14.866618,4.523239,6.268334
13.207440,8.736568,4.151477,30.664846,7.656416,4.607639
31.458754,19.794168,17.716576,63.792400,16.447231,40.113808
4.971644,3.378297,2.257310,14.632478,3.948188,1.860599
10.323902,7.480479,6.294124,22.199621,6.358379,17.972464
29.094837,19.660498,8.942048,57.134785,14.860971,9.283566
10.899014,7.239257,3.645400,26.263224,8.042412,8.730923
36.064003,21.352497,31.077429,193.634567,54.971180,64.513016
12.004080,8.455082,3.137318,18.991186,5.660403,5.726945
70.050659,42.427422,43.976540,83.879448,21.234173,116.003502
7.482717,5.659861,2.818024,18.694380,4.821534,6.099234
9.995123,7.376175,2.901876,23.630850,6.809090,4.587977
5.708595,3.923935,2.367871,12.728620,2.569834,9.912432
4.470578,3.231429,2.392532,9.389636,2.496446,6.206484
20.157730,13.249208,6.563080,47.335228,12.204324,16.003321
13.534369,9.717447,4.797482,22.104208,7.054356,5.257331
14.959778,10.693812,2.730167,38.885010,10.211175,12.860092
20.594206,13.843921,9.749670,67.196098,19.740852,42.378609
14.170746,9.792429,3.613729,24.618853,6.502585,11.860972
12.762568,8.804757,5.596105,27.077688,7.558365,6.972867
9.572866,6.931408,2.584954,24.199062,7.017137,10.764175
7.534873,5.066341,2.756128,10.679344,3.173516,2.875350
5.943001,4.245704,5.281213,24.211798,6.975205,5.713047
32.958401,21.734774,9.434549,11.624139,1.365028,9.607512
13.477278,9.444109,5.389154,25.315794,7.818958,8.209308
15.054676,10.187006,3.197496,32.734402,7.840884,8.089482
9.011019,6.596232,4.341642,24.211554,5.834738,20.799969
15.573955,10.591298,5.086709,32.237869,7.434134,5.377386
24.880487,16.507441,13.273561,59.344910,15.943822,9.343606
25.774862,17.194872,11.791619,63.933285,14.898317,18.616020
15.419354,10.714214,5.555818,26.033497,7.330877,8.310556
45.941425,28.639307,22.063295,119.802101,32.807281,26.309608
23.860907,16.467602,9.878684,60.486244,15.363944,27.085981
16.121792,11.246029,5.231275,26.109781,8.654315,4.816205
19.016544,12.903509,4.403874,37.469891,9.231615,11.616337
10.197841,7.272689,4.594089,29.635988,6.809588,8.461161
16.437893,10.892036,5.343564,30.523394,8.799965,9.343894
6.339581,4.121456,3.340196,15.012483,4.711268,5.839171
9.214695,6.178963,4.036566,22.641220,7.130713,7.529346
34.809509,23.078329,20.048117,119.856682,30.028641,13.804011
15.246264,10.387134,5.466933,31.203741,9.758247,9.073122
9.241095,6.550975,3.787459,36.144230,9.343342,5.693471
15.886786,10.866219,4.274805,36.124439,9.974265,16.329168
6.463882,4.381106,2.369238,10.084064,2.611226,6.477232
4.275434,3.142088,2.085653,11.325985,3.469676,3.412436
21.369379,14.273285,6.846719,33.797409,9.758940,2.952889
16.189783,11.199310,3.706735,34.168774,9.267783,7.913079
8.628619,5.916044,3.964833,21.374819,5.020452,2.351879
19.147852,13.328466,5.483866,36.100166,11.110917,5.384935
13.381461,9.749099,5.895477,34.801956,9.931032,8.526624
5.514358,3.664181,2.057675,16.265820,4.808737,4.393076
33.242493,21.765078,7.744043,60.262321,17.599203,9.501203
21.051189,14.344844,15.935667,81.370346,22.152821,19.015219
8.012857,5.305450,3.751193,21.719872,6.467953,9.001796
23.709309,16.145523,7.909322,68.432365,17.595566,23.223709
10.603246,7.147692,3.295244,31.167152,8.288667,4.695703
9.673612,7.100311,4.828625,44.409546,12.031864,6.610259
48.636311,29.146690,22.106983,97.124954,26.405634,39.607033
19.799362,13.306382,8.447299,67.379967,18.413164,12.769212
11.251276,7.888774,7.792736,69.322617,17.454920,50.133331
8.294809,5.867755,2.856054,0.926687,0.201156,6.451365
22.293482,14.708002,7.596645,42.360184,11.221904,9.351929
14.661735,10.033472,3.720611,45.458988,13.303036,19.521238
32.323589,22.012041,8.752069,61.196892,16.892462,14.210507
39.232399,25.643131,11.178814,60.632973,18.506468,13.847746
12.649121,8.564353,4.186810,22.309227,6.800071,6.423438
