"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
21.738647,15.444656,8.558602,24.093193,5.841790,47.918587
15.311085,10.574868,5.526536,20.143862,5.806121,43.471275
13.039993,9.195327,4.336725,5.275467,1.412141,34.077843
21.542740,14.059678,14.944938,134.243103,40.342884,389.092987
23.556625,16.169420,7.625150,34.471397,9.584472,55.681175
11.553240,7.923032,5.074409,87.871132,23.472710,63.245243
35.859688,23.054413,37.712082,192.414505,58.413940,360.879883
19.168335,13.733093,9.857213,72.047127,20.538759,64.250450
22.968987,15.900063,6.545547,31.772539,8.302248,39.648643
20.489540,14.483300,12.733142,150.338974,46.460896,206.248856
55.186138,31.775974,20.196640,183.850983,49.865738,329.581604
15.091201,10.308224,5.388253,30.189438,9.432941,40.159592
9.371936,6.503763,3.032541,18.378408,5.248331,29.440357
14.083038,10.321045,8.341105,62.591507,19.164825,87.898750
11.242549,8.106090,2.176303,30.417393,9.285892,53.102623
52.211113,31.547096,25.105925,212.264404,58.266094,258.418884
10.831099,7.742797,4.188724,12.404899,3.384842,18.682323
65.707314,40.258137,72.319977,510.588837,144.708954,730.870850
16.025389,11.522099,7.684079,29.904125,7.358289,30.219402
29.548029,19.676567,25.732304,119.041779,33.619804,294.013458
23.006760,16.173166,16.000772,101.676338,28.745646,130.441696
32.843311,21.963577,20.388319,211.881760,63.475601,425.613739
6.830987,4.869980,2.868300,1.951510,0.249985,4.815198
19.211805,12.447737,23.203255,122.182907,35.428288,272.031128
49.347076,30.613708,82.192291,224.619583,66.261452,697.695740
51.302509,33.185463,23.120356,152.405365,40.164925,226.983414
49.861172,32.422325,19.887754,139.953934,38.331749,289.140137
14.160110,9.998706,9.563795,51.571972,15.033237,53.094948
12.412092,8.663279,6.780734,28.725950,8.071790,33.386597
29.005085,16.464670,79.581055,213.498459,69.636665,1069.613770
28.360424,19.260509,8.704494,41.874954,12.904334,47.338432
4.868299,3.204769,1.798162,1.253394,1.203968,1.331167
30.978781,20.969337,8.105065,73.779350,22.463503,137.690643
6.514269,4.431308,2.707345,1.654865,1.189878,0.771355
18.074081,12.556902,4.903023,8.597868,0.952348,4.027146
6.954865,4.846430,2.618427,21.027924,6.443255,36.764099
15.938396,11.387492,3.519508,45.919479,13.359055,61.667198
49.753296,31.465322,16.203396,88.210922,24.781170,105.116592
27.404081,18.643671,16.619291,86.207253,23.110689,184.190155
36.955891,23.145800,20.935183,138.422241,35.262230,127.731133
9.063898,6.350201,24.657932,84.773216,23.641308,118.655296
79.927750,43.043602,138.048584,1008.282776,296.294220,1724.939331
36.914970,23.334057,20.952477,367.653534,114.381096,442.985931
62.597408,39.139095,28.572744,198.861679,63.504978,297.975037
21.704565,15.070257,12.375004,16.198055,4.402469,78.559525
37.313980,19.327131,83.869293,362.407410,105.959000,800.441101
41.080479,24.899605,29.821722,202.392380,57.448875,388.955536
23.926109,15.779171,15.886683,48.019394,14.512540,178.894897
22.290207,15.212166,28.621960,33.286072,5.715213,6.335463
55.734615,34.491905,26.825365,174.668030,52.176231,328.795868
43.556286,25.615406,30.159561,232.984131,64.669678,325.162354
4.787271,3.804393,1.642761,6.575986,0.943273,0.306704
67.552574,34.242683,185.301651,1281.007568,370.676819,2419.760498
46.019272,28.001711,39.358139,248.864075,67.852951,299.561005
49.585762,32.774658,13.974431,132.426376,42.796295,255.804123
7.242965,4.812836,4.330273,41.271683,15.678307,49.567913
38.029961,20.781830,23.373621,192.065048,54.020489,297.915649
56.305267,33.290310,15.310287,102.669609,29.048225,207.084793
28.791847,18.974218,8.229079,38.584442,7.171820,52.954346
46.288284,29.860184,10.771091,129.079330,35.352859,193.992996
21.713980,15.169308,6.568691,72.732155,17.333776,34.039959
53.681469,32.507263,13.162981,100.550491,27.893755,148.627792
30.016029,19.471798,7.256786,71.679893,21.216301,156.047150
18.035748,9.730499,6.496407,69.071243,18.764223,77.281845
12.749900,5.616960,4.928192,54.002121,12.412543,70.807419
13.684462,9.009264,3.602651,26.909927,7.859727,50.828167
57.185833,36.488739,21.321356,69.477501,19.245199,65.610916
55.992622,36.959190,17.299286,104.313278,31.174013,232.408264
10.448477,7.385972,1.930990,18.141268,7.039114,46.004887
31.003950,19.760111,15.066838,198.186829,56.652859,329.487457
45.583965,28.633869,9.858495,50.894588,16.329288,136.062637
20.134487,14.036615,9.358872,56.325745,16.555054,72.506149
22.368351,15.129908,8.185158,6.679264,1.457151,0.912405
11.770227,8.614826,7.897764,8.876976,2.144085,11.057800
32.912685,20.394108,23.557299,163.045898,47.095299,363.973358
40.587391,25.318504,14.256170,95.661491,27.067471,104.010788
