"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
18.467983,12.102982,6.135093,46.730484,15.185526,13.321025
9.434610,6.485512,4.350527,16.973282,6.163571,6.678973
7.635353,5.075454,1.780959,17.703995,5.029532,4.892069
35.626259,21.902695,10.080047,45.484756,17.609077,15.239858
28.375048,18.000475,9.394526,69.562241,24.625957,48.392776
19.996204,13.141538,4.055677,58.964172,19.126120,28.526152
70.975548,39.381317,37.958721,321.822052,107.148643,128.634048
14.010334,8.926575,3.226521,20.899643,6.440941,16.069796
25.875053,16.983437,5.140769,45.016052,13.878464,21.458029
4.243450,3.146020,1.255430,17.178228,6.512313,2.248710
72.190025,44.150852,48.588875,288.522980,101.574417,129.206024
5.886869,4.219967,2.553677,30.285950,10.855592,15.420494
12.835623,8.502664,2.843092,24.179817,8.822828,18.162817
69.648598,38.565067,51.117115,357.183716,132.283371,210.278824
13.934146,9.006358,2.551625,25.573948,8.742569,8.296300
8.241220,5.744482,5.035123,38.854805,14.617906,28.789598
8.947339,5.774414,6.283379,29.151419,10.651795,18.042488
15.303320,10.060993,3.310733,27.835083,8.995996,11.814198
33.529701,21.882814,19.101025,198.681183,70.680511,79.129250
16.075747,11.177422,3.699100,27.945713,10.017402,10.337778
12.365480,8.406443,3.668755,27.659220,8.839270,17.734222
23.610384,14.959793,9.857848,92.661545,31.944956,35.246445
6.076768,3.939194,3.954948,36.406094,12.964472,25.164812
21.896252,14.721296,5.266428,40.373383,13.370068,17.551939
17.780689,11.524965,6.927679,56.693264,21.111971,15.374207
6.496183,4.392130,2.638485,13.782777,5.374342,3.663105
13.390573,8.969569,3.523705,34.867271,11.447951,16.935020
15.815102,10.319140,3.680173,24.959841,9.253276,14.390293
29.580402,18.627270,10.340934,70.129356,26.283855,42.494415
25.813059,16.266306,7.676462,46.751724,18.060240,24.323477
5.773176,3.650768,2.406229,16.227934,7.013563,9.320079
30.207912,19.485897,7.338633,61.322823,21.156813,15.479029
9.499625,6.092018,2.242890,18.606985,6.750012,7.464551
9.398889,6.002964,2.357044,14.776846,6.294260,22.468554
11.929521,7.811419,11.773208,68.488579,25.501997,23.826288
39.779472,23.568964,17.738550,168.036285,60.096462,63.454872
44.366375,27.485514,35.175255,171.874054,60.113483,78.578148
15.198631,10.362416,3.835635,31.258457,9.525215,14.170650
42.134586,24.762445,10.435410,93.052422,32.633152,82.535011
20.913546,13.807422,6.758727,51.401093,17.214590,11.395536
7.762781,5.251568,2.095705,15.810433,7.180748,8.131831
22.950258,15.058984,6.843085,44.730507,16.750639,13.920403
22.145149,14.667063,5.060261,38.260021,13.462312,20.537502
44.388920,27.817074,25.434334,195.305054,65.932068,92.041092
13.097177,9.058294,3.581739,45.955746,14.371742,16.735018
24.581619,15.939681,4.908644,40.370205,14.562674,34.669376
7.137052,4.910591,3.363292,24.957901,6.229901,8.042777
12.473418,8.119259,4.991614,22.586843,9.125772,10.893511
26.887011,17.714609,7.303657,67.275970,25.714525,30.341787
13.984487,9.070762,4.692076,41.013992,11.959558,13.582393
4.601410,3.307055,1.534986,14.871861,4.871909,4.093848
29.844498,18.971630,7.748002,39.908173,12.013493,13.682473
15.329164,10.194832,5.204174,40.381664,13.280676,17.047642
7.893681,5.449222,5.421859,66.139336,22.181601,55.415676
29.761600,18.980711,5.409935,60.889965,19.408360,8.398861
19.246128,12.686371,6.174713,41.196617,13.873186,12.843523
39.273888,19.469574,13.643839,119.549217,45.488163,38.185501
29.067595,11.714384,8.311421,70.481262,21.023478,19.638149
9.196451,6.004248,3.710915,59.477383,20.401035,12.104991
21.988852,14.296218,6.681866,101.394844,36.857719,33.183506
8.159486,5.281612,5.346212,34.660183,13.884386,14.029921
7.406027,4.919374,2.611064,11.055792,4.723863,11.402835
66.061256,39.003048,17.815853,148.771072,53.043625,59.407040
67.135040,38.294952,23.782677,174.050659,62.244411,43.238335
11.520273,7.448015,3.591330,21.813770,7.744249,7.267153
22.935263,14.532946,19.602100,106.939354,41.252686,48.919384
29.404839,19.765104,6.730258,50.200230,17.550888,41.726120
4.898757,3.664513,2.365034,27.086256,9.534006,19.790020
33.289513,20.844223,7.550100,7.900332,2.013370,29.311987
5.431995,3.585796,1.583834,18.300240,5.530397,8.068646
24.001152,15.633380,6.584255,73.210175,27.503166,22.793968
16.960333,10.679682,9.744918,72.214386,26.670883,31.177809
11.044344,7.317409,3.931506,17.442076,6.754557,10.956743
23.809134,15.450764,5.988982,39.728462,14.175843,16.283714
22.510899,15.755435,9.731142,75.989014,25.247969,29.929409
10.325698,6.672263,7.514668,45.253925,17.702290,28.810514
25.701698,17.075500,5.347584,51.253738,17.177294,24.538107
39.108746,20.539625,9.720780,71.374222,22.310852,50.633549
22.084839,15.005590,6.010505,46.184391,17.868864,18.131397
21.666862,14.254044,5.117758,36.994339,13.486094,7.374137
17.001234,11.602271,3.853344,28.037756,8.948736,28.237541
14.606894,9.376806,4.072730,31.908512,10.288051,24.826517
21.320345,14.414142,5.446913,26.605026,10.319634,9.933733
18.883982,12.510954,3.358859,40.424782,14.356502,37.014153
12.918589,8.768255,3.081415,17.998428,5.477659,8.826299
29.012270,19.138832,11.700561,64.611847,23.524288,20.013454
11.772423,8.149482,4.559805,60.941132,19.775702,16.545605
35.500607,22.214275,17.017006,128.587067,46.660046,79.997292
16.294100,10.862723,3.987578,26.512356,9.260158,16.645647
16.387074,10.868217,4.683357,25.403267,8.068271,14.170808
25.729120,17.195915,16.202930,106.906944,36.636391,76.912086
26.358099,17.011431,7.611424,36.705280,11.394224,13.309443
92.392609,45.472267,34.709045,192.930298,72.011742,120.254684
35.014389,21.709501,8.538017,57.931847,21.360886,47.781261
32.450138,20.877094,11.524561,53.439819,19.279224,37.044109
6.458930,4.134736,2.341216,16.279520,5.220815,4.124135
13.739326,9.306020,4.195762,27.030277,8.437531,11.785155
11.132346,7.573148,3.059324,15.682133,6.300011,21.062437
8.653369,5.876151,2.816517,45.132401,18.258923,11.131427
5.916046,4.230185,3.288846,20.387394,4.075949,20.007004
40.021061,24.499826,19.471621,109.815842,38.047684,22.001980
50.324043,29.785360,14.305055,92.633064,33.500725,34.425705
17.241989,11.675382,4.562252,39.602280,14.049140,9.075012
40.338013,25.898939,9.022163,63.842537,22.352045,14.543571
6.583520,4.277360,2.673477,31.553343,10.516432,23.383152
17.475447,11.447316,4.960809,31.504580,10.393913,7.170267
6.282398,4.267665,2.113810,1.302605,0.979267,7.319747
24.225790,15.085878,12.495508,86.506996,27.380836,33.987686
10.974771,7.686675,3.602235,23.271513,7.190975,8.706286
6.695501,4.551229,2.058235,20.391813,6.134643,6.799270
45.943890,26.424849,14.826047,100.239159,35.829018,33.882290
31.488043,20.702692,10.624247,48.077759,17.033012,15.939775
8.727918,5.683310,3.725483,19.863838,6.815543,7.041989
16.827684,11.291099,6.908826,67.026840,21.550911,20.969357
16.703501,10.371961,5.463439,48.428799,17.131729,19.603058
22.784204,14.647351,5.555931,50.425812,15.206223,19.850466
11.233450,7.546695,2.287754,34.525436,12.650530,24.760454
32.190437,21.046677,8.075697,50.943779,16.403286,18.539835
45.117733,27.475367,8.972198,74.130226,23.308031,31.881199
6.853116,4.828424,2.495126,13.940032,4.871270,9.139551
17.654074,11.441944,5.165176,28.627092,9.275610,8.106470
4.501660,3.262340,2.465809,33.775318,11.364042,6.947967
89.160233,45.217819,76.979065,498.535248,172.826950,342.864410
12.522347,8.326001,3.490526,16.532116,5.832124,10.667980
11.611059,7.272525,5.156952,31.853676,12.096321,26.316847
12.521796,8.185796,3.884071,28.461918,9.354558,12.038527
31.086588,19.370258,14.279043,128.469193,46.176781,83.887245
20.960474,13.838215,4.569262,52.043121,18.868526,19.092939
30.691811,19.001766,10.850224,41.162109,15.910685,21.469124
46.063698,28.186457,14.179471,97.298416,32.292130,17.947165
26.527647,17.037016,7.777887,64.845146,23.904444,34.833191
6.490362,4.305091,3.493948,22.378794,6.970758,9.701187
11.261709,7.713421,5.380768,29.488205,9.901580,23.139040
5.433024,3.431259,1.306467,22.678165,8.732883,8.070806
17.861059,12.341957,3.347837,30.628315,10.323108,11.298687
40.230789,24.101933,25.554472,169.767960,58.512608,95.992470
10.950994,7.193579,6.112226,55.439465,19.451414,26.235579
16.531380,11.195936,3.941027,26.405659,9.231286,8.317106
6.566831,4.319041,1.698393,16.972429,5.103611,9.560421
41.638649,25.525314,8.373383,61.078030,21.576611,22.908682
8.688178,5.688758,7.791422,46.155071,16.187136,35.206806
32.981358,20.949574,9.433637,55.282665,18.743776,14.222405
38.602039,23.128017,25.544495,184.706741,64.840157,108.037788
6.406340,4.206295,1.959126,17.576977,4.806020,8.803046
6.860925,4.719244,2.244108,16.865311,4.005343,2.053760
25.455559,16.669086,10.703754,58.629642,20.699217,21.858515
53.755524,32.424946,11.503795,89.840401,30.786324,46.225090
12.109013,8.222236,3.072245,11.686800,4.232915,2.431266
20.054590,12.980227,5.669437,31.599566,11.985443,11.833593
20.385216,13.452551,5.252837,39.162659,15.500412,30.942198
48.162113,24.052608,22.824100,146.233017,54.861031,94.325546
28.508093,10.706723,13.017341,56.827667,15.203762,33.709343
10.434784,7.308848,3.049547,24.134451,7.954614,7.973853
15.737606,10.306685,5.617159,26.063545,9.097902,17.432323
47.515919,27.991781,29.064850,216.219391,80.904816,132.692184
24.494320,15.704986,5.680402,42.356255,14.584083,11.710937
20.699051,13.452565,4.052629,62.199738,24.376352,43.715012
56.816185,29.919296,21.806175,192.472824,66.049515,163.811829
4.849735,3.203396,1.506523,16.496498,4.562029,5.864023
18.980537,9.764943,1.706643,1.683173,0.805842,3.237231
37.969002,23.273684,15.973836,116.642159,41.446461,95.718987
44.292202,27.687847,14.965300,86.476288,30.928329,50.690327
28.754658,18.310242,10.279345,78.916939,24.715216,39.643791
7.737508,5.329498,2.688670,16.761446,5.913439,7.117361
62.175644,36.633728,26.522331,176.774994,59.347359,68.292168
15.299350,9.595734,10.413697,71.823280,24.426216,50.566315
17.031460,11.086356,4.472706,25.942057,8.230820,15.619409
11.621946,7.657547,2.138806,17.708233,6.615518,10.305984
14.453014,9.231459,12.368432,57.092587,17.771729,28.527025
23.816608,15.543641,5.882875,48.799458,16.905684,17.701452
6.945592,4.700473,3.471560,14.481683,3.971070,1.708584
35.121952,22.392612,7.801928,73.444359,25.676273,20.629000
10.409120,6.829689,3.898598,23.504751,6.342466,6.465288
19.928486,12.996020,6.052307,45.692261,14.660519,18.532679
36.023529,22.705883,10.691939,72.052872,24.217672,21.930439
46.711143,28.869543,10.092737,47.802803,16.885258,26.535372
14.692842,9.422930,4.798987,25.078907,7.816222,12.485312
16.916704,11.135360,5.264048,18.818445,6.765849,4.924021
10.181297,6.657213,2.677813,15.377184,7.845425,10.235477
23.308361,14.736936,4.920572,51.199825,18.781456,18.084217
10.330186,6.818213,1.806319,35.760208,13.415192,58.792789
10.115675,6.870547,2.161068,31.343327,11.009082,11.427329
29.691771,19.375914,5.365274,43.962410,13.714499,29.821590
19.140976,12.905997,6.328012,41.006405,14.588951,17.430862
9.429073,6.562923,3.052103,15.653741,4.811662,2.934057
6.527493,4.426406,1.536711,19.496647,5.487804,5.035382
8.608888,5.549652,2.124919,22.525940,7.219126,12.167236
15.470949,10.196095,3.801643,1.732350,0.765906,7.355696
15.529165,10.679930,6.940667,54.854420,17.430050,22.366457
5.405144,3.823809,2.422135,19.200876,4.867050,8.320756
42.105423,26.254740,15.793448,97.953972,33.378113,70.399017
18.421001,11.908818,7.359833,78.758018,24.967863,37.419060
12.129979,8.201074,6.051689,65.688484,24.073513,27.324457
13.456135,9.032137,3.173759,24.982424,8.865615,40.489967
15.535047,10.498297,4.254794,53.868759,19.798199,27.911226
14.745610,10.002645,3.846021,32.225941,9.448306,14.552872
10.556418,7.084928,4.174081,39.844532,11.762556,8.749649
18.418688,12.252237,6.588574,5.055490,3.167980,50.670979
11.877556,7.923547,3.409503,27.311739,8.292362,14.974205
52.744587,29.871731,12.862800,106.147926,35.910995,60.623646
19.924805,13.600869,6.021221,30.578915,11.255709,17.012386
9.183134,6.245723,4.573667,22.208670,8.436424,9.405866
22.780996,15.585402,5.930594,33.111263,12.447700,19.791031
27.267879,17.677776,13.868642,116.937172,38.584473,23.170574
14.240598,9.428983,3.541610,21.174351,6.419705,12.242817
9.987103,6.898219,3.142373,18.333973,5.699794,5.918453
50.423775,29.929522,15.715247,97.828140,34.429298,40.563347
19.965351,12.854300,5.502526,40.310505,14.987547,14.886929
37.209255,23.449347,21.567543,172.573196,58.252544,110.700478
17.117241,11.373427,5.244003,27.333939,11.368171,24.140120
10.049590,6.873649,3.542902,14.114758,6.953365,6.116745
8.595915,5.795981,2.877059,30.307230,10.460931,9.832205
21.220085,13.658338,4.512404,33.213379,10.635413,13.095795
16.395098,10.643149,5.163645,30.936312,11.092536,21.267269
6.949685,4.545297,1.907049,10.934670,3.578444,4.304593
10.275133,6.987264,2.917812,4.173648,1.344544,8.337473
13.573573,9.044323,5.060136,27.840014,7.795650,20.698566
47.625023,29.551664,17.896475,120.280869,40.352318,54.661449
6.162688,4.382035,3.128036,31.411592,10.166860,20.409124
17.394592,11.098307,5.040883,29.231295,8.194278,13.706208
13.646207,8.769847,4.094206,27.757399,10.482410,16.951441
21.494934,12.747970,28.334686,169.529129,62.463676,84.830544
15.112712,9.493647,4.245184,47.124081,15.870104,33.548096
38.083778,24.098574,20.168163,110.410324,37.406681,76.701279
24.075020,13.805437,4.940362,56.338806,20.570778,16.739178
11.306061,6.265478,3.931964,23.143608,6.872761,7.259373
9.751912,6.701128,2.936389,19.852917,7.110609,12.356534
5.989545,4.070586,4.996511,41.932224,12.672743,19.207708
23.626844,14.615536,25.730173,156.265808,53.938019,113.317680
10.884940,7.307278,3.516880,18.548080,6.978529,7.442874
8.539751,5.505900,6.586876,50.525402,16.446577,19.943489
26.075531,16.753225,7.939458,50.359951,16.225239,19.024519
6.241714,4.108336,6.922055,52.938782,18.792580,16.330713
24.723253,15.979098,3.586597,42.889122,16.434383,33.735035
23.474644,15.254441,9.705550,99.050438,34.182220,79.285744
19.842457,12.656268,5.074343,39.922642,13.316065,8.607172
14.907881,9.961680,8.768633,72.665337,27.036190,18.928017
8.895272,6.217261,2.812614,21.566433,6.120594,2.290782
22.057457,14.880191,6.319310,56.752804,18.921497,15.043814
10.800838,7.119088,2.654173,14.286540,5.958448,14.302227
54.175098,33.480011,21.763578,138.386185,46.926495,40.170322
11.884487,7.774510,3.187026,15.779732,7.241299,9.237536
29.953938,18.205355,9.337564,93.856598,33.539234,51.970787
10.019073,6.464888,2.744863,20.666748,7.383621,8.932612
29.498444,18.586391,18.554655,155.191544,57.542160,119.383171
17.949867,12.009385,3.919616,31.649078,12.523431,8.686935
6.978159,4.696501,1.514886,19.770655,5.604650,7.343494
36.155575,22.760975,9.900921,59.559399,18.231785,18.401703
26.918011,16.899569,8.281646,63.272587,22.381939,45.772850
7.935751,5.408552,3.108498,23.347858,7.215184,7.676501
57.048374,33.539597,14.132578,96.465691,36.833549,61.426033
58.231323,32.048309,20.757196,129.280609,46.871006,88.523071
13.469494,8.814700,3.856735,20.419746,8.751141,9.888190
