"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
7.065336,5.297562,11.579053,72.602699,22.641928,22.439569
12.619488,8.514932,3.885842,37.319321,10.174157,10.643091
7.095604,4.877090,2.603094,26.075468,8.268026,10.957992
21.810825,13.739244,9.965663,70.742149,23.485550,18.667801
42.276268,25.614611,25.758575,229.792648,88.101875,121.752190
7.632017,5.283262,3.926995,25.735647,9.239059,8.912884
102.777855,48.094086,132.211075,751.927002,274.370789,702.344482
16.973593,10.681335,5.442709,32.795570,11.731197,8.831439
19.744791,12.054847,13.161942,115.683868,38.099258,49.986092
12.389729,8.013574,9.004941,65.920074,23.526920,24.986088
18.940735,12.031098,6.974575,58.489784,18.488800,24.198013
9.343408,6.401974,2.932574,20.584764,6.952240,10.584199
12.395959,8.426370,3.579439,24.036839,7.328689,15.271049
17.357277,10.900879,5.213420,27.722288,11.157950,12.326728
66.668701,38.043835,20.391943,140.308167,48.062042,38.039692
34.188499,20.499731,42.456539,244.252579,86.147171,129.072128
9.143936,6.155883,2.830414,31.996719,10.011961,9.788974
18.659775,12.548176,4.804873,46.122211,14.697319,22.562712
30.823809,19.944948,13.174507,72.336990,28.583654,51.752174
38.520016,15.617729,8.360245,70.675255,23.060743,58.264641
38.234119,15.623850,8.623009,70.889191,22.225761,60.041977
13.776941,9.695511,4.853552,33.482162,11.144956,6.886379
11.377748,7.647080,3.568902,19.377186,7.913708,6.241423
16.738253,11.165998,4.594422,35.276150,11.786565,6.106399
16.711914,11.265566,5.362049,33.051537,8.647699,5.151145
26.016514,17.102701,10.066291,92.128609,26.810604,22.993988
24.382154,15.912318,11.251769,75.309135,24.248228,16.305908
7.811802,5.237964,3.844600,13.714471,5.360648,2.637346
32.250553,19.802197,18.869684,95.629822,36.932281,49.464684
14.128027,9.354074,3.787409,35.156052,10.442986,9.432121
19.938908,12.760264,6.209495,39.612297,14.841712,12.136783
12.510574,8.392756,2.756128,49.333961,16.610052,14.277997
10.454017,6.931251,1.699567,34.492054,11.918735,9.351885
5.391877,3.851474,2.671600,22.712229,7.516738,6.626382
10.917937,7.033220,3.373138,16.343803,6.385584,10.690009
7.862788,5.304193,2.461149,25.378086,7.851608,5.101202
58.081718,33.146526,33.931335,200.648743,66.197273,45.431831
39.759003,26.368887,12.485919,90.866776,32.487789,17.670082
44.218517,29.141718,9.613276,69.339211,22.567366,16.374641
31.458311,20.063524,15.394712,100.171539,31.759222,31.008804
6.454515,4.091900,2.074257,16.318012,5.532905,14.605247
13.678011,9.199609,3.604591,30.897200,12.650690,21.859362
26.448843,17.291576,8.413139,56.346973,19.678362,40.829926
19.896463,12.955013,4.237564,32.558174,11.274422,8.715981
15.713709,10.401068,4.403874,38.542240,15.876606,10.661946
23.659399,15.207259,5.058774,44.209217,15.631449,24.950317
16.058998,11.319283,4.020999,29.433172,13.182300,11.992597
34.735390,21.791134,6.771714,58.939484,21.282637,96.148849
11.323648,7.887948,2.192126,37.722027,14.608562,41.104599
10.231264,6.690391,2.847636,20.560720,6.744366,2.047489
6.974877,4.771899,3.379426,15.286504,5.726214,4.626448
9.055221,5.940623,3.916141,15.858955,5.797441,4.149288
26.588831,16.847664,7.406065,60.777744,23.450121,9.787837
84.452263,39.873047,150.224747,868.013489,303.312256,366.536346
23.942320,14.311522,17.098543,77.811638,28.005026,63.685612
8.107993,5.850433,2.257064,17.161697,7.328282,4.561413
9.237387,6.301239,4.900618,25.368359,7.716451,10.315142
9.053984,6.083891,1.820134,18.300751,5.027602,4.400066
8.685297,5.775366,3.010314,29.151344,8.730301,4.466290
12.355581,8.055373,4.580061,57.249802,19.832392,14.814165
12.774162,8.073971,1.714523,34.731674,9.956014,23.799023
16.167122,11.221253,4.362568,36.284595,12.923759,11.928287
22.827715,15.153560,7.542746,55.376606,20.172550,19.083134
21.406500,14.506500,9.927925,90.471748,31.074795,28.186123
7.956499,5.266008,2.447490,16.823772,5.835468,4.954453
34.605995,21.872423,8.707033,79.580147,25.081657,20.548599
32.196518,20.512785,8.274441,49.285164,17.322121,23.120861
21.323572,13.597984,5.324718,34.349636,12.257772,38.423874
13.240159,8.774522,2.960445,42.780277,14.088022,9.101778
4.434711,3.356914,1.977029,13.960799,2.949610,0.233348
28.687317,18.334187,6.105273,56.202717,20.554344,35.197475
9.278737,6.147821,3.060608,26.203455,7.011146,8.708519
11.698477,7.668361,3.674142,24.219322,9.978753,20.329075
14.583356,9.362507,7.719039,63.663296,25.185297,23.768713
26.274845,17.113468,6.592733,62.613251,20.157885,5.401208
5.189145,3.391623,2.231560,12.332804,3.768898,3.317199
12.851379,8.393250,3.939232,28.219677,9.620806,4.964160
15.248974,9.873731,4.008733,33.005566,8.477549,11.271185
16.991180,11.602880,5.981910,40.500938,14.848413,17.673861
14.428505,9.966324,5.403718,26.571104,8.228008,3.220571
20.128922,13.723243,13.247124,72.683228,21.863396,36.780590
25.723579,16.334814,4.944907,46.613995,13.994804,18.971491
44.139938,28.360674,8.957069,61.756638,21.911730,13.565423
5.930002,3.966032,1.964805,1.226844,0.383791,2.391571
16.636066,10.568792,13.454607,72.202110,23.968534,29.065102
19.239595,12.150306,4.951909,37.338432,12.983095,18.547911
9.499043,6.318427,3.630436,30.943945,12.072659,11.369733
20.980999,13.547282,7.058454,44.836601,17.552912,4.496761
10.682137,7.475272,2.636418,36.070564,12.988358,18.297066
9.524039,6.168511,3.153471,46.449905,17.630053,12.462198
23.319910,14.632441,7.123708,27.824764,10.853541,23.344667
31.376694,19.941118,9.269992,52.890606,17.081249,9.041492
7.719916,5.463725,2.545715,18.366137,6.351799,6.206773
17.763863,11.425077,9.617515,67.218391,24.574360,32.682587
20.025187,13.583393,5.841110,25.494396,9.438634,6.975436
34.704605,22.109589,17.454191,108.229889,38.095467,41.070141
22.747061,14.982289,5.332453,33.156967,12.451691,22.036814
7.536402,4.948637,2.394468,2.613770,0.355622,9.352384
17.053438,11.064138,3.974654,37.590206,11.856997,6.591816
53.885803,32.642048,19.681492,125.091568,42.862820,57.267567
12.261514,8.508615,2.449864,5.379755,1.255381,5.244736
8.480974,5.737510,2.845215,19.023436,7.217445,11.727649
55.031574,32.976650,21.934311,113.483574,39.381603,93.955025
18.740902,11.403090,9.172293,80.403183,27.796005,34.660843
49.670513,21.397720,11.355931,72.820915,24.932381,16.520117
35.240700,13.949758,9.639827,53.591400,13.414363,12.639248
14.160590,9.272549,3.025307,21.645071,7.567066,9.750405
26.141722,17.252628,5.593153,46.998074,16.146191,30.799234
15.971918,10.372221,4.828287,54.866497,18.861710,30.210463
43.780910,25.165852,9.739830,103.867050,35.063049,26.544794
39.999504,23.693525,13.628591,86.230705,30.406507,45.056168
42.751286,24.959894,26.791697,141.947647,46.576237,40.160572
28.748678,19.065268,9.612680,46.962105,16.420218,17.958504
33.474117,20.583702,11.916697,98.500290,30.869623,41.572762
25.443146,16.612806,7.425838,43.263653,13.732382,28.825260
17.147223,11.153089,6.989304,60.959858,24.353363,49.268581
13.599768,9.164126,4.096449,24.513268,8.908031,8.739557
30.210167,19.001999,13.530380,107.646034,41.399746,93.161049
34.966160,20.822535,28.074310,171.374420,60.808086,61.027649
30.552032,19.690483,8.507431,65.580795,21.045872,18.240221
19.991795,12.876270,5.494030,27.300953,7.935173,14.047285
12.394151,8.267223,3.316539,17.436293,5.119395,8.942537
8.848427,6.368941,2.793941,24.009998,8.060489,8.541678
19.950153,12.873120,4.891729,38.568893,13.885467,26.835432
12.669109,8.371158,4.163241,32.843811,10.341243,12.479969
25.568712,16.578129,6.808010,48.704296,15.470523,13.972330
34.646786,21.445454,16.845531,123.861679,44.864937,71.744675
25.042551,16.004963,12.090004,64.132072,21.903275,15.686443
30.212828,20.191952,6.925426,63.967407,21.454731,11.313976
6.193756,4.230159,2.312139,2.295420,0.504124,5.575830
7.396936,5.074126,2.680654,14.973755,3.876536,0.964831
10.601033,6.960120,2.593174,19.168894,5.480193,3.313560
16.995203,11.589153,3.793691,30.103020,10.848821,6.964438
34.243473,21.924911,8.326780,57.379387,20.189148,13.629148
8.846176,5.658608,3.133367,16.265984,6.058733,11.952820
32.109531,20.317753,7.732029,71.662308,23.793512,22.089735
7.898373,3.348365,3.967527,23.962440,9.224775,4.134461
25.131622,16.963758,6.221557,57.539532,17.692122,35.687035
64.809692,34.073681,97.645050,618.703308,217.603912,238.746475
17.843220,6.680709,4.777438,47.730854,19.571320,12.131572
16.934544,6.772132,5.224933,46.977207,16.984249,12.069085
16.091860,10.466786,3.878867,32.670395,10.568899,5.318333
15.850364,10.539516,2.774945,24.812328,9.174511,10.493335
32.092678,19.800777,11.438693,81.574783,32.526249,11.001363
7.025352,4.780279,1.557805,21.883907,6.668344,4.795400
18.892780,12.457663,4.991708,30.333920,10.158023,4.990461
7.158378,4.623432,1.709671,35.743954,14.547382,44.041073
9.399544,6.024970,2.843477,22.531824,8.661718,9.612431
22.699718,15.146975,4.611385,39.427715,12.425107,18.957567
17.060934,11.041662,9.935429,80.984276,27.986132,17.784473
51.543591,32.963741,14.767184,100.779709,34.454227,86.808380
12.766006,8.509458,2.544063,31.877674,11.439816,9.713742
14.552606,9.689219,3.700106,29.846498,9.123475,11.959416
6.401019,4.508346,2.800455,15.768991,5.834386,3.438165
8.210745,5.713949,3.299871,24.976627,8.910866,8.199589
75.831253,38.745758,56.045071,298.440399,106.788239,110.045357
29.056225,17.602957,11.330306,65.731339,22.971577,18.386122
32.209343,20.428329,7.200778,44.495792,16.439064,28.302629
27.690773,17.149929,17.048437,92.247246,35.703053,28.083099
43.948402,27.510916,13.112864,66.381577,22.059803,14.067958
14.037740,9.067751,3.666841,7.090963,0.711491,17.030001
20.346642,13.237774,4.324020,48.472229,16.966341,46.079224
42.956135,26.229553,8.881716,68.457962,23.378353,31.858534
6.868906,4.642852,1.841514,17.126045,6.006376,8.489968
9.383888,6.528140,3.491843,30.131227,8.425068,6.024427
7.238858,4.758698,2.903678,23.649784,6.571601,3.597421
15.397914,10.155570,4.662154,38.031010,12.398684,16.563074
11.160836,6.848831,5.359428,69.774361,23.072504,35.749256
20.904982,13.183485,4.608198,29.204355,10.472604,22.193016
