"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
26.474857,14.605423,16.930075,118.173965,37.465366,33.449020
16.594330,6.409218,17.701275,130.031067,33.419113,20.394320
10.677250,7.684707,4.372469,18.386723,5.512089,1.835874
5.253754,3.821030,1.762191,20.945829,7.175119,1.460170
5.730607,4.160753,1.977443,19.787361,5.377288,1.105750
17.354650,11.752988,4.316616,29.092100,8.349010,15.304085
30.901863,20.445160,9.123252,60.944485,16.352831,6.060959
33.494919,21.698181,14.368229,83.442619,23.473421,27.701210
23.898357,16.174721,8.504371,73.050835,22.346449,19.070265
6.641938,4.748193,2.552973,18.883265,5.472134,3.070845
24.502653,15.937348,8.579524,50.536530,13.723995,9.367423
47.790703,27.977903,47.617363,373.212524,100.314545,78.488922
10.294155,7.449808,3.540119,21.523966,6.202722,6.502806
21.174841,13.769531,18.106632,72.728783,18.517841,2.350305
16.382675,11.279918,4.592664,10.307269,1.897407,1.883652
32.687210,20.804907,8.956347,77.806099,20.287060,32.278309
18.158819,12.106811,6.719468,40.607685,10.780477,3.765946
24.321777,16.332355,8.300732,5.912689,0.799673,4.429286
9.405420,6.364628,3.716387,20.817753,7.722888,16.790016
18.367001,12.413383,13.779183,62.150082,16.755329,7.792736
25.380226,17.821115,9.216374,80.958549,22.418783,5.959828
21.933945,14.395218,8.799797,55.511795,14.497834,4.162612
40.409817,26.629013,15.371893,68.687378,20.267170,28.796501
5.457139,3.780745,3.193219,19.273121,6.918100,3.003735
17.190897,11.997988,7.013467,19.908110,5.802399,2.477421
17.594999,11.121256,23.449209,24.138096,6.428818,39.054203
7.918018,5.322719,4.517416,25.570005,6.425783,8.338353
34.734917,24.219896,9.442263,10.851298,1.807597,25.281788
11.890216,8.510691,7.295462,30.055662,9.894784,6.888846
23.157207,14.389474,20.701929,31.678066,7.297427,20.309317
23.920898,15.750987,10.448848,45.492344,12.132242,25.902172
16.928652,11.658137,5.730110,26.475048,7.008952,4.265830
19.904987,13.034766,8.112215,55.985508,14.320797,10.942536
23.686155,15.081943,11.371927,69.155678,17.418097,17.024595
34.166470,22.230974,19.408335,40.553875,9.309523,52.279285
17.957169,11.987543,19.611588,54.370834,13.842465,6.212871
10.183455,7.267619,3.605296,20.847952,5.538055,10.891461
62.771618,36.531239,51.011852,211.066391,54.249329,41.944496
15.472409,10.373407,3.894079,26.741920,8.841296,5.304424
9.646729,6.605273,7.473627,29.028313,8.953928,3.688920
15.033308,10.256451,5.641606,30.476597,7.491729,10.984281
16.337437,11.518945,4.519662,33.038326,10.770504,14.685345
10.585223,7.281810,5.174645,22.886106,5.937994,3.583662
38.533894,25.009457,9.427734,79.044510,19.645895,19.825520
23.720583,16.229923,15.063025,101.120964,25.820856,5.357392
7.373988,5.380599,2.377900,4.507272,0.868774,2.166471
7.358671,5.124214,2.927203,23.531677,7.420209,2.262815
18.721640,12.422237,5.484895,27.051392,7.199119,10.618275
35.329975,22.383799,19.800100,78.389076,21.142744,28.236410
28.554138,18.256552,7.859081,50.768799,12.191899,3.870483
18.413267,12.706470,4.916460,46.223778,12.946699,14.477762
18.899387,13.142771,5.181513,42.578323,12.059960,13.457279
10.610827,7.753426,5.225621,65.099312,20.054348,5.634271
24.936884,16.466066,7.873963,32.428249,7.351010,5.118923
4.025219,3.111571,2.657573,20.287251,6.279231,8.588308
8.015057,5.606293,4.208740,23.906775,5.734056,6.327215
27.628176,18.554047,5.701305,62.275043,15.902050,7.362607
8.557129,6.099150,3.257082,12.006062,2.268090,1.611958
75.010101,43.937599,35.573986,219.318176,58.179901,38.688530
37.823875,24.336502,25.447977,137.179138,33.772930,37.061836
15.472908,10.378048,4.373949,9.356317,2.213652,0.264531
12.488963,8.642518,5.291937,27.852354,7.819378,7.360078
39.645725,26.185665,7.607087,87.879509,23.232319,32.701969
9.742914,6.404083,11.300531,68.663750,20.916073,24.289923
26.583206,18.159683,7.265913,42.449345,10.253547,4.067978
5.906356,4.248522,2.308683,8.329689,2.519428,2.004106
25.172632,17.201628,10.705098,52.527229,14.326692,9.316153
44.747257,28.719444,15.840890,58.366684,16.096785,8.970016
11.520826,8.057359,3.160617,19.020594,6.116893,1.398736
6.061107,4.470806,1.926986,4.363274,0.983636,0.744501
39.664600,24.025715,23.255711,142.895004,39.670757,45.252537
18.969200,12.815912,8.786953,49.148155,15.375470,5.638026
26.500471,17.632351,6.462250,52.911816,14.682792,19.231705
14.501143,10.018635,3.515430,23.475224,7.648812,4.999027
7.869759,5.379459,3.175514,18.886419,3.693749,1.608667
9.553607,6.458640,4.404855,34.122940,10.481804,2.434298
21.219278,14.481506,6.784532,14.611566,3.208157,0.899956
22.530224,16.053541,4.087372,58.373775,16.663147,6.127484
28.590424,17.752172,21.202120,160.271637,40.588367,34.634850
5.996265,4.305313,2.243862,16.458851,5.035983,2.838100
8.758444,5.926002,4.425264,17.003283,3.679926,0.974849
21.948912,15.480322,14.653242,72.933022,21.419035,5.513508
21.584858,14.536212,6.490666,42.243454,11.427729,10.888124
11.198812,7.628141,4.152397,35.459805,9.202076,5.640789
6.384408,4.526311,2.187791,20.890198,6.728733,4.418943
6.400000,4.581946,3.229001,38.128395,9.011828,5.282950
14.767852,10.529853,8.977884,39.090225,9.438255,6.940931
16.548622,11.502604,4.556306,26.224190,7.894621,3.327900
33.573219,23.100271,10.271544,55.161953,14.797054,12.295485
39.271008,24.570610,15.699959,88.868469,24.128487,10.935887
15.384524,10.726191,4.571517,22.952724,6.864401,8.664207
10.272861,7.032182,3.507902,2.722534,0.481283,0.230356
42.785732,27.283792,18.266356,81.330910,19.727570,10.142295
37.402149,24.395048,10.282372,79.217979,21.271523,15.206869
23.463852,15.597553,9.387011,58.133133,16.172987,10.896660
7.123786,4.958711,2.620027,5.237897,0.706224,2.476291
26.064194,16.416615,6.319014,60.576939,15.532907,8.099849
18.095467,12.089749,17.178589,56.349194,15.261276,7.969052
30.765209,20.860281,11.638376,73.102837,18.791521,7.789272
12.979253,9.021444,7.728371,15.243692,3.250239,6.084334
16.894062,11.804514,4.401540,32.660320,7.510752,1.823942
15.229626,10.559287,6.140902,23.870453,4.801085,1.293691
4.459585,3.160978,1.409545,4.118244,1.527676,0.406856
37.063774,22.725111,18.995010,192.985550,54.258011,28.208874
17.214077,11.784685,4.993326,37.354752,10.838137,3.219411
13.850907,9.097463,11.234053,93.532829,24.663307,12.792952
28.637304,18.702478,11.782825,77.921959,19.437973,14.343635
