"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
8.116528,5.497806,2.709554,8.311193,1.117188,1.898450
16.714325,12.096449,6.309999,42.635273,11.258296,12.512904
10.387388,4.655538,18.682600,14.035176,2.578209,7.640374
39.283005,26.976461,11.973186,83.025093,24.035269,16.136383
5.361913,4.060415,2.122832,9.993339,3.486267,2.130151
31.129656,20.606894,16.773109,119.211342,34.876652,39.325760
19.149998,14.040324,5.229641,19.916615,5.155780,7.160393
26.482513,17.132231,7.706804,66.247940,18.619192,33.169163
19.424568,14.095572,4.271971,26.391483,6.525039,9.540348
4.797832,3.631296,2.395691,13.481911,2.616303,1.925448
11.166737,7.932507,9.961427,118.496925,35.763969,14.443421
39.709641,25.417109,14.517323,95.550652,26.581722,11.756134
14.827662,10.635924,4.695080,7.148195,1.216785,1.116233
14.414445,9.922634,3.939604,9.126564,1.051878,0.944103
12.077688,9.181126,4.538474,3.279403,1.351760,2.957542
5.879021,4.252802,2.718638,10.684413,1.990752,1.412222
46.722305,30.601555,14.486315,54.864384,14.116218,12.998404
8.972613,6.229542,2.686845,6.609223,1.238043,1.141192
49.941391,31.656836,19.287468,70.331192,17.938578,26.235867
6.091000,4.186422,2.486607,30.803967,8.234781,20.509907
7.794204,5.922832,9.497527,20.105658,3.096617,0.457582
10.638876,7.250857,2.632871,25.702749,8.746486,1.346154
13.240663,9.266848,4.996835,29.130651,6.787440,22.193335
5.269651,3.352248,7.326216,5.804392,1.380764,1.604739
5.927171,4.378907,2.036984,16.274874,4.523072,5.700119
49.003143,29.403419,25.268238,214.936401,62.574192,105.265564
23.478613,16.241924,18.732950,160.975174,43.014984,40.130219
15.537930,10.943789,5.582524,29.172743,6.530236,7.543735
5.483066,3.843989,2.196074,5.717702,1.399386,1.355833
22.270193,15.012066,3.335673,37.103539,9.257356,18.302589
21.088181,15.033031,6.042475,38.147991,10.777213,23.056057
33.506706,22.724264,9.063187,46.146404,11.608219,4.612142
32.804420,22.741333,13.812792,61.934063,17.972239,10.417394
29.773434,19.969204,9.383415,18.032356,6.215104,18.410349
45.618633,28.497478,21.302217,178.820312,45.579731,34.651569
