"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
13.585219,8.959671,4.129800,2.971488,0.662343,2.114976
12.290634,8.606484,3.242433,3.733343,1.130679,0.416454
18.955786,12.506484,5.040901,50.818138,17.447336,6.908086
34.764805,22.680893,14.666127,113.314423,37.751369,19.572147
13.108369,8.982530,5.723517,3.991658,0.787633,0.658938
53.828819,33.603577,16.255436,90.055153,32.008606,14.978806
21.300760,14.219576,4.505001,7.798860,1.833221,1.160323
7.401088,4.882996,4.366785,4.964533,1.826265,1.793253
19.959261,13.245032,5.952180,34.832310,12.316408,3.535498
11.667681,7.525292,3.732557,2.437001,0.153282,1.044105
12.249276,7.880708,7.485728,48.745708,15.418307,10.300367
8.396167,5.410152,2.013928,6.851544,2.241053,0.979524
22.894260,15.643777,8.015390,15.347235,3.039292,0.690674
71.024780,23.168945,4889.475098,719.552002,27.300381,48.311192
6.502765,4.505015,2.169154,-2.614539,-0.704828,1.079390
15.157873,10.215306,5.567723,13.604554,4.176799,4.676039
8.689976,5.896484,2.494411,4.326534,1.029248,1.692737
80.991859,43.157307,45.182396,332.843353,106.393906,24.085447
36.253471,14.100834,2.822763,0.736227,-0.098113,3.092541
21.076469,14.091850,9.975918,7.942825,1.803206,2.874227
64.971359,40.037910,27.181799,180.065063,58.213799,46.687653
30.938105,20.819168,8.556731,49.213528,16.084911,8.659330
25.311138,16.466660,16.658712,124.474556,42.400455,33.178837
26.124884,17.483137,7.672065,8.485289,1.699333,0.365756
25.612413,16.789246,6.026906,50.741726,18.927954,3.571217
115.629166,60.468178,53.903927,485.755829,161.204559,34.736214
12.393289,8.282924,2.537144,23.929312,9.474829,21.446035
38.509586,25.837328,8.291274,15.909212,3.405397,2.133342
33.508778,22.701366,9.804759,74.601044,24.335752,14.699122
8.458873,5.630929,1.206622,20.304014,6.918530,4.792423
39.284088,25.425060,12.107415,75.675400,26.505297,11.729290
118.701744,57.190365,107.932144,681.805542,246.285812,477.740204
12.705950,8.487647,9.449077,8.809288,1.774311,2.796257
20.547747,13.372958,5.745668,3.949692,2.276525,1.379020
12.018883,7.887712,3.362415,21.201546,7.636658,20.934519
7.676913,5.487299,3.361923,1.596954,0.330865,0.003969
7.749222,5.116130,1.567832,8.730405,2.953693,7.120367
13.493597,9.248525,4.050105,44.098049,14.997771,6.617736
11.980125,7.947259,3.836888,3.361131,1.231191,0.553917
12.920969,8.710986,4.092152,18.687292,6.001393,11.556389
113.703735,39.675396,85.145576,443.037964,141.581848,40.327328
27.990299,18.080225,7.272025,71.868095,26.105099,33.544392
13.552055,8.960276,8.784887,9.907106,1.709364,3.244085
23.728323,15.976254,6.253581,8.716276,2.252390,6.739285
9.422593,6.220159,2.445049,3.765954,1.135378,0.556842
28.913910,19.479719,5.977419,13.271940,1.719504,1.229952
18.818510,12.784126,4.335555,30.215988,10.866025,14.008614
16.898647,11.354122,5.409830,4.800144,2.430739,2.586379
10.480066,7.247078,2.671108,1.440875,0.775257,1.928108
19.703682,13.312705,4.348924,32.824821,11.119550,4.778405
28.650631,18.352222,9.577605,99.784050,35.097858,32.142929
30.730974,20.131298,7.469192,24.391281,9.657898,15.305295
23.336039,15.993173,5.883328,46.937290,17.327007,5.266098
23.903854,16.389772,5.882968,6.702591,2.596928,1.676682
57.732040,36.452026,35.249840,273.504639,91.967087,24.923761
37.569000,23.886322,11.336287,58.876083,18.702332,14.748731
66.869003,39.855316,12.735915,91.553757,30.382339,10.744081
30.876289,19.923613,12.865331,130.514954,42.373951,16.274548
11.391192,7.560644,3.146145,5.287999,0.616192,0.484300
13.989126,9.321853,4.029589,5.873550,1.652497,2.267680
53.695007,33.037350,9.757142,105.549622,34.398426,8.732515
11.634658,7.620180,5.567174,5.990729,1.513964,4.722099
5.888172,4.060420,2.045169,0.844071,1.084732,0.081105
51.807602,31.855743,28.100670,156.564209,52.664757,25.047716
21.464525,14.100847,5.578750,3.498045,1.410240,4.439726
67.344818,38.031483,61.942020,322.928375,108.853577,85.479340
25.783871,17.644133,6.086848,41.263988,15.413340,4.022322
10.771656,7.158775,3.037040,-0.126393,1.108915,2.546643
11.720998,8.270982,8.307894,67.522949,24.382574,30.348591
47.761196,29.525736,24.875259,185.029099,60.166592,29.726526
5.070613,3.548419,2.327029,2.263549,0.208305,0.778638
61.720188,37.046867,38.362343,340.909363,118.685593,184.384338
68.679543,39.605007,68.665657,403.344818,132.584015,80.112549
30.329018,20.364092,6.525157,7.472198,1.793785,1.102825
16.866768,10.979434,11.618476,5.435585,0.837726,2.795400
13.324701,7.114768,7.450326,36.957516,14.352984,31.173258
7.721976,5.692444,1.808832,1.668310,0.895457,-0.058009
136.563843,81.147537,55.267025,296.617584,95.291367,74.457581
13.105701,8.688452,4.795177,22.964455,7.856696,7.211308
25.941961,17.031145,10.608186,116.977295,36.773945,11.588470
21.219141,14.318336,6.720091,33.588955,11.697524,5.678887
13.713268,9.437841,9.670393,44.505039,17.447769,6.042534
6.214519,4.495929,1.371986,24.953609,8.285746,6.505791
21.371832,13.945280,11.780375,17.126207,4.823317,16.328535
47.762791,29.733831,18.752012,121.512299,39.285259,32.167767
6.771748,4.734534,2.642783,1.225283,0.518823,1.022150
28.193665,18.983223,18.457453,106.523117,35.971748,36.859474
27.107687,17.850262,9.567752,10.063887,2.150403,2.934705
54.455433,34.239189,27.186066,145.185669,49.273083,7.441317
44.697094,28.843071,23.520958,151.554428,48.785370,21.284060
47.236870,27.434563,28.513500,182.278793,61.600681,54.510712
40.927750,25.769976,10.556810,49.437641,15.683621,5.870913
24.298435,15.504008,10.566888,14.119633,1.043670,3.300707
11.644322,7.976592,2.196858,26.486992,8.192438,9.441204
20.847321,14.407368,10.001825,11.335812,3.508543,3.079233
7.452640,5.019746,2.848795,0.633945,1.138738,-0.022283
14.096776,9.672231,4.753384,4.471625,1.027597,2.577250
24.861992,16.713163,7.320125,50.040203,17.230824,6.625041
