"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
11.283533,8.213871,3.703264,0.965600,0.866974,0.776057
53.545948,32.634781,28.922270,45.216061,14.471768,308.624268
6.169481,4.075704,2.211317,1.588777,0.444234,0.981085
7.684444,5.461567,3.222816,2.831240,0.232691,2.210142
9.329605,6.806997,4.081656,3.452009,0.254922,1.590402
10.808638,7.896323,4.762799,3.258215,0.611520,4.138404
6.335424,4.778239,2.659577,1.668805,0.869957,6.545579
7.734273,5.886502,2.938424,4.098154,0.786025,1.348984
5.408965,3.887442,2.484722,2.274350,0.105241,3.288552
6.856742,5.004587,2.588714,2.122157,0.378668,0.338371
5.315284,3.827892,2.058214,1.846771,0.233465,0.306285
6.263067,4.588860,2.596374,1.966733,0.770275,0.975450
12.901009,9.522033,4.594994,2.880245,0.998741,1.445086
19.307932,13.935696,8.625770,6.445692,1.570180,4.429238
14.172344,10.371311,5.210480,3.193615,0.947841,1.956682
10.547315,7.457148,3.612263,2.606049,0.918402,1.844736
16.238989,11.528069,6.654591,4.846440,0.826236,2.181975
12.940306,8.976124,6.854709,8.832560,1.045020,1.888262
33.305679,22.226904,11.466468,10.329678,1.731807,3.763003
4.911416,3.667624,2.504479,0.799636,0.217183,0.957404
8.101611,6.044902,3.113475,4.006121,0.687406,0.361071
4.740955,3.649783,2.339762,1.453357,0.056883,1.331856
26.530643,18.666262,8.814398,10.332367,1.797442,2.383469
7.314263,5.366408,3.229842,3.191435,0.079647,1.683378
15.710570,11.138551,5.597184,6.080407,1.052235,17.635366
11.177811,8.102151,3.410187,3.394070,0.681769,-0.325091
5.756253,3.699200,2.265241,2.907321,0.818043,0.199510
7.942122,5.771060,2.969566,0.816255,0.450016,1.170406
5.097021,3.843989,2.228244,0.538255,0.573677,1.509536
6.463767,4.636089,2.981798,1.783927,0.478390,0.372910
6.525679,4.596020,2.678873,1.520113,0.486235,1.737754
11.298356,7.816427,4.066040,3.345371,0.759619,0.061806
5.370155,4.323974,2.374400,0.677900,0.750309,0.373056
6.035197,4.145839,2.949319,2.890787,0.646037,1.313528
40.689400,26.437542,13.588451,18.243158,2.385503,10.609499
15.887614,11.622088,7.962178,8.642941,0.834210,2.177531
18.681408,13.161470,5.938796,6.920000,1.167224,2.759927
12.443585,8.680487,5.288929,3.448786,0.307360,1.452459
26.234863,17.549963,20.783270,14.299503,3.687972,4.555481
9.191628,6.647333,4.021076,2.637468,0.506552,1.275508
12.695238,9.254344,4.175585,5.054010,0.821610,0.647998
11.350740,8.311892,4.180530,4.664531,0.641097,0.463719
11.185983,8.170500,6.352424,7.146336,0.793528,1.517403
8.073574,5.743565,3.018859,3.085368,0.328699,2.224991
7.386338,5.267446,3.480153,1.613758,0.649309,0.593030
11.494184,8.665789,3.864892,4.865338,0.732076,0.972496
12.920295,8.722074,14.144057,13.976798,2.674249,6.360604
15.785171,11.767829,5.484679,5.627948,0.802696,1.742029
10.223245,7.257511,4.213952,3.548769,0.552894,1.050248
28.989393,20.518421,16.999880,16.125376,3.589701,8.810917
8.724919,6.727322,4.164950,4.337445,0.780726,1.992356
36.978268,16.757408,14.593145,11.096198,2.141419,5.210447
9.222925,6.599433,3.234719,1.633176,0.545167,1.510913
5.140975,3.581105,2.246840,1.338453,0.186658,0.839750
7.101124,5.127646,3.096039,3.663799,0.519674,2.159777
8.398420,6.440009,3.304960,2.351899,0.543576,0.798183
12.549994,9.121264,4.463349,5.717609,1.296154,1.445985
6.956530,4.877922,2.517747,1.266922,0.552678,0.791545
8.862527,6.586813,3.024232,0.726247,0.489261,1.198430
5.709163,4.174187,1.786069,2.056047,0.240564,0.670956
14.687200,10.588188,3.247781,16.207266,1.795486,2.856944
14.717643,10.691309,4.597937,6.497055,0.601061,1.119220
31.149303,21.811220,14.509140,10.407115,1.824707,3.139519
4.250821,3.165061,1.964776,3.111526,0.301288,2.081159
16.133883,11.746741,4.828752,3.464309,0.341615,0.626317
19.876570,14.322503,6.884478,5.611094,0.876643,1.790426
7.171153,5.534855,2.978875,2.399429,0.257892,2.660753
30.092100,20.471771,11.623001,11.492391,2.044349,11.951978
13.952956,10.376347,4.263158,3.323939,0.652467,1.255031
7.685625,5.454427,3.107406,2.760642,0.565029,-0.085739
5.241765,3.659292,3.179464,2.756339,0.454327,2.050418
11.365553,8.267256,3.170609,2.226517,0.431601,2.905929
9.044011,6.542338,3.489933,4.723450,0.636237,1.266958
18.787291,13.621949,8.238262,4.421932,1.088697,2.055626
13.324910,9.650897,3.668036,3.693206,0.928925,2.539966
3.940668,3.143817,2.331336,1.274490,0.559709,-0.071181
30.588667,21.387110,7.355679,7.210354,1.559250,2.699535
37.304146,25.723642,14.455814,13.172758,2.929817,18.302771
10.275194,7.745963,3.712163,3.646266,0.064338,0.692069
7.341740,5.442103,2.033513,2.776081,0.183947,1.325634
16.340248,11.916722,10.517633,11.388692,2.507277,7.077068
8.314722,6.219619,3.332114,3.744666,0.337011,1.306947
8.540298,6.235950,3.740890,2.494604,0.615159,1.054908
6.790726,4.965310,2.934548,1.150736,0.579112,2.035997
20.825516,14.963512,6.000594,7.172882,0.759211,2.513111
18.727257,12.470504,13.201057,14.972707,2.610762,5.412888
5.510162,4.348841,2.562834,3.209539,0.448137,0.161112
