"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
17.109964,12.028568,8.564581,16.100023,12.169535,316.586487
32.485008,22.625013,5.080372,6.279061,1.371235,5.878637
21.032242,14.939962,5.649984,8.548323,1.219900,13.155824
70.445473,38.542622,51.878876,118.905891,56.791965,1598.166138
5.354764,3.846792,3.581227,23.008083,10.149131,134.890564
33.016991,22.437948,8.616108,22.649864,10.573645,230.336182
51.048813,33.022259,13.576092,11.788207,42.745193,3237.977051
36.912895,24.364897,10.380527,7.068561,2.548253,51.327610
29.962187,20.534782,8.411239,3.700575,12.962708,1024.686890
17.222784,12.206736,4.132897,23.554844,7.534812,44.047325
14.280124,10.206066,4.456702,4.978031,14.631540,982.059875
24.879049,17.070551,11.636277,6.484898,3.883662,165.863434
49.779099,31.845640,35.214138,74.899216,39.170799,1263.521606
22.635790,16.850124,5.637490,4.901508,2.839126,53.650066
30.786608,21.632299,10.086094,14.517623,8.625862,403.444244
57.509060,30.284296,59.774769,97.537552,43.762329,1563.170898
16.539248,11.528069,5.335601,4.964399,10.584614,218.964523
25.930029,18.711231,7.162116,3.495836,1.216596,29.022272
21.667116,15.574072,4.917988,11.148237,7.172192,234.761322
39.819958,21.489891,18.096437,57.005032,25.617561,433.771851
10.639504,7.906474,3.492371,7.737896,4.297648,169.788681
42.065857,28.857304,10.711235,18.996992,12.910775,292.964355
18.573812,12.623781,7.985115,31.657818,12.070548,46.582130
16.793831,9.852491,12.180385,33.839176,10.824586,37.918056
41.589931,27.770632,10.179690,11.106151,21.140911,1580.966797
14.201836,9.872170,4.100065,7.454700,2.787148,122.262299
17.309029,12.823956,4.770964,4.465802,1.729540,3.884817
9.443412,6.808657,10.493883,10.982125,2.919994,92.716858
21.789923,15.257564,6.156617,25.152245,13.105865,334.334595
33.765778,23.404400,8.390012,8.890028,1.500697,12.815736
29.616932,20.465160,11.003878,15.660824,4.489672,86.764320
28.473814,18.665426,32.826447,71.925674,34.073933,381.757385
34.034050,22.680298,26.437916,25.692234,14.876723,641.126770
21.737965,15.269497,6.659647,5.457276,7.795032,425.688599
22.849085,16.198895,5.502938,5.782460,2.678612,184.219269
21.892769,14.979022,6.246420,4.267757,1.062978,2.745877
12.762039,8.950045,5.231046,1.465317,0.445175,1.455235
14.030663,9.687567,3.994961,3.420190,0.714853,2.063698
32.232868,20.693274,29.483597,41.015297,13.739458,190.790375
8.612559,6.006464,2.148040,0.700091,0.191996,4.796388
27.465063,18.531687,6.091515,6.805514,1.529360,18.073675
31.396523,20.793581,22.582043,37.771526,11.593358,43.918884
48.618118,33.164398,13.322694,13.208684,5.211607,203.090454
33.745613,19.842686,22.235355,31.695644,16.564068,559.085266
15.314573,11.004750,4.080668,2.418020,6.397101,222.558609
32.211971,22.673357,8.197184,12.711359,5.400370,83.804321
38.570889,26.361235,9.504359,9.726721,2.867272,27.010477
24.313923,16.192877,7.207587,7.315110,3.776677,35.631840
12.468029,8.874944,6.047669,5.035760,3.305257,231.902023
19.709999,14.536978,5.311274,5.837972,0.565676,2.637759
17.754101,12.525661,5.072872,11.536483,4.691226,247.020584
6.923894,5.130211,3.011775,2.796215,0.675875,78.469765
56.206120,35.499580,22.880157,39.143955,12.383903,214.886963
23.849895,16.978321,5.449590,5.213208,7.850380,519.306274
18.132023,13.336875,4.990522,5.801349,0.862826,1.051682
7.940885,5.554999,2.468528,10.351624,5.333403,18.220284
5.737001,4.391039,3.912876,23.640139,9.460306,87.341156
15.942816,11.408684,3.368477,3.411621,1.360514,26.234818
19.714703,13.849997,4.296753,4.979899,1.211310,2.292226
46.272560,30.632929,15.219031,13.179883,20.922607,1364.134399
46.221416,30.729790,11.562061,11.617611,2.253021,16.858250
19.357340,10.019922,4.597937,5.453301,1.980817,33.693615
29.698059,18.637392,7.710445,5.788865,1.746068,9.448507
31.080999,21.689232,8.827811,5.023882,0.701632,16.164679
20.273149,14.493323,4.417685,5.033513,1.442560,7.560842
19.669249,14.017327,5.415360,8.399202,1.948992,26.393692
54.225838,31.596865,46.898727,60.985443,26.480404,1018.593689
26.860754,18.823822,9.717794,14.201859,5.726081,121.142151
16.083357,11.200321,5.961045,4.796633,17.202391,1052.922241
41.886414,25.199299,34.759583,58.422714,21.039751,288.969574
40.722229,27.890247,8.280272,13.315404,3.035114,15.347548
39.882896,27.371260,11.370505,12.127874,10.111341,690.674988
19.467245,13.927592,6.270892,6.650104,1.451223,7.908375
25.114153,17.589235,7.394681,16.128412,8.802464,264.373688
38.517967,25.947285,20.904263,45.253887,25.928959,977.870178
16.308428,11.536151,4.247267,7.447647,1.589164,15.127583
7.969245,5.945214,7.727426,5.312296,2.710238,99.732849
