"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
15.415651,10.960453,5.483364,3.514217,0.995655,3.056587
16.514154,11.791273,5.487864,5.732163,1.006637,3.959132
5.132877,3.556905,2.096933,2.496699,0.326276,1.049001
11.494859,8.238667,4.223675,2.169958,0.343501,6.978522
24.092279,17.121939,9.647149,5.875518,1.112801,3.534928
25.517694,18.318075,6.117533,6.328709,1.351441,3.684443
7.347007,5.312297,2.838302,1.672379,0.666211,0.147229
25.288630,17.193266,30.383415,20.998377,3.949455,12.483543
14.234400,9.975699,6.402371,4.905180,4.619832,286.428070
13.941396,10.162058,4.862095,5.614441,0.793309,1.349954
14.119271,9.549938,5.672030,4.695646,1.241473,8.652737
19.656708,13.576287,6.481853,6.978179,1.167044,1.490178
21.193842,15.137267,6.696798,5.618310,1.288275,3.750637
20.462494,14.011990,7.632060,5.241086,1.323539,10.752524
20.813761,13.972385,12.759819,27.453728,15.546089,808.388367
13.271082,9.349237,4.863337,2.259323,0.510910,1.029750
5.422560,3.562981,2.111404,2.397909,0.529553,0.723580
8.186224,6.137990,3.458936,2.859575,0.812678,1.616600
6.160945,4.191015,2.537373,1.196836,0.727373,1.185790
23.427313,16.240868,8.981469,8.895873,1.596939,2.562354
15.608055,11.049785,5.343961,3.931057,0.966216,0.736393
6.034924,4.443240,2.654318,1.292505,0.628802,1.978840
7.414232,5.085940,3.416907,1.256719,0.689348,3.477266
17.687454,12.415968,6.275314,4.131527,0.866037,2.627045
4.086305,3.265016,2.444477,2.984892,0.315889,-0.530231
15.438612,10.726663,4.314535,3.887351,0.635301,1.862501
18.495762,12.671369,11.126420,5.423768,1.479325,0.853643
17.786289,12.484927,8.070374,6.463961,1.597430,2.682419
16.306644,11.442866,5.656188,3.862537,1.052660,3.300359
24.722298,17.087261,12.321959,11.163409,2.601642,5.194907
8.891996,6.121899,3.872755,1.731008,0.514831,5.998555
18.390158,13.095968,5.688861,5.590155,0.859705,0.923260
6.964381,4.964843,2.288612,2.994174,0.764607,1.584811
6.989588,5.290248,3.131618,1.718351,0.224246,1.570892
21.619457,15.405437,15.936896,30.825390,14.567390,42.351036
14.214749,10.096210,17.302340,13.282640,2.449883,8.575882
15.400019,10.659029,4.601934,5.940588,1.170798,1.737621
11.893113,8.283758,4.395305,2.976952,0.725577,2.253146
20.901714,14.925452,6.149278,5.334664,0.753309,3.740495
18.678345,13.361200,6.208668,5.825920,1.078472,3.166417
36.658669,25.337107,17.451267,33.893055,11.344930,81.038445
10.221200,7.335330,3.630058,3.288349,0.705438,2.486884
9.591757,6.736174,3.414187,3.335922,0.207311,1.735448
21.099043,15.417637,13.427795,9.226355,2.466249,2.653930
11.425520,7.769887,4.352331,3.004237,0.577819,5.397155
13.889097,10.405291,3.943531,2.645575,0.878631,3.160089
5.413850,4.205472,2.412557,3.978930,1.001385,0.866601
16.575136,11.599982,7.654399,6.771787,1.142273,3.275488
5.258268,3.946354,2.194361,2.076076,0.399190,0.925140
26.530140,18.473743,10.079653,6.778065,3.553956,145.699875
8.717771,6.422146,2.960344,2.117682,0.323190,1.334648
9.476086,6.747643,3.644461,4.047289,0.926090,13.785666
25.536930,16.304024,33.835991,29.771620,5.956956,13.914419
5.770087,4.374562,1.932284,1.856755,0.637045,0.428683
25.831491,18.067099,12.539861,6.770038,1.184531,5.130184
27.986666,19.867744,8.137681,9.425830,1.905460,2.435303
14.583883,10.326709,5.285483,5.360159,0.985172,5.027631
13.658712,10.142204,5.062789,4.337416,0.970894,2.929094
30.591898,20.945333,9.687096,7.592857,1.365013,3.114360
28.682457,20.058588,8.713446,6.198890,1.523808,3.409021
25.231966,18.217583,9.531747,8.200392,2.013530,5.276879
14.345896,10.325098,5.398624,3.158474,0.536720,1.519564
24.958275,17.966005,9.676418,7.890670,1.138404,2.517557
6.173900,4.599388,2.686825,0.791677,0.587248,0.644211
6.940274,5.063391,3.205930,2.531365,0.677617,1.076703
6.275606,4.938348,2.595081,0.349434,0.390511,1.064803
37.761703,26.103703,12.115291,11.078309,2.216716,8.826761
13.963966,10.004240,4.495453,3.389005,0.964851,7.251513
4.351856,3.265751,2.461612,0.635917,0.588126,0.461493
16.843487,12.259848,4.751674,5.119810,0.915330,1.726531
17.416504,12.600943,5.417099,6.270070,1.140631,3.430174
18.843401,13.546797,13.125584,11.123441,1.975784,6.147998
14.005413,9.899272,5.716845,4.197999,1.229604,6.764535
9.743814,7.304811,3.537798,1.808974,0.423841,2.473842
21.739277,15.662860,4.879791,3.514481,0.807392,2.368390
19.067942,14.038592,14.452456,10.700440,1.953763,3.717786
13.334566,9.500512,5.414726,5.201487,0.519072,2.753152
17.583643,12.311165,6.195150,4.468857,0.777970,4.326485
4.791916,3.381949,2.521856,0.632964,0.593364,0.770708
5.440107,4.404505,2.237260,1.914628,0.362672,0.131752
6.739149,4.867162,2.836039,2.044955,0.076619,0.964677
9.644436,7.135146,4.079185,2.293420,0.422799,1.317671
51.648735,33.823841,38.538624,59.793797,22.719851,75.483093
10.593990,7.620339,4.818308,2.673472,0.668475,1.646377
7.993072,5.869274,3.845172,2.190032,-0.109391,-0.135592
6.370218,4.459640,2.767100,2.533455,0.362403,1.084171
12.680604,9.140100,4.503786,3.745714,1.431124,21.640266
9.194870,6.836832,3.850232,10.197321,3.736142,9.215519
8.044081,6.004679,3.305074,2.377374,0.198878,1.585000
4.822836,3.635718,1.939407,0.661861,0.621370,0.557424
7.574779,5.651332,2.524684,2.077045,0.069278,0.753594
26.838024,18.838306,11.660676,11.309651,1.577337,4.818344
15.724421,11.067994,5.557127,3.644975,0.481757,0.802228
11.419990,7.949406,3.948156,3.478129,0.447816,3.031603
15.000200,10.691757,4.193965,2.498964,0.369458,4.279015
8.797913,6.076196,3.422835,2.961311,0.801110,10.465621
14.594456,10.187478,5.263916,3.500030,0.758484,3.882105
29.126007,19.961740,8.614325,6.507869,1.071829,3.788268
22.373560,15.167821,6.663435,2.670685,1.003573,1.416011
8.281324,5.692617,3.144789,1.813343,-0.017479,1.261481
17.110071,12.680058,6.371698,4.249278,0.786515,5.764537
20.061111,14.584633,7.467836,5.049093,0.786275,0.867564
19.208441,13.627989,8.653929,7.319502,1.595938,6.266423
29.524187,21.003780,9.515518,7.201342,0.952501,1.631544
4.958645,3.678299,2.325397,1.329845,0.570551,0.547797
18.794891,12.830330,5.025007,18.413313,7.718701,27.371716
6.320391,4.641387,2.560212,1.371209,0.623104,0.966763
5.063118,3.432819,2.308398,0.924641,0.402473,0.338644
14.698694,10.266320,5.009925,2.778032,0.990960,2.607257
27.104723,18.770529,8.951220,5.337569,1.363334,4.486377
45.501709,31.104040,13.521379,12.327495,1.060256,5.393197
10.750504,7.288953,3.209361,3.703500,0.864890,2.136846
9.183178,6.802844,3.185506,2.316659,1.133932,1.292113
7.204506,5.154302,3.092948,0.730523,0.528450,1.234076
20.200283,13.387658,14.614543,14.681422,1.857518,4.769386
11.171137,8.069223,3.291502,3.478071,0.483927,2.642076
8.658796,6.328491,2.618449,1.173352,0.540386,0.476877
11.626454,8.315565,3.372055,2.854924,0.472306,1.010053
