"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
4.835139,3.361576,1.916016,1.119304,0.917016,-0.467868
8.371449,6.237074,2.706906,5.732163,0.520505,0.556211
15.806327,10.850607,5.192448,4.970252,0.755216,0.655806
5.754216,4.088276,2.457874,1.901871,0.171925,0.326382
7.127714,5.128531,2.694752,2.508341,0.969821,-0.307657
5.743575,4.371542,2.596653,1.092070,0.286241,0.485268
21.852318,15.199992,6.441395,8.074304,3.511511,132.950531
27.097326,18.719145,7.799741,8.830789,1.247136,8.294233
13.226391,9.212760,3.621412,3.990109,0.559202,0.532614
11.810996,8.575144,5.727123,4.971032,1.014928,1.360677
5.465414,3.766857,2.533622,1.164042,0.412190,0.599393
64.227119,36.662834,23.589397,22.487923,2.800590,4.757268
16.085886,11.673522,6.417987,10.404562,2.442838,8.097226
37.591488,25.730740,6.481071,14.978017,4.000838,76.201576
18.347357,12.965305,6.490150,6.785985,1.316015,1.059484
15.823273,10.936152,5.349468,6.412889,0.657464,2.320144
9.904980,6.950432,3.219499,3.287959,0.493808,-0.155746
10.023516,6.961964,4.588478,2.813107,1.842133,55.698746
14.725441,10.202978,4.188790,2.944766,0.498605,1.171492
20.867971,14.501364,7.773289,10.922613,2.451244,14.258109
17.559731,12.789287,5.965923,5.078470,0.833960,0.146601
10.295725,7.739139,3.655177,4.670405,0.450077,1.918074
39.584709,26.753420,11.166418,13.542267,4.206653,42.918270
13.912786,9.791456,7.204683,6.372737,0.730206,2.140914
11.421174,7.873170,3.380996,4.750694,1.681347,49.720051
7.989359,5.508157,15.956674,14.453566,3.044512,3.899965
12.926695,8.856671,4.545770,6.967950,1.693795,1.064538
8.256679,5.862612,2.826586,5.327271,0.596571,0.855850
14.912590,10.588374,4.044089,9.889140,1.410110,0.630210
21.898447,15.134136,7.292642,7.910616,0.971671,2.110116
6.697255,4.626538,2.106953,3.185829,0.950919,1.752051
5.404009,3.589743,2.353855,4.331932,0.516553,1.155603
11.729186,8.459105,3.750582,5.682197,1.386570,1.531193
5.938685,4.130580,2.216547,1.396647,0.524504,0.777354
4.783575,3.076335,2.010654,4.838793,0.297997,0.686694
4.863864,3.595965,1.338635,1.808503,0.276589,1.169523
12.590464,8.400728,4.684147,3.202523,1.395992,96.168694
4.987184,3.523016,1.975370,0.603486,0.042848,0.430152
6.131890,4.335852,1.770518,3.125624,1.207270,16.637283
9.148734,6.616816,3.924565,5.675791,0.942641,0.732184
7.719538,5.653270,2.910213,1.622493,0.664332,0.576508
22.674749,15.361452,11.765615,16.710587,2.535581,10.393673
10.699850,7.651701,4.164832,4.501208,0.643399,1.081315
10.933172,7.544102,4.162698,2.863749,0.872023,0.970342
11.811565,5.267446,4.545353,5.835239,0.935269,1.726146
27.708103,19.072283,7.189175,4.625846,1.411231,8.854263
4.312904,2.954251,1.418846,3.006666,0.357975,0.680727
7.578125,5.237067,3.011127,2.918479,0.123541,0.415890
9.937284,7.104923,3.524074,3.598812,0.510000,-0.154358
14.469786,10.356070,4.910930,6.327678,2.924845,123.877563
9.690034,7.001980,2.763747,3.862037,0.373233,0.501790
8.689696,6.411950,3.533651,4.694273,0.232638,0.302662
13.462278,9.681708,6.344532,8.042250,0.881170,0.602991
13.398066,9.470999,5.814188,6.632284,0.608449,0.682473
5.321024,3.723837,2.145222,-0.078700,0.455333,0.351081
11.679809,8.148993,4.019859,3.270545,1.186986,2.192237
12.735868,9.029712,4.770756,2.039452,0.452572,1.631859
