"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
24.137424,16.728275,17.829679,38.126076,9.738876,241.035904
51.772995,32.238052,17.927116,46.670883,26.156799,605.704285
17.772301,12.712179,6.729482,5.563618,2.642550,39.303272
10.715619,7.689350,17.413572,28.353153,11.688956,85.692535
29.818624,21.546988,7.477429,31.261600,33.969582,1832.187012
17.153372,12.336631,9.116537,24.490730,9.801553,138.911255
26.420527,19.014690,7.756810,5.379133,2.639333,46.161732
16.195108,11.791653,4.932994,2.214393,1.175646,37.633709
17.437149,12.752799,3.814435,3.893598,3.147139,174.088760
12.261382,9.246531,8.007652,9.471324,2.909412,37.323696
28.406538,19.025646,22.036079,16.713106,15.968403,885.619934
17.837290,13.011712,7.253944,31.424164,17.309473,679.869019
10.852821,7.889342,3.386813,2.969607,1.710066,61.761154
16.523399,11.601101,4.815356,34.237408,13.548321,45.743279
12.914122,9.211643,4.066640,3.075656,6.423972,470.380280
17.253073,12.309443,6.378924,5.983949,3.785149,310.466858
18.390837,13.176019,5.164025,6.669434,6.302367,389.503815
6.942299,5.283497,1.879009,13.379321,8.758785,169.235519
16.305368,11.728857,4.889392,26.472109,9.745830,29.527981
25.872271,18.621239,9.203088,6.769047,3.298400,81.705299
10.453630,7.662334,2.498661,15.015574,6.785498,38.833385
38.477062,25.713993,6.343199,21.070200,7.727754,404.889038
17.115417,11.677736,3.481248,20.662666,7.802597,61.716553
22.076939,15.864454,5.560414,5.007279,5.677310,392.772705
18.641659,13.335816,5.447055,12.214244,8.444296,487.041962
29.593622,20.614357,5.994548,4.180460,10.665340,707.082275
44.596745,31.287088,17.639154,14.581630,17.643202,1197.992188
29.103148,20.450014,9.342895,7.471969,9.464899,620.652283
17.221716,12.266841,9.831201,9.224283,4.144600,225.430359
26.109203,19.101421,18.341413,27.563204,15.630685,567.652832
33.048450,22.021557,7.021888,31.560190,10.398316,86.567726
21.317673,15.216940,6.796956,6.269310,2.857849,101.713364
20.608236,14.623656,6.013238,3.909245,1.347250,37.276169
23.460873,16.398647,6.917011,6.043493,3.030226,156.010620
34.773605,23.919842,10.156934,10.393561,3.554364,102.863708
34.811005,24.317400,8.391119,42.107388,15.443182,96.798058
7.764892,5.593111,3.429499,37.296078,15.057721,54.250561
14.395261,10.145330,5.274632,5.529143,2.580741,107.890274
24.469063,17.427893,8.344019,7.036125,3.537843,170.866119
46.609470,30.328974,15.616746,14.083009,8.127380,470.582001
25.656364,18.073923,10.681170,6.937771,21.567993,1582.159424
13.037904,9.593630,8.519970,7.298936,12.486982,868.701965
13.995538,9.910002,16.232334,16.221985,4.124960,119.204155
21.713856,11.053623,10.017725,11.288839,9.972693,526.664551
21.484156,11.096303,10.050079,10.557151,9.842916,510.956238
13.574541,9.642351,2.392199,17.168758,6.000885,45.557205
39.285786,26.239164,19.512953,22.512699,30.290815,2043.062744
28.317360,20.404303,7.229034,4.637812,3.833869,183.108444
19.974474,14.856389,9.321909,7.312715,7.437376,507.560120
18.494669,13.743521,4.803695,3.575315,1.645174,75.092819
32.130730,21.345243,16.818670,21.023199,7.468611,214.213852
24.839277,17.642418,9.746128,7.914895,4.482715,219.583786
17.587248,12.794501,5.972784,2.869952,2.629099,111.748413
