"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
7.569629,5.329959,2.652362,3.460600,0.509524,0.593758
14.508862,10.311171,4.715773,7.472943,0.627740,2.025329
11.391821,8.119284,2.504426,6.103367,0.483554,2.982804
4.806974,3.188008,1.635739,1.912594,0.229117,1.016260
21.250553,15.092519,14.218931,24.595161,2.228044,2.984456
4.832078,3.166098,1.810264,3.633538,0.758075,1.268083
7.843862,5.541179,2.284255,4.696404,0.408847,5.308803
13.131764,9.487576,5.315465,5.259865,1.111305,8.984111
27.231272,18.459587,16.482454,18.481123,2.453686,4.518179
5.648562,3.997507,2.352798,1.246405,0.385817,1.743149
19.527485,13.898693,4.710491,6.990473,0.691001,2.368770
5.347996,4.009026,2.017305,3.278574,0.091120,0.603702
5.862822,4.257751,2.010632,2.869521,-0.059310,1.062615
8.745293,5.894313,3.196108,3.189324,0.490682,0.636696
26.725979,18.458471,8.520464,12.440840,2.002318,5.205901
12.098647,8.555780,6.579095,6.255611,1.822750,6.781116
6.301887,4.417473,3.612693,3.874177,0.257891,1.059583
13.211967,9.189747,3.916472,5.486831,0.755486,1.101873
6.003667,4.435155,2.952014,4.817802,1.510188,1.986477
10.072990,7.451803,3.655468,2.436756,0.453100,2.355033
6.371554,4.915752,2.226999,2.626365,0.658810,0.532647
9.352057,6.671023,3.848200,5.456795,0.400034,1.103088
30.362505,20.131105,31.190754,34.159969,5.893816,14.122119
3.982832,3.199660,1.935874,1.153971,0.319139,1.597590
11.857262,8.575074,5.611482,6.473602,1.045086,2.643923
8.936601,6.255837,2.870438,4.652293,0.649599,0.153891
10.992892,7.956402,3.698614,3.872436,0.464168,0.943005
6.523047,4.870791,2.308284,2.953804,0.203376,1.370578
10.562428,7.704463,3.668767,3.590876,0.473591,1.316513
15.467926,10.785381,4.829813,4.300374,0.471241,0.480145
16.566442,11.721874,4.391057,6.606623,0.243169,1.809243
4.742727,3.727072,1.957086,2.512513,0.452212,1.062666
12.025869,8.749022,4.154500,3.662605,0.292773,-0.749336
18.295725,13.240078,4.379118,8.592110,1.368085,0.069603
8.661904,5.929728,11.207837,9.650065,1.591965,1.094187
16.791962,11.789935,6.761147,6.676968,0.830636,2.585024
10.964067,7.927706,4.030015,1.715532,0.799051,0.865443
5.058674,3.828192,1.907455,2.826823,0.428893,1.516800
18.649780,13.002845,4.497859,7.400723,1.486081,2.568060
4.623421,3.504023,2.062252,0.986050,0.492254,1.236188
7.340641,4.920848,3.732347,5.965508,1.000335,0.916086
