"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
32.001320,21.794193,10.219573,17.472630,4.770325,72.115875
13.754642,9.716078,4.004448,13.063457,1.607152,11.551364
51.086617,31.724628,23.690472,56.889828,14.581372,86.686813
24.892075,17.393942,8.952735,16.668121,5.319201,36.507446
29.639900,20.448355,11.534484,34.668095,9.091080,65.413048
31.394169,21.095175,7.289968,40.214943,12.968558,57.984634
12.122536,9.126994,6.766675,9.078738,1.245279,11.474812
35.282925,22.961088,30.358395,91.948578,27.455351,67.259140
8.851206,6.161002,4.418525,9.934498,2.553772,20.213799
29.218798,20.538034,9.662645,13.453314,4.253423,76.589546
52.748867,31.568371,70.745758,103.469734,25.755377,305.697052
22.712904,16.307611,6.242361,10.023650,2.146457,37.635494
21.683548,14.725280,10.203381,17.950327,4.905667,55.638042
26.632076,16.026150,7.220993,11.814587,3.604069,53.374832
17.246412,10.340794,12.012748,26.806746,5.137153,18.374350
20.084074,12.614618,24.691074,45.743084,11.534660,251.741440
17.490063,12.718255,3.930823,25.875210,11.199428,55.685055
27.302635,19.107960,8.123656,10.623384,1.852857,9.909434
10.864984,7.975194,7.781160,7.402164,1.674615,6.447450
30.726437,20.910057,7.662479,10.075458,2.068773,21.385656
22.371006,15.352763,5.940902,13.575051,2.660528,9.290165
7.729235,5.877566,2.307591,7.983964,1.636810,16.859474
57.607327,35.420414,24.245504,36.286793,8.503199,44.848499
12.961969,9.242140,3.533674,12.324275,2.281538,7.388276
10.699125,8.086793,3.627636,8.242978,1.459728,10.171815
8.003657,5.874368,3.274356,8.709348,1.400243,5.637170
9.180622,6.628887,3.251802,5.320107,1.679497,16.034534
6.283556,4.428286,2.733649,28.121840,9.189663,51.685204
25.843405,17.912592,7.976036,17.534990,4.219665,49.021755
8.915872,6.345073,2.803073,8.779219,1.965381,14.956860
18.164242,13.171459,4.980850,9.795074,1.765905,26.366039
28.523859,19.397848,7.808538,19.598610,6.464517,53.436199
9.291379,6.505980,2.349379,9.481887,3.159520,12.433411
8.254960,6.236293,3.031533,7.727082,1.318042,5.888885
27.038395,17.175457,43.431931,81.672615,21.130167,178.239136
9.117516,6.403582,1.796171,7.924468,2.435585,24.482395
10.038273,7.302095,1.910337,24.045418,8.323368,29.575806
25.755014,17.713690,7.537289,15.226754,4.475224,61.847168
16.147633,11.141273,6.889198,12.437191,2.329662,23.171465
52.736156,29.047235,52.115940,145.256348,35.944118,227.977295
30.660664,19.782907,12.836593,18.962379,6.497912,81.138527
28.544073,19.633913,11.661953,26.279516,8.533587,70.566765
16.376152,11.893644,5.090626,7.585999,0.865018,9.467086
17.245733,11.908115,4.552318,15.320873,5.204314,38.073624
15.128700,10.882680,6.765116,7.447337,2.658177,40.016163
13.674628,10.161150,5.998868,11.242241,2.590815,22.801952
41.223164,23.645170,20.345810,57.464134,13.569318,137.383804
42.636795,27.148687,15.361015,56.525215,27.411255,94.439468
8.671913,6.677677,4.314038,11.802284,3.769941,32.123352
4.875834,3.825308,2.884190,7.786073,1.938283,2.187373
15.974000,11.549099,4.440186,9.770681,1.631456,23.671682
30.065189,20.511070,7.840920,15.163976,4.386203,12.162844
41.393402,26.588448,12.424752,26.054142,6.664707,75.710335
16.286259,11.424124,2.965314,28.297312,9.416010,53.399162
10.797154,7.691123,5.701847,9.254313,2.907439,24.364555
4.566559,3.296698,7.976828,13.132584,3.310237,17.641214
31.266064,21.084154,8.867129,14.382191,3.455150,74.544456
5.133536,4.114982,2.653578,0.837983,-0.004944,-0.295102
9.405850,6.830954,9.694244,13.637332,3.448946,20.057480
13.279948,9.087517,10.393459,36.957439,9.162510,56.147156
62.499676,34.849663,34.088543,90.771278,21.848415,158.301117
22.960434,16.489649,9.487849,21.002365,5.047736,34.201195
18.867331,13.479922,17.225758,31.124903,7.772671,20.207745
35.527672,24.771507,11.780346,59.456329,16.350782,94.045830
15.876518,11.563636,4.742964,4.404401,1.149451,29.615492
5.743006,4.343256,2.652273,6.233057,1.319881,8.006477
13.312140,9.959904,3.743818,8.211562,2.252461,18.206242
25.716913,17.816742,13.681911,20.721743,4.417815,29.542080
31.746805,16.388309,11.119044,29.053171,8.466318,124.782509
15.828330,11.313803,5.373637,13.033747,3.374584,12.217681
6.206880,4.178091,5.831741,14.738054,5.265601,20.916615
13.860552,10.220381,3.831890,9.246830,2.161658,5.165011
24.135540,17.620218,15.739736,36.911800,12.932508,135.146179
19.673767,12.401246,14.018225,23.784985,6.200229,93.898766
42.614342,27.839375,12.872367,17.651619,4.224611,65.715630
10.253231,7.782489,2.928277,11.722746,4.505954,47.991512
21.945530,15.832911,3.348667,18.759556,5.698518,26.119642
25.529749,17.483896,7.903760,27.181213,7.233512,72.620834
15.458216,10.278921,27.386061,35.841763,9.429522,123.397415
25.199930,17.740686,6.505209,20.166012,5.173946,17.196404
29.594486,20.461645,7.475737,19.366970,4.766359,44.716526
31.977896,22.271864,8.869011,17.849634,5.019602,77.686806
41.246952,27.048939,11.994405,35.351383,9.251144,72.226723
4.917689,3.775124,1.865773,2.487598,-0.357406,2.561448
46.418919,30.802134,14.454281,34.110294,8.744638,115.306381
10.663190,7.374069,2.802845,9.703897,1.667095,27.642687
6.074933,4.592981,2.487769,8.020813,2.542793,14.991701
15.621816,11.444986,4.472195,6.315416,1.208972,6.398815
15.221672,10.918009,3.641077,10.577271,3.548182,7.790328
30.945263,21.396948,9.567385,16.025051,3.084198,44.173443
15.327864,11.037685,4.347678,13.090072,3.468625,20.906610
17.830290,13.101002,5.598329,12.957495,4.369020,43.065468
25.057434,17.675049,13.778470,30.689623,8.034670,77.846947
29.610605,20.446354,8.995347,24.789284,6.220629,98.256218
34.406147,21.479723,18.549147,54.958286,13.226926,166.739929
14.148935,10.302881,4.509482,10.753716,1.473116,5.954605
17.275328,12.598367,7.358571,10.223660,2.474243,20.060280
36.846920,24.875071,11.895715,30.181767,7.606011,47.761734
11.231853,8.499730,7.163865,11.210159,2.533458,41.825703
9.014096,6.470815,2.529975,2.585435,1.423044,18.726475
28.087355,18.859867,14.786064,19.011951,5.311829,71.592484
38.280323,24.579140,41.132454,69.318558,16.642746,265.444733
26.475391,18.892271,8.918441,10.579445,2.764799,25.704540
26.325012,17.845211,8.579000,28.412409,5.367006,48.335930
30.462685,21.088577,8.716599,21.089668,3.969898,41.289917
