"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
10.222955,7.472046,4.006929,18.915674,5.994205,4.990469
8.089841,5.893320,1.593992,20.583082,5.741013,2.304820
5.705268,4.109237,2.909677,48.286907,14.822792,5.965872
19.240974,13.412407,5.738324,75.969231,20.813837,6.819724
15.818274,11.355335,4.059329,13.062536,3.344481,9.438337
38.737125,23.322538,15.467306,96.699173,25.037325,114.639946
21.864723,14.880199,6.438856,39.982555,10.764696,16.193651
11.138968,7.950692,4.203978,17.219755,4.776296,2.150470
10.226272,7.274306,3.793204,2.132245,0.779878,4.587549
7.103852,4.925275,2.746061,9.044395,2.472269,4.157549
35.270588,22.591066,15.383625,62.920788,16.536882,13.861017
38.617798,24.215658,24.597311,107.340065,29.429428,44.152000
24.916058,17.019186,26.889151,59.750340,14.992545,31.388220
15.492194,10.633476,5.258667,20.059242,5.308169,7.343833
18.768702,13.534342,4.633659,14.308628,4.495096,3.060290
26.543484,18.298006,10.688376,62.387493,18.887171,31.066086
9.731915,7.005005,3.016899,15.500125,3.869555,4.199203
42.019547,28.197762,11.193234,41.079124,12.843111,12.988553
11.599182,8.363985,4.241202,15.248419,4.547384,2.974915
10.324460,7.619888,3.427695,14.627630,4.251079,5.462738
11.184652,8.061873,3.273912,13.669147,3.433074,3.102211
7.554395,5.197617,2.699328,10.952532,3.058194,1.996108
6.111226,4.492238,2.751527,14.903320,3.965957,4.182379
12.411574,8.501949,3.593296,17.473820,4.601138,4.561633
6.156471,4.631396,2.246828,16.474167,2.996379,2.675168
7.176116,4.837166,2.570578,12.242615,2.649648,2.349326
8.368509,6.238851,2.369189,26.082077,8.064347,3.867546
23.913454,16.029404,7.337867,44.564247,13.320621,7.597678
4.199015,3.166953,2.125087,9.831571,2.605900,1.640287
18.124695,13.178307,5.128175,29.422527,7.017465,4.913804
6.688430,4.762471,2.821274,12.462718,3.142914,6.397815
9.420487,7.017504,2.719978,10.579649,3.107572,4.422481
15.523460,11.482808,3.373385,46.768047,11.053762,15.616495
18.905701,13.128315,6.296007,32.220371,8.045559,7.368124
6.280724,4.369269,2.728754,2.656325,0.820484,11.134630
13.584696,9.836743,6.984022,24.097605,7.095443,11.611370
6.139521,4.424745,2.111881,16.279613,4.370230,2.044251
13.913027,9.641654,4.403742,29.937578,7.223986,6.556349
17.466740,12.287947,7.286047,22.711294,6.107034,10.709295
18.837652,12.881166,8.288019,35.946377,8.373350,5.114805
22.464611,15.605528,6.701255,24.984858,7.123250,16.223728
6.824831,5.042216,2.686615,11.067634,2.989768,3.018420
28.973289,20.223286,8.501986,33.344326,9.888146,12.499862
6.079802,4.525123,3.088738,11.466519,2.544961,1.894887
11.253447,8.101370,2.318585,29.536087,8.057819,7.078853
5.322392,3.656696,7.252164,49.567673,13.589288,15.958950
5.124287,3.620310,2.740945,12.200854,2.473351,5.515667
5.044187,3.654878,2.424351,1.008797,0.497331,2.218653
25.920572,17.581825,6.739357,5.479306,1.047398,2.009205
21.471729,14.440622,8.250805,48.309978,12.685132,6.523149
32.919781,22.661919,12.753641,64.663361,18.546526,34.364475
8.986089,6.289850,3.363706,14.563849,4.249543,3.650740
8.095639,5.797457,2.529717,15.815086,4.819197,1.587559
12.157835,8.581390,3.947151,27.102308,8.635481,10.096311
20.322168,13.596012,7.781768,42.034592,11.144704,25.205355
15.372175,10.891171,2.861151,33.436455,9.150844,9.003309
11.155050,7.839512,5.574506,20.313097,5.936812,3.111341
11.426498,8.423956,3.489308,14.729561,5.637292,2.457165
11.354407,8.094434,3.564445,17.824133,4.839717,4.494242
8.650931,6.304341,3.053014,16.037302,4.434830,5.138166
12.851397,9.208890,3.067051,19.671785,5.299427,9.245598
20.414375,14.109733,6.939430,27.016041,8.429271,15.015650
25.282804,17.155470,7.211925,31.745102,7.074769,8.690797
40.223286,25.088884,13.742805,90.265549,22.379692,19.229717
4.326257,3.223952,9.710458,38.309040,10.602239,15.931526
12.455650,8.684680,4.071619,16.288046,5.432075,5.668487
11.646775,8.394202,8.119205,6.014623,1.853476,8.526422
7.879516,5.924446,4.357256,23.187418,7.001271,7.175952
7.057783,5.016014,2.513034,12.407934,3.776514,13.889138
24.903719,17.177122,15.719779,72.211746,17.397598,28.024874
14.499407,10.547533,3.916884,21.425299,4.299184,4.312163
26.025061,17.940950,8.529778,38.725300,9.404256,4.368424
11.467715,8.198728,4.979454,22.840014,6.631386,7.535086
5.933517,4.317526,2.425355,7.704073,3.679985,2.511539
14.930265,10.859689,4.213645,32.109268,8.088771,2.729616
35.812000,24.170303,14.036627,73.408752,19.616213,20.754160
15.153843,10.789772,4.577601,26.947470,6.441443,7.426445
6.371436,4.692488,2.401520,10.493553,3.404482,4.002356
7.947901,5.734002,2.201266,15.946381,3.987220,1.828510
5.309115,3.893924,2.137397,2.330727,0.513590,2.044348
10.650484,7.395563,3.866285,29.422806,8.283181,5.775200
12.013156,8.985657,3.204533,3.438208,0.987760,5.584162
10.114229,7.410980,3.422085,3.207969,1.070966,6.892430
14.741759,9.914963,5.824192,31.622894,7.596151,4.590067
8.453334,5.934338,2.497128,18.257534,6.082345,9.117598
19.097677,12.795618,5.380960,30.213877,9.052729,7.968959
11.817378,8.162071,3.716188,12.114739,3.688520,5.105560
6.587137,4.743416,2.396806,16.998240,4.164608,3.694096
18.500807,12.782963,5.772176,34.893921,9.991592,7.631228
8.351345,5.646418,2.658811,15.893815,3.269165,3.161484
12.889135,9.176180,4.354830,3.827308,1.068392,1.004505
13.541118,9.253366,4.881244,25.656797,7.214663,4.538991
7.938172,5.644433,2.995926,1.236829,0.705207,3.217870
5.497147,3.967383,2.050214,10.056582,3.101998,2.549993
8.434598,6.357692,3.106277,15.226383,5.488695,18.113991
10.283103,7.123869,2.371538,15.137880,5.431033,12.958945
7.955311,5.851659,2.817948,13.698001,3.140685,2.416119
20.770121,14.208082,7.041873,28.524969,8.220707,7.028052
5.121485,3.615315,2.237670,14.234639,4.527459,3.878848
20.126926,14.605541,8.512675,37.311508,8.832342,11.194884
17.879539,12.454467,4.733671,6.077121,0.771098,4.175407
14.531164,10.013404,7.749676,33.798935,7.612089,6.770608
48.201492,30.408674,17.963425,70.358459,18.738363,19.431324
20.578445,14.531633,6.635159,35.077961,9.331141,12.940640
4.837931,3.208805,2.076621,37.555393,11.585632,4.087895
12.281373,8.603240,3.247271,27.860512,6.489246,3.892712
8.721392,6.435948,3.366770,15.509801,3.551277,3.072667
3.895514,2.930402,1.917944,10.769064,2.996032,1.416540
11.437447,7.798717,4.681578,23.159460,5.467929,3.883323
4.232588,3.349830,1.703295,10.553386,2.666863,1.744697
9.761714,6.773951,4.082044,18.882196,6.134507,17.040949
17.174091,12.678870,4.855537,13.678103,4.185297,4.480399
11.668619,8.110048,4.317241,20.883390,5.260787,2.866873
15.492950,11.100378,5.480124,23.737942,6.597222,7.642004
17.632235,12.004979,8.238359,45.732250,11.618466,10.040462
6.562615,4.710411,2.057240,8.834013,2.500523,7.035141
12.548018,9.133574,3.260309,18.159281,5.052258,2.184418
19.946226,14.334328,9.592175,52.231293,17.165474,14.686640
10.356881,7.677982,3.844793,1.708241,0.951225,4.796869
4.473692,3.199941,1.714027,1.956656,0.280513,5.535473
14.753904,10.318433,8.039131,49.385086,13.164279,18.747053
6.310173,4.466413,3.154348,12.130124,3.809933,5.266749
5.631040,3.768376,2.357454,8.230683,2.542734,4.874212
15.860729,11.244913,4.462880,34.468170,10.069278,9.410362
8.420655,6.401146,2.545974,15.380898,3.916592,3.988405
45.189945,27.727543,13.199277,42.342972,11.711647,5.804742
5.170953,3.918177,2.345156,1.736712,0.701708,11.371526
5.884589,4.696750,2.746671,13.547622,3.415877,1.493805
10.147114,7.165074,3.220491,23.143044,5.924346,6.300085
23.047432,15.260414,15.660644,110.699944,30.405113,36.771210
9.228768,6.585553,3.694325,15.466390,3.863283,7.828475
13.498658,9.833156,3.401789,23.236809,6.721810,6.636161
16.254036,11.192684,9.647068,46.086910,12.430130,10.182554
9.314113,6.805009,2.676664,18.312836,4.631029,3.201969
10.613801,7.405774,3.341504,15.214746,4.468814,3.929618
5.906642,4.115506,2.583557,2.195274,1.104372,3.773388
20.045610,13.850181,7.214812,24.132578,6.490266,7.677814
13.989761,10.299502,3.499278,12.253868,3.305633,4.383430
4.893685,3.372493,2.036249,1.552853,0.534975,2.839840
8.515191,6.062891,3.023092,19.766504,5.313425,4.099223
8.618357,6.217855,2.999192,2.343163,0.963302,1.831747
5.897913,4.548093,2.541611,10.231271,3.238386,1.039267
21.269630,15.363389,6.615053,18.223951,4.119799,6.548242
9.145533,5.959769,3.794741,15.366474,4.737718,2.804918
7.444571,4.985915,3.291069,13.248972,4.602357,4.986105
25.149923,17.814852,7.275274,19.470016,5.903052,6.267174
8.421131,5.770072,1.637392,32.238480,11.066364,24.238008
32.503712,21.023045,12.033591,28.644115,7.614081,8.906076
22.449579,15.505265,7.062826,43.132992,11.411384,19.915102
36.314045,25.936235,12.431705,59.576130,17.248827,24.034349
7.554342,4.890877,2.985301,17.554649,5.308558,14.854401
18.302536,12.313107,7.252455,23.983578,6.847741,14.653558
9.331326,6.775256,3.185041,22.109543,5.771835,7.599570
7.687494,5.585864,2.612870,11.620358,3.333613,1.034592
5.957427,3.906348,1.772687,15.187583,3.276273,2.095126
21.823027,15.176625,6.320164,32.405544,9.113106,12.428432
11.462316,8.559057,2.743084,68.522820,20.312281,4.538545
6.913704,4.651398,2.551480,11.126295,3.244157,4.663020
9.887280,7.084743,3.129610,18.413891,4.271277,4.928327
19.809296,13.711978,6.723428,38.467716,9.668017,11.246284
13.747075,9.213456,5.437965,23.651611,8.072952,11.566309
8.198669,5.707350,2.985804,13.418147,3.881712,3.122417
29.340206,20.623112,8.030882,32.839306,9.150276,5.959569
9.158475,6.485226,2.659718,9.849335,2.309874,2.950943
14.662934,10.312035,3.213694,39.560349,9.886332,6.217314
7.458285,5.436882,2.781512,14.115630,3.931370,2.958870
12.842752,9.261491,4.840028,29.221159,7.829006,6.047041
18.441607,12.715141,4.651029,24.792038,6.477740,14.428343
11.002597,7.975228,4.577722,19.623268,4.682451,2.522365
13.322838,9.372960,4.633975,32.370209,8.898440,10.405843
5.094188,3.972453,3.324806,10.024529,4.367348,6.459223
