"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
13.836772,10.020264,5.869242,7.162725,2.090854,2.902963
12.747412,9.479135,4.882530,7.650550,2.459624,3.248487
6.877704,5.024764,3.360064,11.190772,2.329924,1.719369
12.599559,9.200981,9.019712,22.162325,6.001120,3.291695
7.453949,5.556995,3.201450,17.670063,3.794868,2.067724
11.896226,8.780910,3.235376,12.616270,3.161399,4.977936
20.052454,14.224072,7.958017,17.448923,5.131288,13.284010
4.283082,3.464607,2.195110,3.311387,1.273288,2.736687
7.177226,5.153334,2.985367,3.944515,1.123029,1.266841
11.268142,7.839704,3.343002,6.552971,1.928945,5.662412
7.171461,5.089234,4.113235,4.409834,0.987819,9.968390
5.378545,4.058798,1.967167,3.590277,1.426816,0.625343
15.683131,11.266622,6.446600,25.102737,6.006258,10.706176
13.529796,10.007866,4.143425,15.155031,3.399387,1.710426
4.395648,3.600870,2.599771,10.948600,3.726579,6.441765
7.209027,5.221223,3.564404,9.384847,2.834103,5.401195
8.813270,5.982666,4.582529,12.726315,3.354827,9.521629
5.584695,4.195687,2.457163,3.689878,1.183100,1.489395
14.405163,9.996675,4.727334,12.260139,3.189075,4.587013
10.456717,7.574111,2.963010,9.255160,2.185020,0.915977
4.768430,3.591048,2.541140,6.130530,1.102501,1.125514
6.635749,4.816147,5.780545,25.425673,4.866889,2.793221
4.670704,3.591969,2.758676,5.720437,1.320829,2.127043
8.626183,6.258908,2.438733,7.618931,2.063245,2.048761
6.374515,4.463549,2.511341,3.938404,0.773041,3.561643
12.813099,9.094369,5.987798,8.968374,2.220708,4.436833
7.056668,5.277547,2.061782,5.199862,1.258504,2.780899
5.050832,3.807114,1.575777,7.396625,1.471161,0.952687
8.942372,6.264487,2.940073,11.729630,2.609475,3.395365
4.094791,3.061729,1.239122,1.280508,1.112395,0.913942
7.735758,5.510151,2.488846,6.010751,0.991067,2.866211
16.294245,11.305224,5.811919,14.164869,4.237113,7.253482
8.081357,5.928608,3.212533,6.583547,1.917347,3.109329
10.977466,7.787739,3.343472,8.889627,1.886700,2.996514
20.886122,8.275520,6.188868,17.351084,4.441450,7.377833
20.272581,8.265088,6.426401,19.411440,4.525379,6.524861
11.061604,7.980043,4.749860,7.926013,2.093275,1.046966
4.840952,3.232963,2.788069,7.250243,2.359095,2.163291
7.922830,5.604597,3.225419,10.901155,2.167938,4.021410
11.052399,7.510073,4.699224,12.004392,2.775687,2.923638
6.350777,4.680235,2.583434,7.033731,1.339713,1.979356
5.545161,4.126689,2.936831,6.020443,1.052390,0.577038
7.419070,5.391743,2.818534,5.456098,1.402289,2.916634
7.016320,4.982887,3.203122,5.475661,1.243844,3.163833
16.186253,11.153128,4.338176,14.115705,4.633451,3.790315
3.896167,3.061603,1.893993,4.382450,0.413690,2.175688
6.768555,4.474802,2.597965,1.938473,1.558280,2.763304
6.767094,4.997651,2.360011,5.830794,1.219380,2.011332
5.259976,3.848915,2.314129,7.052085,0.707821,2.684785
27.190924,17.797556,8.043484,19.277910,4.706854,26.086372
20.501974,14.879936,4.332126,9.859163,3.161889,17.296253
7.956634,5.557428,2.888298,8.923292,2.269271,3.936700
3.849136,3.020357,2.429631,5.541981,1.087422,2.667058
4.179557,2.905121,5.412695,13.290449,4.103018,6.997221
6.789121,4.929020,4.536124,6.947324,1.321985,1.953249
10.203451,7.045956,3.926351,3.067524,0.757924,3.287688
9.846785,6.862949,3.551341,6.140215,2.398060,3.186406
7.651829,5.646857,2.899516,7.719972,2.427393,1.459881
5.921171,4.432324,3.096185,4.451937,1.043601,4.976799
5.862823,3.801899,3.056588,5.285214,1.096250,1.896097
8.747873,4.844876,3.095647,19.300037,4.162736,7.322518
12.343159,8.921744,3.876086,14.122828,3.517912,1.675625
8.725732,5.772414,5.453272,14.019171,3.972105,17.291037
8.145745,5.740738,3.283826,7.812616,1.919269,1.071271
12.193726,9.281692,2.532867,11.468142,2.959963,4.847009
9.510264,6.731555,3.789233,9.718120,2.772649,3.566682
10.753151,7.356605,4.998670,29.213112,6.593259,15.164264
4.305018,3.391487,1.772895,6.658942,2.011272,1.681949
10.196192,7.396385,3.381637,7.124827,2.239480,1.246141
6.741696,4.649656,3.791680,11.223675,2.577732,2.467219
7.575605,5.222216,2.329807,8.600003,1.782737,2.149592
7.155289,5.169343,3.840037,8.327778,1.940706,2.463217
6.320438,4.719724,2.934841,4.563607,0.976531,2.330618
30.440273,16.249899,11.290109,46.691116,11.136387,10.010835
8.052932,5.671700,4.306582,13.082219,2.462512,3.101363
4.477958,3.448868,2.791257,7.234078,1.250444,4.711817
15.232482,10.942360,9.024277,18.429443,4.082274,11.072432
44.954559,24.406843,32.520233,84.882423,20.676453,22.940042
10.221281,6.893670,2.744590,9.737478,2.149928,5.013387
6.138399,4.199100,2.995276,3.842739,1.378619,5.071947
8.470040,6.174860,4.731313,12.293815,3.143054,3.147944
5.671997,4.194396,2.217972,5.325542,1.895683,2.638776
11.122237,7.655120,2.903783,8.365969,2.221955,5.287480
10.531002,7.504074,7.418418,16.374088,4.200379,8.597078
13.750739,9.901623,4.870595,13.103108,3.215597,1.468173
13.500014,9.225061,4.508783,9.910731,2.554292,4.165695
9.758468,7.154991,3.587507,5.569834,2.029953,1.159315
14.751289,10.877449,4.112564,11.311214,2.498892,0.412707
7.469907,5.428226,1.622185,3.356133,0.890922,1.297218
5.720514,4.028986,3.455924,6.274843,1.110168,0.573548
