"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
17.843782,13.148315,5.797752,25.603558,7.388259,6.731250
46.043854,28.903574,13.161066,72.009377,17.601196,39.568958
17.261620,12.028548,5.154461,31.647623,9.264449,5.969446
11.623720,8.605888,4.937636,24.038937,5.893885,3.988722
18.474125,13.110096,5.371170,50.673401,14.446870,4.401872
7.288698,5.530789,3.117417,15.915532,5.055883,12.341400
21.564465,14.788647,5.552381,29.169701,8.612848,8.851633
7.142680,5.051521,2.438176,13.230618,2.917557,2.179065
19.466349,13.301527,7.510681,32.908669,9.694674,11.361221
8.337053,5.917097,3.679005,6.456460,2.693888,2.130809
14.284710,10.307740,6.129252,12.405985,3.254050,7.494837
7.680521,5.248983,3.196795,13.974192,3.528620,1.418882
28.297533,19.002829,19.482792,115.169350,30.741781,44.142025
22.884254,15.394218,6.506167,37.946026,9.283010,30.663855
18.268272,12.862955,5.709583,20.177954,5.789064,7.943054
19.844875,12.896395,21.565573,120.844826,31.676725,31.098257
6.657848,4.716187,3.299284,19.267645,5.671102,27.941015
8.583698,6.194588,5.263144,25.097544,6.512676,5.324831
27.841698,18.892550,10.821852,62.564045,16.196671,14.309647
23.192652,15.798598,7.591984,4.547547,1.359311,13.240844
15.509794,10.869491,12.281646,39.577103,10.313981,28.599102
13.316484,9.073350,12.232513,60.273445,16.380346,64.010063
15.054619,10.229543,5.503890,30.094934,8.712890,3.585438
7.964900,5.511228,3.403847,28.411781,6.856646,2.717192
10.567401,7.377978,2.718662,21.371229,5.337674,2.886063
24.519577,17.227303,7.210276,49.871349,13.140798,4.833602
12.915270,8.954915,3.856180,22.418217,6.380759,8.603755
5.890839,4.371690,2.376465,13.105097,4.098417,9.470715
37.999462,25.322716,12.269511,88.327538,20.406898,8.875071
21.234507,14.276939,16.559418,53.321613,11.632141,9.317585
21.672724,14.497578,5.048185,44.919155,12.175669,16.367088
39.882355,25.877367,10.015528,48.026085,11.947305,8.458088
25.342604,16.472431,15.365824,105.986748,25.512604,22.579617
7.356500,5.056416,3.786710,10.980707,2.376406,1.026966
34.712276,23.534309,9.849154,50.658253,13.563567,4.335936
13.595419,9.913037,6.719509,24.723143,6.855952,4.991402
10.668409,7.430727,3.777597,18.613762,5.481898,3.023663
19.035282,13.868339,4.739745,36.017799,9.693963,4.190032
13.252405,9.465071,4.898283,28.409044,7.865687,28.939232
9.983624,7.372744,3.991474,20.082754,6.950700,8.985986
7.698362,5.672057,3.119609,2.705015,0.803539,3.040982
12.054320,8.780619,3.265684,14.681450,4.383821,2.224881
14.142699,9.923602,6.214307,26.542059,7.632638,6.223044
9.979579,6.951271,3.574869,19.341137,5.758434,18.216042
53.060768,34.285454,18.121439,62.067589,14.402553,11.825785
17.171850,11.728595,6.533690,43.748390,12.055828,41.273540
9.199214,6.427927,3.412951,15.174837,4.078300,3.034966
21.129425,14.366548,8.879893,46.776665,12.840071,6.057663
13.645748,9.281044,3.786822,29.281885,6.852382,4.021647
14.315585,9.924021,4.740648,3.932592,0.971504,12.174429
12.216290,8.532280,5.190005,35.734951,9.778283,9.246484
8.442765,6.137262,3.267195,10.864244,2.755402,5.884801
5.765067,4.088472,2.608356,18.299362,4.790601,3.986047
12.929927,9.222260,4.347495,5.530215,1.264867,8.909577
10.642429,7.156803,3.184964,35.403900,11.044618,4.044330
8.430501,5.977840,3.747626,3.099695,0.829414,2.490575
53.155396,34.481358,20.987740,108.953484,27.348053,17.159115
8.938648,6.592902,2.749387,17.338945,4.321877,3.508068
19.833115,13.496045,5.755612,23.986565,6.162281,5.838253
16.586315,11.583882,4.393450,16.401901,4.320446,4.594842
13.973788,9.727689,5.161706,20.901411,6.100114,2.579160
5.001141,3.703238,2.260413,13.172011,2.974588,1.128727
6.159243,4.399123,8.048356,40.742115,10.642117,15.771875
13.042806,9.189225,9.310429,33.398869,8.832347,6.736849
20.786818,14.256057,7.008138,29.562248,7.714044,5.758506
7.379864,5.297229,3.331697,16.670517,4.545599,2.304885
12.619039,8.729896,5.313225,28.373104,7.011476,7.589903
18.595860,12.943488,5.740587,21.425192,5.918198,4.030394
35.646614,20.427391,28.009926,170.171951,43.893097,19.150799
24.278181,16.612547,10.125690,39.991230,11.124354,11.292653
43.277683,27.377977,15.126508,115.584709,27.930187,10.917834
23.376358,15.118074,29.276161,139.547577,36.867119,88.726562
28.382236,19.398680,8.704081,23.508444,5.591208,11.156053
16.263815,10.451560,24.737368,95.175598,22.642694,35.014442
21.199934,14.369210,10.183056,55.933292,14.211885,12.863316
25.817707,17.151260,17.146439,66.059586,17.457214,13.894700
31.918236,20.830053,12.420049,42.775345,12.232128,17.931894
14.549886,10.216170,4.153023,35.422096,10.260367,3.176647
6.078439,4.314934,2.294203,2.506271,0.434170,3.208266
5.269795,3.756595,2.308972,14.512614,3.480423,1.729792
5.135035,3.596124,1.957503,1.974240,0.197668,1.710996
41.963871,24.931089,30.956932,164.387100,42.301800,30.884457
10.603935,7.578826,4.011878,14.760746,3.587413,5.316077
27.277521,17.925827,11.772156,80.761505,20.764601,11.828424
10.866119,7.536511,4.620379,24.352051,5.796384,4.059683
11.802128,8.355310,4.380101,34.892895,11.311811,4.033438
14.809232,10.069420,4.845729,41.968941,11.080581,9.705938
8.892688,6.589729,3.940988,18.428040,5.487172,1.195522
31.165251,21.068485,8.449475,45.624565,10.727940,6.351558
43.324230,28.412533,32.681015,174.801682,43.832561,26.424313
9.750728,6.978914,3.564866,22.378950,6.229966,2.076854
19.067289,13.159616,5.989338,39.958363,11.929424,19.501837
8.088300,5.644433,2.602731,18.301479,4.633579,2.138371
9.085942,6.500342,2.472005,16.812382,5.150186,4.058431
8.884985,6.174586,3.406534,16.506052,4.655837,4.488007
11.598518,8.405607,3.397419,13.053948,3.218419,1.198849
13.753146,9.696874,3.729445,26.991556,6.361308,5.332909
6.936817,5.113844,3.456651,16.943598,4.789189,2.667165
8.074020,5.812581,2.755972,23.900080,5.721341,4.436470
21.399446,14.849682,8.709271,30.834518,10.054820,11.924082
7.220389,5.038695,2.338758,18.244709,5.039048,3.632083
18.048470,13.217750,6.276983,23.504379,7.533450,16.235876
14.504708,10.312850,4.509017,18.635483,4.347437,4.411287
14.523247,10.594866,4.676333,26.602823,6.585927,5.019554
24.919458,16.911198,8.911060,35.342777,9.977108,4.995817
23.226484,15.805387,7.879820,31.817480,7.061165,5.236722
13.983052,9.579259,2.927107,16.524958,5.552996,5.438984
26.550678,17.761946,11.930111,37.731499,10.223665,10.495763
15.733993,10.697886,6.422358,35.652328,10.286352,5.792105
23.999559,16.411352,8.680715,31.553558,8.822147,19.495651
9.111156,6.468775,3.460081,17.934954,5.784206,4.744678
13.871256,9.627112,4.876984,21.431189,5.922503,22.452971
10.110138,7.408144,4.102771,16.676208,4.367163,2.759638
33.236755,21.598425,26.748383,122.579948,31.561512,35.716106
26.411201,17.833836,8.266954,35.055225,8.544398,4.664417
5.433074,3.855919,2.021495,19.189331,5.220716,1.008538
11.976099,8.614776,3.474779,24.393206,6.682228,6.959946
37.711479,25.564795,18.113777,69.674843,16.018059,24.280590
32.733234,22.631596,16.584303,109.779594,26.991438,18.766005
11.343876,7.991201,5.452951,24.747650,7.754788,6.547056
