"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
27.137478,19.251831,7.320488,27.633871,6.794893,38.555000
25.855095,18.008799,12.610594,42.140877,10.037559,11.484129
40.810410,28.111313,10.444717,11.923544,2.598011,21.357656
34.657784,24.078300,9.856145,27.098705,7.184278,10.597968
46.419544,30.901844,19.922949,69.646828,17.839069,20.740898
15.452850,11.664822,10.491606,11.576092,3.508126,16.745182
98.030113,47.106762,36.482506,221.449066,54.734589,59.402176
19.428226,13.733772,6.670382,24.039898,5.237406,2.557962
41.381596,26.714003,22.337696,38.341908,6.717118,22.771017
28.422155,19.787336,7.811124,22.019823,5.635699,24.099670
16.611708,11.909913,4.963965,6.922706,0.955649,10.047029
20.194836,13.870199,7.736406,28.901295,8.693769,21.193001
43.110252,28.707418,15.604463,53.359138,14.256199,8.718756
18.337494,13.166435,4.536619,21.278145,7.481463,14.349849
7.401800,5.172525,2.220874,7.384826,1.839244,3.060290
13.660995,9.936190,3.685936,14.271184,3.963645,3.892757
15.608389,11.124877,9.508187,41.039909,10.453779,13.567961
26.234568,18.126961,6.610729,27.585392,4.821939,5.063892
26.311813,18.556856,9.045327,24.145342,5.827054,6.263453
70.140099,38.015396,42.847252,166.944122,41.311470,90.096115
15.931586,11.327254,5.915466,21.804701,5.520580,11.673856
12.858949,8.615586,9.247808,37.310875,9.949824,20.218895
29.030905,18.713430,29.796175,64.939133,14.110381,77.423836
19.181673,14.025631,5.048116,15.436356,3.936281,7.671446
5.248549,3.868457,1.310309,4.270832,0.898148,3.207768
14.761199,10.269296,3.986079,18.308537,4.840815,3.704061
32.546410,23.145590,24.441710,69.894691,16.796844,29.207159
22.340675,15.571641,9.571929,17.115683,3.998331,3.158152
18.268236,12.779990,4.459234,21.277111,5.594180,9.253966
12.791544,9.241539,3.844931,6.760212,1.330440,5.678747
9.326408,6.624043,2.764082,8.595112,2.474483,9.496904
19.028736,13.243091,5.550981,12.867328,2.868081,10.931641
22.933393,16.045185,6.640476,20.449022,5.695591,9.282486
29.353958,20.162619,12.469164,25.035631,5.200259,11.621776
10.688080,7.649909,3.475824,10.520219,2.143048,3.149202
20.690798,14.566968,8.481736,10.321491,1.655058,8.565899
20.015720,13.915712,7.398562,31.313948,8.709669,24.399158
33.301102,22.825249,8.568031,23.632166,7.173944,11.617838
6.357200,4.750104,2.800053,6.136349,1.728275,2.738165
16.049545,11.019594,12.731120,42.541321,11.915677,15.309272
7.737681,5.809386,2.129473,4.635243,1.250351,7.437614
29.944681,19.782206,26.367661,92.870003,23.639639,49.837189
17.727921,12.715961,6.082050,23.789694,6.124200,17.153858
14.050931,9.652077,5.172670,8.646240,1.569123,12.318121
7.285754,5.232718,2.397224,6.634281,1.412829,2.914563
17.271936,11.881183,5.414873,18.633970,5.035515,14.875877
15.640458,11.066599,10.944417,44.314140,10.344395,18.094324
5.251507,3.685395,2.113370,4.962192,0.490182,1.160602
11.765562,7.999306,14.185035,28.810053,11.245440,53.907333
22.107988,15.600290,6.281256,17.301212,4.070593,9.743771
10.314657,7.158989,3.013136,10.391764,2.625714,10.511855
42.972408,23.257622,34.347450,100.677063,22.636757,57.689991
43.912102,23.222994,33.996021,107.697548,22.698833,53.317684
50.440704,32.507172,51.713161,167.705170,46.081917,82.848061
17.148014,10.879948,26.358431,114.178673,29.481876,48.564693
18.110239,12.661190,21.223345,80.158707,18.473133,23.083254
14.708101,10.647129,4.327007,14.929905,3.713475,14.217305
14.765079,10.377081,4.525912,13.121037,3.549786,7.565122
17.402456,11.359815,16.618509,35.167595,7.570633,66.436707
8.100458,5.571919,3.531996,4.237886,0.502883,8.501768
15.517971,10.673734,5.744349,6.892956,2.446977,8.259037
41.975742,27.232290,16.561977,68.873405,14.169914,15.076417
24.088921,16.911329,13.256400,55.365383,13.373034,16.515371
15.473465,10.715104,4.617114,6.157624,1.769140,6.250717
19.314125,13.889846,5.603361,11.385928,2.445235,4.543177
18.854002,13.384387,5.036733,13.146063,3.237334,9.260857
15.121187,10.652503,3.815511,13.731963,4.226942,19.585917
43.903301,29.422979,28.545881,76.472450,17.681870,73.347046
27.403822,19.115135,9.415389,37.275711,11.597514,21.245455
14.269588,10.112303,4.335004,14.637320,2.334666,5.080176
24.990557,17.124071,7.548573,30.536694,6.093581,12.983894
28.881084,20.000887,8.000752,26.668524,5.386521,7.921475
9.380208,6.855955,2.970586,6.890605,1.205299,5.379664
13.389919,9.444480,4.069623,6.417254,1.592478,3.473078
24.881666,18.122871,13.521637,10.948244,2.519704,17.710333
20.598940,14.007949,14.508460,59.975788,15.176686,16.482635
19.235920,13.566872,8.152100,7.230543,2.244983,13.335089
9.953082,7.011824,3.509614,2.786937,0.730758,11.462332
13.084454,8.923089,3.573873,10.112802,2.814785,4.216274
37.761978,23.257326,33.314163,34.408268,5.289119,40.584579
15.522524,11.011896,4.166543,22.906498,5.473626,9.085184
4.781948,3.843444,1.781883,1.054018,-0.063142,2.199113
6.922203,5.045867,2.682164,2.636050,1.306883,3.046271
17.969530,12.707321,5.116441,12.588696,3.399692,8.661420
14.597895,10.099987,5.592643,14.951124,4.416628,17.914434
8.735209,6.341149,3.279156,8.337953,1.210281,2.203295
22.401464,15.593102,10.314711,23.327938,5.257725,9.891811
13.132041,9.488899,4.162607,21.527128,6.434413,19.361118
13.600170,9.258183,4.431740,22.422503,5.484151,7.177267
23.353510,16.464901,7.087614,11.179054,0.999359,5.888826
29.528421,20.055696,11.614635,52.486942,13.761432,53.960686
24.382566,17.203196,9.821198,18.286184,3.647314,30.028732
10.072146,6.941431,2.745711,6.494915,0.976868,6.549301
11.720347,8.316138,3.987592,3.854830,-0.036410,9.648945
16.816795,11.560938,6.144599,21.328049,6.496703,9.492303
8.056190,5.735319,2.868393,4.292855,0.848527,7.432773
23.822506,16.670141,7.918756,11.253044,2.540170,16.492489
25.449139,17.793898,6.873871,16.518232,3.713266,17.830183
24.270067,16.325886,17.740265,24.346891,8.591662,55.544632
7.869974,5.618114,2.382411,7.582413,2.880804,4.217465
18.683802,12.835937,4.454861,36.435329,9.296275,12.518284
18.716900,12.775245,8.661173,25.602612,6.843572,18.609343
11.748771,8.374984,4.576932,5.299033,0.733620,9.308349
8.628901,6.368182,3.192917,7.811691,2.671852,9.208864
29.055151,20.344425,10.887757,28.154465,7.728749,11.015271
5.107357,3.552581,2.135602,3.782697,0.380430,4.135777
23.966623,17.284946,7.441697,21.997513,5.292057,4.988598
24.724112,17.136335,6.993730,20.009140,4.007614,17.680504
22.657795,15.595958,16.191460,41.257141,10.990528,17.173306
36.513874,24.696875,14.653700,32.540119,7.181453,24.986078
26.115040,17.958643,8.181992,17.867041,3.153376,16.769289
12.373542,8.604774,5.949333,11.747875,2.219323,15.075210
20.029367,14.076235,5.961510,16.150755,2.072335,4.932932
4.808777,3.364172,1.984265,3.888757,0.835132,4.389211
56.168892,32.833225,17.431967,22.791124,5.263010,43.068817
20.013451,14.369226,6.024932,6.989572,2.868696,13.512131
17.255630,12.414214,5.018962,11.528589,2.092573,3.049446
23.138252,15.631324,6.496660,16.554237,3.518042,7.923690
21.884636,15.505740,5.889406,21.400148,4.632957,9.343630
17.216776,12.248404,13.181015,54.348068,13.170151,28.884090
22.803671,15.811596,6.023115,17.511292,3.806245,10.933203
30.702543,20.579695,14.885848,18.060217,2.151366,20.958792
58.147556,27.083807,28.715799,96.552940,26.684889,54.209427
17.926788,12.679239,11.007785,40.991631,7.148913,5.742928
18.429247,12.596214,8.876410,39.834034,9.474936,10.075775
48.542828,31.237064,38.932083,103.277428,23.375233,30.979927
7.397865,5.123621,2.684733,8.860685,2.774917,3.554101
8.526143,5.902194,3.000461,2.774086,0.541981,8.020838
25.628262,18.532871,7.681464,30.095442,6.767928,20.212029
23.394157,16.069132,6.717251,21.541258,4.990438,5.229844
20.978142,15.359357,6.339453,17.335852,3.906177,6.334335
37.587196,22.452173,11.905519,42.228115,10.775290,30.771168
31.749479,22.743586,10.172518,12.104164,2.900520,34.707180
9.210451,6.362504,5.068003,26.073071,5.960742,8.445757
24.464979,16.973036,12.113320,51.156315,11.671427,18.345566
18.742662,12.889310,5.275153,8.397027,3.045325,23.232952
20.771231,13.621299,15.261004,65.128487,14.025308,14.626637
11.648466,7.934390,3.452810,7.889408,1.836514,13.498399
26.565863,18.341364,7.430165,23.682566,5.203268,3.758486
29.050680,19.566919,12.949471,40.502163,10.528617,16.706476
14.720024,10.352987,4.990187,20.562376,8.659195,23.639755
28.835464,20.035765,9.915800,14.992500,3.191918,28.158979
8.219140,5.735092,3.194259,4.297709,1.077901,6.623307
22.138830,15.404960,4.935006,25.761112,6.821650,9.567867
21.460175,14.980422,5.546577,23.207521,6.135816,2.555447
16.002783,11.543489,4.933978,25.031935,6.764505,2.635484
14.437011,10.301931,7.167140,13.050576,2.469698,3.827629
40.978848,24.517307,34.149006,151.735519,40.760395,16.391075
29.337637,20.342302,22.064991,40.251949,6.464280,15.457705
15.942982,10.997880,8.531927,16.582077,7.912239,36.970455
16.386927,11.803109,4.697485,19.556370,4.379188,8.917160
17.276653,12.175778,4.353537,7.662422,0.835436,4.201727
70.015572,37.399647,27.738264,79.137070,15.390808,24.078005
24.119459,16.770557,13.504365,45.213482,10.357500,20.379772
15.726529,11.551002,6.137148,9.282513,1.778558,10.202085
7.528612,5.212636,2.670602,4.095526,1.113380,5.794165
26.800486,18.187353,15.100121,59.236279,18.038900,52.629833
6.566978,4.849762,2.147561,3.862916,0.827797,9.678040
18.004965,12.776272,7.980203,8.773471,0.932697,38.803837
31.158325,21.478701,9.300641,29.013172,7.766386,20.593596
16.059774,11.425981,5.520179,19.680344,4.705776,6.465502
22.650362,16.281691,4.680116,32.194984,7.878000,15.936990
21.608566,15.541936,5.292818,11.438789,1.872599,5.648588
8.032508,5.859615,3.117254,13.734814,2.853197,7.537024
25.890430,17.834620,15.549284,13.269917,2.101076,23.957544
24.119019,17.018303,10.001997,28.281363,5.933089,14.844074
26.250690,18.554092,7.928395,6.519525,1.637976,23.826591
8.586717,6.291191,2.806589,4.227953,0.901524,5.013117
10.870339,7.837899,2.754728,14.572504,4.146277,7.011934
10.123663,7.099400,3.547328,12.413793,2.593027,12.736416
15.628232,11.189860,6.431045,12.179951,0.671317,9.890740
14.351376,10.352989,4.239617,6.571055,1.548993,6.620585
5.545475,4.294147,2.090812,8.240903,1.308980,2.621024
6.049734,4.645853,1.951955,6.281828,0.996547,5.282463
6.018178,4.491578,2.164187,1.285992,0.657080,4.080909
27.916010,19.379820,8.058284,24.865030,6.738133,32.072128
17.840111,12.368212,10.791752,26.538185,5.232374,2.404333
27.645615,18.639904,16.119770,12.642965,3.155169,47.657784
29.983986,20.628462,7.019814,13.413245,2.664011,5.424910
6.910982,5.061407,2.458290,2.151829,0.200146,4.622466
30.557358,21.010994,8.408615,34.407059,7.254263,17.891851
31.863962,21.820366,18.981764,24.444422,5.222642,16.244749
23.263424,15.988645,12.583615,29.847557,7.991314,10.135978
8.674706,6.180427,2.377056,4.672226,1.453059,3.995985
34.927788,24.217413,8.960425,9.145088,2.150934,16.248699
28.796232,20.123903,13.096785,38.139832,6.974941,7.416538
48.591484,31.146654,17.724133,27.363752,5.791958,29.554813
15.532528,11.116307,4.865924,10.581533,4.233229,22.076639
22.840059,16.266943,5.528277,24.778797,6.005106,9.900374
25.647812,17.714972,6.636711,20.160471,3.488184,9.859726
5.937394,4.307366,2.496942,2.269332,0.344691,12.803868
7.087613,5.108136,2.543807,4.914989,0.835698,10.271168
9.932681,7.070778,3.648049,4.142767,0.888209,3.765219
22.868259,15.097837,23.550699,64.760292,15.093447,63.457066
21.735233,15.581386,5.766304,30.565754,8.057481,26.153860
