"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
66.621376,41.102417,30.937193,31.951864,52.498417,3662.191162
4.915687,3.573983,2.090847,1.663267,0.007519,0.242335
18.241032,12.486312,12.435713,15.240678,30.118067,2228.291748
34.650635,22.918633,31.356749,27.266706,43.662022,3329.915527
66.165070,35.387924,83.381004,82.218338,180.232056,5754.731445
21.357920,13.953640,11.481742,20.523058,59.885101,3754.364746
31.859018,21.868725,7.539801,5.202695,10.682483,902.672607
87.558151,42.389778,30.094063,25.430378,68.899208,4643.185059
52.276661,28.941786,22.698721,28.000883,53.442947,2465.704102
64.131386,38.677715,18.130697,18.999372,17.924822,1536.641113
32.654053,22.255373,8.134544,5.975464,12.258209,957.188782
16.266464,11.230429,5.316472,3.054102,0.815577,2.341102
5.903306,4.247579,2.553972,0.674622,3.243172,204.651245
17.654766,12.571342,12.307576,12.602840,1.529925,3.268906
11.766261,8.300577,3.400458,1.418990,6.375282,485.767578
11.505573,8.334017,3.936152,3.658501,0.650085,1.883890
54.388115,34.211426,25.150187,23.020866,6.339533,144.501801
35.703411,23.482796,12.851802,15.156865,17.028849,1392.519409
36.609940,23.790621,9.931802,9.043091,16.639908,1433.517334
12.844481,9.008438,4.414256,3.017662,0.101088,3.421700
12.510792,8.962142,4.035280,4.068046,0.552029,2.244332
50.573471,34.662338,22.283998,14.312560,34.799732,2724.869385
64.908134,37.069752,33.681652,27.935940,49.219093,3518.828369
14.860106,10.439816,5.266160,8.551874,0.876512,1.122966
25.355097,16.945240,16.862947,15.866501,18.266632,1429.703979
16.623512,11.627328,12.875854,10.215875,0.833803,2.613839
75.050758,41.044151,24.963587,24.999004,50.114735,3973.132324
5.644198,4.051255,2.022589,1.598790,0.105704,1.152859
11.423074,8.370200,3.587056,1.799675,0.371839,1.543776
39.017632,23.233849,42.535290,41.522202,43.641766,2985.554932
17.830139,12.834370,7.225055,8.377068,21.086891,1985.475586
25.909643,17.286669,6.401711,18.182606,11.943729,706.446655
8.238635,5.989643,9.578712,4.238676,9.230768,660.666687
33.024967,21.612204,5.770555,9.018309,16.399160,1468.426147
14.094575,9.343636,25.194469,46.132938,38.663689,1847.507690
43.085022,26.758741,13.536076,26.717710,29.675543,2510.638916
5.764198,4.470521,3.566701,5.652633,18.886265,1522.503296
14.195413,9.595878,9.132803,6.306576,9.815496,658.105042
19.993908,13.768049,7.318218,8.220282,0.716692,2.091182
22.916155,15.978702,6.003916,7.293203,0.895501,2.516145
59.185425,31.795103,20.588179,22.904501,52.276302,3834.927246
38.705772,24.405619,18.339340,17.816284,27.796782,2344.925293
8.423504,6.078388,3.508413,4.583920,1.223564,1.333131
10.401369,7.134376,13.029415,35.272675,21.110899,847.292114
26.877575,17.851736,7.637437,5.994446,12.025512,1088.132080
33.661007,22.119831,15.130357,13.654696,19.222696,1449.500488
28.047539,18.955393,16.399101,14.635087,36.881466,2935.127197
53.149776,31.364840,19.606960,27.202715,8.990337,430.997498
28.129612,19.718056,9.366612,12.817750,11.302631,629.340637
5.000444,3.667917,3.800555,3.403567,8.603056,692.233276
39.039318,26.476616,11.677718,9.755504,13.713805,1356.084961
69.216370,40.347469,23.066336,21.051561,37.592457,3125.577393
10.797958,7.414888,12.366734,10.993090,2.317049,1.676922
14.424067,10.534515,12.118452,8.575687,1.486486,3.633619
5.559494,3.830388,2.870409,3.154782,0.599937,1.384903
36.797714,24.898739,11.397051,9.876943,22.076227,1941.126465
13.028087,8.907627,4.337730,3.362831,1.132688,0.909451
6.086199,3.998908,2.727940,1.696943,0.497165,0.791450
67.159462,37.147167,21.633530,26.352882,22.805141,1762.810913
12.482792,8.471089,5.873292,4.952785,1.239229,4.709227
5.537975,4.020901,12.796833,19.725403,23.314894,1684.894897
31.588253,21.678091,10.195797,7.363453,15.928566,1488.970459
12.436060,8.305372,6.439833,4.089217,9.069339,671.263245
32.223560,20.358660,30.571539,18.250149,46.700573,3497.069092
28.579222,19.749220,41.787998,50.523102,117.408226,4356.629883
44.540337,27.971788,18.058628,24.638071,37.352337,2871.339600
38.355423,26.033361,8.666103,20.326910,17.860075,1173.855469
33.751728,22.312384,21.436205,26.576042,71.270737,3873.080811
8.866479,6.236717,4.893650,4.122249,0.202017,0.477624
24.814356,17.070311,17.070938,12.825049,20.500261,1412.431396
42.140995,27.255907,16.338263,18.522808,19.211987,1460.930542
46.803616,30.743074,15.596560,7.412706,13.493481,1341.655884
16.336180,11.555661,2.788287,7.730612,9.455239,717.137146
7.313273,5.049948,1.513858,1.967005,5.045443,496.020935
18.998043,13.362130,5.596976,5.840288,10.540876,956.427002
14.450807,9.613418,8.306707,8.049064,26.221884,2505.995117
6.081769,4.289527,1.550002,10.422568,3.281587,16.834522
19.118095,13.023787,10.333329,12.019864,3.540313,149.584488
13.888716,10.159051,5.028694,6.363153,16.862560,1223.816895
29.801571,18.939089,41.431847,27.463018,87.352432,4214.096191
27.279045,19.053276,10.375444,7.125091,25.891155,2403.254883
18.146994,12.800354,4.838078,6.290657,16.386696,1395.080688
61.780014,33.503510,43.263435,50.552189,129.095169,5141.114746
6.563309,4.513351,3.332767,1.833032,1.033374,0.922633
4.392704,3.126721,2.007422,3.759372,0.184423,-0.254735
13.135415,9.102991,4.884105,3.948470,0.266614,1.813675
19.288078,13.166954,10.053773,9.830635,1.729696,2.560518
42.575176,17.255623,26.706963,21.991814,15.574403,1433.493042
51.650696,30.422123,31.680134,29.306986,49.411152,3467.909180
39.849815,23.987484,14.340268,10.564240,22.507111,1928.192749
8.092160,5.819246,2.631922,1.593247,0.246257,0.704247
7.728984,5.560740,2.032369,2.494053,-0.238165,1.672245
