"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
37.732288,26.270874,11.152349,7.992009,6.051397,355.923889
63.122803,37.814705,26.250877,19.810991,10.866842,621.861755
26.576759,17.369125,23.334356,59.578743,31.862423,887.283264
37.438744,20.843437,55.545372,68.863129,22.779812,789.652527
72.205971,40.820053,133.413239,186.103958,161.365860,4884.959473
57.224426,33.790066,22.995197,31.643320,17.252069,1132.059937
55.800999,22.997875,89.649582,89.146187,31.521801,648.608032
36.796711,25.895027,9.780193,7.136099,11.921716,762.496094
19.709414,14.400160,13.508688,11.122107,10.606172,556.243286
68.238480,42.477154,20.500589,16.311350,3.533895,25.851173
16.043364,11.742066,3.519868,9.206810,2.685705,78.184097
21.856979,15.655477,8.951735,8.251422,2.810147,20.728315
91.090729,46.239769,40.418625,32.444756,8.826537,53.063969
21.122026,15.439995,9.254955,9.278557,6.434135,367.109863
21.846342,15.777383,11.164267,12.585720,10.678977,770.261841
56.272579,38.058136,14.774027,12.887854,5.132505,192.897888
58.405846,39.490967,17.715233,8.486961,3.358402,40.691250
16.190229,11.504647,8.104869,11.203471,27.359144,2249.133301
46.822281,30.428194,33.008759,14.154622,5.258709,118.130920
111.990318,60.018570,45.835533,67.676743,18.695623,60.177570
37.886150,26.586042,13.815105,11.835429,2.657408,36.602402
27.278471,16.183945,53.564426,30.887505,13.670877,751.782715
33.742092,23.840384,10.215077,8.415607,2.375306,40.270508
48.678425,31.939451,13.519674,8.362426,5.755701,323.542633
119.375099,53.551075,202.461578,284.858154,122.631233,2975.881348
72.081841,44.845711,22.516275,12.603639,4.154511,144.660782
86.342598,52.991783,30.250269,16.505997,17.079231,1181.796631
18.387281,13.038682,4.428226,3.196590,3.215516,177.779495
23.487003,16.136925,4.026720,27.132139,10.344687,34.561405
18.274824,12.812096,5.821628,1.956088,2.542194,183.081055
26.269527,17.640888,32.536072,62.941776,22.230732,177.526871
105.989105,59.690845,85.308739,107.727341,42.570026,1585.176147
59.786461,30.602070,37.835114,38.314362,20.583372,775.215088
73.541893,38.015400,50.133640,87.339119,25.185274,263.555939
17.136473,12.502205,10.392477,7.635600,8.244715,572.741821
19.454021,13.865064,5.790140,2.739982,0.804327,4.780506
22.703743,15.136415,57.109100,38.845417,164.536316,4761.062012
47.170151,31.675346,11.516992,5.877636,1.497641,53.586010
40.214840,27.821394,11.125058,10.186255,6.493080,432.796692
41.099625,28.200991,14.107302,11.811368,2.654154,13.236064
