"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
11.674201,7.868774,3.302753,48.390976,20.563858,5.462304
16.697231,11.355966,4.596570,6.106367,1.823363,5.915062
5.994803,3.971908,1.844477,17.138737,6.991069,5.265270
7.248536,5.096366,2.657107,18.838043,6.186993,1.833300
19.768093,12.743885,8.606090,40.632637,10.622158,13.159389
13.304577,8.811428,3.392654,24.869648,8.994979,8.169962
30.250494,19.701977,9.302029,46.859886,18.192501,12.193789
9.723467,6.272224,1.987790,13.341427,3.518073,8.452309
36.030567,23.646986,6.173819,66.662643,22.827377,43.706848
13.705949,8.663678,3.829134,30.852406,9.885777,3.256776
14.828034,9.972047,3.669997,2.683352,0.630369,9.614514
18.361120,12.023886,5.502346,40.547005,14.202070,7.506251
15.976241,10.625752,4.755863,22.396843,8.143807,7.274659
10.927561,7.200249,2.166727,25.135029,11.635030,5.492244
12.849334,8.865152,2.660537,25.839956,9.209858,3.374846
14.604663,9.386873,3.957598,20.741026,7.366566,5.822986
36.133156,22.630005,12.811022,50.162025,18.632229,18.661619
9.219959,6.347176,2.786017,23.031483,8.575161,2.150677
23.087618,15.871308,4.248351,19.927437,6.613443,14.752885
22.549242,14.516861,6.980745,47.748924,13.573368,6.842494
16.038820,10.869491,5.350695,25.961842,9.238058,11.588068
15.525523,10.324571,4.944113,33.300293,11.572647,10.296091
17.871323,11.846974,3.216212,16.040010,5.452948,6.284184
14.763595,10.149899,8.157928,26.438660,9.262282,3.882478
30.584587,19.585011,6.893674,47.743874,19.131660,16.883797
16.512703,10.940682,4.200549,22.819553,7.875563,3.117843
12.371946,8.100423,3.477283,17.796392,7.485279,2.577153
18.201408,11.634873,6.658713,68.699257,22.453461,16.097832
21.277964,13.756553,4.341275,30.449272,10.187408,4.871633
15.908505,10.401207,4.241700,30.330450,10.241661,7.129993
5.230035,3.236592,1.852585,13.299151,5.945320,4.617715
12.194296,7.963549,3.738710,37.724384,16.426149,7.389314
19.687750,12.993428,4.695949,44.269474,17.637987,8.263754
10.916699,7.558857,2.446273,31.541218,12.124061,3.314644
5.912551,3.957282,2.539306,14.852509,5.964186,5.093729
14.321042,9.470532,3.827741,29.698841,10.551982,6.707160
65.690651,39.123234,13.560996,102.982628,35.050144,37.653393
14.985376,10.221488,4.403742,36.818485,11.309637,6.577796
14.092413,9.571882,4.555131,45.323566,16.501673,8.057018
20.503370,13.735659,5.271144,31.689148,11.447417,3.298960
25.409996,16.521055,7.230281,53.798882,17.775253,8.613624
25.369324,16.547342,10.200209,73.403290,25.494802,50.119572
7.926649,5.330708,2.725597,16.812277,5.698835,2.409055
8.782123,5.989967,2.402434,17.089203,5.597581,4.214736
11.939749,7.918265,2.758249,27.216236,9.408979,5.520372
12.582196,8.402179,2.744723,25.604240,8.270436,20.255497
7.948140,5.420847,2.297708,18.012987,6.162233,1.955468
14.652435,9.575288,6.163276,45.482697,15.592434,16.459450
11.250834,7.755166,3.164860,3.388226,0.747141,2.949298
10.962706,7.635202,2.917654,25.762047,9.743320,8.378313
30.546312,19.793266,12.760791,73.571007,24.069124,17.467829
28.960381,18.557915,9.622651,56.174572,20.513506,11.024929
13.872026,9.062838,3.730748,26.134661,7.893265,17.604881
4.293941,3.027191,2.352925,15.195657,5.954608,6.457472
13.759391,9.323551,4.436038,40.544025,15.055204,3.758370
25.695324,16.536922,5.298958,35.270172,11.824569,31.129448
18.010937,12.569736,5.038332,31.558466,10.404934,5.584893
28.126551,18.738897,11.535502,86.369644,29.700808,26.227573
14.056727,9.864453,3.546572,28.018597,10.887766,4.694414
55.376762,34.899315,19.327700,178.230118,69.204727,113.745697
10.020394,6.859036,3.474543,23.342794,8.838179,5.360119
36.764126,23.753286,10.717674,76.004524,28.861097,15.576846
9.973231,6.855788,2.286267,34.304443,12.829710,6.574694
6.376369,3.985978,2.218626,13.113596,4.206947,3.065840
58.118870,36.961136,9.231475,66.604767,21.297134,17.704475
19.676136,12.774035,4.532729,41.498978,14.597086,15.995210
25.379995,17.030676,6.442766,33.184380,14.492898,7.103771
22.663637,15.232306,6.998810,55.743938,20.226912,39.053322
19.997465,13.164207,3.667597,44.857224,15.697462,20.426895
13.222260,8.327024,5.221479,36.245155,13.941059,18.888460
26.695593,17.078295,14.275778,94.305733,32.580608,30.952892
14.736797,9.609652,4.612129,25.660515,9.926133,7.338832
23.427984,15.004148,5.022347,33.456268,12.636542,5.347494
9.100522,5.812888,3.118807,20.457880,7.272355,5.860843
15.366354,9.913644,3.770408,22.368765,7.488256,10.557765
18.343433,11.734389,4.993148,36.434147,12.510112,13.819635
15.164567,10.469337,3.026270,29.892857,11.124035,14.689823
28.118679,18.303328,9.793580,39.432686,13.666863,18.275324
15.747454,10.525262,3.845535,19.796114,6.081875,4.566575
6.109803,4.015994,1.779947,12.382214,4.216770,2.666310
10.965040,7.304010,3.008405,21.212185,7.060703,6.979805
10.658422,7.444519,3.497642,21.478695,8.479907,4.579729
14.743203,9.501434,2.767952,16.655230,5.560535,13.033417
10.423766,6.954758,3.043233,15.705656,6.026947,4.014574
20.249174,12.739758,5.378173,37.327480,12.527164,4.073982
20.423817,13.268641,5.566834,49.719910,18.593061,14.038457
19.241610,12.877037,5.739354,30.130205,12.013525,6.156462
5.768577,3.721077,2.203783,21.666534,7.059950,5.406280
13.875407,9.151371,3.523817,27.630545,8.618985,4.153242
13.716665,8.927057,3.670394,20.025934,7.708691,4.605581
29.982382,18.972322,9.216146,124.327187,43.847977,24.524698
10.645774,6.842478,3.998343,19.937601,6.145888,2.487230
13.585877,9.337060,4.404278,48.648964,17.762707,14.606217
13.990152,9.277442,3.966145,2.900439,1.300452,2.732293
6.096877,3.763698,1.390518,9.500038,3.222463,3.483573
12.635122,8.680265,3.797762,25.110729,7.014535,6.725022
21.088015,14.396581,6.617639,33.675869,11.108240,5.125588
18.017757,12.254957,2.534431,39.680977,12.667382,7.628568
14.236453,9.718831,4.150026,57.196526,18.921961,32.689297
23.762188,15.566845,6.628914,36.871841,11.995772,3.538310
22.029531,14.209228,5.444996,22.537682,7.884348,10.023285
11.113944,7.602515,3.160022,18.939747,6.389611,2.495509
21.710896,14.798934,5.009446,45.465660,15.221059,11.338663
19.413158,13.005754,5.119572,36.997463,12.626827,9.802232
27.264326,17.796207,6.101505,64.549995,22.487848,16.838127
7.291375,4.880095,1.817472,18.230816,6.010263,7.156228
11.681076,8.267003,3.062938,9.279452,2.822079,5.567666
12.381371,8.270979,3.737363,44.108402,16.221672,10.181208
20.974205,13.810679,5.149837,41.350079,13.989532,23.099821
