"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
46.961639,28.895386,34.987099,100.317703,67.904503,2424.721436
23.152775,16.055674,8.578560,16.297260,25.558027,1884.871094
48.202469,32.383774,12.975462,27.994484,27.716005,1502.536377
19.215952,13.000420,27.642845,51.584011,50.417824,2653.188232
62.233124,35.723618,17.978422,28.053978,32.533829,2004.200928
20.864639,15.235378,5.987739,10.189187,13.363015,798.330505
16.023994,10.882397,12.998058,48.950970,48.139641,2689.889160
48.360210,29.114632,57.020752,120.765800,79.404655,3259.883057
44.505703,26.195204,27.009563,50.380810,79.311584,3824.027588
9.799024,6.451154,7.564484,27.574591,33.341629,1939.394043
11.335751,7.851075,2.415349,14.872388,10.388748,188.121353
19.901728,13.107260,16.447456,49.411758,82.925354,3801.492188
59.938988,33.803856,34.853130,44.051147,64.821045,3923.047363
58.257484,35.932549,16.371778,39.029099,67.468681,2758.838135
31.679787,21.072184,6.563889,18.766026,25.895613,1774.749268
40.963005,25.011873,20.503948,42.195156,65.423553,3520.543945
13.749651,9.049682,10.591259,34.898922,15.672545,103.577385
19.557405,13.823983,9.666924,16.661730,28.999840,2062.891357
14.723293,10.439180,2.736339,16.924858,5.819905,18.885004
9.631008,6.582290,2.737816,20.975939,8.969416,108.451157
28.692541,20.299421,5.747465,19.345448,11.011008,518.626953
63.119957,37.500473,17.572813,37.074963,71.745735,3930.465332
72.693390,38.443043,81.701447,136.035889,151.027939,5169.127441
26.134069,18.191282,7.632478,10.389166,17.462179,1118.428711
31.238720,18.989918,35.922169,80.715034,95.969055,4151.154297
30.771374,20.782600,6.620484,7.585044,11.164101,721.141479
26.902279,18.613729,6.855183,12.466815,24.135288,1873.469116
37.328545,25.352524,9.714908,13.705612,30.860680,2313.934814
35.404377,23.339073,18.321135,19.053774,22.419338,1769.572388
39.300018,25.721031,12.691812,18.570353,8.625989,352.812500
25.790545,16.908466,14.470560,32.508499,42.612514,2991.092529
19.693592,13.639819,7.127334,33.313454,16.254574,517.416504
29.095827,20.287128,7.816485,8.453009,6.549895,465.745819
38.290203,22.787130,36.872257,52.180367,53.516743,2700.830811
27.130768,16.500008,32.911812,49.446499,63.434959,3623.314453
33.716267,21.158766,22.433001,70.651855,51.458530,2406.381592
19.722610,14.403994,6.715834,10.939315,16.441307,1051.373779
11.639647,8.359916,5.561879,9.384217,16.535553,1080.192505
16.036940,10.823103,4.254874,7.680532,14.063866,1072.013428
6.126741,4.641420,2.983466,25.305096,7.579812,19.577223
13.757134,10.081846,6.729851,6.465386,7.573637,383.052948
37.565506,25.672098,14.603991,28.707779,27.625202,1482.052612
50.162910,31.636860,20.648127,29.759106,55.513031,3555.963623
54.306919,31.441629,28.846565,40.795269,76.186752,3996.760254
20.461351,13.197805,18.200077,55.211700,48.699856,2819.518555
45.996597,30.100178,13.496812,20.721476,27.701405,2100.152100
29.995640,20.160837,15.694923,31.581778,28.860291,1663.671387
17.419096,12.047212,10.931656,10.288193,6.666914,277.594360
58.863140,36.380653,16.147434,44.359116,46.825985,2465.910156
99.388618,48.467720,61.310646,111.689392,63.307167,2919.073730
21.731602,15.337700,8.442798,31.273979,35.167938,2461.519775
11.187979,7.724176,3.167109,8.698098,17.689653,493.160278
61.394970,32.301975,41.913528,77.339333,64.556198,3405.284912
11.396467,7.742157,4.140174,4.868934,12.088445,793.297302
20.954855,14.587833,8.668243,15.990803,28.967148,2296.319580
14.667999,10.418148,6.664416,10.452436,20.003019,1474.801025
31.386707,20.962070,9.556497,12.931761,14.301136,992.871826
23.422512,15.381964,21.293880,32.112343,39.552124,2609.942139
21.405895,14.960889,5.305225,7.919199,13.504298,885.361206
20.897160,14.635640,7.896458,27.532887,26.539524,1454.979248
60.749660,36.888336,10.737922,33.226276,18.746685,626.082275
67.962341,42.246941,13.598719,35.891518,57.142521,3778.475342
20.221315,13.523878,3.737513,19.831303,10.005857,99.904823
37.949905,25.882341,11.641002,12.831210,8.224682,585.809021
16.082779,10.960158,2.632953,15.099831,6.312841,62.096161
10.003546,6.945179,5.076052,31.157955,15.690884,289.176178
36.489532,24.141272,10.446204,13.142170,8.237528,519.675964
29.569567,19.352179,25.907902,43.111668,86.197838,3981.562988
12.326592,7.945702,7.964143,12.465126,4.226901,32.530144
7.828344,5.900877,5.664717,10.201368,20.471666,1364.987061
20.136391,14.163866,13.460793,15.713252,12.077291,482.640686
44.859089,29.369783,17.108572,31.097326,47.737167,3012.411621
22.598700,15.797606,7.667476,13.414063,28.214201,2021.871582
53.145481,32.668354,56.936440,117.845062,161.272415,4710.217285
49.095310,31.245430,10.433270,53.524086,45.313591,2128.526123
27.747936,18.646622,16.581667,14.104262,12.095470,682.436523
7.139820,4.991432,1.646514,7.763143,2.295026,14.246586
