"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
38.785084,25.263073,38.794777,58.180088,132.903381,4687.023926
11.290334,8.228005,3.473446,2.396107,0.496024,1.903993
23.810511,17.062937,6.338542,4.873954,15.261713,1284.790649
5.825337,4.011733,1.659910,4.523613,1.223457,0.784880
13.410897,9.524570,3.769029,5.430940,0.744517,1.469149
16.369274,11.711189,5.539791,3.315672,0.757850,7.139637
49.801521,32.302628,12.983240,9.200410,6.885920,458.135437
14.031021,9.878766,4.330952,5.903809,1.014087,0.538657
28.720419,17.991901,58.449772,68.907814,105.942818,4577.616699
19.759768,14.365954,5.681939,27.201828,6.673953,9.081280
29.434015,19.392509,6.979699,19.593756,7.861476,26.438976
8.124182,5.738816,3.191457,14.054869,3.055187,7.619045
15.473140,11.022309,5.403469,24.797760,6.641271,10.473122
28.742947,14.422660,3.000326,3.655618,1.246778,6.306106
4.714288,3.383125,2.359464,1.211651,0.510847,0.229758
53.123348,32.106689,55.910030,249.213638,60.260616,91.456757
16.190634,11.498361,5.858296,5.380661,1.207214,2.099465
62.092735,35.165745,30.075857,47.723488,40.557739,2328.066650
20.171347,14.078933,4.955818,18.528494,7.567507,27.201340
19.308561,13.845037,5.263778,24.322773,6.630136,6.818302
14.103788,10.545235,5.208436,6.446628,1.306061,3.152661
28.504951,19.764494,6.993837,11.799724,14.416941,1005.586243
32.262024,21.979223,11.233027,10.945497,3.953582,17.970608
31.186144,20.882504,22.719122,25.505980,23.844410,1800.870117
34.773087,24.829985,18.416864,12.564376,28.453644,2393.857178
17.717611,11.527568,16.533022,14.770252,49.209167,3335.149170
13.099230,9.376964,4.181073,3.192780,0.805359,2.053396
25.435406,18.484306,4.857270,8.261190,2.038891,3.299774
12.265386,8.663895,4.254668,1.916202,0.895608,12.653290
45.389847,31.000097,14.041291,9.789588,35.236668,2934.364502
16.830444,11.700281,5.472842,5.160016,0.846651,1.257624
15.653714,11.401200,4.357921,20.931910,5.168910,14.902936
16.137823,11.476920,6.663346,5.418057,1.523319,2.263284
12.599961,9.352323,4.203973,6.326415,1.168262,1.845458
47.678745,29.645086,27.068434,22.080853,4.422205,12.480414
27.110966,19.300106,9.108126,6.707738,14.665737,1332.096558
10.253973,7.326652,5.194168,6.689717,0.862801,1.088057
17.579714,12.180932,6.094123,25.652836,7.435337,11.253294
8.710586,6.633631,2.976622,9.601130,3.076458,6.843657
10.125031,7.264515,3.968231,3.452188,0.815348,5.541674
9.865707,6.874892,2.631778,19.412195,4.881267,2.931706
12.945096,9.381933,3.908650,4.969706,1.625039,2.097173
23.030956,16.934435,5.383974,32.432232,8.427073,22.998203
6.949542,4.895544,1.831721,1.659405,0.094111,8.455414
8.875169,6.305290,3.929993,17.932150,4.393876,3.045188
10.806504,7.761208,3.146031,14.769942,3.060487,19.791704
18.522802,13.405434,5.232498,30.537136,9.683805,25.011003
22.398092,16.415522,6.257368,23.644598,6.752635,5.984118
21.083302,14.917925,8.152966,8.434727,1.845772,6.420093
27.509163,19.611477,8.051577,23.590115,5.089550,8.271376
16.191044,11.778065,6.265831,12.194397,2.918817,15.299904
21.203756,14.829681,8.376287,40.365955,11.476081,5.023766
9.872727,7.259378,3.269111,2.292453,0.568509,1.991989
14.975221,11.041780,3.994610,5.641060,0.811196,1.571988
9.299200,6.572693,3.340132,4.970162,0.443360,1.822593
9.650190,6.967711,2.986526,6.756758,1.780167,3.228208
13.004339,9.218553,4.388034,20.531553,4.873411,10.070864
13.684195,10.012525,3.834619,18.940733,5.220894,17.233337
24.550694,16.715750,6.500345,30.667364,8.229966,23.614918
15.702412,10.835667,4.760744,10.857709,2.109493,3.652901
16.814541,11.940562,5.734688,5.891555,0.981165,4.477515
