"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
7.279465,5.548717,4.297305,4.344579,10.269526,812.919495
27.840256,20.068827,11.022785,16.837078,8.241960,559.214600
12.886847,9.097848,7.889874,7.540529,9.374516,654.603149
53.898750,36.314587,16.722843,12.923683,7.114229,380.378632
30.146694,21.273836,19.929333,11.636268,4.125991,136.166931
8.248015,5.943367,6.258265,9.310105,3.563830,132.307816
29.212414,20.126116,12.035998,19.234024,52.149780,3366.346680
11.636107,7.681500,21.027430,32.923435,37.184425,2732.552002
38.410885,22.981525,47.014954,120.670113,73.568588,3299.118652
26.629951,17.844957,8.720261,9.415128,10.005384,764.830139
16.673059,12.495538,6.493567,4.062563,2.274537,44.851215
10.955184,8.210739,3.212904,1.358254,1.518153,58.955978
41.427563,28.371552,15.812405,12.158338,4.600233,193.308670
7.285239,5.282645,1.767125,7.419564,2.140403,4.200727
16.803238,12.477363,5.190465,4.457294,1.565323,57.003502
17.399820,12.392336,10.932132,11.952795,23.618443,1833.691895
22.696217,15.465646,18.226057,42.205132,38.828796,1882.588989
10.298270,7.638892,2.284140,1.927024,1.695800,63.547306
24.303467,16.764479,3.086356,15.004040,5.565789,170.091873
48.086842,30.370306,55.095848,97.592827,71.929054,3334.936279
10.829548,7.920723,5.755335,3.833670,2.507092,135.384033
33.670101,22.038054,61.890968,71.150681,30.230516,1340.505981
7.648033,5.560768,4.752462,37.407501,13.104296,38.005665
36.058186,24.834530,11.309326,11.258032,3.305347,103.155365
51.351604,33.222317,36.632504,25.246693,35.363148,2711.594238
33.759956,23.795635,10.134672,7.724918,4.899698,306.656342
32.694622,23.079355,22.775610,22.523663,34.827427,2543.088623
28.423683,20.010185,6.262047,7.517695,6.149562,324.582764
37.694363,25.967361,10.731658,31.169889,8.091071,84.936775
37.847656,26.239355,8.808228,9.271286,7.934655,549.810303
45.426426,30.895836,10.684460,9.667456,7.934879,526.762390
20.479286,14.971757,6.466874,5.461483,6.705944,482.061157
33.481285,23.592398,13.640765,16.209467,13.522907,857.068604
57.467056,37.611599,46.089931,61.577419,37.091965,2197.240967
14.678985,10.510566,2.511636,16.715532,6.702734,21.913513
23.904640,16.965511,7.892797,12.201740,7.227208,264.229736
22.321476,15.932609,6.370177,10.335704,7.382684,346.448853
31.570297,21.824486,9.257553,7.648091,10.391447,748.636353
33.203045,22.167080,45.127094,31.770163,30.060339,2396.070068
18.371397,13.383289,4.972665,3.259166,2.441745,164.413773
4.589749,3.243300,1.859686,2.994529,1.178087,7.918130
6.350149,4.453344,2.346595,1.931383,0.627755,1.657510
21.408133,15.591660,12.768885,11.692998,9.878319,592.565796
58.572433,38.556435,16.165455,11.978979,8.966014,869.251587
13.779380,10.028435,4.684212,1.821891,2.588754,197.744492
10.138074,7.501809,3.024498,3.413764,6.259662,480.304932
16.567553,12.077919,3.223630,9.894413,3.764438,5.608632
29.464872,21.099970,9.095520,6.647862,14.287676,1056.032104
24.464777,17.420366,9.232464,17.810633,6.564109,73.159531
30.715488,21.305202,30.145544,34.896252,21.146193,1160.911011
19.393795,13.731190,12.860780,18.360407,16.072968,1151.135742
40.763405,27.952238,10.667541,7.655731,17.295362,1630.515747
35.702045,25.203714,12.062375,10.013367,12.078390,976.725281
30.027430,21.280428,9.456443,12.514818,37.978821,2917.110840
11.551133,8.373230,3.983541,1.817456,7.495843,593.319702
12.824345,9.317565,3.651383,4.097332,1.944594,108.482857
13.547663,9.920457,5.792812,5.053979,7.522114,464.718353
65.650238,31.680002,76.965263,90.823875,82.551567,4481.855957
48.542721,30.601248,39.775341,30.803196,10.968031,394.165192
19.412739,13.673801,5.854540,4.073313,4.025424,269.717041
10.730747,7.546031,4.690935,19.009960,7.665475,39.100094
24.194862,16.953791,7.589776,5.169277,8.440547,648.877930
14.426026,10.485165,5.071564,6.077995,2.277582,54.819782
35.748573,23.677534,9.437465,18.865913,15.636507,1026.474731
11.958123,8.274327,8.106688,8.816313,11.829268,786.081909
25.527584,17.999517,10.025959,8.175922,17.384815,1473.762451
8.169953,5.668108,5.271130,5.965595,17.434616,1381.285645
23.117250,16.840822,6.341918,5.166362,6.459226,448.452026
15.899625,11.635449,12.616880,8.942850,5.814383,323.586517
38.683830,25.399742,16.079208,25.434620,13.485707,302.106476
11.666350,8.852906,3.865573,2.340311,4.840592,452.797363
20.476562,14.902444,6.358224,4.032659,4.439090,326.679871
19.318138,13.958652,16.668438,12.696906,7.316860,329.515045
25.945091,18.925591,7.814226,8.963135,2.653989,103.886467
9.063296,6.553013,36.005646,38.967926,30.651741,2275.799561
46.665993,30.805288,14.614116,14.679783,21.127819,1931.783081
23.367409,16.797775,16.503132,29.628071,18.624792,971.317261
15.880648,11.547666,28.334263,12.999320,9.356794,710.202271
9.262004,6.839053,1.679207,8.086873,3.093947,8.295338
15.531590,11.121905,4.335086,2.651936,12.476104,1079.792847
16.726131,12.038275,4.389160,3.396577,4.424149,334.885437
8.323877,5.907162,8.635727,12.076245,16.324371,1145.853760
40.250286,27.069942,12.608652,9.202692,25.553543,2297.606445
11.313518,7.979439,2.699476,8.906951,3.823266,13.837437
69.382874,40.346718,32.857166,27.989361,61.316402,4141.626465
8.482653,6.064891,15.120464,9.807004,4.642696,208.911804
6.496411,4.659987,5.589356,5.485483,2.962546,110.906296
26.078369,18.028006,33.287594,32.797791,27.734810,1639.482666
28.046223,19.672682,7.775576,6.397615,5.583243,394.236359
22.667723,16.402838,6.968785,4.907696,13.012332,1118.801636
22.803003,16.479258,7.220895,4.639776,9.036840,340.994110
21.389717,15.524915,12.863599,11.046727,5.181462,236.811203
7.165090,5.384118,3.322654,2.035736,5.599527,534.525024
32.094383,21.537493,72.961349,136.962769,122.270050,4088.999756
26.134188,19.478905,7.799615,5.992769,9.183971,766.683838
44.088665,28.598598,21.031445,21.688240,27.090137,1603.110962
10.039991,7.249344,1.815168,9.726743,2.871478,11.940289
32.522793,23.097233,7.812696,3.576673,2.062854,136.842590
6.591733,4.700991,2.609452,1.842750,3.666474,252.886749
20.730310,14.661950,6.795349,5.698187,20.897516,1512.835938
22.657354,15.763869,16.346123,17.631397,31.640339,2340.922607
17.173655,12.617796,8.508191,7.092752,2.643085,114.018059
19.598360,13.806797,43.239914,96.344696,81.942772,3649.326172
44.411335,30.839609,14.644834,9.874682,4.628924,222.382629
9.954301,7.037298,10.007933,17.351110,6.624427,195.810837
52.668636,35.396492,12.939838,18.335821,23.417826,1704.095215
21.899920,16.484983,6.498094,7.150478,5.811916,428.749023
19.668983,14.100397,9.908585,20.186972,13.314067,580.220642
7.863788,5.769932,2.971699,5.637057,0.527107,0.056586
26.488926,18.642744,7.407066,7.795222,2.809142,116.678818
26.947546,18.955132,16.288160,46.282478,32.665119,1691.066528
33.934319,23.425526,12.114869,12.456079,25.177856,2258.177734
40.772774,25.598783,36.989475,41.373962,31.030079,1948.401489
39.260910,22.973141,63.818180,82.155167,82.474121,4117.909668
38.226341,24.239950,59.346466,123.078262,57.410870,1805.699951
21.721928,15.705193,13.678029,11.824466,57.009453,3547.089600
8.914372,6.824109,3.083863,2.245456,1.584037,102.006462
36.651657,23.220228,20.371864,25.166132,49.834675,3450.746826
25.157810,17.654594,6.655841,5.402503,8.406898,738.210205
10.861977,8.061498,3.202198,3.016745,2.150371,139.232849
37.163631,26.128304,12.798046,17.362944,36.358669,2996.837646
40.632511,27.524414,15.689492,13.056445,10.234974,712.993591
27.365786,19.429323,8.950868,18.388271,21.889168,1305.595581
25.720943,17.884357,8.357008,5.134487,3.983479,323.896057
29.616816,19.939289,21.673965,40.309826,26.421587,1424.646606
28.239443,18.848793,23.498857,60.607258,24.356010,580.706726
15.253051,11.004481,12.622904,30.249237,21.797485,1238.676025
28.818953,19.237253,5.561685,18.534859,6.365891,26.726959
27.059898,19.717096,9.651118,7.514389,21.325651,1930.909790
35.966305,24.604696,9.142306,16.729555,7.414328,186.050278
84.766075,37.503487,66.568268,121.526360,92.300026,4311.481934
12.485333,8.389099,6.919011,11.135549,6.029937,18.754677
9.603601,7.234293,2.436843,9.009848,3.787885,11.608801
14.797319,11.041317,9.587466,15.121618,3.309585,19.588531
23.870909,17.754856,6.008776,4.265026,8.346658,658.447510
42.999413,29.320274,8.621984,6.135586,23.927645,2197.224854
28.363548,20.390310,7.027349,5.896282,12.342991,992.666809
12.484694,8.750450,3.406708,12.285164,4.547460,14.234406
19.561235,14.137580,8.657522,17.214960,19.990871,1400.988403
26.500193,19.522266,5.359778,5.725804,4.833293,241.682999
17.388268,13.037546,7.725262,7.421551,8.345925,610.182922
39.300919,18.268171,6.338313,3.142413,0.381938,16.412064
4.797654,3.439785,1.930344,0.869983,0.899545,62.523224
21.249729,15.636454,6.850213,7.697948,20.900377,1614.858154
6.603593,5.018605,2.776147,1.713041,2.698790,168.972092
14.228168,10.316844,3.456637,12.812202,5.493563,17.193310
12.301698,9.039742,3.831864,4.089468,1.261271,4.960696
22.870573,15.236159,4.295492,38.623028,9.168593,14.792827
23.345613,16.497238,7.610391,6.288951,18.101408,1534.653931
65.247711,35.283520,39.005363,86.082306,48.602264,2261.390869
27.969032,19.837259,18.737753,26.333744,11.887349,398.327972
12.974192,9.612760,2.510094,11.686114,3.991074,10.708937
6.373970,4.929917,2.542950,0.996978,3.297993,234.411514
128.751282,44.715439,147.417328,224.862762,172.413498,6813.089844
48.750492,32.739769,15.849074,20.948011,20.331758,1148.708740
21.760441,15.876446,6.861498,5.488217,12.749310,1065.948975
33.260143,23.475142,15.256653,21.069387,20.997868,1552.742920
24.147266,17.888321,6.562789,6.358157,8.964571,629.631531
33.027069,23.152210,18.706038,8.990527,9.961233,689.717712
27.098890,17.341255,44.395969,33.166889,32.922489,2036.890015
8.791454,6.225375,3.187659,1.692371,6.011445,499.463989
33.572979,23.902370,9.430087,7.714921,10.667447,755.885315
30.621874,21.886129,8.669317,6.336452,3.579097,205.039139
29.914322,20.985245,9.991874,8.177719,12.807057,861.654175
10.949986,8.388340,3.288475,3.076762,2.890935,123.980293
20.048502,14.574339,7.305905,5.233089,5.839767,450.934387
13.581978,10.093040,4.156157,3.574776,2.244048,130.727112
17.065216,12.758744,12.438997,10.085905,28.636971,2261.014160
47.126408,32.599274,12.643642,13.256190,15.447672,1084.067139
26.570883,19.391949,6.931157,5.713991,9.796901,797.836304
12.228252,9.169504,1.923711,8.906752,3.948443,12.041312
39.205147,26.830688,19.103235,21.221567,7.429274,254.761551
